排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
1801,8034,榮群,18.4,0.8,4.55,2026,0.0,0.0,8.59,6.15,0.08,-0.55,0.92,0.32,90.4,-5.92,0,0.0
1802,8038,長園科,31.55,1.25,4.13,2026,0.01,0.01,0.84,0.27,0.0,0.0,7.85,1.09,91.3,-0.42,0,-0.95
1803,8039,台虹,173.5,15.5,9.81,2026,0.0,-0.27,17.8,4.31,0.74,0.7,32.2,3.7,49.2,-8.43,0,0.0
1804,8040,九暘,66.0,4.8,7.84,2026,0.0,0.0,2.09,0.64,0.15,-0.04,46.0,2.43,51.8,-3.03,0,0.0
1805,8042,金山電,98.7,8.9,9.91,2026,0.0,0.0,5.97,1.04,0.0,0.0,52.1,-3.82,41.9,2.77,0,0.0
1806,8043,蜜望實,126.5,11.5,10.0,2026,0.0,0.0,2.8,1.24,0.0,0.0,31.8,0.0,65.4,-1.24,0,0.0
1807,8045,達運光電,55.5,3.1,5.92,2026,0.0,0.0,0.91,0.19,0.0,0.0,37.6,-2.48,61.5,2.29,0,0.0
1808,8046,南電,920.0,83.0,9.92,2026,0.09,-0.01,13.4,9.33,5.76,4.27,69.1,0.13,11.6,-13.7,0,0.0
1809,8047,星雲,44.2,2.1,4.99,2026,0.0,0.0,0.77,-1.37,0.0,0.0,68.7,45.0,30.5,-43.6,0,0.0
1810,8048,德勝,50.4,2.1,4.35,2026,0.0,0.0,4.54,3.15,0.0,0.0,21.6,-0.96,73.9,-2.05,0,-0.14
1811,8049,晶采,25.8,0.5,1.98,2026,0.0,0.0,2.38,-0.59,0.09,-0.06,22.4,-0.27,75.1,0.93,0,0.0
1812,8054,安國,80.0,4.4,5.82,2026,0.0,0.0,2.08,-3.96,20.3,10.7,1.73,-12.0,75.9,5.26,0,0.0
1813,8059,凱碩,14.5,0.5,3.57,2026,0.0,0.0,0.63,-1.05,0.0,0.0,67.0,-0.26,32.4,1.31,0,0.0
1814,8064,東捷,91.9,8.3,9.93,2026,0.02,0.02,14.3,11.7,0.0,0.0,34.8,8.9,50.8,-20.6,0,0.0
1815,8066,來思達,14.85,-0.05,-0.34,2026,0.0,0.0,3.01,-0.54,0.0,0.0,29.5,12.7,67.5,-12.2,0,0.0
1816,8067,志旭,13.35,0.7,5.53,2026,0.0,0.0,8.42,0.0,0.0,0.0,26.4,0.04,65.2,-0.04,0,0.0
1817,8068,全達,17.2,0.65,3.93,2026,0.0,0.0,8.79,1.52,0.0,0.0,54.4,-2.64,36.8,1.11,0,0.0
1818,8069,元太,189.0,7.0,3.85,2026,0.25,-0.32,36.7,-6.37,6.35,-1.78,25.8,-1.32,30.9,9.78,0,0.0
1819,8071,能率網通,20.95,1.35,6.89,2026,0.0,0.0,2.0,-1.32,0.12,-0.5,29.1,0.23,68.8,1.59,0,0.0
1820,8072,陞泰,26.5,0.8,3.11,2026,0.0,0.0,2.25,0.44,0.0,0.0,36.0,-3.15,61.7,2.71,0,0.0
1821,8074,鉅橡,49.5,4.5,10.0,2026,0.0,0.0,1.15,-2.14,0.54,0.45,18.5,-2.81,79.8,4.51,0,0.0
1822,8076,伍豐,22.35,0.35,1.59,2026,0.0,0.0,5.92,0.58,0.2,0.15,1.23,-0.24,92.6,0.61,0,-1.1
1823,8077,洛碁,43.75,0.15,0.34,2026,0.0,0.0,51.1,-0.05,0.0,0.0,20.7,0.01,28.2,0.03,0,0.0
1824,8080,泰霖,29.5,2.05,7.47,2026,0.0,0.0,0.09,0.04,0.0,0.0,65.7,-6.0,34.2,5.96,0,0.0
1825,8081,致新,246.0,14.0,6.03,2026,0.14,-0.06,22.5,-3.89,6.93,2.29,26.0,1.65,44.4,0.0,0,0.0
1826,8083,瑞穎,161.5,4.0,2.54,2026,0.0,0.0,3.3,1.39,0.75,-0.08,27.2,0.91,68.8,-2.22,0,0.0
1827,8084,巨虹,43.55,2.55,6.22,2026,0.0,0.0,0.95,-0.21,0.01,0.01,5.89,-1.36,93.2,1.57,0,0.0
1828,8085,福華,11.1,0.15,1.37,2026,0.0,0.0,2.47,-2.19,0.0,0.0,30.9,-0.09,66.7,2.28,0,0.0
1829,8086,宏捷科,110.0,7.0,6.8,2026,0.0,-4.11,22.0,15.9,4.5,1.44,29.6,-4.79,43.9,-8.42,0,0.0
1830,8088,品安,43.8,3.95,9.91,2026,0.0,0.0,4.15,0.8,0.08,-0.2,1.43,-0.2,94.3,-0.4,0,0.0
1831,8089,康全電訊,18.45,0.1,0.54,2026,0.0,0.0,3.45,1.05,0.0,0.0,36.4,-0.41,60.1,-0.64,0,0.0
1832,8091,翔名,210.5,17.0,8.79,2026,0.0,0.0,10.5,1.96,4.25,-0.13,27.4,-0.15,57.8,-1.68,0,0.0
1833,8092,建暐,14.0,1.1,8.53,2026,0.0,0.0,0.36,-1.02,0.0,0.0,21.0,-0.45,78.6,1.46,0,0.0
1834,8093,保銳,20.15,0.15,0.75,2026,0.0,0.0,0.06,0.05,0.0,0.0,48.3,16.8,51.6,-16.9,0,0.0
1835,8096,擎亞,112.5,10.0,9.76,2026,0.0,0.0,22.4,0.97,0.0,0.0,1.91,-0.35,75.7,-0.63,0,0.0
1836,8099,大世科,56.4,0.1,0.18,2026,0.0,0.0,2.88,-0.1,0.0,0.0,65.8,-2.42,31.3,2.52,0,0.0
1837,8101,華冠,12.8,0.0,0.0,2026,0.0,0.0,0.07,-0.02,0.0,0.0,51.8,4.22,48.1,-4.19,0,0.0
1838,8102,傑霖科技,71.9,3.7,5.43,2026,0.0,0.0,0.08,0.04,0.0,0.0,17.5,-0.47,82.4,0.43,0,0.0
1839,8104,錸寶,29.65,1.55,5.52,2026,0.13,-0.02,1.57,-2.3,0.02,-0.51,36.7,-9.46,61.6,13.4,0,-1.09
1840,8105,凌巨,15.75,1.15,7.88,2026,0.0,-0.08,40.6,-0.81,0.0,0.0,18.9,0.03,40.6,0.87,0,0.0
1841,8107,大億金茂,11.3,0.25,2.26,2026,0.0,0.0,0.46,-2.51,0.09,-0.51,48.5,-0.56,51.0,3.58,0,0.0
1842,8109,博大,118.5,2.5,2.16,2026,0.0,0.0,4.46,2.73,0.18,0.04,11.2,-0.49,84.1,-2.28,0,0.0
1843,8111,立碁,56.3,-0.1,-0.18,2026,0.0,0.0,1.16,-15.8,0.05,0.05,9.05,-1.56,89.7,17.3,0,0.0
1844,8114,振樺電,195.5,4.0,2.09,2026,0.0,-0.24,13.6,-14.7,1.91,0.72,33.0,0.29,51.5,13.9,0,0.0
1845,8121,越峰,28.05,1.5,5.65,2026,0.0,0.0,2.06,1.13,0.0,0.0,49.2,-0.01,48.8,-1.12,0,0.0
1846,8131,福懋科,56.2,5.1,9.98,2026,0.0,0.0,3.44,0.47,0.17,-1.0,67.1,-3.58,29.3,4.11,0,0.0
1847,8147,正淩,112.0,6.0,5.66,2026,0.0,0.0,15.5,3.31,0.0,-1.23,26.1,-0.15,58.4,-1.93,0,0.0
1848,8155,博智,272.5,24.5,9.88,2026,0.0,0.0,19.1,14.0,0.72,-2.41,42.2,0.66,38.0,-11.8,0,-0.38
1849,8162,微矽電子-創,48.2,2.7,5.93,2026,0.0,0.0,0.88,0.61,0.99,0.0,30.1,-0.92,68.0,0.31,0,0.0
1850,8163,達方,30.6,2.0,6.99,2026,0.46,-0.21,6.69,-6.8,5.94,-1.97,28.9,0.05,58.0,8.92,0,0.0
1851,8176,智捷,9.83,0.18,1.87,2026,0.0,0.0,0.78,-0.78,0.01,-0.07,16.7,-4.53,82.5,5.39,0,0.0
1852,8182,加高,36.45,2.45,7.21,2026,0.0,0.0,51.5,-0.01,0.63,0.23,8.08,-0.81,39.8,0.59,0,0.0
