"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"1","00715L","期街口布蘭特正2","53.6","+2.4","+4.69","26W18","04/30","53.8","-3.97","49.6","-4.88","48.7","-4.6"
"2","8093","保銳","18.7","+0.4","+2.19","26W18","04/30","47","0","47","0","44.3","0"
"3","4513","福裕","15.5","-0.9","-5.49","26W18","04/30","42.4","+0.02","42.4","+0.02","41.6","+0.03"
"4","4967","十銓","277.5","+8.5","+3.16","26W18","04/30","24.8","-4.26","20.8","-5.82","17.9","-5.37"
"5","00962","台新AI優息動能","14.43","-0.03","-0.21","26W18","04/30","25.3","-0.35","25.3","+1.1","21.3","+1.1"
"6","4939","亞電","60.2","+0.1","+0.17","26W18","04/30","20.9","-0.25","19.4","-0.28","16.8","-0.27"
"7","1514","亞力","118","-1","-0.84","26W18","04/30","42.7","+0.36","38.7","-0.14","37.7","+0.18"
"8","3234","光環","109","-4","-3.54","26W18","04/30","26.4","-0.99","21","+0.12","20.2","+0.12"
"9","00916","國泰全球品牌50","27.28","-0.27","-0.98","26W18","04/30","14.5","-0.83","14.5","-0.83","10.3","-0.92"
"10","00920","富邦ESG綠色電力","25.05","-0.38","-1.49","26W18","04/30","15.7","-6.45","15.7","-3.07","10.7","-2.6"
"11","6805","富世達","1750","-5","-0.28","26W18","04/30","57.2","+1.45","51.1","+2.48","49.6","+2.48"
"12","00907","永豐優息存股","16.15","-0.01","-0.06","26W18","04/30","7.08","+1.86","7.08","+1.86","6.08","+1.39"
"13","00988A","主動統一全球創新","19.85","+0.03","+0.15","26W18","04/30","19.5","-1.03","17.7","-1.38","16.6","-1.04"
"14","00989B","台新美國非投等債","10.06","+0.03","+0.3","26W18","04/30","31.5","-2.69","30.4","-1.64","24.4","-3.35"
"15","6282","康舒","57.2","-1.3","-2.22","26W18","04/30","41.5","+0.07","40.6","+0.33","39.4","+0.21"
"16","3324","雙鴻","998","-12","-1.19","26W18","04/30","45.6","+1.85","39.5","+0.88","35.5","-0.09"
"17","6225","天瀚","23.1","-0.45","-1.91","26W18","04/30","56.5","0","54.1","0","50.7","0"
"18","6126","信音","41.55","+2.95","+7.64","26W18","04/30","31.5","+0.16","29.4","+0.81","28.2","+0.92"
"19","00983B","大華優利美公債20","15.59","+0.03","+0.19","26W18","04/30","42.8","+0.64","40.3","+0.35","40.3","+0.35"
"20","009810","玉山全球藍籌100","20.11","-0.14","-0.69","26W18","04/30","18.3","-0.98","18.3","-0.98","13.7","-5.59"
"21","2406","國碩","39.4","+3.55","+9.9","26W18","04/30","31.2","-0.21","29.4","+0.56","27.6","+0.8"
"22","6806","森崴能源","4.48","-0.49","-9.86","26W18","04/30","55.6","-0.1","55.1","-0.38","54.7","-0.4"
"23","4739","康普","123.5","-1.5","-1.2","26W18","04/30","33.8","-5.54","30.5","-4.37","29.7","-3.76"
"24","8112","至上","95.5","+2.9","+3.13","26W18","04/30","44.7","-1.16","43.7","-1.12","42.3","-1.12"
"25","00991A","主動復華未來50","18.59","-0.04","-0.21","26W18","04/30","19.1","-1.44","18.1","-1.36","16.1","-1.35"
"26","00647L","元大S&P500正2","127.8","-1.6","-1.24","26W18","04/30","19.3","+2.18","19.3","+2.18","19.3","+2.18"
"27","00642U","期元大S&P石油","29.08","+0.77","+2.72","26W18","04/30","47.2","+0.47","46.8","+0.73","46.2","+0.7"
"28","6485","點序","85","-3.4","-3.85","26W18","04/30","19.7","+0.07","18.3","+0.07","18.3","+0.07"
"29","5475","德宏","238","-7","-2.86","26W18","04/30","39.2","-0.63","37.1","-0.11","34.1","-0.11"
"30","3131","弘塑","3035","-70","-2.25","26W18","04/30","39.2","+1.19","35","-0.47","28.7","-3.49"
"31","009809","富邦淨零ESG50","16.51","+0.01","+0.06","26W18","04/30","22.3","-6.83","22.3","-6.83","19.9","-7.01"
"32","4442","竣邦-KY","53.7","-0.3","-0.56","26W18","04/30","70.6","+2.68","56","+2.62","39.3","-0.01"
"33","3290","東浦","63.6","+5.7","+9.84","26W18","04/30","51.7","+1.13","47.2","+1.12","45.2","+1.05"
"34","00852L","國泰美國道瓊正2","31.99","-0.83","-2.53","26W18","04/30","40.6","-1.12","40.6","-1.12","40.6","-1.12"
