"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","5274","信驊","櫃","05/08","","16955","-935","-5.23","458","8,012","17890","17540","18150","16955","6.68","163","84.66","","","","",""
"2","6515","穎崴","市","05/08","","9630","-230","-2.33","282","2,772","9860","9950","10190","9630","5.68","205","53.85","","","","",""
"3","7769","鴻勁","市","05/08","","5800","-35","-0.6","1,128","6,661","5835","5885","6040","5770","4.63","76.6","17.98","","","","",""
"4","2059","川湖","市","05/08","","5320","+480","+9.92","1,475","7,838","4840","5320","5320","5185","2.79","46.9","16.08","","","","",""
"5","3443","創意","市","05/08","","5210","-240","-4.4","2,899","15,623","5450","5465","5555","5210","6.33","157","47.87","","","","",""
"6","6669","緯穎","市","05/08","","5200","+320","+6.56","4,061","20,738","4880","4920","5250","4890","7.38","18.9","6.89","","","","",""
"7","6223","旺矽","櫃","05/08","","5025","-5","-0.1","1,723","8,880","5030","4930","5370","4930","8.75","150","33.77","","","","",""
"8","3661","世芯-KY","市","05/08","","4890","+95","+1.98","3,240","15,780","4795","4805","5000","4680","6.67","70.7","9.74","","","","",""
"9","2383","台光電","市","05/08","","4750","-210","-4.23","2,812","13,483","4960","4810","4905","4670","4.74","103","35.5","","","","",""
"10","3529","力旺","櫃","05/08","","4335","-370","-7.86","1,308","5,783","4705","4640","4650","4235","8.82","158","72.94","","","","",""
"11","3653","健策","市","05/08","","3650","-225","-5.81","5,821","21,132","3875","3775","4010","3490","13.4","99.3","23.45","","","","",""
"12","2454","聯發科","市","05/08","","3630","+210","+6.14","9,526","33,978","3420","3320","3670","3320","10.2","54.9","14.46","","","","",""
"13","7734","印能科技","櫃","05/08","","3630","-40","-1.09","88","311","3670","3600","3630","3380","6.81","108","15.65","","","","",""
"14","6510","精測","櫃","05/08","","3580","-150","-4.02","820","3,031","3730","3730","3840","3575","7.1","105","11.97","","","","",""
"15","3131","弘塑","櫃","05/08","","2940","-180","-5.77","450","1,349","3120","3120","3140","2900","7.69","64.6","17.82","","","","",""
"16","3665","貿聯-KY","市","05/08","","2750","-30","-1.08","1,930","5,313","2780","2760","2800","2710","3.24","59.1","11.5","","","","",""
"17","3533","嘉澤","市","05/08","","2700","-150","-5.26","1,770","4,833","2850","2850","2850","2675","6.14","38.5","7.86","","","","",""
"18","3081","聯亞","櫃","05/08","","2620","-40","-1.5","2,642","6,992","2660","2565","2750","2555","7.33","344","57.18","","","","",""
"19","3008","大立光","市","05/08","","2570","-5","-0.19","1,448","3,721","2575","2585","2620","2530","3.5","16.1","1.82","","","","",""
"20","7750","新代","市","05/08","","2545","-60","-2.3","457","1,198","2605","2610","2710","2545","6.33","72.5","16.06","","","","",""
"21","3017","奇鋐","市","05/08","","2445","+30","+1.24","5,937","14,502","2415","2405","2500","2350","6.21","49.7","21.5","","","","",""
"22","8299","群聯","櫃","05/08","","2430","+40","+1.67","13,335","31,904","2390","2355","2500","2230","11.3","57.9","8.81","","","","",""
"23","2345","智邦","市","05/08","","2375","-185","-7.23","10,934","25,609","2560","2400","2425","2305","4.69","50.4","20.32","","","","",""
"24","2330","台積電","市","05/08","","2290","-20","-0.87","31,730","72,760","2310","2300","2310","2265","1.95","34.6","10.96","","","","",""
"25","2360","致茂","市","05/08","","2230","-95","-4.09","4,059","9,194","2325","2325","2370","2210","6.88","80.5","29.61","","","","",""
"26","6683","雍智科技","櫃","05/08","","2210","-175","-7.34","280","617","2385","2320","2320","2150","7.13","124","21.01","","","","",""
"27","2308","台達電","市","05/08","","2200","-80","-3.51","11,802","26,137","2280","2230","2250","2170","3.51","81.2","19.08","","","","",""
"28","6805","富世達","市","05/08","","1980","+60","+3.12","2,787","5,541","1920","1925","2035","1900","7.03","63.9","18.29","","","","",""
"29","6442","光聖","市","05/08","","1965","-130","-6.21","2,514","5,039","2095","2050","2065","1965","4.77","83.8","22.35","","","","",""
"30","7751","竑騰","櫃","05/08","","1940","-215","-9.98","378","756","2155","2010","2275","1940","15.5","94.6","21.13","","","","",""
"31","3491","昇達科","櫃","05/08","","1655","+35","+2.16","1,768","2,922","1620","1615","1695","1605","5.56","211","31.48","","","","",""
"32","5289","宜鼎","櫃","05/08","","1600","+25","+1.59","7,080","11,298","1575","1560","1690","1510","11.4","73.7","17.19","","","","",""
"33","1590","亞德客-KY","市","05/08","","1505","+15","+1.01","1,623","2,424","1490","1515","1515","1470","3.02","35.8","5.72","","","","",""
"34","8210","勤誠","市","05/08","","1415","+125","+9.69","6,156","8,589","1290","1345","1415","1335","6.2","47.9","14.06","","","","",""
"35","5269","祥碩","市","05/08","","1410","+40","+2.92","3,488","4,904","1370","1360","1440","1360","5.84","19.4","2.92","","","","",""
"36","6640","均華","櫃","05/08","","1395","+5","+0.36","225","312","1390","1415","1435","1335","7.19","86.1","12.18","","","","",""
"37","6274","台燿","櫃","05/08","","1370","-75","-5.19","14,584","20,462","1445","1400","1475","1320","10.7","99.1","21.91","","","","",""
"38","2368","金像電","市","05/08","","1330","-120","-8.28","7,086","9,570","1450","1460","1460","1305","10.7","68.3","20.08","","","","",""
