"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","00867B","新光A-BBB電信債","31.32","+0.08","+0.26","05/11","92.9","90.1","90.1","13","5.14","4.7","4.08","4.08","1.91","1.04","","3.33"
"2","00683L","期元大美元指正2","20.77","0","0","05/11","0","93.9","85.1","20","8.77","7.47","2.73","2.45","1.91","2.78","","3.46"
"3","8464","億豐","335","-8","-2.33","05/11","77.6","74.5","79.3","79.4","78.2","75.2","76","76.2","71.5","67.2","58.3","73.9"
"4","5274","信驊","17825","+870","+5.13","05/11","64.4","71.8","75.2","68.3","63","62.6","60.2","61.5","52.9","48.8","39.4","60.1"
"5","2207","和泰車","475.5","-11.5","-2.36","05/11","86.8","80.1","74.8","74.4","72.9","70.2","68.6","70.2","70.4","68.2","61","68.4"
"6","4915","致伸","71.7","-0.8","-1.1","05/11","78.4","76.9","74.3","68","63.2","56.7","61.8","57.9","51.3","43.6","33.5","58.4"
"7","1102","亞泥","34.65","-0.3","-0.86","05/11","79.7","69.6","72","60.7","63.8","55.5","62.8","65","62.4","53.7","48.2","62"
"8","1476","儒鴻","345.5","+1.5","+0.44","05/11","69.1","65.7","70.4","72.4","70.2","73","76.7","71.3","67.8","63.1","48","71.4"
"9","1590","亞德客-KY","1550","+45","+2.99","05/11","70.4","69.6","69.1","71.8","72","73.5","74","71.7","72.6","72.1","54","70.7"
"10","4904","遠傳","96.2","+0.3","+0.31","05/11","68.5","64.8","69.1","62.8","58.9","64.6","60","63.2","52.5","54.4","55.9","59.1"
"11","2912","統一超","227.5","-4.5","-1.94","05/11","77.1","71","67.9","69","68.6","63.8","54.3","58.4","60.3","63.6","67.4","55.2"
"12","5871","中租-KY","112","-0.5","-0.44","05/11","66.6","67","67.9","64.3","64","45.5","50.8","45.6","52.2","59","55.4","47.4"
"13","9904","寶成","25.8","-0.1","-0.39","05/11","76.9","73","66.9","63.8","59.6","63.4","60.9","50.1","56.8","54","50.1","53.1"
"14","2880","華南金","33.25","-0.05","-0.15","05/11","72.9","73.7","66","63","70.8","57.3","62.8","63","57.7","55.2","47","61.6"
"15","2006","東和鋼鐵","67.7","+0.3","+0.45","05/11","50.1","66.3","64.5","62.8","68.6","69.1","41","47.2","51.3","45.1","29.5","41.9"
"16","2360","致茂","2360","+130","+5.83","05/11","62.2","64","64.5","59.1","55.4","59.4","57.7","60.3","61.7","63.1","54.5","56.5"
"17","6409","旭隼","764","-57","-6.94","05/11","73.4","61.6","64.1","63.7","61.5","60.3","62.5","64.5","66.8","71.3","70.9","59.4"
"18","1477","聚陽","218","-3.5","-1.58","05/11","65.2","68","63.9","59","49.7","45.5","45.4","47","49.3","47","38.2","48.2"
"19","2330","台積電","2235","-55","-2.4","05/11","70","66.4","63.6","65.6","66.5","59.2","62.8","61.2","55.6","56.7","60","62.1"
"20","2640","大車隊","166.5","-3","-1.77","05/11","62.9","70.6","63.1","51.4","40.7","46.6","32.6","36","33.1","24","13.6","38.4"
"21","2010","春源","23.4","0","0","05/11","46.9","65","61.6","51.8","45.4","39.3","33.6","30","30.3","30.7","20.4","31.1"
"22","3711","日月光投控","537","+21","+4.07","05/11","56.6","64.4","60.3","59.2","58.2","57.7","60.5","54","53.5","54.9","","58.5"
"23","1402","遠東新","26.35","+0.25","+0.96","05/11","32.9","53.4","60.2","57","62.4","69.6","59.5","54.9","55","53.8","46.6","56"
"24","2454","聯發科","3880","+250","+6.89","05/11","56.7","59.2","60.2","52.4","51","45.6","52.3","50.3","51.1","50.8","48.6","49.6"
"25","1301","台塑","49.25","+0.7","+1.44","05/11","42.2","60.4","59.6","53.1","45.5","34.1","38.4","35.8","36.6","41","44.5","35.2"
"26","6592","和潤企業","60.9","+0.2","+0.33","05/11","37.5","65.9","59.1","52.2","49.8","44.8","41.9","41.7","40.1","34.8","","40.2"
"27","2504","國產","34.8","+0.05","+0.14","05/11","66.9","61.2","58.2","58.8","58.9","59.9","51.2","48.2","47.3","41.2","25.2","51"
"28","3406","玉晶光","510","+4","+0.79","05/11","58.7","59.4","57.3","58","41.1","31.7","37.5","39.8","37.6","33","13","36.8"
"29","3596","智易","184","+6","+3.37","05/11","45","55.2","57","57.1","59.3","54.2","56.7","59.7","51.6","39.1","21.4","57.8"
"30","9941","裕融","75.2","-0.5","-0.66","05/11","62","58.8","56.7","55.5","51.7","42.6","40.2","44.4","43.6","39","26.8","41"
"31","3533","嘉澤","2845","+145","+5.37","05/11","68.4","56.8","56","43.8","44.2","47.7","47.3","45.5","46.7","47.5","28.5","44.3"
"32","2882","國泰金","78.4","-1.6","-2","05/11","65.7","48.7","55.9","50.4","48","52.6","59.4","51.8","57","50.8","45.4","57.2"
"33","9921","巨大","69.8","+3.8","+5.76","05/11","37","50.5","55.5","56.4","55.9","54.2","49","47.9","51.4","56.9","60.7","48.3"
"34","2308","台達電","2245","+45","+2.05","05/11","58.3","63.8","55.4","54.9","54.6","56.7","53","50.4","51","53.9","55.8","49.8"
"35","5904","寶雅","577","-12","-2.04","05/11","58.6","50.4","55.3","42.3","41.4","44.2","44.8","49.1","47.6","48.2","46.1","46.4"
"36","2834","臺企銀","16.15","-0.1","-0.62","05/11","48.9","53.7","55.1","54.3","53.9","42.5","53.4","49.6","40.8","37.6","33.7","53.2"
"37","2412","中華電","135.5","-1","-0.73","05/11","62","57.5","54.7","53.8","53.1","46.2","42.2","47.1","43.2","41","40","44.5"
"38","2891","中信金","55.3","-1.1","-1.95","05/11","66","60.5","54.5","45.2","45.6","51.1","62.1","53.7","53.4","50.1","48.6","59.3"
"39","6670","復盛應用","262.5","+8.5","+3.35","05/11","28.1","53.9","54.4","53.3","51.6","45.2","45.6","41.8","54.3","46.2","","44.2"
"40","6534","正瀚-創","97.6","+1.8","+1.88","05/11","40.2","52.6","54.2","52.6","54","48.9","31.4","25.8","21.9","","","31.3"
"41","2885","元大金","56.5","0","0","05/11","51.4","48.5","54","54.1","57.2","53.9","62.6","54","53.9","52.8","48.1","58.7"
"42","8932","智通*","92.5","0","0","05/11","54.2","54.4","53.9","45.6","37.2","32.7","34.2","32","28.7","29.6","24.8","30.3"
"43","3044","健鼎","489.5","+8.5","+1.77","05/11","58.3","58.8","53.7","55.1","52.8","44.4","48.9","45.2","43.3","39.7","42.6","45.8"
"44","2474","可成","208","+3","+1.46","05/11","50.8","54.9","53.4","42.4","45","35.5","50.3","50.6","56.8","54.4","45.5","49.5"
"45","1726","永記","76.1","-0.5","-0.65","05/11","43.8","60.9","53.2","43.7","41","37.4","35","28.4","23.3","37.5","37.7","30.4"
"46","2633","台灣高鐵","26.75","+0.2","+0.75","05/11","45","45.6","53.2","50.6","52.6","52.6","66.4","65.8","60.4","51","","66"
"47","4442","竣邦-KY","54.9","0","0","05/11","84.2","57.2","53.2","43.6","37.2","51.5","19.9","25.9","24.2","","","22.2"
"48","6923","中台","80.9","-2.1","-2.53","05/11","48.8","63","52.9","50.4","45.1","44.4","39.6","32","27.7","","","35.5"
"49","2731","雄獅","159.5","0","0","05/11","72.7","58.3","52.9","56.7","58.2","55.6","53.3","41.7","30.8","26.9","22.2","44.6"
"50","3010","華立","136","+2.5","+1.87","05/11","38.6","47.7","52.5","47.4","37.9","32.9","32.1","32.5","32.6","31.9","28.7","31.9"
"51","2105","正新","32.05","-0.05","-0.16","05/11","49.6","55.7","52.4","54","56.6","52.2","54.5","54.7","54.1","52.2","46.6","53.1"
"52","6782","視陽","194.5","-1.5","-0.77","05/11","44.7","51.1","52.2","48.7","45","36.3","32.6","35.2","35.2","31.7","","33.3"
"53","3023","信邦","302","-0.5","-0.17","05/11","46.4","55.2","52.2","38.9","37","32.2","42.1","48","53.7","56.7","43.1","44"
"54","2347","聯強","86.4","+4.2","+5.11","05/11","40.4","49.5","52.1","50.6","45.9","49.5","45.8","55","55.8","53.2","49","43.7"
"55","9914","美利達","57.5","+1.8","+3.23","05/11","30.9","44.6","52","52.6","52.9","48","48.9","47.4","52.8","52.1","49.8","43.8"
"56","1215","卜蜂","133","-1","-0.75","05/11","49.1","45.6","52","56.6","60.8","63.6","60.1","55.9","48","40","22.1","53.3"
"57","2211","長榮鋼","97.7","-0.8","-0.81","05/11","57.8","63.1","51.8","48.5","46.9","43.1","42.4","51.4","44.2","41","","40.8"
"58","2535","達欣工","74.4","+0.2","+0.27","05/11","63.9","60.4","51.6","45.9","46.9","39.2","41.2","38.1","35.5","30.5","20","37.4"
"59","5880","合庫金","23","-0.05","-0.22","05/11","54.1","55.8","51.6","52.1","58","60.1","57.2","52.3","52.6","55.3","45.2","54.8"
