"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","2891C","中信金丙特","62.1","+0.1","+0.16","05/11","0","0","0","+33.4","+15.6","+28.4","+12.3","+5.64","-2.02","-2.66","","+10.6"
"2","5534","長虹","79.4","+1","+1.28","05/11","+14.8","+15.4","+17.1","+21.4","+23.9","+9.76","+3.15","+1.71","-0.48","+0.18","-0.06","+2.31"
"3","9938","百和","45.25","+0.45","+1","05/11","+7.86","+10.6","+12.8","+18.9","+21.4","+10.2","-0.11","-1.61","-0.7","+0.35","-0.25","-2.26"
"4","9802","鈺齊-KY","83.1","+2.7","+3.36","05/11","+6.06","+10.8","+14.5","+17.8","+17.1","+7.69","-0.19","-0.85","-1.77","-0.43","+0.03","-3.13"
"5","4105","東洋","75.2","-0.2","-0.27","05/11","+16.6","+15.2","+15.9","+16.4","+21.4","+11","+3.7","+1.68","+0.94","+0.26","-0.62","+2.67"
"6","2204","中華","54.1","-0.3","-0.55","05/11","+8.89","+12.7","+14.8","+15","+18.4","+7.95","+1.87","-0.74","-2.28","-1.16","+0.15","-0.37"
"7","9941","裕融","75.2","-0.5","-0.66","05/11","+7.46","+11.7","+11.7","+14.7","+14.6","+7.28","-11.9","-8.08","-9.26","-0.9","-0.49","-11"
"8","8210","勤誠","1555","+140","+9.89","05/11","+23.2","+19.3","+14.6","+14","+10.1","+6.87","-1.47","-0.98","-0.07","+0.18","+0.09","-1.6"
"9","6768","志強-KY","92","+4.5","+5.14","05/11","+4.81","+6.74","+8.47","+13.6","+17.2","+9.06","+2.22","-2.89","-0.82","+0.35","","-2"
"10","4746","台耀","55.5","+1.2","+2.21","05/11","+8.71","+12.5","+13.7","+13.1","+13.3","+8.6","+3.5","+1.91","+1.15","+0.06","-0.1","+2.34"
"11","6669","緯穎","5340","+140","+2.69","05/11","+18.1","+18.6","+16.3","+12.9","+12.2","+11","+3.78","+1.07","+0.57","+0.38","","+0.82"
"12","9910","豐泰","74.4","+0.6","+0.81","05/11","+5.78","+11.5","+11","+12.5","+10.2","+12.8","+3.73","+3.09","+1.99","+0.09","+0.16","+2.37"
"13","2548","華固","129.5","+6","+4.86","05/11","+4.57","+10.5","+10.1","+11.5","+10.4","+6.6","+3.13","+2.16","-0.73","+0.02","-0.04","+2.61"
"14","2731","雄獅","159.5","0","0","05/11","+7.41","+6.35","+8.06","+11.1","+13.5","+6.34","+3.14","+2.01","-0.38","-0.94","+0.03","+2.81"
"15","6670","復盛應用","262.5","+8.5","+3.35","05/11","+7.01","+9.05","+6.25","+10.7","+12.8","-8.13","-2.23","-13","+0.48","+2.87","","-2.89"
"16","2393","億光","73.8","+0.1","+0.14","05/11","+3.07","+8.93","+8.97","+10.6","+5.86","+2.39","-1.92","-11.6","-10.2","+1.19","+0.35","-1.76"
"17","3443","創意","5730","+520","+9.98","05/11","+2.19","+7.9","+10.4","+10.4","+7.15","+4.65","+2.43","+1.54","+0.74","-0.05","+0.13","+1.97"
"18","1477","聚陽","218","-3.5","-1.58","05/11","+5.43","+17.2","+14.9","+10.3","+7.73","-3.03","+0.16","-6.91","-0.66","+0.97","+0.35","-1.63"
"19","1307","三芳","32.45","+0.25","+0.78","05/11","-1.51","+3.62","+1.89","+10.2","+14.3","+8.19","+1.78","+0.89","-0.22","+0.19","+0.12","+1.25"
"20","3026","禾伸堂","329.5","-0.5","-0.15","05/11","+5.21","+6.99","+7.02","+9.85","+6.64","+4.78","+2.58","+1.89","+1.44","+1.27","+0.15","+2.19"
"21","2059","川湖","5520","+200","+3.76","05/11","+1.22","+7.91","+6.95","+9.31","+8.98","+8.04","+5","-2.33","-0.84","+0.45","+0.43","-1.32"
"22","5483","中美晶","163.5","+14.5","+9.73","05/11","+17.8","+10.8","+8.82","+9.17","+5.82","+1.89","+1.03","+0.18","-0.52","+1.14","+0.24","+0.62"
"23","1612","宏泰","37.25","+0.55","+1.5","05/11","-2.25","+5.16","+1.95","+8.38","+12.5","+8.18","+3.46","+1.21","+0.32","+0.07","+0.03","+1.62"
"24","3592","瑞鼎","263.5","+5","+1.93","05/11","+2.37","+5.09","+5.98","+8.38","+10.7","+5.86","+3.37","-8.54","-5.15","+0.21","","+1"
"25","8454","富邦媒","194","-2","-1.02","05/11","+1.81","+6.86","+6.39","+8.29","+3.56","+0.65","+0.37","+2.67","+0.91","-0.18","+0.06","+1.97"
"26","6715","嘉基","489.5","+44.5","+10","05/11","0","+12.4","+8.69","+7.68","+7.81","+7.08","+4.59","+4.1","+3.76","+1.05","","+4.19"
"27","6274","台燿","1455","+85","+6.2","05/11","-13.8","-0.76","+4.16","+7.55","+4.37","+3.91","-3.17","-0.29","+0.49","+0.36","+0.1","-2.87"
"28","4966","譜瑞-KY","735","+66","+9.87","05/11","+11","+9.58","+8.48","+7.54","+4.78","+1.54","+0.71","+2.14","+1.47","+0.01","-0.16","+1.47"
"29","9907","統一實","17","-0.1","-0.58","05/11","+7.64","+3.77","+6.07","+7.4","+8.77","+1.5","-1.4","+9.21","+4.82","+2.1","+0.7","-0.58"
"30","3036","文曄","264.5","+24","+9.98","05/11","+26.2","+19.3","+10.7","+7.05","+2.65","-4.47","+1.68","+2.48","+4.85","+1.81","+1.31","+0.87"
"31","1319","東陽","80.8","+0.6","+0.75","05/11","+7.09","+11.7","+8.13","+7.05","+4.62","-3.06","-5.17","-2.47","-4.73","+1.11","+0.26","-3.38"
"32","3702","大聯大","114","+0.5","+0.44","05/11","+12.7","+9.51","+8.14","+6.54","-3.28","-15.4","-3.78","-5.66","-8.4","-1.93","-0.12","-4.81"
"33","6291","沛亨","471.5","+3.5","+0.75","05/11","0","+5.59","+6.75","+6.04","+4.97","+3.83","+1.68","+0.96","+0.8","+0.66","+0.6","+1.4"
"34","3583","辛耘","866","+78","+9.9","05/11","+1.84","+3.53","+7.4","+5.96","+5.13","+3.09","+1.63","+1.12","+0.64","+0.11","-0.03","+1.42"
"35","2327","國巨*","391.5","+2.5","+0.64","05/11","+13.2","+8.7","+7.5","+5.72","+3.65","+1.83","+0.62","+1.16","+0.75","+0.55","+0.27","+1.3"
"36","3526","凡甲","388","-7","-1.77","05/11","+4.31","+4.49","+2.72","+5.53","+5.46","+3.95","+1.22","+1.39","+0.03","+0.76","+0.08","+1.39"
"37","8155","博智","420","-24","-5.41","05/11","+1.36","+4.16","+2.78","+5.32","+4.37","+2.27","+0.92","+0.55","+0.38","-0.46","+0.07","+0.65"
"38","3529","力旺","4460","+125","+2.88","05/11","-2.17","+3.29","+7.18","+5.06","-2.92","+3.72","+1.82","+0.84","+0.02","-0.18","+0.27","+1.73"
"39","2753","八方雲集","179.5","-1","-0.55","05/11","-0.9","-1.2","-1.79","+4.87","+11.2","+6.59","+2.26","+0.49","-0.32","-0.31","","+0.79"
"40","3264","欣銓","225.5","+1.5","+0.67","05/11","-2.56","-0.11","+1.42","+4.84","+1.62","+1.48","+1.4","+3.01","+0.17","+1.56","+0.68","+3.23"
"41","5289","宜鼎","1760","+160","+10","05/11","-0.06","+5.24","+5.44","+4.65","+4","+2.58","+1.01","+0.65","-0.06","+0.11","+0.12","+1.36"
"42","3711","日月光投控","537","+21","+4.07","05/11","+2.9","+2.68","+6.98","+4.49","+4.49","+2.83","+1.67","-2.38","-3.27","+0.36","","+1.12"
"43","7769","鴻勁","6380","+580","+10","05/11","+0.92","-0.28","+3.31","+4.47","+3.35","-0.91","+1.44","","","","","+2.08"
"44","2031","新光鋼","39.9","+0.25","+0.63","05/11","-2.94","-2.68","-3.46","+4.37","+11.5","+6.74","+2.38","+1.24","+0.13","-1.43","+0.02","+1.64"
"45","3533","嘉澤","2845","+145","+5.37","05/11","+4.55","+4.82","+6.72","+4.35","+1.47","+1.96","+4.09","+1.98","0","-0.99","+0.14","+3.89"
"46","2472","立隆電","225","+3.5","+1.58","05/11","+10.8","+6.58","+4.93","+4.19","+3.01","+2.19","+0.7","+0.42","+0.15","+0.18","+0.1","-0.11"
"47","2408","南亞科","301","+27","+9.85","05/11","+3.59","+2.38","+3.72","+3.93","+2.37","+1.01","-0.63","+0.16","+0.28","-0.1","+0.13","-0.28"
"48","3218","大學光","135.5","+3","+2.26","05/11","-1.92","-1.55","-2.19","+3.92","+7.3","+4.9","+2.37","+1.26","+0.76","-1.02","+0.02","+1.83"
"49","2383","台光電","4850","+100","+2.11","05/11","+4.31","+2.18","+2.01","+3.91","+1.74","+1.65","+3.03","+1.56","-1.18","+0.03","+0.16","+0.87"
"50","2385","群光","135","+1","+0.75","05/11","-3.79","+6.68","+6.36","+3.8","-4.45","+0.55","+2.63","-6.8","-1.93","+2.14","+0.61","-3.77"
"51","2072","世紀風電","179.5","-1","-0.55","05/11","0","+3.7","+2.49","+3.77","+3.25","+6.37","","","","","",""
"52","4915","致伸","71.7","-0.8","-1.1","05/11","+2.14","+4.02","+2.72","+3.62","+1.92","-7.26","-4.65","-2.35","-5.61","+2.54","+0.65","-1.86"
"53","5371","中光電","70.5","-3.8","-5.11","05/11","0","0","+1.95","+3.58","+1.76","+1.5","+0.91","+0.71","+0.32","+0.14","+0.12","+0.9"
"54","6526","達發","750","-3","-0.4","05/11","+0.11","+3.41","+4.91","+3.58","+2.68","+1.76","+1.62","+0.92","+0.04","","","+1.35"
"55","5274","信驊","17825","+870","+5.13","05/11","+3.58","+1.57","+1.98","+3.52","+5.82","+3.51","+3.51","+4.62","+2","+0.2","-0.07","+4.09"
"56","8150","南茂","91","-1.7","-1.83","05/11","0","0","+4.64","+3.44","+2.42","+1.16","+0.64","+0.25","+0.02","+0.03","+0.05","+0.35"
"57","2480","敦陽科","149.5","+1.5","+1.01","05/11","-1.31","-1.41","-1.84","+3.32","+7.08","+4.26","+2.02","+0.4","+0.76","+0.19","+0.05","+1.14"
"58","2330","台積電","2235","-55","-2.4","05/11","-0.12","+1.56","+2.21","+3.29","+3.08","+1.25","+1.32","+1.34","+0.68","+0.43","+0.23","+1.34"
"59","6189","豐藝","48.2","-0.8","-1.63","05/11","-1.77","-1.84","-2.35","+3.28","+10.3","+5.27","+1.92","+1.17","-2.37","+0.1","+0.07","+0.99"
"60","1762","中化生","37.55","-1.2","-3.1","05/11","+7.13","+4.2","+3.85","+3.24","+2.89","+2.22","+0.96","+0.68","+0.44","-0.8","0","+0.77"
"61","2303","聯電","95","+3.7","+4.05","05/11","+1.19","+1.17","+3.32","+3.08","+0.56","+1.85","+1.03","-1.72","-1.7","+3.32","+1.01","-0.24"
"62","5439","高技","391","+3","+0.77","05/11","+2.66","+1.02","+1.46","+3.07","+4.75","+3.16","+0.67","+1.2","+0.52","+0.16","+0.16","+0.95"
"63","2618","長榮航","35.85","+0.2","+0.56","05/11","+1.7","+3.62","+3.4","+2.98","+2.31","+3.55","-0.3","-3.45","-9.21","+1.74","+0.63","-3.89"
"64","8299","群聯","2670","+240","+9.88","05/11","-0.02","+1.96","+2.08","+2.97","+3.11","-0.39","-2.02","-2.3","-1.72","+0.08","+0.05","-1.35"
"65","3532","台勝科","268","+10.5","+4.08","05/11","0","+5.83","+2.81","+2.97","+2.31","+2.61","+0.76","+1.12","+0.89","+0.08","-0.07","+1.31"
"66","1582","信錦","89.5","+1.7","+1.94","05/11","+24.4","+10.9","+5.6","+2.94","+0.72","-0.47","+0.14","0","-0.39","+0.05","+0.03","+0.13"
"67","6488","環球晶","835","+33","+4.11","05/11","+3.85","+1.4","+1.65","+2.76","+2","+3.73","+2.12","+3.79","+1.27","+1.3","+0.27","+4.11"
"68","6525","捷敏-KY","109.5","+3","+2.82","05/11","-0.65","-0.78","-0.64","+2.72","+4.16","+2.85","+1.97","+1.37","+0.72","+0.14","-0.01","+1.6"
"69","3450","聯鈞","428","+18","+4.39","05/11","0","0","+0.02","+2.69","+1.2","+0.86","+0.43","0","-0.12","+0.05","+0.03","+0.32"
"70","5009","榮剛","40.15","+3.65","+10","05/11","+1.22","+1.77","+2.28","+2.68","+0.76","+0.43","+0.11","+0.82","-4.46","-1.07","+0.02","+0.27"
"71","2308","台達電","2245","+45","+2.05","05/11","+0.3","+0.66","+3.06","+2.63","+1.65","+1.32","+1.42","+0.85","+0.79","+0.31","+0.3","+1.22"
"72","6278","台表科","215.5","+14.5","+7.21","05/11","+10.4","+5.94","+3.88","+2.56","-1.11","-4.04","-3.87","-5.05","-5.16","+1.77","+0.3","-5.36"
"73","5347","世界","174.5","+7","+4.18","05/11","+6.05","+2.58","+2.95","+2.53","-0.67","-3.31","-2.52","-4.35","-5.59","+1.66","+0.91","-3.53"
"74","3044","健鼎","489.5","+8.5","+1.77","05/11","-0.1","+1.25","+2.02","+2.45","+0.48","-1.72","-2.57","-6.93","-4.85","+0.19","+0.24","-3.47"
"75","5434","崇越","431","+8","+1.89","05/11","0","+3.74","+2.25","+2.3","-2.81","-1.19","-3","-4.35","-2.16","+0.48","+0.35","-2.53"
"76","009817","國泰日本不動產","9.2","-0.05","-0.54","05/11","+9.59","+5.81","+3.21","+2.27","+1.11","+0.55","+0.09","","","","",""
"77","8936","國統","50.6","-1.4","-2.69","05/11","-0.61","-0.53","-0.7","+2.2","+4.07","+2.13","+0.77","+0.38","-0.06","+0.03","-0.01","+0.61"
"78","6196","帆宣","425","+15","+3.66","05/11","+9.94","+4.11","+3.19","+2.19","+1.5","+0.12","-0.08","-4.23","-1.29","+0.07","+0.01","+0.08"
"79","0050","元大台灣50","96.9","-0.1","-0.1","05/11","+2.38","+1.01","+0.67","+2.12","+1.32","+0.78","+1.2","+1.05","+0.61","+0.71","+0.63","+1.13"
"80","4979","華星光","672","+12","+1.82","05/11","-0.05","+0.66","+0.93","+2.11","+0.87","0","-0.12","+0.53","+0.12","+0.14","+0.11","+0.6"
"81","3029","零壹","99.1","+0.8","+0.81","05/11","-1.44","-0.93","-1.01","+2.04","+4.17","+2.42","+0.69","+0.5","-0.02","+0.01","+0.01","+0.43"
"82","4908","前鼎","227.5","-2","-0.87","05/11","0","0","0","+2.03","+1.41","+0.4","+0.08","+0.07","+0.05","+0.01","+0.01","+0.08"
"83","6257","矽格","212.5","+1.5","+0.71","05/11","+4.48","+1.46","+2.81","+1.95","-0.06","-2.93","-1.58","-1.92","-0.27","+0.82","+0.32","-0.85"
"84","6279","胡連","120.5","-3.5","-2.82","05/11","-0.48","-0.56","-0.43","+1.94","+3.65","+1.65","-0.01","-0.51","-4.04","-0.06","-0.13","-1"
"85","2344","華邦電","117.5","+10.5","+9.81","05/11","+0.94","+0.98","+2.46","+1.92","+1.34","-0.88","+0.38","+0.26","+0.55","+0.32","+0.17","+0.56"
"86","8028","昇陽半導體","234","+8","+3.54","05/11","0","0","+1.5","+1.77","+1.18","+0.47","-0.21","-0.14","-0.16","-0.02","","-0.24"
"87","6415","矽力*-KY","468","+42.5","+9.99","05/11","+4.35","+3.82","+3.27","+1.72","+1.17","+2.42","+0.82","+0.89","+0.2","-0.03","-0.14","+1.08"
"88","6223","旺矽","4985","-40","-0.8","05/11","-13.3","+0.8","+2.27","+1.71","+2.22","+0.31","+0.92","-0.64","+1.62","+0.73","+0.2","-0.48"
"89","1608","華榮","34.25","+0.25","+0.74","05/11","-1.07","-0.77","-0.65","+1.71","+3.99","+1.5","+0.66","+0.24","+0.15","+0.05","+0.03","+0.14"
