"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"1","3026","禾伸堂","市","05/11","","329.5","-0.5","-0.15","31,293","10,475","329.5","329","351.5","311","12.3","42.5","5.64","","","","",""
"2","3450","聯鈞","市","05/11","","428","+18","+4.39","30,833","12,774","428","426","438.5","391","11.6","127","11.96","","","","",""
"3","8210","勤誠","市","05/11","","1555","+140","+9.89","3,683","5,651","1555","1455","1555","1455","7.07","45.8","15.45","","","","",""
"4","5483","中美晶","櫃","05/11","","163.5","+14.5","+9.73","33,877","5,373","149","151","163.5","150","9.06","24.4","2.03","","","","",""
"5","8155","博智","櫃","05/11","","420","-24","-5.41","3,829","1,626","444","434","437","418.5","4.17","61","7.53","","","","",""
"6","4966","譜瑞-KY","櫃","05/11","","735","+66","+9.87","7,156","5,148","669","700","735","695","5.98","22.2","2.54","","","","",""
"7","6291","沛亨","櫃","05/11","","471.5","+3.5","+0.75","1,963","922","468","468","488","455","7.05","71.4","14.18","","","","",""
"8","8150","南茂","市","05/11","","91","-1.7","-1.83","51,675","4,788","91","95","97.9","90.3","8.2","130","2.65","","","","",""
"9","5289","宜鼎","櫃","05/11","","1760","+160","+10","3,486","6,106","1600","1745","1760","1715","2.81","23.4","11.69","","","","",""
"10","6274","台燿","櫃","05/11","","1455","+85","+6.2","2,585","3,596","1370","1375","1455","1350","7.66","105","23.27","","","","",""
"11","3443","創意","市","05/11","","5730","+520","+9.98","2,419","13,526","5730","5300","5730","5245","9.31","172","52.65","","","","",""
"12","6278","台表科","市","05/11","","215.5","+14.5","+7.21","39,508","8,214","215.5","209","221","190","15.4","24.6","2.8","","","","",""
"13","2472","立隆電","市","05/11","","225","+3.5","+1.58","16,592","3,633","225","219","228","203.5","11.1","25.8","4.08","","","","",""
"14","6715","嘉基","市","05/11","","489.5","+44.5","+10","2,035","974","489.5","445","489.5","440.5","11","272","9.38","","","","",""
"15","5439","高技","櫃","05/11","","391","+3","+0.77","4,922","1,904","388","391","393.5","380","3.48","28.5","9.21","","","","",""
"16","3583","辛耘","市","05/11","","866","+78","+9.9","3,750","3,166","866","800","866","800","8.38","58.8","9.11","","","","",""
"17","3592","瑞鼎","市","05/11","","263.5","+5","+1.93","2,487","657","263.5","274.5","274.5","257","6.77","16.5","1.86","","","","",""
"18","2408","南亞科","市","05/11","","301","+27","+9.85","108,987","32,695","301","300.5","301","296","1.82","26.9","4.84","","","","",""
"19","3526","凡甲","櫃","05/11","","388","-7","-1.77","1,038","401","395","390","392","377.5","3.67","22.2","7.12","","","","",""
