"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00740B","富邦全球投等債","38.53","-0.03","-0.08","05/12","+33","+47,909","48.7","2.32","-1","-100","-8.41","0","-32","-56,246","-57.7","-2.72","+2","+774","17.8","0.04"
"00763U","期街口道瓊銅","34.74","+0.93","+2.75","05/12","+32","+4,645","12.8","8.07","0","0","0","0","+5","+2,272","30.5","3.95","+5","+3,025","40.7","5.25"
"00717","富邦美國特別股","15.15","0","0","05/12","+25","+7,059","83.7","5.06","0","0","0","0","-1","-1","-0.26","0","+24","+7,108","85","5.09"
"2395","研華","494.5","+16","+3.34","05/12","+25","+25,049","23.9","2.9","-1","-8","-0.14","0","+2","+91","0.77","0.01","+21","+20,766","22","2.4"
"00900","富邦特選高股息30","17.25","-0.01","-0.06","05/12","+24","+150,547","32.9","8.02","0","0","0","0","+27","+189,875","39.3","10.1","+27","+347,946","72.1","18.5"
"6414","樺漢","362","+3","+0.84","05/12","+22","+15,811","38.5","11.5","-20","-1,797","-4.74","-1.31","-7","-477","-3.06","-0.35","+22","+13,328","32.4","9.69"
"00773B","中信優先金融債","35.78","-0.02","-0.06","05/12","+16","+7,275","42.5","0.28","0","0","0","0","-4","-944","-28.1","-0.04","+7","+2,056","29.2","0.08"
"00857B","永豐20年美公債","23.05","-0.05","-0.22","05/12","+16","+21,069","55","3.56","0","0","0","0","+1","+380","44.6","0.06","+21","+22,009","48.4","3.72"
"00931B","統一美債20年","13.33","-0.05","-0.37","05/12","+16","+29,684","46.4","1.34","0","0","0","0","-1","-182","-5.21","-0.01","+5","+8,982","47.9","0.41"
"00950B","凱基A級公司債","13.99","-0.02","-0.14","05/12","+16","+35,286","35.2","0.87","0","0","0","0","-19","-46,210","-41.1","-1.14","+2","+3,463","31.3","0.09"
"00958B","永豐ESG銀行債15+","9.26","+0.01","+0.11","05/12","+16","+6,924","41.7","4.61","0","0","0","0","-2","-746","-23.2","-0.5","+5","+1,827","33.7","1.22"
"00696B","富邦美債20年","28.73","-0.08","-0.28","05/12","+13","+16,970","45.8","2.48","0","0","0","0","+1","+578","57.2","0.08","+16","+6,462","12.7","0.94"
"00981D","主動中信非投等債","10.32","+0.01","+0.1","05/12","+13","+21,063","20.2","3.38","0","0","0","0","-2","-1,166","-7.03","-0.19","+15","+25,671","21.1","4.12"
"00746B","富邦A級公司債","35.31","-0.04","-0.11","05/12","+11","+11,186","72.4","0.45","0","0","0","0","-30","-23,135","-62.3","-0.94","+4","+59","1.6","0"
"00930","永豐ESG低碳高息","21.87","-0.04","-0.18","05/12","+11","+9,842","27.8","6.12","0","0","0","0","+3","+3,020","29","1.88","+25","+56,910","69.2","35.4"
"2317","鴻海","250","-2","-0.79","05/12","+11","+339,723","29.1","2.43","-1","-10,780","-13","-0.08","+1","+113","0.14","0","+11","+343,125","29.4","2.46"
"2603","長榮","214","0","0","05/12","+11","+31,610","28.8","1.46","-11","-7,762","-7.07","-0.36","+2","+71","0.39","0","+2","+2,485","13.8","0.11"
"3665","貿聯-KY","2775","-130","-4.48","05/12","+11","+5,482","16.6","2.81","-1","-201","-5.83","-0.1","-3","-167","-2.05","-0.09","+9","+3,625","13.2","1.86"
"00701","國泰股利精選30","31.45","-0.16","-0.51","05/12","+10","+2,797","22.1","1.53","0","0","0","0","-1","-96","-5.39","-0.05","+20","+11,237","43.7","6.13"
"1626","艾美特-KY","10.6","-0.25","-2.3","05/12","+10","+470","38.3","0.31","0","0","0","0","-2","-8","-4.25","-0.01","+1","+23","19.1","0.02"
"2027","大成鋼","39.7","-0.25","-0.63","05/12","+10","+105,302","39.7","4.07","-3","-6,852","-7.85","-0.27","-2","-744","-1.38","-0.03","+10","+101,754","38.4","3.94"
"5490","同亨","28.35","-0.2","-0.7","05/12","+10","+963","16.5","1","0","0","0","0","0","0","0","0","+10","+1,001","17.1","1.04"
"00939","統一台灣高息動能","18.04","-0.11","-0.61","05/12","+9","+32,841","32.3","2.49","0","0","0","0","+28","+132,854","42.3","10.1","+27","+193,994","62.9","14.7"
"6206","飛捷","140","+9.5","+7.28","05/12","+9","+5,931","20.9","4.15","-5","-38","-0.15","-0.03","+5","+199","0.8","0.14","+6","+5,838","22.5","4.08"
"6443","元晶","41.5","+0.1","+0.24","05/12","+9","+7,553","27","1.4","0","0","0","0","+7","+1,594","7.4","0.3","+9","+9,271","33.2","1.72"
"00713","元大台灣高息低波","54.8","-0.4","-0.72","05/12","+8","+14,143","9.76","0.72","0","0","0","0","+27","+252,572","58.4","12.8","+34","+293,707","61.7","14.9"
"00731","復華富時高息低波","74.4","-1","-1.33","05/12","+8","+1,153","20","4.25","0","0","0","0","-1","-5","-0.8","-0.02","+20","+2,723","18.1","10"
"00733","富邦臺灣中小","68.7","+0.4","+0.59","05/12","+8","+6,506","40.5","8.4","0","0","0","0","+1","+472","31.6","0.61","+27","+25,731","53","33.2"
"00915","凱基優選高股息30","26.56","-0.11","-0.41","05/12","+8","+32,281","29.4","4.92","0","0","0","0","+35","+143,412","46.6","21.9","+229","+956,174","60.4","146"
"00918","大華優利高填息30","25.49","+0.11","+0.43","05/12","+8","+83,352","24.1","2.53","0","0","0","0","+25","+432,420","49.7","13.1","+25","+614,882","70.7","18.7"
"009820","元大納斯達克精選","9.99","0","0","05/12","+8","+69,829","23.3","3.69","0","0","0","0","+7","+49,162","18.6","2.6","+7","+118,934","44.9","6.28"
"1597","直得","187","+5","+2.75","05/12","+8","+3,335","10","3.74","-1","-6","-0.35","-0.01","+2","+109","2.91","0.12","+8","+3,242","9.77","3.63"
"2376","技嘉","321","-3.5","-1.08","05/12","+8","+17,444","14.5","2.6","+1","+43","0.35","0.01","-2","-243","-0.73","-0.04","+8","+18,008","15","2.69"
"2606","裕民","63.9","-1.4","-2.14","05/12","+8","+16,044","38.3","1.9","-9","-7,252","-16.4","-0.86","-1","-111","-1.35","-0.01","-1","-265","-3.22","-0.03"
"2887","台新新光金","23","-0.45","-1.92","05/12","+8","+257,162","31.6","1.03","-20","-546,724","-33.9","-2.2","+3","+1,450","0.42","0.01","-4","-88,278","-20.2","-0.36"
"3465","進泰電子","28.25","+0.35","+1.25","05/12","+8","+27","5.34","0.08","0","0","0","0","0","0","0","0","+8","+27","5.34","0.08"
"3481","群創","35.5","+3.2","+9.91","05/12","+8","+615,394","13.7","7.7","-2","-107","-0.01","0","+7","+61,755","1.41","0.77","+8","+679,311","15.1","8.5"
"6227","茂綸","103","0","0","05/12","+8","+1,054","12.9","1.38","0","0","0","0","+1","+5","0.38","0.01","+8","+1,083","13.3","1.42"
"8390","金益鼎","110.5","+7","+6.76","05/12","+8","+3,608","29.6","3.75","0","0","0","0","+6","+384","3.37","0.4","+8","+3,988","32.7","4.15"
"00737","國泰AI機器人","37.22","-0.16","-0.43","05/12","+7","+1,298","46.1","5.63","0","0","0","0","+1","+14","4.6","0.06","+7","+1,195","42.4","5.19"
"00772B","中信高評級公司債","33.57","-0.04","-0.12","05/12","+7","+8,996","43.4","0.26","0","0","0","0","-4","-1,885","-17.3","-0.05","+7","+8,076","39","0.23"
"00890B","凱基ESGBBB債15+","32.22","+0.02","+0.06","05/12","+7","+38","1.74","0.2","0","0","0","0","0","0","0","0","+5","+36","2.32","0.19"
"00909","國泰數位支付服務","48.68","+0.79","+1.65","05/12","+7","+13,440","35.4","8.66","0","0","0","0","+8","+10,718","26.6","6.91","+16","+54,156","57.8","34.9"
"00919","群益台灣精選高息","25.73","-0.02","-0.08","05/12","+7","+300,284","20.6","1.65","0","0","0","0","+19","+1,101,836","35.8","6.06","+19","+1,586,823","51.6","8.73"
"00943","兆豐電子高息等權","19.47","+0.14","+0.72","05/12","+7","+1,566","66.7","3.65","0","0","0","0","+1","+1","0.22","0","+12","+1,648","38.7","3.84"
"00970B","新光BBB投等債20+","9.34","-0.01","-0.11","05/12","+7","+7,901","48.5","1.92","0","0","0","0","+1","+2","0.18","0","+5","+7,709","60.3","1.87"
"009811","統一美國50","12.71","-0.02","-0.16","05/12","+7","+4,579","21","1.51","0","0","0","0","+1","+963","37.7","0.32","+1","+1,148","44.9","0.38"
"00984B","大華優利美A債15","16.26","-0.02","-0.12","05/12","+7","+14,397","59.2","7.98","0","0","0","0","-4","-4,640","-37.3","-2.57","+7","+11,839","48.7","6.56"
"1341","富林-KY","60.9","-0.5","-0.81","05/12","+7","+16","17.1","0.03","0","0","0","0","0","0","0","0","+7","+16","17.1","0.03"
"1463","強盛新","18.1","-0.15","-0.82","05/12","+7","+91","19.8","0.05","0","0","0","0","-1","0","-0.53","0","+7","+91","19.7","0.05"
"1809","中釉","40.4","+0.8","+2.02","05/12","+7","+6,432","4.3","3.85","0","0","0","0","-1","-22","-0.06","-0.01","+7","+6,611","4.42","3.96"
"2015","豐興","63.9","-0.4","-0.62","05/12","+7","+1,379","52.6","0.24","-1","-18","-6.42","0","-6","-73","-3.1","-0.01","+7","+1,167","44.5","0.2"
