"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2530","華建","21.35","+0.05","+0.23","05/13","93","87.2","82.2","72.2","60.4","46.9","44.7","43.7","41","37.8","23.5","44.7"
"2","4915","致伸","70.6","-0.5","-0.7","05/13","80.3","80","79.4","76.2","67.7","59.9","63.2","59.1","51.6","43.7","33.5","59.1"
"3","2880","華南金","32.75","+0.2","+0.61","05/13","68.1","76.8","75.6","70","71.6","58.8","64.1","63","57.8","55.3","47","62"
"4","5871","中租-KY","107.5","-2","-1.83","05/13","75.4","77.8","75.1","72.4","68.5","48.7","52.3","46","52.6","59","55.5","48.4"
"5","8464","億豐","334.5","0","0","05/13","70.8","72.7","74.3","77.1","79.4","75.3","76.1","76.1","71.6","67.2","58.4","73.9"
"6","2912","統一超","225.5","-0.5","-0.22","05/13","76.9","71.6","73.8","69","68.9","63.6","54.7","58.5","60.4","63.6","67.4","55.4"
"7","1590","亞德客-KY","1480","-55","-3.58","05/13","75.3","76.4","73.6","71.1","71.9","72.5","74.2","72","72.7","72.2","54","70.8"
"8","2207","和泰車","473.5","+3.5","+0.74","05/13","66.3","64.7","71.2","70.2","71.3","69.5","69","69.9","70.3","68.1","61","68.2"
"9","6409","旭隼","753","-11","-1.44","05/13","64.4","66.2","70.4","64.6","61.6","60.3","62.7","64.4","66.8","71.2","70.9","59.6"
"10","2633","台灣高鐵","26.15","-0.6","-2.24","05/13","91.9","82","69.8","64.2","57.9","55.3","66.8","66.8","60.8","51.1","","66.4"
"11","2501","國建","22.45","+0.05","+0.22","05/13","70.7","75.2","69.4","54.1","54.8","39.6","34.5","35.7","34.1","28.9","27.2","34.4"
"12","2330","台積電","2220","-35","-1.55","05/13","65.2","67.7","68.5","65.4","66.9","60.2","63.3","61.2","55.8","56.7","60","62.2"
"13","3703","欣陸","20.3","-0.2","-0.98","05/13","64.1","75.9","66.4","57.4","53.6","51","45.1","40","41.3","31.9","24.4","40.8"
"14","9904","寶成","26.05","+0.2","+0.77","05/13","61.6","59.5","66.2","64","61.9","62.9","61.2","50.6","56.8","54","50.1","53.3"
"15","2006","東和鋼鐵","65.5","-0.7","-1.06","05/13","74","69.9","65.8","67","70.4","69.2","42","47.4","51.4","45.2","29.5","42.5"
"16","2801","彰銀","20.5","-0.1","-0.49","05/13","56.2","69.4","65.5","59.6","58.1","47.7","51.2","50.3","41.8","39","39.7","47.2"
"17","2504","國產","34.4","-0.2","-0.58","05/13","58.5","64.9","65.4","61.2","59.4","59.9","52.2","48.1","47.5","41.3","25.2","51.3"
"18","00856B","永豐1-3年美公債","37.62","+0.19","+0.51","05/13","67.9","66.7","65.1","62.1","37.8","43","25.5","12.7","6.95","1.48","","19.5"
"19","2910","統領","22.2","+0.4","+1.83","05/13","66.7","73.7","64.3","33.6","29.8","23","27.3","24","19.3","14.5","14.4","26.4"
"20","1476","儒鴻","349","+4.5","+1.31","05/13","57.1","61.5","64.2","67.3","69.2","71.6","76.6","71.1","67.7","63.1","48","71.2"
"21","2884","玉山金","31.9","+0.1","+0.31","05/13","51.9","63.6","62.6","51","51","47","55","59.1","55.2","51.3","49.8","55.4"
"22","4442","竣邦-KY","55.9","-0.1","-0.18","05/13","63.7","47.3","62.4","50.4","42.1","52.2","21","26.1","24.7","","","22.7"
"23","5880","合庫金","22.85","+0.05","+0.22","05/13","62.9","65.3","62.2","57.4","59.8","61.1","58.8","52.8","52.9","55.3","45.2","55"
"24","2454","聯發科","3495","-205","-5.54","05/13","55","63.1","61.2","61.5","54.8","46.4","52.6","50.4","51.3","50.9","48.6","49.9"
"25","4904","遠傳","96.9","+1.4","+1.47","05/13","45.4","58.8","61.2","65.6","56.6","64.2","60.5","62.8","52.2","54.4","55.9","59.1"
"26","6269","台郡","56","-1.6","-2.78","05/13","71.1","60.8","61.1","54.1","42.5","37.4","38.2","37.7","34.8","36.9","26.3","37.6"
"27","2882","國泰金","77.3","+0.9","+1.18","05/13","55.2","59.2","60.6","57.6","48.7","53","60.2","51.9","57","50.8","45.4","57.2"
"28","2308","台達電","2165","-30","-1.37","05/13","51.1","61.6","60.6","57.6","56.2","57.1","53.4","50.5","51","54","55.7","50"
"29","2395","研華","464.5","-30","-6.07","05/13","60","60.2","60.5","52.6","47.9","43.3","43.4","50.7","58.4","66.4","68.8","46.3"
"30","2360","致茂","2405","-35","-1.43","05/13","54","59.6","60.4","62.6","57.7","59.1","58","60.2","61.6","63.1","54.5","56.6"
"31","4938","和碩","81.8","+0.7","+0.86","05/13","51.9","60.9","59.4","52.9","52.8","50.5","45.8","46.7","51","48.9","48.7","43.8"
"32","1301","台塑","46.9","-0.75","-1.57","05/13","59.8","66.8","59.2","62","51.8","39.5","38.9","36.5","36.8","41","44.5","35.6"
"33","9941","裕融","73.9","-0.4","-0.54","05/13","55.8","58","59.1","57.2","56.7","44.3","40.2","44.6","43.8","39.1","26.9","41.5"
"34","1102","亞泥","35.3","+0.7","+2.02","05/13","40","49.1","59.1","62","59.2","53.9","62.8","64.8","62.2","53.6","48.2","61.7"
"35","5904","寶雅","562","+1","+0.18","05/13","70.7","59.2","59","57","38.9","45","45.6","49","47.5","48.2","46.1","46.6"
"36","8112","至上","82.2","+0.4","+0.49","05/13","39.8","58.9","58.8","48","42.2","35.9","32.2","29.8","28.9","29","22.1","30.2"
"37","6782","視陽","188","-2","-1.05","05/13","69.2","69","58.5","55.6","49.3","38.2","33.7","35.7","35.7","31.8","","34.2"
"38","2347","聯強","83.1","-1.8","-2.12","05/13","72.7","68.3","58.2","58.7","55.1","52.2","46.5","55.4","55.8","53.2","49","44.2"
"39","5274","信驊","17820","-185","-1.03","05/13","45.5","53.8","57.5","68.6","61.6","61.8","60.5","61.4","53","48.8","39.4","60"
"40","9910","豐泰","71.6","-1.9","-2.59","05/13","72.6","61.3","57.1","52.3","57.9","62.4","77.2","71.2","67.6","60.7","53.1","71.8"
"41","2886","兆豐金","39.55","+0.35","+0.89","05/13","57","68.2","56.9","50.3","59.4","51.6","48.7","52.3","48.6","49.7","48.1","49"
"42","2059","川湖","5250","-195","-3.58","05/13","45.1","58.3","56.3","39.1","43.7","44","46.4","43.5","44.8","35","34.5","43.6"
