"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2887","台新新光金","23.15","+0.15","+0.65","05/13","46","50.8","50.2","50.5","44.7","35.2","14.6","8.23","5.17","3.74","2.04","11.3"
"2","00755B","群益投資級公用債","32.83","+0.02","+0.06","05/13","49.2","49.4","49.5","44.5","32.3","20","9.16","4.57","2.27","0.41","","6.13"
"3","2606","裕民","64.3","+0.4","+0.63","05/13","38.6","41.8","35","23","20","12","9.05","6.81","6.85","4.83","2.78","11"
"4","3167","大量","753","-7","-0.92","05/13","0","2.09","17.3","21.6","7.32","8.07","2.54","1.12","0.42","0.31","0.27","2.23"
"5","6592B","和潤企業乙特","97.2","0","0","05/13","80.5","35.7","34.2","21.2","11.5","6.32","5.18","24.8","11.9","","","10.8"
"6","7751","竑騰","1720","-115","-6.27","05/13","18.4","17.3","13.6","18.7","14.8","6.11","3.02","1.47","","","","1.81"
"7","2882","國泰金","77.3","+0.9","+1.18","05/13","13.5","18.9","19.1","16.1","18.5","16.6","10.2","15.2","7.98","4.78","2.38","11.1"
"8","3653","健策","3530","-390","-9.95","05/13","25","7.45","5.3","16","14","10","6.32","5.39","6.6","7.35","4.45","6.53"
"9","6805","富世達","1830","-20","-1.08","05/13","27.6","28.5","22.1","13.5","18","13.5","8.92","7.21","4.77","","","9.44"
"10","6515","穎崴","9875","-75","-0.75","05/13","19.6","14.6","12.4","13.3","11.2","8.28","7.45","5.28","4.29","4.69","","6.03"
"11","2881","富邦金","94.7","+1","+1.07","05/13","15.6","16.4","14.1","12.8","14.1","14.5","9.62","10.5","6.75","4.23","2.04","12"
"12","2891","中信金","54.9","+1.4","+2.62","05/13","14.7","16.6","14.9","12.7","16.4","18.5","10.8","16.2","11.8","6.42","3.06","11.7"
"13","3131","弘塑","3025","-115","-3.66","05/13","7.5","11.2","16","12.2","9.42","7","3.89","3.5","4.09","4.37","4.09","4.2"
"14","3163","波若威","1035","-30","-2.82","05/13","2.34","5.25","4.64","12","2.8","4.56","2.04","0.44","0.34","0.29","0.3","1.06"
"15","00965","元大航太防衛科技","25.78","+0.1","+0.39","05/13","14.1","14.3","14.7","11.6","6.03","4.72","3.68","4.31","4.47","","","4.35"
"16","2347","聯強","83.1","-1.8","-2.12","05/13","11","10.2","8.6","11.4","13.7","12.1","6.46","13.1","13.5","14.1","7.3","10.1"
"17","2884","玉山金","31.9","+0.1","+0.31","05/13","7.75","9.8","7.32","11.3","18.3","18.9","9.9","5.41","4.9","4.54","1.84","8.16"
"18","6005","群益證","32","+0.3","+0.95","05/13","4.69","9.64","7.64","11.3","18.6","15.7","10.2","9.97","17.3","9","4.34","9.81"
"19","6024","群益期","57.2","-0.3","-0.52","05/13","20.6","26.7","18.6","11.2","5.97","3.4","1.14","0.66","0.87","2.48","1.2","0.83"
"20","4904","遠傳","96.9","+1.4","+1.47","05/13","5.35","8.36","7.28","10.6","24.9","17.1","11.6","12.5","17.9","10.2","5.29","12.3"
"21","6023","元大期","99.2","-0.6","-0.6","05/13","38","28.3","21.6","10.6","9.21","5.65","1.81","1.39","1.71","2.48","1","1.7"
"22","6442","光聖","1805","-100","-5.25","05/13","15","13","12.4","10.2","9.04","9.53","5.36","3.06","1.82","0.87","0.69","4.05"
"23","6510","精測","3775","-85","-2.2","05/13","20.1","9.6","8.23","9.78","7.96","6.7","9.71","6.85","6.3","5.14","3.56","7.81"
"24","2850","新產","133","0","0","05/13","15.9","10.7","6.55","9.6","7.73","8.05","6.27","6.47","8.06","2.71","1.12","6.55"
"25","3533","嘉澤","2595","-205","-7.32","05/13","23.1","19.9","14.5","9.54","7.95","5.7","3.92","3.69","4.25","5.51","5.9","3.11"
"26","1702","南僑","33.3","-0.45","-1.33","05/13","0","0","0","9.31","20.7","15.6","7.55","4.67","2","1.64","3.4","5.85"
"27","3702","大聯大","110.5","-3.5","-3.07","05/13","25.5","24.3","12","9.22","10.4","19.2","9.57","12.9","15.9","13.2","7.52","10.8"
"28","2368","金像電","1350","-40","-2.88","05/13","17.9","12.4","10.6","9.21","7.41","4.28","2.96","3.39","3.36","3.71","2.08","4.56"
"29","9904","寶成","26.05","+0.2","+0.77","05/13","4.31","11.5","9.26","9.16","9.96","9.58","7.33","7.55","5.05","5.58","3.12","9.38"
"30","6121","新普","380","-2","-0.52","05/13","14.5","9.32","7.31","8.73","7.87","10","7.79","17.1","15.3","11.4","5.16","17.6"
"31","3665","貿聯-KY","2500","-275","-9.91","05/13","1.53","9.16","5.96","8.58","10.4","7.54","7.07","7.47","5.95","5","3.76","9.23"
"32","6271","同欣電","182","-1","-0.55","05/13","0","0","0","8.17","7.74","2.46","1.5","0.9","0.72","1.42","3.79","0.99"
"33","3189","景碩","497.5","+3.5","+0.71","05/13","4.55","4.26","7.76","8.08","4.26","2.32","1.85","1.17","0.98","1.48","1.93","1.04"
"34","2603","長榮","210","-4","-1.87","05/13","1.24","2.25","6.65","7.88","7.33","7.08","4.4","5.38","7.28","3.71","1.04","6.08"
"35","3015","全漢","51","+0.8","+1.59","05/13","0","0","0.1","7.53","21.6","15.4","7.13","3.01","1.65","0.95","0.43","4.26"
"36","4991","環宇-KY","700","-40","-5.41","05/13","0","0","1.43","7.27","2.35","2.13","1.16","1.24","0.82","0.63","0.75","1.91"
"37","2062","橋椿","19.95","-0.15","-0.75","05/13","0","13.8","10.5","7.1","3.69","1.65","1.71","1.77","1.81","0.26","0.61","1.05"
"38","8996","高力","1025","-30","-2.84","05/13","11.1","6.46","6.21","6.8","5.42","4.76","3.02","2.81","2.15","1.7","1.06","2.41"
"39","1532","勤美","20.45","+0.05","+0.25","05/13","0","0.21","0.32","6.77","17.6","12.4","6.39","4.18","2.25","0.79","1.24","5.32"
"40","6691","洋基工程","632","-1","-0.16","05/13","0.11","0.46","0.28","6.75","3.76","8.27","3.92","2.41","8.75","5.74","","3.38"
"41","2357","華碩","663","-10","-1.49","05/13","2.3","3.51","5.24","6.74","7.42","7.03","3.73","4.88","7.41","6.04","3.81","5.22"
"42","3017","奇鋐","2585","+65","+2.58","05/13","2.96","3.7","2.4","6.72","10.8","6.67","3.22","4.18","2.84","2.92","2.17","4.53"
"43","6584","南俊國際","679","-2","-0.29","05/13","15.2","13.9","11.6","6.71","5.85","3.6","2.21","2.91","1.64","","","3.18"
"44","2458","義隆","142.5","-3","-2.06","05/13","2.53","6.63","4.9","6.59","6.5","10.8","5.55","8.06","7.18","4.44","2.47","8.32"
"45","5522","遠雄","70.4","+0.6","+0.86","05/13","7.3","1.91","1.07","6.53","4.7","4.58","3.71","3.82","3.77","7.48","5.34","5.95"
"46","2727","王品","236","+0.5","+0.21","05/13","0","0","0.11","6.35","4.81","3.22","1.67","1.23","3.1","1.93","1.01","1.46"
"47","2015","豐興","62.6","-1.3","-2.03","05/13","9.9","7.79","3.37","6.29","6.68","5.82","6.91","5.82","4.13","9.62","3.6","7.03"
"48","2006","東和鋼鐵","65.5","-0.7","-1.06","05/13","7.95","8.05","6.73","6.22","6.9","7.32","5.16","4.66","7.68","7.06","3.34","5.75"
"49","1102","亞泥","35.3","+0.7","+2.02","05/13","4.17","7.27","5.05","6.1","13.1","17.6","10","9.21","11.5","10.8","6.01","10.1"
"50","9907","統一實","16.45","-0.4","-2.37","05/13","3.42","4.7","3.8","5.84","6.47","7.2","5.5","3.84","2.35","1.26","0.56","5.43"
"51","4536","拓凱","152.5","+0.5","+0.33","05/13","0","0","0","5.82","10.5","8.47","3.94","2.52","2.45","2.36","3.04","3.34"
"52","6739","竹陞科技","1285","-60","-4.46","05/13","10.5","10.2","6.8","5.8","6.14","2.7","1.06","0.68","0.42","","","0.88"
"53","6187","萬潤","1225","+5","+0.41","05/13","0","0.01","2.68","5.72","4.14","4.75","2.02","1.72","1.4","1.46","1.94","1.71"
"54","2385","群光","129","-6","-4.44","05/13","4.12","2.03","3.74","5.63","9.03","11.1","6.82","13.3","12.8","10.7","6.55","11"
"55","2353","宏碁","28.3","0","0","05/13","3.89","6.6","5.42","5.63","6.86","5.96","2.91","2.79","5.41","4.44","1.96","3.1"
"56","3045","台灣大","112","+2","+1.82","05/13","2.07","4.6","4.01","5.55","8.34","8.01","6.7","5.4","11.1","8.72","4.89","7.94"
"57","2206","三陽工業","58.4","-0.5","-0.85","05/13","3.84","3.95","3.43","5.48","5.93","7.12","8.38","10.1","10.7","2.56","1.4","9.51"
"58","6605","帝寶","132.5","+4","+3.11","05/13","0","0","0","5.41","5.8","2.61","1.29","7.95","5.05","2.9","1.65","0.77"
"59","2449","京元電子","305","+4","+1.33","05/13","0.5","2.54","6.89","5.36","3.9","5.33","4.81","4.69","3.89","3.96","3.15","4.58"
"60","5234","達興材料","415.5","-17.5","-4.04","05/13","0","12.2","9.31","5.29","6.16","3.6","2.4","3.12","3.28","2.51","2.38","1.9"
"61","3260","威剛","434","-11.5","-2.58","05/13","16.4","9.44","9.61","5.17","4.63","3.06","2.4","2.09","1.82","2.3","1.54","2.24"
"62","4915","致伸","70.6","-0.5","-0.7","05/13","3.57","4.66","3.96","5.11","8.5","12.4","9.67","10.5","12.4","9.37","3.73","9"
"63","9917","中保科","113","+0.5","+0.44","05/13","0","0","0","5.07","5.73","3.1","6.43","7.67","11.6","10.6","6.38","6.07"
"64","1210","大成","52.3","+0.2","+0.38","05/13","6.27","5.33","3.28","5.01","8.21","18","12.7","9.69","7.22","3.85","2.59","11.1"
"65","6223","旺矽","5720","+240","+4.38","05/13","1.66","1.27","6.59","4.96","4.43","5.48","4.56","5.47","4.38","2.83","2.24","5.8"
"66","2301","光寶科","211.5","-23","-9.81","05/13","12.4","7.34","5.83","4.9","3.25","3.62","3","6.46","5.11","4.42","3.76","3.53"
"67","2885","元大金","55.8","+1.2","+2.2","05/13","3.14","8.79","6.85","4.88","4.67","9.1","6.15","14.7","10.5","6.3","2.19","10.2"
"68","2610","華航","18.75","-0.1","-0.53","05/13","5.46","15","7.12","4.87","4.71","7.16","4.82","4.39","5.46","1.73","0.98","5.01"
"69","00730","富邦臺灣優質高息","26.64","-0.16","-0.6","05/13","29.4","12.5","9","4.76","2.87","1.07","0.46","0.24","0.13","0.78","","0.3"
"70","1216","統一","75.2","+2.1","+2.87","05/13","4.24","5.25","4.19","4.7","6.92","16.5","11.1","9.21","12.1","8.2","3.69","12.6"
"71","3081","聯亞","2835","-220","-7.2","05/13","5.54","2.57","1.95","4.69","3.25","7.06","4.81","2.59","2.03","1.18","1.59","3.34"
"72","2618","長榮航","34.45","-0.65","-1.85","05/13","4.7","10.6","7.78","4.66","4.95","6.87","5.27","7.04","13","3.95","1.92","7.64"
"73","6438","迅得","168.5","-3","-1.75","05/13","0","13.3","9.4","4.61","1.79","0.59","0.19","0.19","1.01","1.12","","0.15"
"74","2027","大成鋼","38.1","-1.6","-4.03","05/13","0","8.05","6.68","4.57","3.45","3.09","1.44","0.81","2.76","4.28","2.47","1.01"
"75","2880","華南金","32.75","+0.2","+0.61","05/13","5.03","3.91","2.83","4.53","6.68","17.3","8.88","7.81","10","5.46","2.18","7.93"
"76","006201","元大富櫃50","47.92","-0.73","-1.5","05/13","0","0","6.73","4.5","2.7","1.07","2.59","5.03","6.47","8.85","12.7","4.1"
"77","3529","力旺","3920","-195","-4.74","05/13","15.6","7.19","7.25","4.49","6.67","5.58","3.76","3.83","4.83","4.96","4.11","3.58"
"78","6670","復盛應用","265","-9.5","-3.46","05/13","1.02","1.06","1.11","4.39","5.2","15.1","8.18","16.9","10","5.98","","8.72"
"79","2883","凱基金","21.95","+0.35","+1.62","05/13","11.1","9.87","7.54","4.37","10.5","7.26","3.51","3.31","2.96","3.99","2.45","3.47"
"80","6274","台燿","1450","0","0","05/13","0","0.17","6","4.27","3.25","2.03","5.78","4.19","2.74","2.35","3.39","5.63"
"81","4938","和碩","81.8","+0.7","+0.86","05/13","0.44","1.56","4.78","4.26","5.93","5.84","3.97","12.9","12.7","8.32","3.85","8.9"
"82","2903","遠百","22.45","+0.35","+1.58","05/13","3.3","3.82","2.74","4.24","6.67","6.21","7.44","4.53","3.3","6.78","3.27","8.13"
"83","3036","文曄","284","+8.5","+3.09","05/13","3.99","3.39","3.53","4.02","5.97","10.6","7.69","8.35","8.36","5.74","4.48","8.41"
"84","2404","漢唐","1025","+32","+3.22","05/13","1.1","4.31","3.67","3.99","4.3","5.89","5.47","6.36","8.94","9.08","4.63","5.89"
"85","00740B","富邦全球投等債","38.54","+0.01","+0.03","05/13","27.6","16.7","6.65","3.94","1.14","0.63","0.21","0.1","0.52","0.11","","0.16"
"86","7717","萊德光電-KY","645","-14","-2.12","05/13","0","0","0","3.94","4.8","1.69","0.68","","","","","0.48"
"87","2474","可成","202.5","-3","-1.46","05/13","2.76","3.9","7.44","3.94","5.96","13","10.4","15.8","13.8","13.4","4.1","14.3"
"88","8081","致新","256.5","-3.5","-1.35","05/13","0.39","0.22","0.13","3.9","2.41","1.4","1.07","1.32","1.39","4.98","2.45","1.04"
"89","5274","信驊","17820","-185","-1.03","05/13","22.5","11.6","7.62","3.88","3.03","3.65","3.3","2.21","3.42","4.1","4.6","2.61"
"90","2233","宇隆","288","-10","-3.36","05/13","0","0","0","3.8","0.68","0.71","0.66","0.38","0.52","0.83","2.34","0.43"
"91","6147","頎邦","192","-4","-2.04","05/13","0.77","0.46","1.14","3.76","2.05","2.51","1.32","3.11","4.39","7.86","3.94","1.75"
"92","6683","雍智科技","2135","-235","-9.92","05/13","0","0","6.24","3.74","1.07","0.76","0.46","0.48","0.6","1","","0.4"
"93","5871","中租-KY","107.5","-2","-1.83","05/13","2.26","1.23","1.16","3.74","4.29","11","5.98","15.2","9.98","5.83","3.14","8.94"
"94","2207","和泰車","473.5","+3.5","+0.74","05/13","3.5","3.81","2.69","3.64","4.15","4","2.78","2.3","2.94","1.68","1.11","2.86"
