"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.66","-0.04","-0.14","26W20","05/14","+52","+620,127","43.3","90.6","0","0","0","0","-50","-330,592","-23.7","-48.3","+18","+274,430","46.2","40.1"
"00717","富邦美國特別股","15.22","+0.02","+0.13","26W20","05/14","+46","+21,289","58.6","15.2","0","0","0","0","-3","-112","-2.03","-0.08","+11","+10,563","76.8","7.57"
"00857B","永豐20年美公債","22.99","-0.04","-0.17","26W20","05/14","+27","+145,119","42.7","24.5","0","0","0","0","-1","-764","-9.39","-0.13","+27","+143,587","42.2","24.2"
"2637","慧洋-KY","74.9","+1","+1.35","26W20","05/14","+21","+72,947","23.4","9.77","-3","-682","-2.29","-0.09","-1","-61","-0.77","-0.01","+13","+29,573","18","3.96"
"00733","富邦臺灣中小","69.05","+0.65","+0.95","26W20","05/14","+20","+27,912","17.5","37.5","0","0","0","0","+13","+24,821","23.1","33.3","+35","+85,166","36.8","114"
"00893","國泰智能電動車","45.77","+0.57","+1.26","26W20","05/14","+20","+34,600","22.9","9.2","0","0","0","0","+5","+7,107","18.3","1.89","+20","+48,498","32.1","12.9"
"3209","全科","63.5","+0.8","+1.28","26W20","05/14","+19","+34,811","13.7","14.8","+1","+113","0.37","0.05","+1","+61","0.2","0.03","+2","+3,516","7.42","1.49"
"00931B","統一美債20年","13.31","-0.02","-0.15","26W20","05/14","+17","+241,243","55.1","10.9","0","0","0","0","-1","-2,026","-13.1","-0.09","+17","+276,356","63.1","12.5"
"6234","高僑","56","+1","+1.82","26W20","05/14","+17","+6,110","3.06","6.09","0","0","0","0","-2","-184","-0.72","-0.18","+1","+351","4.54","0.35"
"1463","強盛新","18","-0.15","-0.83","26W20","05/14","+15","+3,345","44.6","1.93","0","0","0","0","-1","-3","-1.12","0","+15","+3,342","44.6","1.93"
"006205","富邦上証","42.02","-0.28","-0.66","26W20","05/14","+14","+3,895","9.47","3.82","0","0","0","0","+2","+966","20.8","0.95","+14","+7,261","17.7","7.12"
"00898","國泰基因免疫革命","8.13","-0.01","-0.12","26W20","05/14","+14","+19,138","48.1","11.9","0","0","0","0","-1","-77","-3.92","-0.05","+14","+19,036","47.9","11.9"
"910322","康師傅-DR","25.1","+0.4","+1.62","26W20","05/14","+14","+830","65.1","3.92","0","0","0","0","0","0","0","0","+14","+830","65.1","3.92"
"00694B","富邦美債1-3","41.5","+0.02","+0.05","26W20","05/14","+13","+9,486","33.3","7.35","0","0","0","0","-15","-10,954","-33.4","-8.49","+1","+61","4.02","0.05"
"00710B","復華彭博非投等債","18.86","+0.02","+0.11","26W20","05/14","+12","+1,687","14.4","0.92","0","0","0","0","+2","+106","5.61","0.06","+19","+22,511","58.1","12.3"
"00746B","富邦A級公司債","35.37","+0.03","+0.08","26W20","05/14","+12","+34,010","54.7","1.38","0","0","0","0","-12","-32,760","-52.7","-1.32","+3","+132","0.74","0.01"
"6109","亞元","11.3","-0.3","-2.59","26W20","05/14","+12","+1,185","5.11","1.35","0","0","0","0","-3","-21","-0.31","-0.02","+9","+1,116","5.76","1.27"
"00763U","期街口道瓊銅","35.24","-0.43","-1.21","26W20","05/14","+11","+7,336","11","13.1","0","0","0","0","+7","+14,173","38.2","25.3","+11","+24,073","36.2","42.9"
"00902","中信電池及儲能","16.96","-0.03","-0.18","26W20","05/14","+10","+34,994","26.1","14.5","0","0","0","0","+1","+595","7.31","0.25","+10","+65,859","49.1","27.2"
"9933","中鼎","37.6","+0.8","+2.17","26W20","05/14","+10","+55,419","16.3","6.15","-6","-160","-0.1","-0.02","-5","-414","-0.31","-0.05","+10","+55,101","16.2","6.12"
"00897","富邦基因免疫生技","9.8","-0.11","-1.11","26W20","05/14","+9","+10,779","30.9","7.02","0","0","0","0","+2","+1,018","11.4","0.66","+22","+30,910","34.2","20.1"
"00901","永豐智能車供應鏈","41.89","+0.25","+0.6","26W20","05/14","+9","+3,790","18.3","5.76","0","0","0","0","-4","-1,319","-10.4","-2","+9","+3,100","15","4.71"
"00943","兆豐電子高息等權","19.36","+0.16","+0.83","26W20","05/14","+9","+10,462","55.2","24.4","0","0","0","0","-5","-2,468","-27.3","-5.76","+10","+9,339","47.6","21.8"
"00962","台新AI優息動能","13.75","-0.02","-0.15","26W20","05/14","+9","+2,774","10.4","5.73","0","0","0","0","+1","+79","3.45","0.16","+10","+3,238","11.2","6.69"
"009817","國泰日本不動產","9.05","-0.05","-0.55","26W20","05/14","+9","+30,872","19.4","10.8","0","0","0","0","+6","+10,983","13.7","3.85","+7","+29,708","30","10.4"
"00982B","FT投資級債20+","9.81","0","0","26W20","05/14","+9","+1,359","31.7","4.55","0","0","0","0","+1","+258","41.6","0.86","+2","+775","61.3","2.59"
"00984B","大華優利美A債15","16.27","+0.02","+0.12","26W20","05/14","+9","+69,464","40.5","38.5","0","0","0","0","-3","-7,435","-17.7","-4.12","+2","+14,738","50.5","8.17"
"2379","瑞昱","574","+22","+3.99","26W20","05/14","+9","+36,504","22.3","7.08","-5","-5,807","-5.63","-1.13","-1","-231","-0.99","-0.04","+9","+21,034","12.9","4.08"
"00730","富邦臺灣優質高息","26.85","+0.21","+0.79","26W20","05/14","+8","+2,442","17.3","3.25","-1","-100","-7.26","-0.13","+6","+4,149","35.9","5.53","+6","+6,538","56.6","8.71"
"00885","富邦越南","19.35","+0.14","+0.73","26W20","05/14","+8","+49,221","25.2","7.34","0","0","0","0","+7","+35,647","20.6","5.31","+7","+84,776","49.1","12.6"
"00915","凱基優選高股息30","26.77","+0.41","+1.56","26W20","05/14","+8","+57,433","17.8","8.98","0","0","0","0","+62","+938,187","45.2","147","+62","+1,088,729","52.5","170"
"2049","上銀","374.5","+10","+2.74","26W20","05/14","+8","+26,071","8.28","7.37","+1","+1,008","2.17","0.28","+1","+137","0.29","0.04","+8","+27,203","8.63","7.69"
"2301","光寶科","207","-4.5","-2.13","26W20","05/14","+8","+194,663","16.6","8.4","-5","-36,076","-3.76","-1.56","-1","-1,816","-0.81","-0.08","+8","+159,146","13.6","6.87"
"2867","三商壽","7.7","-0.03","-0.39","26W20","05/14","+8","+106,058","33.4","1.8","0","0","0","0","+2","+6,357","9.07","0.11","+8","+111,959","35.2","1.9"
"2886","兆豐金","39.3","-0.25","-0.63","26W20","05/14","+8","+142,108","16","0.96","-1","-772","-1.01","-0.01","-3","-6,616","-2.28","-0.04","-1","-536","-0.7","0"
"6415","矽力*-KY","503","+35.5","+7.59","26W20","05/14","+8","+16,927","6.87","4.36","+1","+1,164","3.4","0.3","+1","+125","0.37","0.03","+5","+19,484","11","5.02"
"6732","昇佳電子","172.5","+7","+4.23","26W20","05/14","+8","+517","6.29","1.06","+2","+6","0.22","0.01","+2","+5","0.16","0.01","+8","+513","6.24","1.05"
"6988","威力暘-創","15.55","+0.3","+1.97","26W20","05/14","+8","+84","4.59","0.18","0","0","0","0","-3","-141","-14.2","-0.3","-3","-117","-11.7","-0.25"
