"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","4966","譜瑞-KY","800","-19","-2.32","05/15","0","+0.34","+1.72","+5.82","+6.61","+5.96","+5.58","+8.66","+10.4","+4.85","+0.54","+7.03"
"2","6278","台表科","220.5","-5.5","-2.43","05/15","+0.78","+2.04","+2.12","+3.5","+3.06","-0.2","-2.99","-6.18","-10.9","+13","+13.1","-5.8"
"3","3624","光頡","76.2","+3","+4.1","05/15","+2.57","+2.65","+3.14","+3.14","+3.14","+3.14","+3.14","+3.14","+3.14","-7.42","+3.11","+3.14"
"4","6531","愛普*","1080","+30","+2.86","05/15","+1.31","+2.06","+2.82","+2.81","+2.85","+3.4","+3.71","+3.13","+3.82","+1.34","","+2.28"
"5","8210","勤誠","1410","-50","-3.42","05/15","+0.16","+0.33","+0.94","+1.93","+4.16","+4.96","+0.71","+3.1","+4.37","+4.94","+3.79","+2.86"
"6","3036","文曄","270","-1.5","-0.55","05/15","+0.11","+0.09","+0.57","+1.64","+1.41","+1.14","+1.99","+3.4","+8.07","+8.93","+10.5","+1.73"
"7","2344","華邦電","129.5","-4.5","-3.36","05/15","+0.57","+0.94","+1.13","+1.33","+1.78","+0.88","+2.11","+2.94","+6.58","+5.8","+6.63","+3.15"
"8","1582","信錦","99.4","+1.6","+1.64","05/15","0","+0.59","+1.05","+1.32","+1.31","+0.48","+1.47","+1.06","-0.3","+1.6","+1.58","+1.45"
"9","8996","高力","1040","-25","-2.35","05/15","+0.23","+0.6","+0.4","+1.26","+0.41","+1.72","+1.81","+1.59","+2.39","+2.62","+3.81","+2.55"
"10","2472","立隆電","217","-14.5","-6.26","05/15","+0.04","+0.14","+0.15","+1.23","+1.3","+1.74","+1.53","+2.05","+1.09","+2.38","+2.78","-0.15"
"11","5483","中美晶","140.5","-12","-7.87","05/15","0","-0.01","-0.01","+1.17","+2.82","+1.51","+1.2","+0.92","-1.55","+8.35","+8.71","+1.2"
"12","2481","強茂","117.5","+2","+1.73","05/15","+0.13","+0.21","+0.83","+1.07","+0.74","+1.37","-2.92","-4.2","+2.79","+3.83","+0.83","-3.83"
"13","5439","高技","391","-20","-4.87","05/15","+0.27","+0.81","+0.81","+1.05","+2.05","+3.27","+3.35","+9.58","+11.8","+8.74","+11.9","+5.23"
"14","6669","緯穎","5115","-320","-5.89","05/15","-0.01","+0.02","+0.26","+1.03","+1.8","+4.02","+3.27","+1.98","+1.88","+4.27","","+1.58"
"15","2327","國巨*","455.5","-6.5","-1.41","05/15","+0.29","+0.28","+0.58","+0.99","+1.45","+1.22","+1.35","+3.18","+3.28","+2.89","+3.45","+2.77"
"16","3026","禾伸堂","327","-30.5","-8.53","05/15","-0.02","-0.02","-0.02","+0.96","+5.99","+6.23","+6.13","+6.06","+6.4","+6.61","+5.78","+6.01"
"17","3583","辛耘","888","-41","-4.41","05/15","+0.24","+0.56","+0.73","+0.93","+2.34","+2.67","+4.39","+4.39","+4.32","+4.81","-1.08","+4.39"
"18","6831","邁科","725","+3","+0.42","05/15","+0.13","+0.49","+0.88","+0.88","+1.04","+0.7","+0.61","","","","","-0.07"
"19","2492","華新科","206","-14","-6.36","05/15","0","0","+0.39","+0.86","+0.81","+0.81","+0.89","+0.56","+1.01","+1.16","-7.38","+1.03"
"20","3017","奇鋐","2455","-100","-3.91","05/15","+0.04","+0.12","+0.47","+0.83","-0.43","+0.13","+1.45","-1.19","+1.29","-10.4","+4.7","-0.9"
"21","8069","元太","210","-16","-7.08","05/15","-0.01","+0.69","+0.71","+0.79","+0.79","+0.82","+0.86","+0.85","+0.57","+1.13","+1.06","+1.19"
"22","6510","精測","3735","-415","-10","05/15","+0.16","+0.48","+0.13","+0.75","+0.6","+2.09","-2.5","+2.37","+4.76","+14.8","+9.86","+0.95"
"23","3090","日電貿","142","+12.5","+9.65","05/15","+0.34","+0.66","+0.65","+0.65","+0.5","+0.43","-0.42","-0.09","+2.48","+3.9","+3.84","-2.26"
"24","2303","聯電","110","+2","+1.85","05/15","+0.31","+0.35","+0.5","+0.59","+0.81","+1.28","+1.25","-1.56","-2.5","+13.8","+17","+0.3"
"25","2049","上銀","392.5","+18","+4.81","05/15","+0.26","+0.29","+0.33","+0.54","+0.35","+0.38","+0.15","+0.41","-0.89","-1.93","+0.57","+0.47"
