"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","95.4","-0.65","-0.68","26W20","05/15","-3","-308,114","-19.7","-1.65","+15","+103,493","1.08","0.55","-5","-171,782","-6.54","-0.92","-3","-410,577","-26.2","-2.19"
"6640","均華","1370","-90","-6.16","26W20","05/15","-1","-198","-7.24","-0.69","+7","+738","2.86","2.59","+2","+10","0.21","0.03","-1","-149","-5.44","-0.52"
"6715","嘉基","479","-8","-1.64","26W20","05/15","+2","+1,025","6.47","1.53","+7","+4,024","7.13","6","-9","-192","-0.32","-0.29","+2","+2,118","13.4","3.16"
"9910","豐泰","70.3","-0.2","-0.28","26W20","05/15","-2","-2,902","-11.8","-0.29","+7","+6,484","9.36","0.66","-4","-233","-0.5","-0.02","-2","-849","-3.46","-0.09"
"1785","光洋科","153","+4","+2.68","26W20","05/15","-3","-43,924","-8.46","-7.37","+6","+1,895","0.23","0.32","-1","-306","-0.21","-0.05","-3","-42,738","-8.23","-7.17"
"6679","鈺太","305","-10","-3.17","26W20","05/15","-1","-81","-3.18","-0.15","+6","+142","0.73","0.26","-1","-113","-4.41","-0.21","-1","-159","-6.22","-0.29"
"2072","世紀風電","180","+8.5","+4.96","26W20","05/15","+8","+2,143","7.76","1.12","+5","+804","5.18","0.42","+1","+6","0.14","0","+8","+2,773","10","1.44"
"3711","日月光投控","547","-1","-0.18","26W20","05/15","-5","-33,400","-5.51","-0.76","+5","+22,511","3.72","0.51","+2","+108","0.04","0","+1","+3,521","3.15","0.08"
"6531","愛普*","1080","+30","+2.86","26W20","05/15","-3","-5,061","-7.19","-3.11","+5","+5,737","3.08","3.52","+1","+17","0.04","0.01","+1","+753","1.72","0.46"
"6669","緯穎","5115","-320","-5.89","26W20","05/15","-4","-4,768","-8.32","-2.57","+5","+7,611","11.4","4.1","-1","-52","-0.39","-0.03","-1","-193","-1.44","-0.1"
"8210","勤誠","1410","-50","-3.42","26W20","05/15","-3","-4,525","-8.43","-3.61","+5","+7,017","7.63","5.6","-1","-124","-0.76","-0.1","+2","+2,933","7.39","2.34"
"009803","玉山市值動能50","19.85","-0.38","-1.88","26W20","05/15","+1","+598","4.93","0.46","+4","+935","2.14","0.71","+2","+776","2.99","0.59","+2","+1,194","4.6","0.91"
"2330","台積電","2265","-5","-0.22","26W20","05/15","-3","-120,541","-18.6","-0.46","+4","+40,765","4.85","0.16","-1","-1,481","-0.68","-0.01","-1","-19,698","-9.03","-0.08"
"2855","統一證","40.8","+0.65","+1.62","26W20","05/15","-2","-6,590","-5.39","-0.41","+4","+3,466","1.84","0.22","0","0","0","0","-2","-4,437","-3.63","-0.28"
"3026","禾伸堂","327","-30.5","-8.53","26W20","05/15","+2","+3,924","3.12","2.37","+4","+10,343","5.62","6.23","+1","+289","0.68","0.17","+2","+13,770","11","8.3"
"3551","世禾","206.5","-8","-3.73","26W20","05/15","-3","-2,173","-6.36","-3.49","+4","+337","0.62","0.54","-1","-29","-0.23","-0.05","-3","-2,135","-6.25","-3.43"
"1477","聚陽","218","-5","-2.24","26W20","05/15","-2","-7,510","-25","-3.04","+3","+2,233","5.94","0.91","-3","-133","-0.35","-0.05","-2","-5,369","-17.9","-2.18"
"1560","中砂","642","-8","-1.23","26W20","05/15","-2","-1,314","-3.67","-0.9","+3","+545","1.2","0.37","-2","-212","-0.59","-0.14","-2","-1,108","-3.1","-0.76"
"2204","中華","52","-0.2","-0.38","26W20","05/15","-6","-10,657","-27.1","-1.92","+3","+2,620","12.3","0.47","-1","-73","-0.67","-0.01","-1","-4,653","-42.8","-0.84"
"2313","華通","235.5","-10","-4.07","26W20","05/15","-1","-23,802","-6.2","-2","+3","+3,215","0.28","0.27","-2","-2,367","-0.28","-0.2","-1","-24,030","-6.26","-2.02"
"2327","國巨*","455.5","-6.5","-1.41","26W20","05/15","-1","-13,764","-4.56","-0.66","+3","+31,442","4.25","1.52","+3","+4,422","0.6","0.21","+3","+47,764","6.46","2.31"
"2344","華邦電","129.5","-4.5","-3.36","26W20","05/15","+4","+259,254","6.47","5.76","+3","+86,039","2.63","1.91","+4","+11,125","0.28","0.25","+4","+344,758","8.61","7.66"
"2408","南亞科","311.5","-29.5","-8.65","26W20","05/15","+3","+90,150","4.16","2.91","+3","+45,067","2.08","1.45","+3","+5,489","0.25","0.18","+3","+140,706","6.49","4.54"
"2727","王品","236.5","-0.5","-0.21","26W20","05/15","+3","+1,919","28.5","2.31","+3","+392","5.82","0.47","-1","-2","-0.1","0","+3","+2,322","34.5","2.8"
"2731","雄獅","159","-2","-1.24","26W20","05/15","-9","-13,351","-37.1","-14.3","+3","+1,305","9.52","1.4","-1","-11","-0.21","-0.01","-9","-12,658","-35.2","-13.6"
"3583","辛耘","888","-41","-4.41","26W20","05/15","-5","-4,692","-5.91","-5.84","+3","+2,424","4.37","3.02","-1","-144","-0.57","-0.18","-1","-289","-1.14","-0.36"
"3592","瑞鼎","248.5","-14.5","-5.51","26W20","05/15","-4","-1,743","-6.91","-2.3","+3","+1,293","7.07","1.7","-1","-30","-0.34","-0.04","-1","-349","-3.99","-0.46"
"3706","神達","79.9","-1.3","-1.6","26W20","05/15","-1","-21,867","-24.1","-1.65","+3","+351","0.16","0.03","-1","-1,355","-1.49","-0.1","-1","-23,175","-25.5","-1.75"
"4105","東洋","75.1","-0.9","-1.18","26W20","05/15","-14","-16,379","-29.3","-6.59","+3","+2,087","18.5","0.84","+1","+32","1.04","0.01","+1","+239","7.83","0.1"
"4746","台耀","53.8","+0.7","+1.32","26W20","05/15","-2","-1,456","-11.5","-1.21","+3","+2,237","12.1","1.86","-1","-10","-0.15","-0.01","-1","-203","-3.21","-0.17"
"4966","譜瑞-KY","800","-19","-2.32","26W20","05/15","+2","+4,704","7.99","5.96","+3","+5,274","7.62","6.68","+2","+482","0.82","0.61","+2","+10,408","17.7","13.2"
"5269","祥碩","1455","-10","-0.68","26W20","05/15","-1","-1,696","-7.6","-2.27","+3","+301","0.76","0.4","-1","-175","-0.78","-0.23","-1","-1,597","-7.15","-2.14"
"5274","信驊","17195","-615","-3.45","26W20","05/15","+1","+19","1.29","0.05","+3","+290","5.71","0.77","-1","-4","-0.24","-0.01","+1","+90","5.98","0.24"
"5439","高技","391","-20","-4.87","26W20","05/15","+1","+1,983","5.54","2.13","+3","+4,006","4.11","4.31","-1","-53","-0.15","-0.06","+1","+2,904","8.11","3.12"
"5534","長虹","76.3","-0.3","-0.39","26W20","05/15","-5","-7,414","-33.5","-2.35","+3","+2,472","21.4","0.78","-1","-6","-0.12","0","-5","-5,225","-23.6","-1.66"
"6223","旺矽","5895","-395","-6.28","26W20","05/15","+1","+321","3.61","0.33","+3","+762","3.73","0.78","-1","-7","-0.08","-0.01","+3","+1,505","7.36","1.54"
"6670","復盛應用","263","0","0","26W20","05/15","+1","+191","7.52","0.14","+3","+426","7.72","0.31","+1","+39","1.52","0.03","+1","+248","9.78","0.18"
"6768","志強-KY","84","-0.2","-0.24","26W20","05/15","-4","-1,869","-11.1","-0.93","+3","+1,675","13.4","0.84","-1","-8","-0.18","0","-1","-171","-3.92","-0.09"
