排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,5347,世界,159.0,-17.5,-9.92,05/18,8.07,8.24,8.34,8.24,8.53,9.18,9.21,17.1,18.3,2.91,-11.1,15.8
2,00859B,群益0-1年美債,41.12,0.21,0.51,05/18,2.15,4.41,5.07,7.41,8.56,13.2,33.4,63.4,60.8,74.3,,57.2
3,009820,元大納斯達克精選,10.06,-0.09,-0.89,05/18,0.58,2.62,4.41,7.4,9.44,,,,,,,
4,8147,正淩,190.5,1.5,0.79,05/18,0.24,1.85,3.79,6.76,7.12,4.27,4.94,4.3,4.74,4.26,4.43,4.02
5,8028,昇陽半導體,278.5,-9.0,-3.13,05/18,2.88,2.94,6.49,6.18,5.56,12.2,14.4,12.0,11.4,11.0,,8.29
6,3498,陽程,144.5,-4.5,-3.02,05/18,0.65,1.82,2.22,6.18,3.41,7.02,12.2,10.4,8.91,9.75,11.6,8.65
7,3048,益登,57.3,1.2,2.14,05/18,-0.01,1.39,4.41,6.15,8.24,9.29,10.9,11.4,5.32,8.64,8.57,11.2
8,3624,光頡,83.8,7.6,9.97,05/18,-1.47,3.71,3.64,6.06,6.06,6.35,8.31,7.32,6.93,9.77,5.35,7.72
9,4966,譜瑞-KY,757.0,-43.0,-5.38,05/18,0.2,1.17,1.43,5.83,6.45,4.37,0.77,-9.92,-15.7,-34.7,-14.9,-5.33
10,00689R,國泰20年美債反1,22.6,0.36,1.62,05/18,2.18,2.18,2.18,5.1,6.6,6.49,14.6,19.0,25.3,27.4,,19.7
11,3450,聯鈞,410.0,14.5,3.67,05/18,0.18,0.38,0.41,5.01,8.98,2.94,22.2,19.0,9.05,18.1,-12.1,19.5
12,2481,強茂,129.0,11.5,9.79,05/18,0.36,-0.11,0.67,4.91,9.13,3.63,11.4,14.5,16.2,18.9,1.53,22.4
