排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,5906,台南-KY,46.45,0.0,0.0,05/18,,0.0,97.7,49.4,14.1,11.8,14.7,9.36,24.8,20.9,6.56,8.89
2,1102,亞泥,34.35,0.0,0.0,05/18,90.5,90.1,86.0,73.4,68.3,57.3,64.2,65.7,62.5,53.8,48.3,62.7
3,2633,台灣高鐵,25.6,-0.1,-0.39,05/18,86.7,85.3,85.8,84.7,70.8,62.1,68.3,68.0,61.7,52.4,,67.5
4,2923,鼎固-KY,20.8,-0.85,-3.93,05/18,77.9,80.5,84.8,66.6,40.1,29.6,36.6,37.1,41.6,40.1,29.8,35.8
5,00870B,元大15年EM主權債,27.82,-0.25,-0.89,05/18,99.4,80.4,80.9,72.4,51.7,39.2,0.66,0.92,1.6,3.44,,0.86
6,2801,彰銀,20.2,-0.05,-0.25,05/18,74.5,79.1,78.6,74.6,63.5,57.3,53.0,51.1,42.4,39.4,39.8,48.5
7,2704,國賓,41.6,0.0,0.0,05/18,78.0,76.1,77.8,63.3,51.1,48.2,48.1,50.8,61.0,34.6,24.5,49.1
8,00786B,元大10年IG銀行債,32.4,-0.28,-0.86,05/18,0.0,0.0,76.3,60.8,28.5,16.8,20.6,33.2,23.7,9.54,,25.8
9,2207,和泰車,461.0,-7.0,-1.5,05/18,82.5,74.3,75.2,69.9,72.0,71.8,69.3,70.5,70.4,68.9,61.0,68.5
10,1476,儒鴻,328.0,-11.5,-3.39,05/18,63.2,69.6,72.7,68.4,70.4,70.9,76.5,71.8,67.7,63.2,48.1,71.3
11,8482,商億-KY,48.6,0.7,1.46,05/18,66.7,83.2,70.5,64.3,39.5,31.6,15.3,7.48,4.0,0.16,,12.7
12,9917,中保科,111.0,-1.0,-0.89,05/18,77.1,73.3,70.0,67.1,51.8,48.9,19.6,11.8,6.49,2.34,0.87,22.2
13,1590,亞德客-KY,1450.0,-15.0,-1.02,05/18,76.2,74.1,69.8,72.0,71.8,72.2,74.0,72.1,72.8,72.1,54.0,70.7
14,2347,聯強,81.8,-0.6,-0.73,05/18,65.2,70.1,69.7,69.1,59.9,56.5,47.3,54.9,56.0,53.3,49.0,44.8
15,4938,和碩,76.5,0.0,0.0,05/18,80.7,70.9,69.7,67.2,58.2,56.0,47.8,47.3,51.3,49.2,48.8,45.4
16,5534,長虹,76.3,0.0,0.0,05/18,73.3,69.0,69.1,64.7,55.0,53.3,43.3,39.0,44.0,35.7,31.6,43.6
17,1101,台泥,24.05,-0.05,-0.21,05/18,73.4,68.9,68.9,68.9,54.5,56.2,53.2,46.0,43.9,47.5,45.4,46.6
18,2849,安泰銀,13.05,-0.15,-1.14,05/18,72.9,61.1,68.6,66.3,39.9,33.5,37.8,35.2,35.8,34.1,27.0,36.2
19,2886,兆豐金,39.55,0.15,0.38,05/18,76.5,66.2,68.5,68.4,56.1,53.2,49.6,52.2,49.0,49.9,48.1,49.6
20,2006,東和鋼鐵,64.8,-0.2,-0.31,05/18,66.0,71.9,68.0,69.0,66.0,69.8,42.6,47.4,51.6,45.3,29.5,43.0
21,5904,寶雅,536.0,-10.0,-1.83,05/18,57.0,66.9,68.0,65.4,54.3,46.1,46.7,49.4,47.9,48.4,46.2,47.3
22,2910,統領,21.4,-0.2,-0.93,05/18,36.4,37.9,67.5,69.3,40.3,34.6,28.9,26.1,20.1,14.7,14.4,27.8
23,5871,中租-KY,110.0,4.0,3.77,05/18,62.0,64.8,66.8,71.2,68.4,53.9,53.3,46.2,52.7,59.0,55.5,49.2
24,1402,遠東新,25.95,-0.5,-1.89,05/18,57.2,63.1,66.5,53.2,54.4,61.5,59.3,55.5,54.6,53.8,46.6,55.7
25,2834,臺企銀,15.85,-0.05,-0.31,05/18,62.5,63.7,66.0,62.9,58.1,48.5,54.7,51.0,42.0,38.0,33.8,53.8
26,2892,第一金,28.75,-0.55,-1.88,05/18,86.2,68.2,65.6,59.8,50.5,56.8,57.4,50.3,50.4,52.6,44.9,58.1
27,2204,中華,51.9,-0.1,-0.19,05/18,84.2,73.6,65.4,61.4,50.4,50.4,48.2,45.6,43.7,34.3,32.2,45.6
28,2912,統一超,225.5,-2.0,-0.88,05/18,70.7,65.3,65.3,67.9,68.6,68.5,55.0,58.6,60.4,63.6,67.4,55.6
29,1712,興農,40.8,-0.1,-0.24,05/18,57.6,68.1,64.9,60.6,53.6,50.1,40.0,38.9,40.1,35.0,24.1,37.9
30,2530,華建,20.9,-0.1,-0.48,05/18,67.6,65.5,64.5,80.0,65.0,49.9,45.8,44.5,41.3,38.0,23.6,45.5
31,2474,可成,184.0,-1.0,-0.54,05/18,50.4,63.3,64.2,60.8,51.6,40.3,51.0,50.7,57.1,54.5,45.5,50.3
32,2884,玉山金,31.7,-0.25,-0.78,05/18,72.4,65.8,64.0,64.1,52.5,49.2,55.4,59.0,55.6,51.6,49.8,55.7
33,4560,強信-KY,33.85,-0.3,-0.88,05/18,57.2,63.9,63.8,60.3,50.8,52.1,53.7,53.1,50.0,50.2,,53.3
34,5880,合庫金,22.7,-0.15,-0.66,05/18,68.8,62.4,63.7,64.4,58.6,61.8,59.0,53.4,53.1,55.6,45.2,55.3
35,6505,台塑化,51.2,-0.1,-0.19,05/18,68.2,65.7,63.5,56.4,43.6,39.5,35.7,36.2,35.7,42.8,46.3,35.4
36,2324,仁寶,28.25,-0.4,-1.4,05/18,46.0,68.7,63.3,49.7,46.8,41.0,42.4,43.9,44.7,46.3,49.2,42.9
37,1442,名軒,26.5,-0.25,-0.93,05/18,63.1,54.8,63.1,62.4,53.1,55.4,59.3,44.9,54.6,42.0,30.7,56.3
38,2753,八方雲集,175.5,-1.5,-0.85,05/18,63.4,63.5,63.0,53.2,41.6,43.1,42.8,43.4,34.8,31.5,,44.1
39,6534,正瀚-創,96.5,-0.4,-0.41,05/18,70.6,63.8,62.8,56.8,54.8,54.5,32.6,27.0,22.6,,,32.3
40,1203,味王,40.75,-1.8,-4.23,05/18,68.1,61.8,62.3,49.0,37.6,29.2,30.3,26.8,24.4,31.8,12.9,27.5
41,2880,華南金,31.85,-0.55,-1.7,05/18,62.4,57.5,62.0,68.1,65.5,60.4,64.0,62.8,57.8,55.5,47.0,62.0
42,9910,豐泰,70.4,0.1,0.14,05/18,66.8,60.0,61.6,61.5,58.7,61.0,54.2,18.8,12.8,4.74,1.71,28.4
43,2504,國產,34.2,0.05,0.15,05/18,62.1,57.5,61.4,62.8,60.8,58.9,52.6,48.0,47.8,41.3,25.2,51.6
