排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,2412,中華電,142.5,5.5,4.01,52962,05/19,35771.0,27800.0,31288.0,41750.0,41750.0,22727.0,10362.0,8270.0,1143.0,14671.0
2,6742,澤米,52.2,4.7,9.89,6094,05/19,132.0,365.0,,7800.0,,1875.0,216.0,11.3,888.0,182.0
3,8249,菱光,53.5,0.8,1.52,7783,05/19,825.0,2367.0,3600.0,7300.0,3600.0,2367.0,45.1,12.1,106.0,106.0
4,8499,鼎炫-KY,265.5,-11.5,-4.15,101,05/19,0.0,0.0,0.0,7200.0,,3550.0,943.0,711.0,,711.0
5,2637,慧洋-KY,70.8,-2.0,-2.75,3189,05/19,-0.48,13667.0,5062.0,4489.0,3342.0,247.0,218.0,111.0,74.3,58.2
6,8070,長華*,42.65,-0.9,-2.07,3714,05/19,-31.7,-46.0,-15.9,3312.0,4864.0,327.0,13550.0,2175.0,469.0,3800.0
7,3615,安可,45.0,4.05,9.89,5561,05/19,66.7,188.0,204.0,3300.0,639.0,,554.0,1789.0,5567.0,4150.0
8,2887,台新新光金,23.6,0.15,0.64,92956,05/19,0.1,5.49,2350.0,2622.0,2233.0,24400.0,-93.0,-22.0,-96.6,-89.5
9,8422,可寧衛*,25.55,-0.15,-0.58,7805,05/19,-5.26,80.0,1250.0,2600.0,-59.7,40.3,-87.2,-99.0,21.3,-99.3
10,6834,天二科技,55.1,2.4,4.55,9806,05/19,51.2,49.4,148.0,2380.0,4033.0,1027.0,2380.0,12300.0,17.0,
11,9933,中鼎,37.35,0.55,1.49,3150,05/19,26.3,14.3,2300.0,2300.0,71.4,-7.69,500.0,118.0,-95.2,0.0
12,3149,正達,57.8,-1.2,-2.03,33859,05/19,1.25,81.0,431.0,2271.0,3255.0,19727.0,1263.0,1718.0,295.0,2038.0
13,1477,聚陽,210.0,-3.5,-1.64,2236,05/19,122.0,100.0,122.0,1900.0,33.3,233.0,400.0,233.0,-41.2,400.0
14,3236,千如,40.3,-0.75,-1.83,11375,05/19,-18.1,92.6,62.5,1791.0,6833.0,395.0,100.0,30.8,,-17.1
15,1402,遠東新,26.25,0.3,1.16,22412,05/19,0.0,0.0,1529.0,1420.0,22700.0,7500.0,221.0,192.0,1800.0,251.0
16,2353,宏碁,27.75,0.35,1.28,23290,05/19,0.87,-3.62,-5.21,1266.0,6820.0,13.8,-11.1,-66.7,320.0,20.8
17,2882,國泰金,77.8,1.0,1.3,46048,05/19,0.0,1087.0,1030.0,1195.0,1128.0,1139.0,71.6,164.0,-31.0,48.2
18,1514,亞力,113.5,-2.0,-1.73,2572,05/19,208.0,18.8,19.7,1180.0,1102.0,1055.0,190.0,514.0,29.7,336.0
19,3059,華晶科,42.1,-1.1,-2.55,8835,05/19,-36.8,71.4,500.0,1100.0,182.0,,29.7,26.3,-74.1,20.0
20,2371,大同,28.4,-0.2,-0.7,13389,05/19,300.0,226.0,483.0,1067.0,-22.2,-25.9,-35.5,-64.1,-87.9,-42.1
21,4976,佳凌,30.8,-0.5,-1.6,1689,05/19,-25.6,-15.8,10.3,967.0,3100.0,,6.67,-60.5,-11.1,-11.1
22,1591,駿吉-KY,42.4,-4.7,-9.98,451,05/19,443.0,1038.0,1158.0,939.0,785.0,,2888.0,1493.0,1228.0,5875.0
23,6005,群益證,30.65,0.1,0.33,8543,05/19,-1.59,31.9,1450.0,933.0,3000.0,5.08,55.0,-10.1,-72.6,-60.3
24,2630,亞航,42.75,-0.3,-0.7,556,05/19,-9.09,-56.5,-23.1,900.0,25.0,233.0,-87.7,-94.1,,-92.5
25,3002,歐格,16.5,-0.3,-1.79,143,05/19,11.1,,400.0,900.0,233.0,-37.5,42.9,-89.0,,-87.7
26,8255,朋程,154.0,11.0,7.69,4091,05/19,2400.0,2400.0,1567.0,900.0,1567.0,2400.0,4900.0,2400.0,2400.0,4900.0
27,6227,茂綸,115.0,-4.0,-3.36,2320,05/19,-0.54,408.0,696.0,732.0,771.0,771.0,976.0,632.0,-27.1,917.0
28,1582,信錦,117.0,10.5,9.86,24978,05/19,175.0,326.0,312.0,725.0,633.0,277.0,2540.0,36.1,1367.0,2540.0
29,1319,東陽,80.0,0.0,0.0,1782,05/19,380.0,1100.0,700.0,700.0,-67.1,700.0,-42.9,-31.4,-88.5,-65.2
30,2031,新光鋼,38.2,0.15,0.39,526,05/19,0.0,700.0,700.0,700.0,-20.0,300.0,-20.0,-66.7,-68.0,-11.1
31,3675,德微,283.5,25.5,9.88,2662,05/19,100.0,167.0,167.0,700.0,700.0,191.0,3100.0,39.1,167.0,357.0
