排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00707R,期元大S&P日圓反1,31.98,0.12,0.38,3,05/20,,,-100.0,-100.0,-100.0,,-100.0,,,
2,009810,玉山全球藍籌100,20.57,-0.08,-0.39,724,05/20,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-100.0
3,3049,精金,11.9,0.0,0.0,3673,05/20,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,00903,富邦元宇宙,21.11,-0.13,-0.61,362,05/20,-12.5,-12.5,-36.4,-93.3,0.0,-22.2,-66.7,-85.7,-87.5,-69.6
5,00917,中信特選金融,21.4,-0.11,-0.51,671,05/20,-6.74,-51.5,-51.5,-77.8,-86.1,-80.1,-81.2,822.0,453.0,295.0
6,4205,中華食,73.2,0.3,0.41,25,05/20,0.0,0.0,0.0,-75.0,-75.0,-75.0,0.0,-95.5,-98.7,-95.5
7,4767,誠泰科技,26.55,0.35,1.34,2,05/20,0.0,-75.0,-75.0,-75.0,-75.0,-88.9,-95.7,-91.7,-97.2,-92.3
8,00907,永豐優息存股,14.7,0.08,0.55,1003,05/20,0.0,0.0,-12.1,-73.4,-72.4,-40.8,-12.1,-73.1,-95.5,-38.3
9,00661,元大日經225,77.0,-1.15,-1.47,175,05/20,0.0,0.0,-72.7,-73.3,-73.9,-68.4,-66.7,-72.7,-64.7,-69.2
10,2729,瓦城,162.0,0.0,0.0,30,05/20,0.0,-10.0,-62.5,-66.7,-71.0,-85.9,-35.7,0.0,-66.7,-10.0
11,00730,富邦臺灣優質高息,26.17,0.07,0.27,167,05/20,-67.6,-67.6,-67.6,-60.0,-80.3,-76.9,-82.9,-77.8,-81.0,-58.6
12,8487,愛爾達-創,79.0,0.4,0.51,16,05/20,0.0,-36.1,-57.4,-57.4,43.8,35.3,64.3,2200.0,2200.0,2200.0
13,00714,群益道瓊美國地產,21.38,0.08,0.38,390,05/20,0.0,0.0,-57.1,-57.1,-57.1,-66.7,-99.1,-99.1,200.0,-99.0
14,00923,群益台ESG低碳50,36.52,-0.22,-0.6,2740,05/20,-54.3,-54.9,-54.1,-55.9,-56.7,-36.5,-84.0,188.0,-51.1,169.0
15,1268,漢來美食,168.0,8.5,5.33,524,05/20,-17.4,5.56,0.0,-54.8,-38.7,-63.5,-81.2,-85.3,-51.3,-81.6
