代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
6415,矽力*-KY,665.0,35.0,5.56,05/27,-1,-522,-5.13,-0.13,16,4195,3.13,1.08,3,75,0.28,0.02,-1,-415,-4.08,-0.11
6139,亞翔,811.0,-15.0,-1.82,05/27,-4,-3906,-16.5,-1.66,11,4180,5.92,1.77,-2,-57,-0.51,-0.02,-1,-752,-14.1,-0.32
2327,國巨*,701.0,40.0,6.05,05/27,-8,-24750,-5.08,-1.19,9,33796,5.6,1.63,5,4671,2.12,0.23,-2,-4559,-8.38,-0.22
3189,景碩,702.0,6.0,0.86,05/27,-1,-1729,-5.64,-0.33,9,8368,3.13,1.59,-4,-593,-0.59,-0.11,-1,-1004,-3.27,-0.19
3533,嘉澤,2625.0,-15.0,-0.57,05/27,2,80,3.84,0.07,9,1632,11.6,1.45,-1,-17,-1.32,-0.02,3,295,8.82,0.26
50,元大台灣50,102.55,2.45,2.45,05/27,1,3239,3.41,0.02,8,11591,1.41,0.06,1,7014,7.39,0.04,1,10281,10.8,0.05
3706,神達,84.2,-3.2,-3.66,05/27,-2,-8633,-19.9,-0.65,8,15791,10.4,1.19,1,3,0.01,0.0,-1,-6930,-29.7,-0.52
850,元大臺灣ESG永續,88.9,2.2,2.54,05/27,5,1723,17.7,0.41,7,1950,14.4,0.47,2,158,8.54,0.04,5,4235,43.5,1.02
1216,統一,70.2,-0.6,-0.85,05/27,-6,-48443,-49.1,-0.85,7,24942,22.4,0.44,1,221,1.03,0.0,-6,-24697,-25.0,-0.43
2421,建準,162.0,-3.0,-1.82,05/27,-1,-1089,-15.2,-0.38,7,5908,8.72,2.06,-2,-134,-0.73,-0.05,-1,-778,-10.9,-0.27
2492,華新科,361.0,32.5,9.89,05/27,11,30229,17.7,6.22,7,2327,3.73,0.48,7,1555,2.49,0.32,7,18828,30.2,3.88
2618,長榮航,34.8,-0.4,-1.14,05/27,-4,-85887,-35.0,-1.59,7,64656,19.0,1.2,4,1759,0.72,0.03,-3,-34065,-17.0,-0.63
2892,第一金,27.6,-0.1,-0.36,05/27,-6,-349439,-68.9,-2.43,7,18101,3.38,0.13,2,355,0.44,0.0,-6,-336086,-66.3,-2.34
2912,統一超,206.5,-3.0,-1.43,05/27,-6,-25399,-48.8,-2.44,7,9980,18.2,0.96,9,153,0.26,0.01,-6,-15544,-29.9,-1.5
