排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00403A,主動統一升級50,10.78,0.14,1.32,741587,05/27,-10110,-20651,-21954,-24988,3007,,,,,
2,00988A,主動統一全球創新,22.07,0.15,0.68,153968,05/27,8344,-804,-14860,-23584,13594,31283.0,45136.0,48069.0,,49849.0
3,2344,華邦電,155.0,14.0,9.93,439028,05/27,-8951,7179,-18443,-14114,-24851,-10791.0,-13782.0,-288.0,69202.0,-34087.0
4,00631L,元大台灣50正2,35.73,1.33,3.87,218317,05/27,-1103,1174,-5765,-12098,-4910,-937.0,130826.0,129391.0,127010.0,130935.0
5,00673R,期元大S&P原油反1,12.53,0.02,0.16,14420,05/27,15,-4269,-6737,-9996,-4421,25277.0,74926.0,104513.0,92148.0,102557.0
6,00992A,主動群益科技創新,18.75,-0.17,-0.9,166799,05/27,-3467,-5144,-12047,-9272,-21876,-15775.0,38351.0,,,36023.0
7,3231,緯創,145.0,-1.0,-0.68,37563,05/27,-678,-1137,-2419,-9143,-9792,-7126.0,-16408.0,-9272.0,5191.0,-7106.0
8,2312,金寶,37.35,-2.65,-6.62,165750,05/27,-15363,-25484,-26186,-7158,-11308,-8533.0,3558.0,-5737.0,-3716.0,-7819.0
9,3006,晶豪科,241.0,9.5,4.1,30643,05/27,-1479,-1241,-3118,-6581,-3145,-1056.0,-2040.0,10915.0,11591.0,8730.0
10,00891,中信關鍵半導體,36.26,1.15,3.28,60724,05/27,-731,-1893,-5295,-6453,-2704,3490.0,2356.0,3068.0,4437.0,5039.0
11,00680L,元大美債20正2,6.81,0.03,0.44,20250,05/27,-657,-1417,-3128,-6408,-1466,-10137.0,-58509.0,-165631.0,-252363.0,-152020.0
12,2371,大同,29.4,-0.45,-1.51,18425,05/27,-807,-447,-2556,-6146,-10588,-12591.0,-8835.0,-14660.0,-24584.0,-17133.0
13,00637L,元大滬深300正2,21.65,0.06,0.28,23503,05/27,-1047,-3451,-5136,-6063,-9521,-12721.0,-54934.0,-43635.0,-152749.0,-33432.0
14,00688L,國泰20年美債正2,6.8,0.03,0.44,6507,05/27,-360,-1933,-1878,-6007,-3810,-6146.0,-38270.0,-92124.0,-135877.0,-88102.0
15,1303,南亞,95.5,4.7,5.18,123529,05/27,-4071,-3181,-3681,-5827,-9858,-5748.0,-5634.0,2337.0,22477.0,-18266.0
16,00999A,主動野村臺灣高息,10.75,0.09,0.84,70421,05/27,-1004,-2227,-3147,-5749,-7172,,,,,
17,2801,彰銀,20.15,0.0,0.0,25379,05/27,-135,-144,-907,-5392,-3761,-1344.0,384.0,1400.0,-1317.0,2072.0
18,6147,頎邦,265.0,4.5,1.73,81925,05/27,-7514,-8793,-8594,-5332,2344,7341.0,47263.0,46588.0,47756.0,46890.0
19,00982A,主動群益台灣強棒,24.52,0.46,1.91,62003,05/27,98,-2316,-3110,-4667,-2097,2435.0,-1766.0,-7297.0,8889.0,-2061.0
20,3035,智原,202.5,-5.5,-2.64,16773,05/27,222,-2491,-3968,-4131,-4470,-4333.0,-1111.0,-977.0,1617.0,-1354.0
21,2610,華航,18.45,-0.2,-1.07,49752,05/27,-2492,-3127,-5580,-4083,-2990,-2128.0,-2742.0,-5718.0,1385.0,-3251.0
22,2105,正新,31.55,-0.05,-0.16,9034,05/27,245,308,422,-4024,-2654,-1135.0,668.0,4419.0,7731.0,3511.0
23,00664R,國泰臺灣加權反1,1.7,-0.03,-1.73,44876,05/27,-1569,-426,-5852,-3249,-4874,1194.0,-1439.0,-11191.0,17503.0,5513.0
