" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8028昇陽半導體","半導體","9.28","-2.05","-2.85","5.74","-0.12","4.55"," ","31","14.55"," ","56.12","327.00","-7.50"," "
" "," ","2","2492華新科","電子零組件","-0.25","-0.05","4.24","5.43","1.67","2.07"," ","31","13.11"," ","72.39","394.00","4.00"," "
" "," ","3","3048益登","電子通路","0.29","0.30","1.18","7.57","4.54","-1.10"," ","10","12.78"," ","58.11","72.00","-0.20"," "
" "," ","4","2464盟立","其他電子","8.53","4.92","-1.70","-0.89","1.77","-1.01"," ","30","11.62"," ","46.34","184.50","16.50"," "
" "," ","5","4916事欣科","電腦週邊","2.59","-1.46","0.70","0.88","11.94","-3.13"," ","30","11.52"," ","45.03","112.50","10.00"," "
" "," ","6","2375凱美","電子零組件","-0.04","-1.23","1.32","0.61","7.80","2.54"," ","30","11.00"," ","37.67","166.50","5.00"," "
" "," ","7","6770力積電","半導體","-0.72","0.01","3.28","-3.42","0.18","11.58"," ","50","10.91"," ","55.46","88.70","8.00"," "
" "," ","8","2344華邦電","半導體","0.27","0.88","3.04","3.85","-2.56","4.40"," ","31","9.88"," ","74.04","158.00","14.00"," "
" "," ","9","6141柏承","電子零組件","0.80","-0.03","-0.40","-0.88","4.36","5.21"," ","50","9.06"," ","55.31","46.00","2.80"," "
" "," ","10","2369菱生","半導體","-0.82","-0.01","3.37","-2.21","-0.14","8.20"," ","50","8.39"," ","39.83","40.30","0.55"," "
" "," ","11","6282康舒","電子零組件","0.34","0.19","0.68","1.42","2.27","3.13"," ","50","8.03"," ","50.90","59.90","2.20"," "
" "," ","12","3033威健","電子通路","1.28","1.05","3.28","2.49","-0.67","0.50"," ","31","7.93"," ","41.91","50.30","0.20"," "
" "," ","13","4906正文","通信網路","-2.50","-0.09","2.30","1.70","1.05","5.27"," ","31","7.73"," ","35.11","49.70","2.40"," "
" "," ","14","3305昇貿","其他電子","0.75","-1.22","1.54","3.66","-0.56","2.90"," ","31","7.07"," ","50.43","157.50","-0.50"," "
" "," ","15","3704合勤控","通信網路","0.81","0.10","0.06","0.79","2.59","2.27"," ","30","6.62"," ","62.41","46.35","1.00"," "
" "," ","16","3006晶豪科","半導體","-0.94","1.19","2.53","7.22","-4.14","0.75"," ","31","6.61"," ","57.44","246.50","4.00"," "
" "," ","17","2351順德","半導體","1.19","-0.10","1.12","1.79","0.74","1.79"," ","31","6.53"," ","76.37","207.50","-12.50"," "
" "," ","18","6706惠特","光電","-5.58","5.27","1.94","-3.12","2.57","5.24"," ","50","6.32"," ","41.33","205.50","3.00"," "
" "," ","19","6658聯策","其他電子","0.21","1.33","2.18","0.05","3.00","-0.62"," ","30","6.15"," ","46.80","220.00","3.50"," "
