排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,6116,彩晶,17.1,1.55,9.97,289351,05/29,1497,3486,2844,8551,9336,10155.0,9364.0,10147.0,10145.0,10005.0
2,6770,力積電,88.7,8.0,9.91,829646,05/29,4654,5720,5577,6278,6874,7094.0,4592.0,-6615.0,8807.0,-7562.0
3,9105,泰金寶-DR,8.8,0.29,3.41,120115,05/29,1811,2004,3228,3594,5291,5188.0,5090.0,5244.0,5108.0,5167.0
4,2344,華邦電,158.0,14.0,9.72,249880,05/29,1441,419,335,1953,1742,2735.0,-8568.0,-14893.0,2754.0,-24258.0
5,00631L,元大台灣50正2,36.94,2.47,7.17,214462,05/29,765,120,1221,1926,1294,4405.0,15884.0,14766.0,14044.0,16402.0
6,8110,華東,64.9,2.9,4.68,62297,05/29,4,331,586,1579,1989,1967.0,-2729.0,-2690.0,2120.0,-4981.0
7,3717,聯嘉投控,22.6,1.0,4.63,1490,05/29,3,989,989,940,-119,846.0,605.0,985.0,,983.0
8,2481,強茂,162.5,14.5,9.8,40975,05/29,475,612,55,776,1240,1297.0,1121.0,894.0,1529.0,1222.0
9,2486,一詮,264.5,3.5,1.34,6617,05/29,373,487,673,717,539,99.0,-168.0,-572.0,-206.0,-252.0
10,6182,合晶,99.5,8.8,9.7,14736,05/29,-1235,-3500,31,692,749,1645.0,807.0,734.0,1660.0,681.0
11,2303,聯電,144.5,2.5,1.76,366516,05/29,-823,-1531,-487,655,160,2942.0,1236.0,3952.0,719.0,3687.0
12,2002,中鋼,19.1,0.25,1.33,79358,05/29,8,11,-51,616,602,228.0,392.0,487.0,565.0,417.0
13,2436,偉詮電,77.2,0.4,0.52,8183,05/29,-63,106,263,597,1136,1547.0,3224.0,3286.0,2721.0,3293.0
14,6127,九豪,67.3,6.1,9.97,38105,05/29,537,619,596,548,866,902.0,632.0,910.0,910.0,728.0
15,2464,盟立,184.5,16.5,9.82,14604,05/29,228,76,111,509,574,185.0,1500.0,1611.0,1608.0,1632.0
16,00403A,主動統一升級50,10.7,0.23,2.2,466118,05/29,412,319,112,486,1049,,,,,
17,2317,鴻海,289.0,26.0,9.89,289511,05/29,318,365,456,482,356,792.0,-333.0,-987.0,-1384.0,-851.0
18,00637L,元大滬深300正2,22.4,0.86,3.99,40059,05/29,360,393,365,481,-729,-78.0,3793.0,-1664.0,8983.0,-2533.0
19,5328,華容,39.6,3.6,10.0,29948,05/29,316,355,537,475,685,690.0,69.0,95.0,748.0,219.0
20,6821,聯寶,70.1,-1.9,-2.64,841,05/29,-80,-63,106,471,585,436.0,657.0,657.0,657.0,657.0
21,5464,霖宏,83.0,7.5,9.93,2320,05/29,29,320,335,451,796,1540.0,1540.0,1540.0,1538.0,1538.0
22,6147,頎邦,305.5,27.5,9.89,39416,05/29,198,286,113,440,115,504.0,1343.0,1340.0,1330.0,1332.0
23,3532,台勝科,319.0,29.0,10.0,1580,05/29,-153,425,391,429,391,466.0,420.0,462.0,489.0,494.0
24,8150,南茂,113.0,10.0,9.71,13898,05/29,55,261,390,403,-68,422.0,-1003.0,48.0,564.0,296.0
25,1303,南亞,98.1,7.6,8.4,150487,05/29,631,453,575,400,540,-9.0,-2421.0,-3850.0,2665.0,-2408.0
26,2369,菱生,40.3,0.55,1.38,48805,05/29,9,-16,126,342,357,337.0,202.0,189.0,402.0,162.0
27,2324,仁寶,36.7,3.2,9.55,709501,05/29,468,442,414,331,789,897.0,600.0,473.0,385.0,523.0
28,2337,旺宏,166.5,6.5,4.06,170918,05/29,42,230,-35,329,-1164,-2801.0,-9435.0,-3546.0,-1776.0,-5051.0
29,6282,康舒,59.9,2.2,3.81,46989,05/29,56,81,-55,323,635,752.0,207.0,209.0,753.0,313.0
30,1312,國喬,11.35,0.4,3.65,25578,05/29,286,295,294,295,282,276.0,48.0,167.0,217.0,111.0
31,2441,超豐,141.5,0.5,0.35,15708,05/29,-12,6,35,285,-303,1662.0,1753.0,1798.0,1825.0,1745.0
32,0050,元大台灣50,105.4,4.9,4.88,102356,05/29,90,20,233,247,159,31.0,792.0,-172.0,1221.0,-199.0
33,5425,台半,116.5,2.0,1.75,66971,05/29,-130,23,44,247,454,617.0,699.0,562.0,715.0,665.0
34,1409,新纖,22.8,2.05,9.88,18565,05/29,11,219,243,245,243,244.0,143.0,134.0,226.0,147.0
35,8473,山林水,50.4,4.45,9.68,6821,05/29,179,205,224,227,244,244.0,243.0,220.0,247.0,244.0
36,1309,台達化,15.7,-0.55,-3.38,11800,05/29,174,245,214,219,248,430.0,1654.0,1656.0,1637.0,1649.0
37,4923,力士,47.0,-1.85,-3.79,1756,05/29,23,33,27,217,246,475.0,502.0,502.0,502.0,502.0
38,2408,南亞科,347.0,23.0,7.1,140976,05/29,120,307,195,213,-242,-129.0,-6274.0,-14890.0,-15600.0,-14834.0
39,6239,力成,379.0,21.5,6.01,17025,05/29,-14,232,202,209,229,388.0,92.0,358.0,235.0,341.0
40,6197,佳必琪,297.0,14.5,5.13,6988,05/29,58,66,136,186,288,280.0,315.0,325.0,229.0,322.0
41,6548,長科*,68.2,1.8,2.71,27293,05/29,109,140,123,174,174,152.0,157.0,149.0,180.0,140.0
42,0056,元大高股息,50.2,1.37,2.81,58209,05/29,60,42,68,172,134,258.0,40.0,13.0,117.0,-32.0
43,1440,南紡,12.55,0.65,5.46,4969,05/29,171,171,165,171,169,171.0,171.0,151.0,127.0,171.0
44,6456,GIS-KY,76.5,4.9,6.84,18360,05/29,56,-8,120,165,246,198.0,274.0,262.0,275.0,290.0
45,2495,普安,51.5,4.15,8.76,22833,05/29,92,80,124,162,207,201.0,100.0,3.0,219.0,-287.0
46,2402,毅嘉,69.4,3.3,4.99,12427,05/29,125,128,133,161,118,118.0,233.0,217.0,393.0,-143.0
47,3016,嘉晶,138.0,3.5,2.6,23100,05/29,-59,81,75,156,119,29.0,213.0,-271.0,348.0,-4.0
48,3135,凌航,260.5,10.5,4.2,2472,05/29,17,26,81,155,226,,,,,
49,3260,威剛,415.0,10.5,2.6,12937,05/29,59,12,122,154,69,-1584.0,-228.0,-570.0,163.0,-2471.0
