排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2324,仁寶,44.35,4.0,9.91,06/02,-156373,-207962,-212494,-213999,-214268,-214634.0,-200357.0,-105424.0,163291.0,-89920.0
2,1402,遠東新,26.25,1.2,4.79,06/02,-110591,-146716,-142505,-142574,-138174,-116144.0,52656.0,58692.0,69591.0,60815.0
3,2610,華航,19.5,-0.05,-0.26,06/02,-67759,-111728,-114262,-115360,-111345,-114104.0,-1509.0,-100854.0,-3917.0,-57261.0
4,2881,富邦金,113.5,3.0,2.71,06/02,-24174,-65069,-84488,-108491,-123302,-201928.0,-69035.0,-158405.0,34884.0,-86305.0
5,2303,聯電,141.5,-4.5,-3.08,06/02,-29066,-49863,-71043,-78254,-83179,-80168.0,69772.0,-354186.0,-480849.0,-82290.0
6,1102,亞泥,33.8,0.0,0.0,06/02,-79594,-81783,-80935,-77622,-75009,-67459.0,1758.0,70039.0,68172.0,55061.0
7,2882,國泰金,89.2,1.0,1.13,06/02,-1525,-27528,-33390,-48351,-73556,-133127.0,16799.0,-177288.0,12665.0,-43872.0
8,1504,東元,75.5,-3.2,-4.07,06/02,-38692,-45057,-44053,-42369,-41492,-28538.0,-4477.0,-30009.0,36188.0,19471.0
9,2449,京元電子,306.5,-11.5,-3.62,06/02,-4932,-19230,-21202,-37048,-29878,-815.0,56738.0,24812.0,43088.0,53051.0
10,00403A,主動統一升級50,10.7,-0.12,-1.11,06/02,1468,1468,-9338,-32879,-28350,,,,,
11,1802,台玻,71.0,-3.8,-5.08,06/02,1176,519,-981,-29132,-16776,12354.0,44071.0,-2628.0,21508.0,-16030.0
12,2633,台灣高鐵,25.3,0.2,0.8,06/02,-26854,-33023,-33062,-28844,-22840,-19181.0,37957.0,75642.0,57418.0,71742.0
13,2884,玉山金,32.2,0.75,2.38,06/02,-4745,-16167,-11055,-23545,-9333,12521.0,18445.0,181800.0,261533.0,82902.0
14,2474,可成,245.5,22.0,9.84,06/02,-18775,-20645,-21442,-22432,-23515,-23591.0,-15326.0,-14109.0,15046.0,-12048.0
15,00878,國泰永續高股息,32.49,0.5,1.56,06/02,-68,-3830,-16949,-19048,-45770,-28101.0,7319.0,-42405.0,-85525.0,-15954.0
16,00937B,群益ESG投等債20+,14.95,0.13,0.88,06/02,1,2,-11713,-16712,-17525,-20139.0,-2811.0,-54410.0,-74611.0,-42273.0
17,1717,長興,78.7,-2.8,-3.44,06/02,-402,-2269,-7290,-15479,-24525,-12670.0,12481.0,12501.0,41272.0,20438.0
18,00982A,主動群益台灣強棒,23.83,-0.52,-2.14,06/02,4643,-6748,-12862,-13854,-17539,426.0,35353.0,32550.0,47681.0,37173.0
19,00680L,元大美債20正2,6.94,0.1,1.46,06/02,0,0,-5350,-13349,-12850,-19103.0,-48781.0,-86362.0,-132305.0,-79421.0
20,00990A,主動元大AI新經濟,20.17,-0.03,-0.15,06/02,-702,-876,-14782,-13120,-3040,22266.0,15008.0,,,-80684.0
21,009816,凱基台灣TOP50,15.43,0.03,0.19,06/02,211,-6789,-16656,-12115,-19720,41957.0,51777.0,,,
22,2312,金寶,41.3,0.7,1.72,06/02,-364,853,-2217,-10867,-33688,-54284.0,-6844.0,-75632.0,27858.0,-79457.0
23,2609,陽明,53.6,-1.3,-2.37,06/02,-5937,-5911,-7784,-10522,-10712,-2147.0,83837.0,-22267.0,123491.0,27209.0
24,00929,復華台灣科技優息,30.94,0.14,0.45,06/02,-1721,-1289,-8850,-10359,-10135,-10185.0,-2228.0,576.0,19638.0,4044.0
25,0056,元大高股息,52.8,0.9,1.73,06/02,-2191,-5104,-8282,-9777,-21917,-36188.0,23515.0,-43984.0,43445.0,-37173.0
26,00891,中信關鍵半導體,36.41,-0.01,-0.03,06/02,-318,-3421,-8807,-9162,-23550,1648.0,5466.0,4946.0,-2204.0,7694.0
27,6125,廣運,71.0,-2.3,-3.14,06/02,-2469,-2780,-3723,-8804,-9622,-8994.0,-8000.0,-3387.0,-5247.0,-7693.0
28,2317,鴻海,301.5,8.0,2.73,06/02,-271,-2763,-3345,-8676,-17748,-76962.0,8081.0,7474.0,-33647.0,19502.0
29,2408,南亞科,419.5,38.0,9.96,06/02,-2893,-4418,-10354,-7889,211,-15403.0,4518.0,1439.0,-39366.0,16327.0
30,2027,大成鋼,43.65,0.45,1.04,06/02,-176,-430,-112,-7345,-7158,-59816.0,634.0,64626.0,65957.0,28878.0
31,6548,長科*,81.1,6.1,8.13,06/02,-525,-1071,-2986,-6907,-7661,-3294.0,2976.0,3458.0,6556.0,-984.0
32,3711,日月光投控,590.0,-11.0,-1.83,06/02,-5303,-9758,-7667,-6601,1533,16534.0,41512.0,35423.0,-37879.0,40431.0
33,3062,建漢,31.4,0.3,0.96,06/02,-210,-1280,-2394,-5969,-9160,-4763.0,-6689.0,-12822.0,69.0,-14857.0
34,00953B,群益優選非投等債,9.54,0.03,0.32,06/02,-69,-2624,-3426,-5965,-6034,-924.0,7796.0,24708.0,35843.0,28906.0
35,1605,華新,40.45,0.75,1.89,06/02,1101,640,1419,-5761,-6442,-5300.0,-46115.0,-106399.0,62964.0,-115052.0
36,9105,泰金寶-DR,10.5,0.82,8.47,06/02,1986,-1783,-1357,-5430,-19243,-16063.0,-6471.0,-19532.0,5987.0,-19628.0
37,3033,威健,49.7,0.85,1.74,06/02,-73,-2347,-3880,-5399,-4920,-7047.0,-16420.0,-17439.0,-1339.0,-12887.0
