排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
1,2481,強茂,146.0,-11.0,-7.01,06/02,-0.23,1.61,3.51,5.59,5.36,7.59,4.66,1.8,9.11,10.7,7.62,3.02
2,2618,長榮航,37.25,-0.45,-1.19,06/02,0.77,1.47,2.14,2.97,3.85,3.75,4.1,1.43,-7.88,16.6,17.5,1.84
3,8028,昇陽半導體,335.0,-21.5,-6.03,06/02,0.12,0.4,0.89,2.84,2.48,3.45,2.69,5.23,3.05,3.35,,4.25
4,2912,統一超,233.0,5.5,2.42,06/02,0.75,1.51,2.1,2.82,3.49,3.48,1.91,0.73,1.81,5.25,5.12,0.92
5,2603,長榮,231.0,7.0,3.12,06/02,0.69,1.28,1.84,2.77,3.47,2.96,3.33,2.6,-2.13,12.4,15.7,1.52
6,6531,愛普*,1075.0,-50.0,-4.44,06/02,0.0,0.22,1.59,2.37,2.86,6.18,7.02,5.44,7.09,4.21,7.21,5.6
7,2382,廣達,400.5,28.0,7.52,06/02,0.96,1.15,1.55,2.2,3.3,3.26,3.14,3.14,2.08,1.17,4.66,3.04
8,6805,富世達,2190.0,70.0,3.3,06/02,1.35,2.44,2.73,2.13,1.54,-4.66,-6.88,-7.25,-0.78,,,-9.65
9,4966,譜瑞-KY,827.0,-32.0,-3.73,06/02,0.01,0.46,1.98,1.97,1.7,8.31,7.39,11.3,12.0,6.51,1.82,8.73
10,5536,聖暉*,998.0,-7.0,-0.7,06/02,-0.03,0.18,0.15,1.76,2.1,2.29,1.61,2.28,7.25,10.0,9.97,-0.43
11,3450,聯鈞,548.0,9.0,1.67,06/02,0.33,0.56,0.56,1.59,1.6,3.47,1.78,2.16,-2.6,4.19,3.45,3.26
12,2376,技嘉,390.5,3.5,0.9,06/02,0.49,1.11,1.34,1.58,1.67,2.0,1.83,2.43,1.02,-4.41,-0.58,1.75
13,6291,沛亨,620.0,-28.0,-4.32,06/02,0.0,0.0,0.33,1.56,1.84,3.59,6.2,6.38,7.0,7.0,7.0,6.6
14,6488,環球晶,940.0,-10.0,-1.05,06/02,-0.03,-0.19,0.05,1.47,1.27,2.1,3.57,7.09,6.5,7.27,7.32,6.39
15,6274,台燿,1590.0,-115.0,-6.74,06/02,0.23,0.56,0.9,1.46,1.97,2.99,-2.7,-2.0,7.66,12.0,5.53,-6.76
16,2880,華南金,34.05,1.2,3.65,06/02,0.42,0.76,1.07,1.42,1.7,1.5,1.04,2.5,1.83,6.01,6.32,1.24
17,2887,台新新光金,26.1,1.5,6.1,06/02,0.54,0.82,1.03,1.36,1.77,-0.3,0.45,4.97,8.42,10.3,10.4,0.75
18,2379,瑞昱,653.0,44.0,7.22,06/02,0.74,1.01,1.15,1.35,1.46,1.24,-1.85,-2.41,-3.75,1.57,7.66,-2.99
19,4764,雙鍵,302.0,-18.0,-5.62,06/02,0.17,0.29,0.62,1.32,1.62,1.62,1.49,1.62,1.62,1.62,,1.62
20,8114,振樺電,254.5,-5.0,-1.93,06/02,0.15,0.79,0.79,1.25,1.25,1.25,1.15,0.94,0.38,1.57,0.86,2.34
21,3293,鈊象,799.0,30.0,3.9,06/02,0.79,0.95,1.06,1.24,1.84,1.89,1.54,0.45,4.16,3.32,-0.3,0.61
22,2344,華邦電,184.5,16.5,9.82,06/02,0.29,0.42,0.8,1.15,1.31,3.39,3.1,4.77,8.12,7.45,8.24,4.76
23,2356,英業達,80.6,3.4,4.4,06/02,0.25,0.46,0.73,1.14,1.74,1.83,1.56,1.48,-0.85,-3.74,0.46,1.41
24,5871,中租-KY,114.5,6.0,5.53,06/02,0.68,0.81,0.9,1.05,1.5,1.33,0.31,-6.0,-4.91,2.94,3.46,-1.5
25,6706,惠特,207.0,-9.5,-4.39,06/02,0.0,0.0,0.0,0.96,3.13,3.35,5.35,5.35,4.9,5.3,,5.35
26,6182,合晶,90.1,-6.9,-7.11,06/02,0.0,0.0,0.02,0.96,1.0,1.01,1.01,0.98,0.98,-0.57,-0.1,1.01
27,3034,聯詠,507.0,10.5,2.11,06/02,0.26,0.57,0.71,0.9,0.97,1.1,-1.43,-5.38,-12.3,8.94,13.7,-3.55
28,3227,原相,235.0,2.0,0.86,06/02,0.29,0.82,0.84,0.85,0.84,0.89,-0.23,-1.5,-0.24,8.54,8.67,-1.2
29,8112,至上,94.5,3.1,3.39,06/02,0.4,0.84,0.83,0.83,0.82,0.66,-0.64,-1.46,-7.89,-0.34,-1.35,-3.56
30,6409,旭隼,742.0,29.0,4.07,06/02,0.45,0.8,0.8,0.8,0.82,0.74,1.16,1.88,2.05,1.77,1.55,1.52
31,6138,茂達,329.0,-24.0,-6.8,06/02,0.01,0.15,0.59,0.75,1.26,1.14,0.66,0.68,-0.99,-7.84,1.82,0.81
32,1582,信錦,112.0,-2.0,-1.75,06/02,0.0,0.0,0.48,0.73,0.9,2.47,2.63,2.59,0.94,2.76,2.74,2.61
33,3583,辛耘,845.0,-22.0,-2.54,06/02,-0.06,-0.1,0.74,0.72,0.76,3.27,5.33,5.33,5.32,5.42,-0.34,5.33
34,2458,義隆,167.5,0.5,0.3,06/02,0.28,0.72,0.72,0.72,0.87,-0.05,-0.48,-1.74,4.38,13.8,10.2,-4.25
35,8081,致新,284.5,-5.5,-1.9,06/02,0.13,0.66,0.7,0.71,0.69,0.38,0.33,0.54,1.25,0.96,0.39,1.0
36,5289,宜鼎,1875.0,-30.0,-1.57,06/02,0.08,0.1,0.47,0.68,-0.23,1.24,2.69,3.02,0.53,-0.71,2.47,4.41
37,3231,緯創,191.0,17.0,9.77,06/02,0.53,0.58,0.6,0.68,0.7,0.69,0.65,-0.51,-2.11,-6.31,1.42,0.1
38,3014,聯陽,151.0,-1.5,-0.98,06/02,0.18,0.63,0.65,0.66,0.6,0.58,0.5,-0.95,-5.77,2.42,2.76,-0.23
39,9941,裕融,77.0,3.4,4.62,06/02,0.67,0.67,0.66,0.64,0.65,0.98,-1.44,1.42,0.55,1.03,1.02,0.43
40,2542,興富發,42.45,-0.15,-0.35,06/02,0.48,0.48,0.48,0.63,0.63,0.66,-0.11,-1.02,0.32,-2.88,-3.39,-0.52
41,1216,統一,74.2,0.5,0.68,06/02,0.19,0.29,0.43,0.62,0.96,0.9,0.03,1.97,2.5,9.42,9.69,-0.77
42,3653,健策,3990.0,150.0,3.91,06/02,0.22,0.57,0.44,0.61,0.44,-1.19,0.64,0.12,-3.38,-11.1,6.88,-0.93
43,1210,大成,52.8,0.3,0.57,06/02,0.6,0.6,0.6,0.6,0.58,0.45,-0.97,-1.39,-2.22,1.9,1.6,-1.42
44,2597,潤弘,173.5,7.0,4.2,06/02,0.6,0.6,0.6,0.6,0.6,0.59,0.57,0.55,-2.09,0.37,0.65,0.55
45,6831,邁科,686.0,-76.0,-9.97,06/02,0.11,0.23,0.59,0.59,0.91,2.04,2.83,3.0,,,,0.92
46,2347,聯強,91.5,5.0,5.78,06/02,0.56,0.56,0.55,0.59,0.29,0.17,0.48,-4.72,-5.35,-4.78,1.79,-1.11
47,4938,和碩,97.8,6.6,7.24,06/02,0.54,0.59,0.59,0.58,0.71,0.64,0.75,-3.37,-5.9,0.95,0.53,-1.33
48,2855,統一證,49.45,1.25,2.59,06/02,0.58,0.56,0.55,0.55,0.55,0.68,0.88,0.68,0.22,1.07,0.97,0.74
49,3592,瑞鼎,281.5,-3.5,-1.23,06/02,0.07,0.57,0.58,0.55,0.57,1.97,2.27,-9.4,-8.38,2.56,,1.38
50,4961,天鈺,173.0,-2.0,-1.14,06/02,0.17,0.49,0.52,0.54,0.54,0.53,0.39,-2.76,-8.13,1.84,,-0.41
51,3045,台灣大,115.5,1.5,1.32,06/02,0.16,0.25,0.35,0.5,1.13,1.08,0.92,4.25,0.22,8.3,10.9,0.42
52,8454,富邦媒,265.5,24.0,9.94,06/02,0.52,0.52,0.51,0.5,0.5,0.72,0.55,0.82,0.5,0.22,0.56,0.82
53,2886,兆豐金,41.7,0.25,0.6,06/02,0.17,0.27,0.35,0.48,0.72,0.71,0.42,0.36,-1.06,2.58,2.9,0.29
54,5876,上海商銀,41.0,1.2,3.02,06/02,0.1,0.24,0.33,0.48,0.68,0.59,0.78,-1.72,-4.28,4.67,,0.19
55,4904,遠傳,99.5,2.4,2.47,06/02,0.13,0.23,0.35,0.47,0.63,0.51,0.23,-0.41,-4.24,4.92,7.77,-0.17
56,2105,正新,34.0,1.0,3.03,06/02,0.49,0.49,0.49,0.46,0.38,0.28,-0.33,-4.89,-8.27,2.12,1.3,-4.5
57,3042,晶技,210.0,7.5,3.7,06/02,0.02,0.04,0.07,0.46,2.61,2.57,1.21,-1.41,-8.02,1.74,1.7,-0.45
58,2883,凱基金,23.4,0.75,3.31,06/02,0.59,0.58,0.54,0.45,0.49,0.01,-0.01,0.25,3.75,1.29,4.86,0.05
59,9910,豐泰,79.0,7.1,9.87,06/02,0.38,0.38,0.37,0.41,0.41,0.62,1.04,1.33,1.04,1.09,1.09,0.95
60,1815,富喬,109.5,0.5,0.46,06/02,0.01,0.01,0.04,0.41,0.28,-0.2,-3.33,-0.71,-0.96,0.46,0.46,-2.37
61,7828,創新服務,1495.0,45.0,3.1,06/02,0.0,0.0,0.0,0.4,0.73,0.73,,,,,,
62,2408,南亞科,419.5,38.0,9.96,06/02,0.14,0.21,0.37,0.39,-0.19,0.77,-1.23,0.15,1.25,-1.18,2.36,-0.99
63,5269,祥碩,1590.0,70.0,4.61,06/02,0.08,0.28,0.28,0.39,1.23,1.52,1.4,1.87,-7.75,-3.99,1.3,1.7
64,6548,長科*,81.1,6.1,8.13,06/02,0.43,0.43,0.43,0.37,0.33,0.3,0.22,2.43,2.47,2.47,,1.42
65,2357,華碩,920.0,83.0,9.92,06/02,0.1,0.1,0.18,0.36,0.55,0.58,1.32,4.83,5.98,9.16,14.1,0.15
66,1319,東陽,92.1,4.6,5.26,06/02,0.49,0.47,0.41,0.36,0.29,0.54,-0.63,-2.16,-5.47,7.42,4.51,-1.4
67,2493,揚博,147.0,-6.0,-3.92,06/02,0.0,0.32,0.32,0.32,0.33,0.33,0.21,0.48,0.45,0.5,0.5,0.49
68,7769,鴻勁,7175.0,-340.0,-4.52,06/02,0.01,0.04,0.12,0.32,0.23,0.91,1.06,1.99,,,,1.22
69,6526,達發,714.0,41.0,6.09,06/02,0.34,0.36,0.36,0.32,0.35,0.61,0.82,0.83,0.37,,,0.81
70,2337,旺宏,175.5,8.0,4.78,06/02,0.17,0.32,0.32,0.31,-0.09,-0.09,-2.6,0.85,2.39,-2.06,6.11,-0.01
71,2412,中華電,142.0,1.5,1.07,06/02,0.1,0.17,0.24,0.3,0.32,0.45,0.29,0.4,0.01,1.37,1.6,0.4
72,3481,群創,56.2,0.1,0.18,06/02,0.3,0.37,0.37,0.3,0.26,0.31,-0.11,0.39,-0.36,-0.01,-1.8,0.38
73,6890,來億-KY,191.5,17.0,9.74,06/02,0.26,0.29,0.29,0.29,0.29,0.29,0.29,0.15,0.52,,,-0.06
74,2891,中信金,64.1,2.0,3.22,06/02,0.09,0.16,0.23,0.28,0.13,-0.37,-0.34,-2.21,-0.52,9.97,12.4,-0.89
75,6285,啟碁,306.0,-8.0,-2.55,06/02,0.01,0.04,0.07,0.26,-1.24,-0.85,-0.18,1.22,-4.64,7.62,4.07,1.08
76,006201,元大富櫃50,49.55,-0.8,-1.59,06/02,0.08,0.14,-0.04,0.26,0.59,0.93,0.02,-2.39,-7.21,-11.6,-83.5,-1.92
77,2059,川湖,5075.0,-140.0,-2.68,06/02,0.01,0.09,0.28,0.24,0.13,0.61,2.22,-0.33,-2.07,4.37,5.98,-0.96
78,2421,建準,164.5,-0.5,-0.3,06/02,0.04,0.09,0.09,0.24,1.83,2.15,0.96,0.79,0.99,-1.31,1.63,0.95
79,6196,帆宣,517.0,4.0,0.78,06/02,0.01,0.03,0.03,0.22,0.88,1.15,0.92,-2.77,-5.49,1.29,1.25,1.03
