排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00916,國泰全球品牌50,31.09,2.53,8.86,12785,06/02,2262.0,9350.0,9350.0,9350.0,9350.0,3680.0,845.0,3680.0,170.0,6200.0
2,00936,台新永續高息中小,21.59,0.22,1.03,2527,06/02,-8.64,1133.0,1133.0,335.0,722.0,393.0,957.0,-93.5,-95.6,-85.8
3,00940,元大台灣價值高息,12.49,0.22,1.79,65769,06/02,652.0,695.0,735.0,708.0,567.0,1025.0,350.0,152.0,2.67,183.0
4,009818,華南永昌NASDAQxT,20.19,0.15,0.75,1330,06/02,18.2,550.0,550.0,333.0,225.0,225.0,,,,
5,00943,兆豐電子高息等權,22.55,0.13,0.58,255,06/02,71.4,500.0,500.0,500.0,500.0,380.0,500.0,26.3,-35.1,243.0
6,00962,台新AI優息動能,16.08,0.31,1.97,4897,06/02,-19.9,97.2,282.0,174.0,269.0,457.0,153.0,80.0,63.3,32.0
7,00918,大華優利高填息30,31.41,0.95,3.12,126167,06/02,34.2,277.0,264.0,267.0,285.0,179.0,114.0,60.2,6.08,60.5
8,7738,東聯互動,171.0,-3.0,-1.72,62,06/02,2.44,12.0,250.0,250.0,950.0,4100.0,,,,
9,00921,兆豐龍頭等權重,23.11,0.06,0.26,1175,06/02,200.0,200.0,200.0,,,,-75.0,-93.2,-95.8,-92.3
10,00981T,平衡凱基雙核收息,12.18,0.06,0.5,5035,06/02,276.0,295.0,163.0,-41.5,216.0,276.0,-2.47,-41.9,,126.0
11,00878,國泰永續高股息,32.49,0.5,1.56,111981,06/02,122.0,161.0,137.0,140.0,13.6,100.0,52.5,28.9,-44.1,69.5
12,00903,富邦元宇宙,23.25,0.42,1.84,668,06/02,-50.0,-51.5,129.0,129.0,100.0,129.0,-54.3,-52.9,-80.0,-30.4
13,5210,寶碩,29.1,-0.15,-0.51,571,06/02,10.9,45.7,118.0,1598.0,,,,,,
14,7711,永擎,403.5,-9.5,-2.3,1095,06/02,6.31,79.5,114.0,,,,,,,
15,3114,好德,33.6,0.5,1.51,1898,06/02,-1.33,37.4,106.0,85.6,85.2,145.0,90.0,196.0,114.0,34.0
16,4163,鐿鈦,133.0,12.0,9.92,738,06/02,71.0,106.0,106.0,137.0,10.7,371.0,323.0,965.0,573.0,1079.0
17,00946,群益科技高息成長,15.48,0.22,1.44,9181,06/02,-8.51,94.7,104.0,124.0,128.0,642.0,388.0,106.0,-5.18,-21.3
18,00989A,主動摩根美國科技,18.35,0.13,0.71,1261,06/02,27.4,103.0,103.0,34.0,58.3,-5.43,-71.1,-57.7,,-64.8
19,009803,玉山市值動能50,22.11,0.0,0.0,4086,06/02,117.0,112.0,101.0,7.95,17.3,34.7,-42.6,172.0,20.7,77.2
20,00932,兆豐永續高息等權,17.56,0.31,1.8,4224,06/02,0.0,0.0,100.0,100.0,100.0,-37.5,-73.7,-92.6,-95.7,-89.6
21,1315,達新,62.6,0.3,0.48,31,06/02,33.3,100.0,100.0,-79.5,-86.7,-88.4,-91.0,-86.9,-83.7,-88.4
22,6708,天擎,40.85,-0.25,-0.61,48,06/02,20.0,140.0,100.0,,,,,,,
23,7757,金色三麥,110.0,0.0,0.0,89,06/02,20.0,100.0,100.0,200.0,200.0,,,,,
24,00961,FT臺灣永續高息,13.37,0.59,4.62,17029,06/02,112.0,235.0,96.4,40.8,49.0,201.0,415.0,212.0,10150.0,308.0
25,00900,富邦特選高股息30,19.92,0.34,1.74,14975,06/02,9.41,91.1,92.9,112.0,66.8,-14.0,-33.6,-90.2,-83.8,-80.5
26,8367,建新國際,41.0,-0.2,-0.49,22,06/02,0.0,92.3,92.3,-21.9,-13.8,-19.4,-3.85,-56.1,-87.4,-50.0
