排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,9105,泰金寶-DR,11.45,-1.25,-9.84,149437,06/05,7450,8940,11417,36274,39868,41521.0,40834.0,41517.0,41413.0,41441.0
2,00712,復華富時不動產,8.71,0.03,0.35,69328,06/05,11,9005,9005,9005,9009,9069.0,9076.0,9078.0,9074.0,9073.0
3,2887,台新新光金,28.6,0.05,0.18,143711,06/05,616,-3406,-11430,5321,5320,6327.0,5984.0,5055.0,-29580.0,-2967.0
4,2409,友達,27.1,-2.15,-7.35,607775,06/05,1589,-1544,1921,4714,2048,-4827.0,-648.0,14061.0,14007.0,13536.0
5,1718,中纖,9.85,0.17,1.76,205425,06/05,3468,3467,3500,3773,3781,3781.0,3739.0,3748.0,3781.0,3750.0
6,00403A,主動統一升級50,10.41,-0.18,-1.7,588247,06/05,-58,2220,2568,2346,2832,,,,,
7,2883,凱基金,27.6,0.2,0.73,312820,06/05,1574,2186,2254,2304,2301,2282.0,2245.0,2260.0,233.0,1864.0
8,009819,中信數據及電力,10.75,-0.16,-1.47,31243,06/05,-873,543,2166,2168,2168,2167.0,,,,
9,6116,彩晶,18.45,-2.0,-9.78,18629,06/05,-454,-1071,1381,2001,10552,12150.0,11743.0,12136.0,12143.0,12006.0
10,00991A,主動復華未來50,19.22,-0.39,-1.99,122798,06/05,1541,1540,1548,1823,1584,1925.0,2065.0,,,2113.0
11,2451,創見,321.5,-35.5,-9.94,10890,06/05,786,780,781,795,789,785.0,640.0,478.0,854.0,703.0
12,2353,宏碁,38.4,-0.7,-1.79,87069,06/05,-2811,708,232,770,108,1160.0,924.0,-4692.0,1022.0,317.0
13,3016,嘉晶,108.0,-2.5,-2.26,4538,06/05,-158,168,577,701,857,383.0,945.0,438.0,1031.0,697.0
14,00735,國泰臺韓科技,110.5,-4.75,-4.12,10602,06/05,32,690,692,693,686,677.0,662.0,715.0,715.0,715.0
15,6190,萬泰科,81.3,-0.7,-0.85,4130,06/05,238,526,633,651,675,-489.0,613.0,941.0,-305.0,840.0
16,4967,十銓,279.0,-23.0,-7.62,13169,06/05,-213,-35,-11,514,292,-280.0,532.0,-47.0,763.0,-1216.0
17,2367,燿華,63.1,1.1,1.77,35580,06/05,-46,551,473,454,367,572.0,-1927.0,2364.0,2152.0,2259.0
18,3624,光頡,108.0,4.5,4.35,24606,06/05,-113,460,443,449,366,610.0,606.0,487.0,627.0,382.0
19,2382,廣達,390.5,-13.5,-3.34,69276,06/05,79,1,77,420,476,248.0,884.0,579.0,-980.0,841.0
20,3149,正達,90.8,-0.2,-0.22,34191,06/05,496,528,364,409,311,1270.0,1186.0,1223.0,1285.0,1249.0
21,1905,華紙,13.05,-0.95,-6.79,17670,06/05,92,394,395,395,394,378.0,390.0,376.0,368.0,381.0
22,8473,山林水,54.4,-0.2,-0.37,4334,06/05,15,46,116,357,584,601.0,599.0,595.0,603.0,601.0
23,6016,康和證,36.0,0.7,1.98,25247,06/05,131,306,351,354,376,377.0,369.0,389.0,176.0,388.0
24,6547,高端疫苗,48.7,-1.15,-2.31,6436,06/05,89,159,338,305,142,523.0,1033.0,1013.0,980.0,1052.0
25,5309,系統電,74.3,-7.5,-9.17,23931,06/05,-136,130,293,293,104,129.0,186.0,-952.0,261.0,-1868.0
26,3717,聯嘉投控,22.25,-0.6,-2.63,1306,06/05,9,18,91,291,1231,298.0,899.0,1272.0,,1274.0
27,2855,統一證,59.1,3.6,6.49,40684,06/05,190,239,260,273,261,278.0,207.0,202.0,285.0,195.0
28,1514,亞力,135.0,-14.5,-9.7,13749,06/05,-84,192,239,264,256,261.0,151.0,220.0,-82.0,166.0
29,1504,東元,78.4,-8.6,-9.89,102441,06/05,-486,-23,104,260,259,273.0,7.0,-526.0,270.0,-208.0
30,2356,英業達,76.8,-1.0,-1.29,113333,06/05,-463,-251,61,259,395,938.0,738.0,-964.0,274.0,699.0
31,2108,南帝,32.15,1.25,4.05,13802,06/05,24,258,258,258,258,255.0,280.0,268.0,212.0,268.0
32,8043,蜜望實,159.5,14.5,10.0,27885,06/05,330,304,267,254,256,678.0,-207.0,-1095.0,785.0,-1145.0
33,2474,可成,230.5,-11.5,-4.75,18645,06/05,-39,207,231,249,269,273.0,255.0,268.0,208.0,268.0
34,3059,華晶科,48.9,-1.9,-3.74,25945,06/05,54,88,158,247,223,256.0,244.0,237.0,167.0,230.0
35,8936,國統,62.8,2.7,4.49,50625,06/05,113,227,230,233,236,233.0,239.0,233.0,207.0,240.0
36,5392,能率,45.6,-1.35,-2.88,7207,06/05,100,62,28,228,297,273.0,288.0,-83.0,299.0,136.0
37,00680L,元大美債20正2,6.89,0.03,0.44,12681,06/05,182,-7,195,222,272,327.0,214.0,278.0,-1998.0,334.0
38,1301,台塑,48.9,-1.9,-3.74,27308,06/05,-26,-20,-244,216,306,130.0,-1116.0,-696.0,377.0,-116.0
39,1310,台苯,8.95,-0.23,-2.51,6375,06/05,-13,195,211,212,214,214.0,182.0,212.0,211.0,207.0
40,1440,南紡,14.25,-0.4,-2.73,10043,06/05,16,225,358,212,383,383.0,381.0,368.0,359.0,383.0
41,3691,碩禾,160.0,-4.5,-2.74,3536,06/05,55,76,98,209,228,445.0,424.0,422.0,487.0,458.0
42,3376,新日興,237.0,21.5,9.98,15188,06/05,153,125,203,204,195,194.0,140.0,3.0,-628.0,10.0
43,1809,中釉,59.6,1.1,1.88,25659,06/05,38,97,138,201,188,196.0,237.0,348.0,330.0,338.0
44,3689,湧德,141.5,0.5,0.35,4960,06/05,173,174,193,191,181,129.0,99.0,192.0,144.0,84.0
45,4577,達航科技,97.6,-2.4,-2.4,729,06/05,9,22,71,190,195,165.0,148.0,82.0,219.0,140.0
46,8271,宇瞻,222.0,-23.0,-9.39,7397,06/05,191,183,176,188,218,157.0,-8.0,32.0,295.0,-138.0
47,00992A,主動群益科技創新,17.93,-0.27,-1.48,68705,06/05,-93,-32,61,187,125,57.0,951.0,,,958.0
48,2344,華邦電,162.0,-17.5,-9.75,228440,06/05,479,346,-1295,187,2140,2262.0,-6094.0,-17944.0,2301.0,-24071.0
49,1616,億泰,23.25,-1.7,-6.81,2317,06/05,26,183,185,185,174,179.0,185.0,114.0,106.0,177.0
50,1609,大亞,39.1,-3.9,-9.07,23436,06/05,36,156,173,179,197,214.0,191.0,160.0,28.0,167.0
51,6890,來億-KY,242.5,11.0,4.75,9871,06/05,93,160,177,178,178,180.0,132.0,-102.0,129.0,103.0
