排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00681R,元大美債20反1,21.2,0.13,0.62,06/08,88.5,-44.9,-64.5,-19.6,16.5,8.56,7.7,7.76,6.45,3.16,,8.15
2,2542,興富發,41.9,-1.1,-2.56,06/08,-50.2,-54.9,-55.0,-47.7,-36.9,-10.2,-3.06,1.91,-3.38,-1.16,-2.47,-1.17
3,2347,聯強,85.3,-3.0,-3.4,06/08,-42.5,-51.2,-52.2,-50.5,-41.0,-27.2,0.44,9.57,0.4,0.98,-0.77,6.25
4,2105,正新,33.5,-0.6,-1.76,06/08,-53.2,-49.5,-49.0,-45.4,-37.9,-29.4,-17.7,-6.33,-6.23,-3.9,-1.7,-5.11
5,2910,統領,21.6,-0.45,-2.04,06/08,-44.9,-57.6,-46.8,25.2,45.6,0.47,8.6,6.16,1.66,1.49,0.99,9.1
6,6183,關貿,89.1,-1.1,-1.22,06/08,-73.6,-55.0,-46.0,-19.0,7.1,-2.12,4.31,1.73,-0.66,0.86,0.14,2.66
7,1101,台泥,23.85,-0.55,-2.25,06/08,-55.8,-44.2,-45.0,-24.3,-17.9,-25.2,-17.0,-9.28,-6.41,-4.74,-5.18,-10.8
8,1476,儒鴻,337.5,-18.0,-5.06,06/08,-34.6,-35.0,-44.5,-32.0,-4.11,-3.19,-8.51,-5.1,-6.09,-4.57,-1.36,-3.25
9,5007,三星,56.0,-1.1,-1.93,06/08,-79.6,-69.4,-43.5,-3.08,8.76,-2.12,3.23,1.99,0.44,0.34,-0.57,2.04
10,1210,大成,54.0,-0.4,-0.74,06/08,-41.9,-44.5,-43.3,-45.3,-37.8,-30.2,-5.99,-5.81,-4.94,-1.07,-0.65,-3.65
