代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00950B,凱基A級公司債,13.99,-0.07,-0.5,06/08,35,83788,38.3,2.06,0,0,0.0,0.0,-4,-3788,-18.4,-0.09,8,16758,35.4,0.41
00909,國泰數位支付服務,47.32,-2.37,-4.77,06/08,26,26767,26.9,23.0,0,0,0.0,0.0,-1,-342,-7.13,-0.29,35,86870,55.9,74.8
00725B,國泰投資級公司債,35.13,-0.15,-0.43,06/08,24,66541,49.4,1.77,0,0,0.0,0.0,-1,-671,-7.4,-0.02,16,56514,57.5,1.51
00937B,群益ESG投等債20+,14.85,-0.06,-0.4,06/08,21,728707,49.1,4.16,0,0,0.0,0.0,7,94170,16.4,0.54,16,715386,60.9,4.08
00795B,中信美國公債20年,26.63,-0.11,-0.41,06/08,16,57451,44.9,3.23,2,100,0.57,0.01,3,4208,17.4,0.24,16,71177,55.6,4.0
00931B,統一美債20年,13.38,-0.05,-0.37,06/08,16,47826,51.0,2.17,0,0,0.0,0.0,9,10624,20.4,0.48,16,57740,61.5,2.62
00984B,大華優利美A債15,16.3,-0.07,-0.43,06/08,16,23357,63.6,13.8,0,0,0.0,0.0,-1,-820,-24.1,-0.48,16,22300,60.7,13.2
6270,倍微,35.85,3.25,9.97,06/08,16,2595,10.7,3.6,0,0,0.0,0.0,-1,-9,-0.11,-0.01,16,2619,10.8,3.63
6546,正基,73.4,-3.7,-4.8,06/08,16,2300,9.58,3.44,0,0,0.0,0.0,-5,-149,-2.83,-0.22,-1,-19,-2.62,-0.03
00900,富邦特選高股息30,18.7,-1.08,-5.46,06/08,14,48090,27.4,2.76,0,0,0.0,0.0,46,263745,37.2,15.1,46,474444,66.8,27.2
00981D,主動中信非投等債,10.32,0.0,0.0,06/08,14,34027,34.5,5.78,0,0,0.0,0.0,1,173,1.78,0.03,10,26890,40.7,4.57
6412,群電,94.0,-3.9,-3.98,06/08,14,11548,17.7,2.88,-6,-12672,-34.6,-3.16,-2,-197,-1.74,-0.05,-5,-4995,-17.3,-1.25
00687B,國泰20年美債,27.78,-0.09,-0.32,06/08,13,151735,42.3,2.81,2,300,0.45,0.01,9,70845,26.7,1.31,59,799043,51.1,14.8
00772B,中信高評級公司債,33.59,-0.17,-0.5,06/08,13,33650,64.1,0.98,0,0,0.0,0.0,4,2527,18.3,0.07,26,50633,52.2,1.47
00958B,永豐ESG銀行債15+,9.25,-0.03,-0.32,06/08,13,5818,47.6,3.87,0,0,0.0,0.0,-1,-223,-25.3,-0.15,10,5529,54.1,3.68
00970B,新光BBB投等債20+,9.4,-0.03,-0.32,06/08,13,16641,64.9,4.11,0,0,0.0,0.0,-3,-3897,-54.4,-0.96,16,15883,51.3,3.92
3090,日電貿,209.5,-11.5,-5.2,06/08,13,7655,7.43,2.66,0,0,0.0,0.0,-4,-151,-2.02,-0.05,1,15,0.89,0.01
5607,遠雄港,52.4,-0.9,-1.69,06/08,13,2632,24.7,0.71,0,0,0.0,0.0,3,28,1.02,0.01,13,2656,25.0,0.72
00740B,富邦全球投等債,38.62,-0.18,-0.46,06/08,12,18082,60.9,0.83,0,0,0.0,0.0,-12,-14662,-49.4,-0.68,7,2612,14.3,0.12
7610,聯友金屬-創,1780.0,30.0,1.71,06/08,12,815,16.9,1.68,0,0,0.0,0.0,0,0,0.0,0.0,12,792,16.5,1.63
00981B,第一金優選非投債,9.14,-0.01,-0.11,06/08,11,46784,28.8,3.21,0,0,0.0,0.0,-4,-7236,-13.1,-0.5,3,17251,37.8,1.18
1598,岱宇,21.0,-0.3,-1.41,06/08,11,1219,28.6,0.68,0,0,0.0,0.0,1,1,0.21,0.0,11,1231,28.9,0.69
1626,艾美特-KY,10.05,0.0,0.0,06/08,11,213,12.2,0.14,0,0,0.0,0.0,1,1,0.53,0.0,11,214,12.2,0.14
00857B,永豐20年美公債,23.13,-0.08,-0.34,06/08,10,16444,57.3,2.8,0,0,0.0,0.0,7,4611,21.1,0.79,40,51764,54.8,8.82
1268,漢來美食,167.5,-3.0,-1.76,06/08,10,59,19.3,0.14,0,0,0.0,0.0,0,0,0.0,0.0,10,59,19.3,0.14
1506,正道,10.05,-0.15,-1.47,06/08,10,302,5.28,0.1,0,0,0.0,0.0,0,0,0.0,0.0,10,286,5.0,0.1
2609,陽明,51.7,-2.8,-5.14,06/08,10,168704,35.2,4.83,-7,-153219,-36.9,-4.39,-1,-146,-0.22,0.0,-1,-17204,-25.8,-0.49
3533,嘉澤,2290.0,-75.0,-3.17,06/08,10,1685,12.9,1.5,1,12,1.18,0.01,-2,-54,-1.97,-0.05,3,585,11.2,0.52
6170,統振,52.9,-0.3,-0.56,06/08,10,1048,28.3,1.08,0,0,0.0,0.0,0,0,0.0,0.0,10,1049,28.4,1.08
6757,台灣虎航,52.2,-2.2,-4.04,06/08,10,14098,35.0,3.07,-5,-16850,-55.3,-3.67,1,12,0.19,0.0,-3,-4974,-27.7,-1.08
8349,恒耀,41.5,-1.25,-2.92,06/08,10,587,25.6,0.28,0,0,0.0,0.0,0,0,0.0,0.0,10,587,25.6,0.28
9908,大台北,29.25,-0.2,-0.68,06/08,10,746,26.9,0.14,0,0,0.0,0.0,-2,-10,-1.64,0.0,10,746,26.9,0.14
00924,復華S&P500成長,31.89,-0.71,-2.18,06/08,9,2552,8.37,0.57,0,0,0.0,0.0,-1,-418,-12.0,-0.09,-1,-295,-8.49,-0.07
2027,大成鋼,41.8,-2.0,-4.57,06/08,9,68231,27.8,2.64,-5,-40990,-26.7,-1.59,-3,-1290,-1.53,-0.05,-1,-2416,-6.87,-0.09
4167,松瑞藥,20.35,-0.3,-1.45,06/08,9,2799,21.4,0.9,0,0,0.0,0.0,-1,-1,-0.04,0.0,9,2920,22.4,0.94
4306,炎洲,14.95,0.0,0.0,06/08,9,6214,27.0,0.92,0,0,0.0,0.0,0,0,0.0,0.0,9,6209,26.9,0.92
4551,智伸科,139.5,-2.0,-1.41,06/08,9,1883,16.7,1.63,0,0,0.0,0.0,-1,-8,-0.39,-0.01,1,734,36.0,0.64
00756B,群益投等新興公債,31.31,-0.17,-0.54,06/08,8,794,40.3,0.05,0,0,0.0,0.0,2,71,16.1,0.0,13,1088,38.7,0.07
1722,台肥,47.7,-0.55,-1.14,06/08,8,8850,25.1,0.9,-2,-12,-0.12,0.0,1,3,0.06,0.0,8,8848,25.1,0.9
2230,泰茂,26.9,-1.35,-4.78,06/08,8,262,12.2,0.38,0,0,0.0,0.0,-1,-3,-0.86,0.0,8,266,12.4,0.39
2424,隴華,12.6,-0.15,-1.18,06/08,8,116,10.6,0.19,0,0,0.0,0.0,0,0,0.0,0.0,8,116,10.6,0.19
2461,光群雷,20.1,0.6,3.08,06/08,8,4255,13.7,2.43,0,0,0.0,0.0,-1,-22,-0.19,-0.01,8,4233,13.7,2.42
2745,五福,104.5,-2.0,-1.88,06/08,8,447,17.4,1.32,0,0,0.0,0.0,1,0,0.01,0.0,8,438,17.0,1.29
4207,環泰,19.65,0.1,0.51,06/08,8,377,17.2,0.19,0,0,0.0,0.0,0,0,0.0,0.0,8,377,17.2,0.19
4536,拓凱,160.5,-2.0,-1.23,06/08,8,463,20.3,0.51,0,0,0.0,0.0,-1,-1,-0.34,0.0,8,471,20.7,0.52
4907,富宇,37.8,-1.2,-3.08,06/08,8,113,9.69,0.1,0,0,0.0,0.0,-1,-12,-6.28,-0.01,-1,-7,-3.66,-0.01
5288,豐祥-KY,171.5,5.0,3.0,06/08,8,357,21.2,0.51,0,0,0.0,0.0,0,0,0.0,0.0,4,189,21.3,0.27
6121,新普,406.0,-16.5,-3.91,06/08,8,4591,39.4,2.48,-5,-2341,-27.2,-1.27,2,9,0.25,0.0,11,2863,20.1,1.55
6176,瑞儀,94.1,-6.9,-6.83,06/08,8,24058,26.9,5.17,-11,-29504,-26.9,-6.34,-2,-141,-0.49,-0.03,-5,-7780,-12.3,-1.67
