排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,1444,力麗,6.93,-0.17,-2.39,06/09,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2,00882,中信中國高股息,15.81,0.15,0.96,06/09,-87.1,-90.2,-90.2,-90.2,-89.0,-87.1,-87.6,-86.8,-95.6,-89.7
3,00697B,元大美債7-10,35.39,0.01,0.03,06/09,0.0,-77.4,-75.3,-75.3,-69.4,0.0,0.0,-55.6,-86.9,-55.6
4,5905,南仁湖,8.02,-0.05,-0.62,06/09,0.0,-60.8,-60.8,-70.1,-70.3,-70.8,-91.1,-91.1,-92.9,-90.9
5,2633,台灣高鐵,25.4,0.3,1.2,06/09,-0.74,-0.6,-4.06,-63.8,-72.8,-70.6,-44.1,161.0,27.8,105.0
6,6101,寬魚國際,40.6,0.25,0.62,06/09,-24.8,-40.6,-62.8,-58.7,-40.2,-67.3,2.58,-53.1,-77.6,-28.3
7,6936,永鴻生技,33.25,0.45,1.37,06/09,-58.1,-58.1,-58.1,-58.1,-66.0,-75.0,-18.2,50.0,,28.6
8,1402,遠東新,27.7,0.95,3.55,06/09,9.42,-0.24,-11.9,-57.2,-84.4,-83.4,-4.13,60.9,380.0,67.2
9,6154,順發,13.85,0.1,0.73,06/09,-15.6,-15.6,-20.6,-54.2,-64.5,-64.5,-64.5,-62.5,-25.0,-62.5
10,2867,三商壽,8.27,0.3,3.76,06/09,-8.46,-33.3,-39.9,-53.0,-35.0,49.0,,,,
11,00942B,台新美A公司債20+,14.27,-0.06,-0.42,06/09,0.0,-51.6,-51.6,-51.6,-51.6,-15.1,55.1,55.5,-50.7,52.6
12,2610,華航,19.5,0.45,2.36,06/09,-0.67,-3.92,-9.59,-51.3,-77.1,-77.1,-67.2,-77.7,-55.1,-68.8
13,00934,中信成長高股息,28.23,1.07,3.94,06/09,-42.5,-42.5,-42.5,-45.4,-46.1,-90.3,-75.7,162.0,-82.6,162.0
14,2303,聯電,127.5,6.5,5.37,06/09,-2.95,-14.5,-31.0,-44.4,-52.1,-50.4,-38.6,-66.8,-73.8,-52.5
15,3533,嘉澤,2335.0,45.0,1.97,06/09,-24.9,-20.0,-26.8,-43.1,-33.2,-38.6,-58.8,-34.7,100.0,-61.2
16,00902,中信電池及儲能,14.95,0.07,0.47,06/09,43.4,143.0,-42.6,-42.6,-42.6,-44.5,-47.3,-46.4,-72.3,-46.6
17,00988A,主動統一全球創新,20.9,0.65,3.21,06/09,-4.76,-7.5,-6.95,-42.2,-35.0,50.3,158.0,825.0,,360.0
18,1102,亞泥,33.9,0.15,0.44,06/09,0.45,-1.08,-0.36,-41.7,-70.3,-68.6,-45.9,317.0,279.0,85.7
19,3680,家登,519.0,18.0,3.59,06/09,-1.01,-3.17,-5.54,-41.5,-45.3,-59.7,-68.6,-68.8,-59.3,-74.4
20,6160,欣技,17.1,0.2,1.18,06/09,-2.33,-30.0,-30.0,-41.3,-45.1,-46.5,-86.2,-92.0,-92.7,-86.2
21,2609,陽明,51.6,-0.1,-0.19,06/09,-18.8,-29.2,-35.6,-41.0,-43.8,-42.6,-9.49,-48.0,-21.9,-32.3
22,8046,南電,914.0,83.0,9.99,06/09,3.11,6.41,-21.1,-40.7,-39.2,-14.9,15.4,-48.4,-69.2,-21.2
23,3118,進階,33.7,0.05,0.15,06/09,0.0,0.0,0.0,-40.0,-40.0,-38.5,-38.5,-35.1,-63.6,-35.1
24,3529,力旺,3155.0,-45.0,-1.41,06/09,1.79,7.82,16.6,-39.8,-47.9,-72.1,-66.9,-50.3,121.0,-54.6
25,4933,友輝,69.6,0.8,1.16,06/09,-1.78,-16.1,-21.8,-39.7,-48.1,-43.6,-1.43,-51.3,-15.3,-51.5
26,7792,安葆,266.0,9.0,3.5,06/09,0.0,0.0,-20.0,-39.4,5.26,186.0,,,,
27,6861,睿生光電,352.0,10.5,3.07,06/09,-12.0,-14.6,-20.5,-39.2,-31.9,-9.58,51.2,-14.0,416.0,-20.2
28,2027,大成鋼,42.9,1.1,2.63,06/09,0.1,-4.07,-7.7,-38.4,-43.7,-63.5,-52.7,260.0,328.0,-2.46
29,2069,運錩,20.05,0.05,0.25,06/09,-9.66,-7.82,-7.82,-37.8,-37.8,-38.2,-19.3,30.0,16.9,30.0
30,6125,廣運,62.4,-0.7,-1.11,06/09,3.65,3.65,3.65,-37.4,-77.8,-77.9,-76.4,-66.3,-69.7,-75.8
31,00940,元大台灣價值高息,12.36,0.42,3.52,06/09,-16.5,-24.4,-29.5,-37.0,-37.1,-41.8,21.0,45.9,104.0,221.0
32,009820,元大納斯達克精選,10.2,0.11,1.09,06/09,0.0,0.0,0.0,-36.9,-38.0,-51.1,,,,
33,00719B,元大美債1-3,30.84,-0.04,-0.13,06/09,0.0,-36.6,-36.6,-36.6,-36.4,-36.3,-26.4,-5.94,26.2,23.4
34,00757,統一FANG+,129.2,2.1,1.65,06/09,0.04,-11.6,-11.6,-35.9,-11.6,-18.8,-43.2,-28.4,-60.3,-19.1
35,2637,慧洋-KY,80.9,2.4,3.06,06/09,-7.06,-29.9,-32.7,-35.6,-46.9,-47.7,-48.2,-86.3,-92.0,-76.1
36,3596,智易,185.5,4.5,2.49,06/09,1.75,1.85,2.04,-35.5,-44.8,-38.7,113.0,292.0,-37.3,286.0
37,2404,漢唐,1190.0,80.0,7.21,06/09,0.49,0.87,-4.74,-35.5,-41.7,-27.3,114.0,144.0,141.0,93.4
38,6005,群益證,40.65,0.1,0.25,06/09,0.3,-0.76,-2.08,-35.4,-36.7,-42.9,196.0,148.0,-61.4,71.7
39,3628,盈正,71.4,0.9,1.28,06/09,-27.6,-27.6,-31.0,-35.0,-34.6,-31.0,-25.3,-28.7,257.0,-44.2
