排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,3481,群創,49.1,0.75,1.55,124514,06/09,2670,-14226,-36737,-44002,-21111,43960,32675.0,237268.0,217336.0,179403.0
2,6770,力積電,71.5,4.0,5.93,57681,06/09,12,-11216,-21237,-32291,3900,11298,27697.0,41542.0,100333.0,37192.0
3,00403A,主動統一升級50,10.41,0.28,2.76,424730,06/09,-8598,-18600,-18267,-27831,-49932,134412,,,,
4,2337,旺宏,145.5,2.0,1.39,22931,06/09,-32,-3810,-16303,-20871,-21930,-25920,-52535.0,18175.0,68748.0,-2262.0
5,1303,南亞,99.2,1.7,1.74,68162,06/09,-4220,-12869,-18623,-19870,-10664,-21060,-9379.0,-12336.0,14235.0,-24859.0
6,2344,華邦電,156.5,2.5,1.62,203233,06/09,8622,242,-11489,-13858,-7292,-10375,4698.0,-22061.0,72440.0,-32428.0
7,00981A,主動統一台股增長,31.23,1.34,4.48,233150,06/09,-1903,-5216,-6423,-12969,-45769,-61155,89235.0,72842.0,150273.0,55198.0
8,00632R,元大台灣50反1,10.49,-0.28,-2.6,183725,06/09,8172,3958,-11585,-12136,4776,-10495,35053.0,62632.0,113550.0,58651.0
9,2356,英業達,70.6,1.4,2.02,95519,06/09,-175,-260,-610,-11193,3151,10700,5448.0,9457.0,5235.0,7531.0
10,00953B,群益優選非投等債,9.55,0.0,0.0,36998,06/09,-45,-5594,-6639,-9870,-10738,-7165,-14658.0,17116.0,47747.0,23009.0
11,1409,新纖,24.9,0.1,0.4,13881,06/09,-388,-3623,3083,-9650,11978,10880,10243.0,6296.0,15748.0,8760.0
12,2324,仁寶,38.45,-0.15,-0.39,162361,06/09,3769,2258,4176,-8926,7141,7490,33844.0,30826.0,49067.0,32490.0
13,6182,合晶,87.2,7.2,9.0,9833,06/09,-589,-6730,-7308,-8545,-7916,10647,33811.0,35103.0,40084.0,34971.0
14,2409,友達,24.0,-0.4,-1.64,505972,06/09,6486,8527,-5717,-7651,28786,18856,49906.0,115969.0,159447.0,88804.0
15,8150,南茂,95.9,8.7,9.98,59758,06/09,-4670,-6049,-7336,-7409,3457,6009,12009.0,9894.0,20994.0,9424.0
16,3231,緯創,165.5,2.0,1.22,64817,06/09,1893,1374,-806,-7178,-3556,-12808,-18274.0,-16007.0,-5381.0,-9984.0
17,00992A,主動群益科技創新,18.29,0.77,4.39,73036,06/09,-346,-1393,-1185,-6378,-15392,-23185,25113.0,,,24098.0
18,2317,鴻海,277.5,8.0,2.97,74649,06/09,-122,-1488,-3307,-5884,-1414,-1159,-14712.0,-18401.0,-16741.0,-14143.0
19,00680L,元大美債20正2,6.79,-0.01,-0.15,12533,06/09,-2266,-2843,-3461,-5469,-8636,-13261,-42254.0,-180244.0,-240248.0,-159999.0
20,00673R,期元大S&P原油反1,12.69,0.54,4.44,24698,06/09,-3956,-6681,-7969,-5344,-16588,-19462,59396.0,87446.0,58468.0,85954.0
21,00991A,主動復華未來50,19.6,0.91,4.87,67112,06/09,2115,-1386,-2406,-5122,7958,17763,17524.0,,,-17945.0
22,00940,元大台灣價值高息,12.36,0.42,3.52,25058,06/09,84,92,-7410,-5113,891,660,-451.0,-1281.0,-3450.0,-678.0
23,2408,南亞科,363.0,23.5,6.92,99865,06/09,5219,5585,-2930,-5104,-11319,-5678,-4351.0,-37067.0,67137.0,-53784.0
24,1815,富喬,98.9,2.0,2.06,12481,06/09,-320,-3153,-4037,-5050,-8719,-4491,-7680.0,-29169.0,-14906.0,-21123.0
25,2481,強茂,146.0,-2.5,-1.68,40632,06/09,345,-502,-603,-4271,-5733,-1403,-787.0,-8989.0,8844.0,-6419.0
26,2377,微星,139.5,7.5,5.68,20549,06/09,-21,-2753,-2014,-4059,-2621,2266,4816.0,6323.0,13735.0,6214.0
27,00686R,群益臺灣加權反1,1.03,-0.04,-3.74,9483,06/09,-186,-3341,-2560,-3998,-4658,-2724,-3149.0,-6759.0,876.0,-4662.0
28,9105,泰金寶-DR,9.71,-0.64,-6.18,241431,06/09,3599,-1954,-7792,-3761,-4591,-7245,-1910.0,-5104.0,5892.0,-6788.0
29,1605,華新,36.5,0.7,1.96,45362,06/09,-1525,-26052,-24917,-3740,22216,21361,14411.0,12116.0,42793.0,6643.0
30,00687B,國泰20年美債,27.7,-0.08,-0.29,42044,06/09,-206,-512,-3525,-3533,-3959,-2502,-3154.0,-12583.0,-21843.0,-10523.0
31,3006,晶豪科,214.5,7.5,3.62,12031,06/09,492,-293,-1753,-3526,-2654,-3678,-40.0,8622.0,10213.0,7555.0
32,1301,台塑,45.55,-0.3,-0.65,24879,06/09,475,617,738,-3403,-1872,885,-2445.0,-9406.0,-5279.0,-7742.0
33,1785,光洋科,133.0,2.5,1.92,9606,06/09,24,-1607,-2257,-3359,-3333,-10322,3749.0,15814.0,11093.0,8855.0
34,2426,鼎元,68.2,6.2,10.0,13214,06/09,-64,-977,-3337,-3351,-2780,-1696,13718.0,15787.0,15929.0,15335.0
35,8096,擎亞,125.5,6.0,5.02,14220,06/09,81,-2040,-3393,-3266,-3764,-729,5253.0,13386.0,11155.0,12525.0
36,2367,燿華,63.9,3.4,5.62,27138,06/09,-21,-3710,-2652,-3223,-3451,2820,10738.0,12375.0,11326.0,8232.0
37,5347,世界,161.0,4.5,2.88,24191,06/09,759,-816,-1298,-2754,-4043,-2878,6165.0,11004.0,10397.0,11593.0
