排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00702,國泰標普低波高息,24.09,0.15,0.63,30,06/10,,,,-100.0,-100.0,,,-100.0,,
2,00728,第一金工業30,59.2,-2.55,-4.13,297,06/10,,,,-100.0,-100.0,,-100.0,-100.0,-100.0,-100.0
3,00842B,台新美元銀行債,30.42,0.16,0.53,180,06/10,,,-100.0,-100.0,-100.0,,,,,
4,6464,台數科,78.0,0.0,0.0,33,06/10,,,,-100.0,,,,-100.0,-100.0,-100.0
5,6806,森崴能源,4.97,-0.55,-9.96,2311,06/10,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
6,00876,元大全球5G,89.9,-2.95,-3.18,226,06/10,0.0,0.0,0.0,-94.1,-75.0,-75.0,-98.9,-98.6,-75.0,-98.9
7,00875,國泰網路資安,46.48,-1.31,-2.74,386,06/10,,,,-87.5,,-75.0,-66.7,-50.0,-93.3,-66.7
8,00938,凱基優選30,23.2,-0.2,-0.85,4341,06/10,11.1,11.1,-66.7,-83.3,-75.6,,150.0,-52.4,-91.5,0.0
9,00940,元大台灣價值高息,12.04,-0.32,-2.59,32590,06/10,0.52,5.62,6.13,-80.6,116.0,80.0,-11.4,-37.6,-66.1,-27.7
10,3018,隆銘綠能,12.0,-0.1,-0.83,10,06/10,0.0,0.0,0.0,-80.0,-80.0,-83.3,-83.3,-83.3,-83.3,-83.3
11,6615,慧智,33.0,-0.05,-0.15,42,06/10,-70.6,-16.7,-80.8,-79.2,-77.3,-73.7,,,,
12,00731,復華富時高息低波,85.35,-0.25,-0.29,1538,06/10,0.0,0.0,0.0,-78.6,-25.0,-72.7,-92.5,-96.8,-97.9,-96.2
13,00921,兆豐龍頭等權重,22.5,-0.33,-1.45,597,06/10,0.0,-25.0,-50.0,-75.0,200.0,,-76.9,-93.2,-95.8,-92.3
14,00907,永豐優息存股,16.16,-0.07,-0.43,1280,06/10,0.0,0.0,18.2,-69.8,-38.1,-73.2,-16.1,-75.0,-95.5,-44.7
15,00897,富邦基因免疫生技,9.62,-0.02,-0.21,474,06/10,0.0,0.0,0.0,-67.8,0.0,-44.1,-50.0,-90.4,-90.0,-90.3
16,4305,世坤,44.0,-0.2,-0.45,7,06/10,0.0,-66.7,-66.7,-66.7,-66.7,-75.0,-94.1,-93.8,-75.0,-90.9
17,6474,華豫寧,37.1,-0.7,-1.85,49,06/10,-7.41,-34.2,-35.9,-64.8,,,,,,
18,006206,元大上證50,35.99,0.43,1.21,160,06/10,0.0,0.0,0.0,-62.5,0.0,-7.69,-14.3,140.0,-76.5,33.3
19,1315,達新,61.2,-0.3,-0.49,22,06/10,0.0,0.0,-53.8,-60.0,-84.6,-91.3,-92.7,-90.9,-87.8,-91.3
20,00945B,凱基美國非投等債,14.44,0.02,0.14,3471,06/10,5.65,-36.1,-36.1,-58.1,-65.5,0.83,-41.3,-39.3,-82.2,-34.6
21,0051,元大中型100,136.15,-5.7,-4.02,184,06/10,0.0,0.0,-62.5,-57.1,-45.5,-83.8,200.0,500.0,,200.0
22,00958B,永豐ESG銀行債15+,9.26,0.03,0.33,1396,06/10,0.0,0.0,-57.1,-57.1,-57.1,-62.5,-76.9,-85.0,-99.1,-83.3
23,00701,國泰股利精選30,36.02,-0.71,-1.93,2292,06/10,-25.6,-6.45,-56.1,-56.1,-67.0,-71.8,-75.0,-87.1,-84.7,-90.7
24,6671,三能-KY,26.0,-0.45,-1.7,128,06/10,5.71,5.71,-2.63,-52.6,-52.6,-33.9,5.71,8.82,15.6,12.1
25,9942,茂順,119.5,0.0,0.0,47,06/10,-5.88,-51.0,-51.5,-52.0,-53.8,-43.5,-17.2,-67.8,-82.8,-67.1
26,6791,虎門科技,102.5,-2.5,-2.38,58,06/10,1.14,5.36,-50.8,-51.6,-49.3,-48.4,160.0,1867.0,,471.0
27,4770,上品,216.0,-2.5,-1.14,651,06/10,-1.29,-43.9,-51.2,-50.8,-50.7,-23.0,-19.6,26.7,47.2,-1.46
28,00703,台新MSCI中國,18.98,-0.13,-0.68,8,06/10,0.0,0.0,-50.0,-50.0,-50.0,-75.0,-66.7,-91.7,-99.1,-91.7
29,00730,富邦臺灣優質高息,28.49,-0.25,-0.87,292,06/10,0.0,0.0,0.0,-50.0,,-93.1,-96.9,-85.7,-96.7,-93.1
30,00901,永豐智能車供應鏈,44.15,-2.0,-4.33,1124,06/10,-66.7,-66.7,-16.7,-50.0,-44.4,-50.0,-97.8,-99.1,-58.3,-98.7
31,9941,裕融,86.4,2.3,2.73,9201,06/10,0.0,-4.05,-8.72,-48.5,-32.5,-32.9,-35.6,-39.2,54.1,-7.67
32,00713,元大台灣高息低波,58.95,-0.55,-0.92,7991,06/10,-0.78,-20.1,-7.97,-48.2,-18.6,4.1,-63.6,-79.2,-91.0,-77.7
33,00878,國泰永續高股息,31.6,-0.71,-2.2,90018,06/10,-8.67,-0.29,2.57,-47.7,47.0,-4.71,-8.79,-9.93,-61.1,4.05
34,2364,倫飛,68.6,-2.3,-3.24,553,06/10,1.07,-2.3,-18.5,-47.4,-0.12,-7.83,-9.79,-16.5,38.1,-15.6
35,1718,中纖,8.9,-0.51,-5.42,17100,06/10,-12.9,-28.7,-21.3,-45.7,-23.3,-23.5,-29.7,-34.2,-58.8,-32.5
36,8024,佑華,12.15,-0.2,-1.62,98,06/10,-29.2,-29.2,-29.2,-43.2,-44.2,-46.8,-60.5,-75.3,-82.5,-72.1
37,00915,凱基優選高股息30,30.0,-0.62,-2.02,6791,06/10,4.65,2.27,-38.4,-41.6,-64.0,-60.5,-76.3,-92.3,-96.7,-89.3
38,1580,新麥,124.0,-1.5,-1.2,115,06/10,23.8,-31.6,-33.3,-40.9,-29.7,44.4,13.0,-10.3,-35.0,-3.7
39,1303,南亞,94.8,-4.4,-4.44,44237,06/10,-3.86,-16.0,-33.2,-40.3,-21.5,-43.9,-44.9,-34.7,86.9,-48.0
40,006207,復華滬深,32.63,-0.06,-0.18,558,06/10,-40.0,-40.0,-40.0,-40.0,-40.0,0.0,-57.1,-66.7,-99.5,-94.2
41,6127,九豪,77.0,-6.8,-8.11,96811,06/10,-31.8,-18.5,-27.4,-39.7,-9.5,-10.4,42.2,81.3,66.9,21.4
42,2885,元大金,62.3,-2.5,-3.86,30655,06/10,1.5,10.3,-53.1,-39.6,104.0,43.0,59.7,71.7,3.04,117.0
43,00984A,主動安聯台灣高息,15.64,-0.44,-2.74,8001,06/10,-6.31,-17.6,-16.6,-39.0,-30.0,-41.1,-19.5,114.0,,-67.3
44,4426,利勤,7.93,-0.2,-2.46,375,06/10,-3.09,-1.68,-1.24,-38.8,-40.8,-31.6,-24.2,-18.8,-39.7,-18.5
45,1503,士電,217.0,-12.5,-5.45,5857,06/10,-16.2,-8.05,-12.4,-38.6,-19.3,15.2,26.4,-18.7,-37.4,-9.52
46,00969B,元大零息超長美債,8.29,0.05,0.61,1530,06/10,0.0,0.0,0.0,-36.5,-22.3,-12.1,-69.8,-79.3,-88.9,-77.9
47,4581,光隆精密-KY,49.7,0.15,0.3,10,06/10,2.0,2.0,2.0,-36.2,-37.8,-37.8,-21.5,-17.7,-33.8,-22.7
48,6890,來億-KY,280.0,6.0,2.19,2780,06/10,-23.2,-26.4,-16.9,-36.1,-38.7,-39.6,-42.1,-65.7,-3.03,-65.0
49,00895,富邦未來車,49.46,-1.44,-2.83,1237,06/10,0.0,-28.3,-30.5,-35.3,-20.5,-7.04,-65.6,-78.0,-86.9,-77.3
