排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,910322,康師傅-DR,21.45,-0.15,-0.69,06/11,-11.9,-86.0,-88.8,-87.6,-58.0,-50.9,-20.1,-3.96,-8.8,-1.26,-0.19,1.88
2,00689R,國泰20年美債反1,22.19,0.05,0.23,06/11,0.0,0.0,-69.1,-86.2,-20.4,-10.3,-4.95,-3.06,0.06,-0.07,,-3.59
3,00896,中信綠能及電動車,27.45,-0.13,-0.47,06/11,-68.1,-73.6,-69.9,-71.0,-64.8,-57.3,-27.4,-19.5,-17.7,-5.82,,-16.2
4,00985D,主動貝萊德優投等,10.2,0.02,0.2,06/11,-7.8,-5.95,-27.4,-58.9,-34.5,-9.06,,,,,,
5,009803,玉山市值動能50,21.01,-0.09,-0.43,06/11,-55.2,-55.8,-51.1,-52.6,-43.3,-29.8,-12.6,-17.1,-7.69,,,-14.9
6,00910,第一金太空衛星,67.5,0.6,0.9,06/11,-38.7,-44.8,-51.8,-51.0,-48.5,-32.4,-17.4,-13.6,-14.0,-14.7,,-17.4
7,00918,大華優利高填息30,30.3,0.2,0.66,06/11,-44.1,-43.8,-42.6,-49.0,-50.8,-25.4,1.7,3.31,2.13,-21.8,,5.87
8,02001L,富邦蘋果正二N,152.65,-2.25,-1.45,06/11,-84.2,-52.1,-40.5,-46.7,-47.2,-45.8,-43.6,-29.3,-19.6,-6.48,,-31.7
9,00998A,主動復華金融股息,16.35,-0.02,-0.12,06/11,-35.4,-45.9,-32.0,-46.5,-42.5,-5.56,,,,,,
10,2640,大車隊,155.0,-3.0,-1.9,06/11,-32.6,-34.0,-39.5,-45.9,-32.6,-11.2,-1.21,-11.8,-10.6,-4.2,0.39,-11.6
11,009816,凱基台灣TOP50,14.53,-0.13,-0.89,06/11,-33.7,-44.7,-42.0,-45.3,-40.4,-30.5,-17.0,,,,,
12,00685L,群益臺灣加權正2,264.25,-2.45,-0.92,06/11,-27.4,-33.3,-31.0,-43.0,-43.6,-45.2,-31.5,-25.6,-17.4,-12.2,,-26.7
13,2254,巨鎧精密-創,60.0,-0.2,-0.33,06/11,66.7,-11.4,-26.3,-42.6,-24.7,-15.5,0.1,31.0,25.0,,,29.0
14,020036,元大金融配息N,9.14,-0.05,-0.54,06/11,-100.0,46.7,37.5,-42.3,-39.6,-2.65,-1.37,25.0,15.0,19.4,,8.24
15,1752,南光,32.7,-0.15,-0.46,06/11,-38.2,-39.9,-41.4,-42.0,-11.0,-13.0,-3.27,-4.05,-2.77,-1.48,-0.19,-3.1
