排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,020001,富邦存股雙十N,27.31,0.0,0.0,06/16,,100.0,100.0,100.0,100.0,100.0,99.4,91.6,93.5,41.5,,91.6
2,00786B,元大10年IG銀行債,32.84,0.0,0.0,06/16,66.0,87.6,94.2,94.5,94.0,71.7,61.8,48.0,36.3,-6.98,,59.0
3,020012,富邦行動通訊N,25.2,0.25,1.0,06/16,100.0,92.6,92.6,93.1,93.3,96.4,70.1,63.8,80.6,55.7,,63.2
4,020032,元大綠能N,10.87,0.0,0.0,06/16,,,91.7,92.6,63.0,62.0,55.6,43.9,52.5,22.3,,40.5
5,00788B,元大10年IG電能債,30.18,-0.13,-0.43,06/16,33.3,46.7,68.8,91.5,59.9,53.6,60.8,44.1,41.2,-7.17,,48.8
6,00989B,台新美國非投等債,10.09,0.02,0.2,06/16,93.7,78.4,88.8,90.9,85.0,84.5,,,,,,
7,00986B,FT金融債10+,9.91,-0.02,-0.2,06/16,-48.8,28.7,95.6,90.4,85.3,67.0,17.3,10.3,,,,11.6
8,00959B,大華投等美債15Y+,9.42,-0.05,-0.53,06/16,25.1,64.2,77.2,87.3,69.6,63.5,57.3,51.3,45.5,,,52.4
9,020038,元大ESG配息N,14.26,0.05,0.35,06/16,100.0,92.0,66.7,84.8,82.8,33.1,43.2,52.6,58.0,,,50.2
10,00984B,大華優利美A債15,16.42,-0.07,-0.42,06/16,12.2,74.8,88.1,84.8,70.0,64.0,46.4,-21.5,-12.6,,,-17.8
11,00983A,主動中信ARK創新,11.94,0.22,1.88,06/16,87.0,83.6,81.7,83.6,74.0,68.3,53.7,29.2,,,,30.7
12,00684R,期元大美元指反1,15.1,0.0,0.0,06/16,91.1,78.1,57.0,77.0,91.1,51.3,-0.83,18.2,13.0,-6.55,,17.3
13,00982B,FT投資級債20+,9.86,-0.08,-0.8,06/16,-52.6,40.6,75.2,76.2,72.6,35.7,38.7,37.4,9.25,,,38.5
14,00857B,永豐20年美公債,23.31,-0.1,-0.43,06/16,-18.3,42.8,55.6,75.6,69.2,64.8,51.5,48.7,32.6,-4.12,,50.0
15,00688L,國泰20年美債正2,6.89,-0.12,-1.71,06/16,27.5,52.4,66.4,75.1,81.3,66.8,61.9,65.7,33.6,-3.07,,65.5
16,00707R,期元大S&P日圓反1,32.24,0.0,0.0,06/16,,,,75.0,55.6,69.3,0.58,0.07,0.62,4.59,,0.42
17,00931B,統一美債20年,13.49,-0.06,-0.44,06/16,27.2,48.8,62.8,71.7,69.1,63.3,52.2,38.5,38.7,,,38.2
18,00717,富邦美國特別股,15.1,0.06,0.4,06/16,83.8,75.3,72.0,71.2,66.1,76.3,78.9,69.0,61.6,50.6,,69.4
19,00645,富邦日本,56.25,-0.1,-0.18,06/16,-12.2,14.4,19.0,67.8,56.1,54.1,38.2,2.37,0.7,-3.95,-4.14,2.24
20,00958B,永豐ESG銀行債15+,9.33,-0.04,-0.43,06/16,78.6,61.0,68.8,67.7,59.2,45.1,49.6,47.2,37.5,,,48.0
21,020041,兆豐半導體氣候N,19.7,0.25,1.29,06/16,0.0,25.7,48.1,65.7,59.5,50.2,14.3,-2.25,-2.14,,,-2.25
22,00709,富邦歐洲,39.25,-0.63,-1.58,06/16,-38.9,32.2,55.0,65.1,52.3,46.0,28.8,4.37,-5.98,-4.13,,6.28
23,00942B,台新美A公司債20+,14.37,-0.07,-0.48,06/16,12.0,33.6,56.9,63.3,53.3,27.2,31.2,64.7,59.0,,,65.1
24,00680L,元大美債20正2,6.91,-0.12,-1.71,06/16,51.0,56.2,60.0,62.3,73.9,58.4,53.9,57.0,29.9,-1.68,,56.1
25,00957B,兆豐US優選投等債,13.53,-0.06,-0.44,06/16,23.1,47.1,48.8,62.2,57.6,52.2,42.2,16.2,5.12,,,18.3
26,00983B,大華優利美公債20,15.63,-0.08,-0.51,06/16,-52.0,-40.5,62.3,61.4,32.2,33.0,31.4,-12.4,-1.73,,,-11.5
27,020029,元大ESG高股息N,18.45,0.16,0.87,06/16,38.5,48.4,40.5,61.0,37.3,39.6,70.0,68.3,69.2,39.6,,69.1
28,00772B,中信高評級公司債,33.67,-0.19,-0.56,06/16,23.6,49.8,59.9,61.0,61.8,59.9,46.8,45.2,33.6,7.48,,45.0
29,00932,兆豐永續高息等權,17.44,-0.15,-0.85,06/16,42.4,64.6,68.7,60.4,60.7,67.0,69.1,68.1,63.7,,,67.8
30,00986D,主動復華金融債息,14.83,0.03,0.2,06/16,45.2,31.6,36.8,59.6,55.7,62.6,,,,,,
31,00795B,中信美國公債20年,26.82,-0.15,-0.56,06/16,4.82,22.9,43.4,59.2,60.6,55.9,35.2,43.3,26.2,-3.4,,45.0
32,009813,貝萊德標普卓越50,11.15,0.05,0.45,06/16,80.8,66.8,63.5,58.8,47.5,55.0,51.7,29.4,,,,30.7
