排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,00717,富邦美國特別股,15.1,0.06,0.4,06/16,63.0,87.7,83.2,79.9,70.0,74.9,80.2,68.6,59.9,43.8,,68.6
2,00986B,FT金融債10+,9.91,-0.02,-0.2,06/16,-48.8,-16.0,93.6,75.6,70.8,36.8,43.0,41.2,,,,48.6
3,00870B,元大15年EM主權債,28.65,-0.04,-0.14,06/16,0.0,0.0,79.5,72.9,43.1,11.9,98.7,97.5,95.7,75.8,,97.7
4,00714,群益道瓊美國地產,21.79,-0.25,-1.13,06/16,83.7,66.9,56.4,59.1,49.9,37.4,27.1,17.7,8.24,2.08,,19.9
5,00958B,永豐ESG銀行債15+,9.33,-0.04,-0.43,06/16,-0.79,65.8,67.0,54.5,54.2,36.5,31.4,17.8,10.3,,,19.0
6,00694B,富邦美債1-3,41.64,0.07,0.17,06/16,81.5,69.0,56.5,50.9,44.2,-2.64,23.3,25.1,26.7,14.7,,23.8
7,00898,國泰基因免疫革命,8.44,0.01,0.12,06/16,71.0,67.4,70.1,50.0,51.0,38.5,48.7,42.1,37.7,34.8,,42.0
8,00983A,主動中信ARK創新,11.94,0.22,1.88,06/16,37.0,41.5,42.6,49.1,37.0,29.9,22.3,10.8,,,,11.5
9,00984B,大華優利美A債15,16.42,-0.07,-0.42,06/16,-3.91,55.1,75.7,48.5,48.2,57.3,50.2,12.7,9.26,,,15.0
10,00661,元大日經225,89.8,0.5,0.56,06/16,-0.81,1.74,10.6,48.3,36.5,26.5,11.7,4.61,3.21,0.93,0.81,4.73
11,00772B,中信高評級公司債,33.67,-0.19,-0.56,06/16,-17.4,30.0,35.2,47.4,44.7,52.3,47.0,44.4,35.0,13.9,,43.7
12,009801,中信美國創新科技,12.56,0.24,1.95,06/16,-0.39,48.8,56.0,45.9,33.4,22.5,14.9,10.6,10.2,,,11.3
13,2637,慧洋-KY,78.4,-0.8,-1.01,06/16,4.32,15.0,31.6,45.8,32.3,24.9,21.6,23.8,11.4,2.52,0.78,23.0
14,00959B,大華投等美債15Y+,9.42,-0.05,-0.53,06/16,-42.7,12.9,36.9,43.9,51.5,51.0,41.7,33.0,36.4,,,33.2
15,00931B,統一美債20年,13.49,-0.06,-0.44,06/16,64.0,54.2,54.1,43.9,44.5,49.2,44.4,32.1,34.9,,,31.5
16,1434,福懋,16.8,0.05,0.3,06/16,39.8,45.6,50.4,43.8,23.8,8.43,-1.96,5.13,1.19,-0.98,-2.84,5.06
17,00875,國泰網路資安,47.38,-0.28,-0.59,06/16,-6.79,34.0,44.2,43.2,11.5,2.07,11.0,7.81,13.1,14.8,,8.51
18,1439,雋揚,25.2,0.1,0.4,06/16,57.1,33.1,34.7,43.2,17.1,48.8,22.2,6.95,4.19,1.76,-0.68,8.91
19,00942B,台新美A公司債20+,14.37,-0.07,-0.48,06/16,-62.3,7.56,44.4,42.2,43.6,29.5,34.9,60.6,54.4,,,61.4
20,3045,台灣大,120.5,1.0,0.84,06/16,38.6,25.8,24.8,41.4,34.0,4.18,13.4,-0.56,-0.49,0.12,-4.91,11.1
21,2034,允強,20.7,-0.1,-0.48,06/16,27.4,42.3,51.8,41.0,29.5,12.5,5.83,0.81,-4.86,-1.96,-0.81,0.21
22,00982B,FT投資級債20+,9.86,-0.08,-0.8,06/16,-17.6,-1.63,43.6,41.0,67.3,46.8,40.8,17.5,3.01,,,18.5
23,00950B,凱基A級公司債,14.1,-0.05,-0.35,06/16,-26.7,47.2,53.5,40.2,39.7,35.7,35.4,51.1,49.4,,,49.8
24,00725B,國泰投資級公司債,35.4,-0.19,-0.53,06/16,-21.4,24.0,33.2,40.2,40.4,46.8,25.2,21.4,10.5,5.98,,21.5
25,2892,第一金,31.8,0.5,1.6,06/16,10.9,25.6,37.4,40.0,34.9,-11.7,-1.42,10.2,1.35,2.16,1.22,-0.37
26,2801,彰銀,22.8,0.15,0.66,06/16,31.2,27.0,40.7,38.9,34.8,8.31,-0.85,-0.43,4.5,3.38,1.77,-0.35
27,2820,華票,17.85,0.1,0.56,06/16,72.9,39.5,36.6,38.4,42.8,25.2,11.5,6.96,9.94,5.93,0.73,6.86
28,1227,佳格,28.85,-0.1,-0.35,06/16,10.9,-21.1,5.02,37.4,31.5,24.8,8.25,6.09,0.72,0.28,-5.42,6.06
29,00773B,中信優先金融債,35.9,-0.12,-0.33,06/16,-44.7,19.6,32.6,36.6,13.5,24.2,31.0,28.9,22.7,25.3,,29.1
30,9925,新保,40.65,-0.15,-0.37,06/16,4.66,1.74,13.6,36.4,27.1,5.51,-13.0,-6.67,-4.08,-1.14,-0.49,-6.53
31,2062,橋椿,19.2,0.0,0.0,06/16,17.2,20.0,46.6,35.3,16.7,13.3,2.63,-0.75,0.33,-0.02,-0.68,-1.03
