代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
0050,元大台灣50,105.9,0.65,0.62,26W25,06/16,1,23558,13.8,0.12,20,161393,1.23,0.79,1,10944,6.39,0.05,1,43902,25.6,0.22
2330,台積電,2400.0,25.0,1.05,26W25,06/16,1,9265,13.8,0.04,9,69824,3.99,0.27,-1,-50,-0.07,0.0,1,13137,19.5,0.05
3026,禾伸堂,815.0,-25.0,-2.98,26W25,06/16,-1,-4162,-18.8,-2.51,9,13837,5.56,8.34,-3,-949,-2.18,-0.57,-1,-3396,-15.3,-2.05
2327,國巨*,950.0,10.0,1.06,26W25,06/16,1,8849,7.27,0.43,8,86689,4.52,4.18,1,270,0.22,0.01,1,13056,10.7,0.63
0056,元大高股息,51.55,0.05,0.1,26W25,06/16,1,8518,13.3,0.06,7,6635,0.32,0.05,1,5207,8.12,0.04,1,13955,21.8,0.1
00935,野村臺灣新科技50,61.35,0.5,0.82,26W25,06/16,1,2038,7.49,0.28,7,5792,0.94,0.8,1,2617,9.61,0.36,1,4997,18.4,0.69
2412,中華電,146.5,1.0,0.69,26W25,06/16,2,7035,7.09,0.09,7,41869,8.56,0.54,7,7810,1.6,0.1,3,21391,11.5,0.28
2542,興富發,45.05,-0.4,-0.88,26W25,06/16,1,1595,6.97,0.07,7,83227,15.4,3.83,-1,-297,-1.3,-0.01,3,28389,9.91,1.31
6196,帆宣,541.0,-32.0,-5.58,26W25,06/16,-1,-1387,-17.9,-0.63,7,3496,3.46,1.59,-1,-91,-1.18,-0.04,-1,-1313,-16.9,-0.6
2376,技嘉,348.0,-1.5,-0.43,26W25,06/16,-1,-335,-2.96,-0.05,6,17224,3.51,2.57,1,45,0.4,0.01,4,17283,5.93,2.58
2492,華新科,494.0,44.5,9.9,26W25,06/16,7,65260,14.9,13.4,6,8579,2.79,1.77,1,960,10.1,0.2,7,77601,17.7,16.0
4938,和碩,83.0,-0.5,-0.6,26W25,06/16,1,4304,4.7,0.16,6,115337,15.7,4.3,1,623,0.68,0.02,1,5346,5.84,0.2
5536,聖暉*,1175.0,-80.0,-6.37,26W25,06/16,3,2756,16.0,2.22,6,3219,6.08,2.59,1,14,0.64,0.01,6,7672,14.5,6.18
6770,力積電,71.0,-2.3,-3.14,26W25,06/16,-3,-325423,-16.8,-6.91,6,5634,0.09,0.12,1,3625,0.96,0.08,-3,-347402,-17.9,-7.38
1101,台泥,24.5,-0.35,-1.41,26W25,06/16,-12,-308776,-18.3,-4.1,5,2481,0.34,0.03,-2,-1893,-0.77,-0.03,-12,-308759,-18.3,-4.1
1723,中碳,88.4,-1.6,-1.78,26W25,06/16,4,2178,12.2,0.92,5,598,2.83,0.25,1,40,1.33,0.02,7,3614,12.6,1.53
2002,中鋼,18.65,-0.35,-1.84,26W25,06/16,-9,-470673,-18.2,-2.99,5,3779,0.22,0.02,5,6527,0.37,0.04,-9,-467784,-18.1,-2.97
2382,廣達,362.5,-7.5,-2.03,26W25,06/16,-6,-273649,-20.4,-7.08,5,289434,23.9,7.49,1,1229,2.89,0.03,-1,-1778,-4.18,-0.05
2801,彰銀,22.8,0.15,0.66,26W25,06/16,3,147752,28.3,1.26,5,30872,3.99,0.26,1,570,1.08,0.0,3,164334,31.5,1.4
2886,兆豐金,44.5,0.5,1.14,26W25,06/16,-1,-1796,-3.46,-0.01,5,129790,14.0,0.87,2,3488,1.42,0.02,8,110167,8.93,0.74
2887,台新新光金,32.3,0.7,2.22,26W25,06/16,3,147615,7.55,0.59,5,636320,19.3,2.56,-1,-266,-0.11,0.0,3,562059,28.7,2.26
2892,第一金,31.8,0.5,1.6,26W25,06/16,3,222592,30.0,1.55,5,62024,4.23,0.43,7,4812,0.26,0.03,3,266216,35.9,1.85
2912,統一超,228.0,0.0,0.0,26W25,06/16,-5,-59719,-33.7,-5.74,5,54484,30.8,5.24,1,31,0.52,0.0,-2,-4391,-18.1,-0.42
3015,全漢,57.0,-1.4,-2.4,26W25,06/16,-6,-1781,-2.49,-0.95,5,936,1.34,0.5,-2,-151,-0.79,-0.08,-3,-867,-1.37,-0.46
3034,聯詠,500.0,5.0,1.01,26W25,06/16,2,2538,8.17,0.42,5,7006,5.59,1.15,2,390,1.25,0.06,7,27993,13.1,4.6
3042,晶技,229.0,-9.5,-3.98,26W25,06/16,1,4719,5.32,1.38,5,11116,1.42,3.24,1,2423,2.73,0.71,1,7663,8.63,2.23
3045,台灣大,120.5,1.0,0.84,26W25,06/16,3,41275,25.9,1.11,5,48822,14.4,1.31,-3,-1684,-1.06,-0.05,3,54056,34.0,1.45
3708,上緯投控,117.0,-2.0,-1.68,26W25,06/16,-1,-20,-2.46,-0.02,5,207,0.67,0.22,-3,-251,-2.41,-0.27,-1,-27,-3.32,-0.03
5309,系統電,66.9,-2.2,-3.18,26W25,06/16,-3,-4678,-2.35,-2.03,5,405,0.13,0.18,-4,-949,-0.37,-0.41,-3,-5184,-2.61,-2.25
5871,中租-KY,116.5,-2.0,-1.69,26W25,06/16,-4,-66710,-23.9,-3.9,5,88654,26.9,5.18,1,74,0.3,0.0,-1,-7663,-30.7,-0.45
5880,合庫金,24.6,0.45,1.86,26W25,06/16,3,97309,25.8,0.62,5,4493,0.75,0.03,7,5149,0.67,0.03,3,104482,27.7,0.67
6187,萬潤,1140.0,10.0,0.88,26W25,06/16,-2,-1422,-8.04,-1.45,5,1650,2.48,1.68,1,41,0.69,0.04,1,53,0.9,0.05
6191,精成科,100.5,-2.5,-2.43,26W25,06/16,1,7775,19.0,1.56,5,1510,0.8,0.3,1,250,0.61,0.05,1,8420,20.6,1.69
6509,聚和,47.5,0.65,1.39,26W25,06/16,2,516,2.25,0.26,5,425,0.48,0.22,1,1,0.03,0.0,7,15114,11.2,7.69
7828,創新服務,2000.0,-80.0,-3.85,26W25,06/16,5,642,7.08,1.58,5,695,7.67,1.72,1,5,0.41,0.01,5,1394,15.4,3.44
8109,博大,117.0,-2.0,-1.68,26W25,06/16,-1,-67,-12.4,-0.08,5,411,4.65,0.5,-1,-1,-0.19,0.0,-1,-51,-9.44,-0.06
8215,明基材,29.15,-1.4,-4.58,26W25,06/16,-2,-3654,-12.8,-1.14,5,620,0.59,0.19,4,126,0.14,0.04,-2,-3403,-11.9,-1.06
8926,台汽電,76.8,4.4,6.08,26W25,06/16,3,7475,4.47,0.9,5,2719,0.87,0.33,5,358,0.11,0.04,7,28148,6.9,3.39
1303,南亞,115.0,-2.0,-1.71,26W25,06/16,4,182459,12.8,2.3,4,19650,1.38,0.25,1,162,0.08,0.0,4,200385,14.1,2.53
2377,微星,136.5,-3.5,-2.5,26W25,06/16,-1,-1521,-4.34,-0.18,4,2986,0.47,0.35,-4,-1621,-0.25,-0.19,-1,-1124,-3.21,-0.13
2379,瑞昱,678.0,44.0,6.94,26W25,06/16,1,1564,22.8,0.3,4,27887,25.6,5.41,1,89,1.29,0.02,14,31188,10.4,6.05
2633,台灣高鐵,26.15,0.6,2.35,26W25,06/16,-9,-94070,-16.5,-1.67,4,10598,2.51,0.19,2,138,0.2,0.0,1,4271,18.3,0.08
6274,台燿,1610.0,40.0,2.55,26W25,06/16,1,1739,16.0,0.6,4,8735,6.94,3.0,-4,-3111,-2.47,-1.07,1,2132,19.6,0.73
9910,豐泰,78.0,-1.1,-1.39,26W25,06/16,1,863,3.75,0.09,4,36275,24.2,3.67,-2,-1655,-2.05,-0.17,3,7958,5.9,0.81
1210,大成,55.6,-0.2,-0.36,26W25,06/16,-7,-41254,-30.0,-4.61,3,45654,48.7,5.1,-2,-116,-0.24,-0.01,3,11218,12.0,1.25
1402,遠東新,28.55,1.0,3.63,26W25,06/16,1,16506,28.4,0.31,3,119208,16.1,2.23,1,348,0.6,0.01,1,30378,52.2,0.57
1605,華新,39.15,-0.85,-2.12,26W25,06/16,-1,-280,-0.23,-0.01,3,1488,0.16,0.03,1,2844,2.3,0.06,8,145559,6.86,3.28
2105,正新,33.95,0.05,0.15,26W25,06/16,-9,-210234,-31.1,-6.49,3,120660,34.5,3.72,-1,-4707,-10.5,-0.15,-9,-87967,-13.0,-2.71
2408,南亞科,425.0,29.5,7.46,26W25,06/16,4,149338,6.29,4.82,3,18699,1.25,0.6,-5,-13191,-0.43,-0.43,4,151216,6.37,4.88
2597,潤弘,187.5,-3.0,-1.57,26W25,06/16,-4,-4611,-11.7,-1.48,3,14185,40.1,4.57,1,14,0.63,0.0,-1,-74,-3.34,-0.02
2812,台中銀,19.75,0.15,0.77,26W25,06/16,2,16580,13.2,0.28,3,1415,0.54,0.02,2,247,0.2,0.0,2,17689,14.1,0.29
2855,統一證,52.6,1.2,2.33,26W25,06/16,-3,-91912,-33.1,-5.74,3,72324,26.0,4.52,0,0,0.0,0.0,-3,-19588,-7.05,-1.22
2883,凱基金,29.7,0.9,3.12,26W25,06/16,1,49803,23.9,0.27,3,793155,31.9,4.27,4,14976,0.51,0.08,1,63163,30.2,0.34
2884,玉山金,35.2,0.55,1.59,26W25,06/16,3,186548,25.1,1.15,3,21666,2.92,0.13,2,1663,0.41,0.01,3,209361,28.2,1.29
3008,大立光,4860.0,440.0,9.95,26W25,06/16,1,193,2.77,0.15,3,830,2.24,0.63,1,148,2.13,0.11,2,700,2.72,0.54
3265,台星科,172.0,-4.5,-2.55,26W25,06/16,-1,-594,-35.6,-0.44,3,315,1.57,0.23,-3,-223,-1.11,-0.16,-1,-615,-36.8,-0.45
