排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00731,復華富時高息低波,90.35,1.25,1.4,790,06/17,112.0,914.0,4633.0,4633.0,914.0,2267.0,914.0,73.2,2.9,77.5
2,00980T,平衡凱基美國TOP,11.43,-0.03,-0.26,190,06/17,1438.0,1438.0,1438.0,1438.0,1438.0,1438.0,720.0,-0.81,,21.8
3,00936,台新永續高息中小,20.49,-0.02,-0.1,3377,06/17,1.35,-5.06,582.0,582.0,1400.0,582.0,1400.0,-90.6,-95.4,-85.6
4,00981T,平衡凱基雙核收息,12.2,0.0,0.0,1724,06/17,-2.24,-3.68,385.0,-16.6,65.8,404.0,72.4,50.6,,274.0
5,00907,永豐優息存股,16.46,0.07,0.43,1644,06/17,136.0,268.0,346.0,381.0,45.3,331.0,331.0,25.0,-78.0,166.0
6,00998A,主動復華金融股息,16.88,0.02,0.12,6461,06/17,-8.21,-17.6,247.0,232.0,561.0,268.0,,,,
7,006205,富邦上証,41.07,-0.03,-0.07,215,06/17,200.0,200.0,200.0,200.0,200.0,567.0,-75.7,-88.6,-92.4,-85.0
8,5876,上海商銀,42.8,0.2,0.47,12054,06/17,0.2,0.49,194.0,187.0,203.0,245.0,167.0,81.6,543.0,111.0
9,2867,三商壽,8.62,0.09,1.06,19212,06/17,3.06,126.0,184.0,262.0,596.0,,,,,
10,1315,達新,61.7,0.2,0.33,41,06/17,38.5,50.0,157.0,200.0,20.0,-70.0,-78.0,-72.7,-64.0,-73.9
11,009801,中信美國創新科技,12.43,-0.13,-1.04,502,06/17,-1.41,-45.1,150.0,141.0,106.0,47.4,-19.5,-84.7,-91.8,-84.6
12,00938,凱基優選30,24.47,0.27,1.12,2682,06/17,-93.7,-93.6,133.0,-30.0,-88.3,-86.0,40.0,-41.7,-96.6,-30.0
13,2385,群光,115.0,-1.5,-1.29,8243,06/17,7.77,20.0,119.0,109.0,60.3,46.3,7.89,-13.1,24.3,-14.4
14,0055,元大MSCI金融,42.66,0.68,1.62,1852,06/17,201.0,218.0,112.0,91.5,315.0,555.0,575.0,927.0,2411.0,391.0
15,6474,華豫寧,38.1,0.05,0.13,51,06/17,19.6,112.0,112.0,120.0,-22.5,,,,,
16,00985D,主動貝萊德優投等,10.19,0.01,0.1,125,06/17,0.0,500.0,100.0,-80.3,1100.0,1100.0,,,,
17,2910,統領,22.55,-1.1,-4.65,36,06/17,-33.3,100.0,100.0,100.0,100.0,-20.0,-20.0,-88.2,-93.8,-85.2
18,00768B,復華20年美債,50.3,0.3,0.6,482,06/17,0.0,0.0,98.0,226.0,288.0,10000.0,10000.0,1920.0,,1920.0
19,4946,辣椒,110.5,0.5,0.45,101,06/17,-2.19,83.6,91.4,793.0,,,,,,
20,00406A,主動中信台灣收益,10.13,0.05,0.5,24249,06/17,45.3,63.2,90.4,,,,,,,
21,9910,豐泰,72.8,-5.2,-6.67,5619,06/17,21.6,38.5,81.9,66.5,40.3,-33.3,148.0,629.0,342.0,505.0
22,4551,智伸科,201.5,18.0,9.81,2543,06/17,37.4,52.7,78.8,105.0,101.0,113.0,78.2,59.9,226.0,56.0
23,2434,統懋,36.5,-1.5,-3.95,379,06/17,-14.0,71.2,76.2,78.0,76.2,674.0,585.0,394.0,5833.0,559.0
24,00404A,主動聯博動能50,10.09,0.0,0.0,23476,06/17,12.3,63.6,75.2,125.0,,,,,,
25,00762,元大全球AI,120.75,-0.8,-0.66,133,06/17,10.0,30.5,75.0,67.4,48.1,28.3,10.0,-45.4,-49.7,-46.2
26,00917,中信特選金融,22.67,0.28,1.25,766,06/17,26.8,52.9,73.3,142.0,64.2,82.5,131.0,,976.0,1386.0
27,009809,富邦淨零ESG50,17.38,-0.02,-0.11,226,06/17,0.0,66.7,66.7,87.5,150.0,275.0,150.0,36.4,,66.7
28,1817,凱撒衛,40.45,0.1,0.25,41,06/17,-6.06,29.2,63.2,55.0,55.0,82.4,82.4,-13.9,-61.2,-29.5
29,2838,聯邦銀,22.45,0.4,1.81,2894,06/17,32.6,31.9,61.9,28.0,106.0,112.0,317.0,414.0,145.0,366.0
30,3285,微端,46.7,0.7,1.52,585,06/17,20.6,58.0,58.0,46.3,136.0,210.0,121.0,35.0,-11.0,49.8
31,6449,鈺邦,445.0,26.5,6.33,4883,06/17,21.4,43.3,57.0,53.6,47.8,28.3,113.0,72.4,121.0,69.9
32,8042,金山電,195.5,3.0,1.56,19754,06/17,4.54,53.7,56.5,181.0,144.0,32.0,144.0,118.0,942.0,124.0
33,6432,今展科,79.0,7.1,9.87,4792,06/17,17.0,16.8,53.5,74.2,90.2,16.6,63.9,36.7,272.0,36.0
34,2633,台灣高鐵,26.15,0.0,0.0,16104,06/17,-6.52,-10.4,51.8,51.1,30.1,59.3,53.5,120.0,65.0,112.0
35,2302,麗正,45.0,3.2,7.66,20830,06/17,35.7,46.2,49.8,55.1,30.8,45.1,115.0,86.3,82.1,88.0
36,00962,台新AI優息動能,14.82,0.12,0.82,752,06/17,2.7,3.75,47.6,32.8,-3.8,220.0,174.0,19.2,45.5,14.3
37,6683,雍智科技,1640.0,-85.0,-4.93,2359,06/17,0.04,19.4,44.7,29.4,9.14,32.1,22.3,287.0,,269.0
38,7769,鴻勁,7330.0,-30.0,-0.41,479,06/17,8.76,3.47,44.7,73.3,198.0,,,,,
