排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00882,中信中國高股息,15.52,-0.3,-1.9,06/18,106.0,116.0,319.0,986.0,6.95,40.6,35.1,14.1,-52.1,11.7
2,00634R,富邦上証反1,3.02,-0.03,-0.98,06/18,0.0,0.0,0.0,704.0,704.0,704.0,704.0,704.0,330.0,704.0
3,00998A,主動復華金融股息,16.88,0.0,0.0,06/18,0.0,0.0,104.0,436.0,539.0,11888.0,,,,
4,8472,夠麻吉,85.5,-1.1,-1.27,06/18,0.0,0.0,50.0,200.0,200.0,,,,,
5,4924,欣厚-KY,11.4,-0.15,-1.3,06/18,27.3,75.0,75.0,180.0,,1300.0,,,,
6,3443,創意,4860.0,-215.0,-4.24,06/18,48.1,115.0,156.0,171.0,118.0,193.0,153.0,122.0,-32.1,128.0
7,6936,永鴻生技,33.4,-0.2,-0.6,06/18,66.7,66.7,66.7,150.0,-88.4,-92.6,-86.1,-61.5,,-64.3
8,5210,寶碩,30.0,0.35,1.18,06/18,0.0,0.0,90.6,144.0,307.0,,,,,
9,6525,捷敏-KY,143.0,13.0,10.0,06/18,-0.72,22.5,53.9,135.0,151.0,190.0,240.0,243.0,255.0,243.0
10,7610,聯友金屬-創,2315.0,210.0,9.98,06/18,94.5,94.5,94.5,118.0,106.0,,,,,
11,3491,昇達科,1560.0,10.0,0.65,06/18,4.17,16.4,27.6,85.5,111.0,58.7,88.9,17.6,59.1,48.1
12,3090,日電貿,332.5,30.0,9.92,06/18,8.06,30.6,63.3,83.5,50.2,47.9,-6.1,-1.04,260.0,-18.9
13,7769,鴻勁,6975.0,-355.0,-4.84,06/18,24.9,28.5,27.0,63.7,60.1,64.9,61.3,,,
14,7757,金色三麥,100.0,-1.0,-0.99,06/18,12.5,28.6,50.0,63.6,157.0,1700.0,,,,
15,8021,尖點,543.0,1.0,0.18,06/18,-2.79,-7.63,-7.0,62.3,119.0,15.4,-29.3,-55.3,111.0,-53.2
16,4904,遠傳,108.5,-1.0,-0.91,06/18,36.0,60.1,60.5,61.7,96.9,218.0,258.0,78.7,-62.8,181.0
17,1590,亞德客-KY,1380.0,60.0,4.55,06/18,28.1,43.8,48.9,60.3,82.9,30.5,56.0,-35.4,-41.4,-29.0
18,2911,麗嬰房,8.01,-0.07,-0.87,06/18,0.83,1.68,1.68,59.2,505.0,,,,,
19,7788,松川精密,292.0,17.0,6.18,06/18,24.8,56.7,80.8,58.4,303.0,281.0,,,,
20,6708,天擎,39.8,0.6,1.53,06/18,10.0,22.2,22.2,57.1,450.0,,,,,
21,6285,啟碁,274.0,3.5,1.29,06/18,-4.86,-2.78,20.2,55.5,64.3,6.34,-43.0,-12.9,-23.7,-30.7
22,7744,崴寶,483.0,-4.0,-0.82,06/18,4.35,2.13,2.13,54.8,71.4,33.3,-9.43,,,
23,6725,矽科宏晟,367.0,33.0,9.88,06/18,1.04,48.1,51.6,54.0,51.6,96.0,123.0,,,
24,2495,普安,52.1,-1.7,-3.16,06/18,3.72,3.23,9.3,51.1,91.9,22.9,17.9,-16.6,150.0,-19.1
25,6913,鴻呈,126.0,0.0,0.0,06/18,3.49,9.48,35.1,49.7,17.5,-47.9,-27.8,-58.0,4.97,-57.3
26,3048,益登,73.5,0.9,1.24,06/18,-2.27,-7.06,-2.18,44.6,69.5,40.0,-41.8,-53.9,132.0,-49.8
27,6615,慧智,34.5,-0.1,-0.29,06/18,18.2,18.2,30.0,44.4,44.4,44.4,,,,
28,3652,精聯,40.2,2.95,7.92,06/18,15.3,23.0,28.2,44.3,69.7,52.5,121.0,119.0,-35.7,117.0
29,2313,華通,259.5,-4.5,-1.7,06/18,0.71,11.8,33.3,44.0,24.4,2.79,-25.3,51.7,37.9,5.59
30,8105,凌巨,21.9,0.5,2.34,06/18,0.6,8.23,15.5,42.9,155.0,157.0,107.0,282.0,205.0,263.0
31,8040,九暘,94.8,1.3,1.39,06/18,3.62,8.95,28.7,42.7,46.1,34.7,171.0,188.0,44.9,185.0
32,2537,聯上發,12.0,0.0,0.0,06/18,6.37,14.4,26.4,42.6,57.0,66.4,17.1,6.78,-12.7,2.91
33,3083,網龍,29.55,-0.3,-1.01,06/18,3.86,10.1,22.0,42.6,61.7,65.9,62.8,83.2,31.1,82.8
34,2105,正新,29.65,-0.05,-0.17,06/18,2.48,8.95,19.5,41.3,112.0,207.0,109.0,14.7,53.2,-1.37
35,6570,維田,54.6,0.7,1.3,06/18,2.33,8.2,20.0,40.4,40.4,14.8,-52.3,-66.1,-76.3,-61.6
36,6907,雅特力-KY,135.5,3.5,2.65,06/18,23.7,24.5,19.7,40.3,64.9,262.0,,,,
37,6834,天二科技,101.5,9.1,9.85,06/18,1.34,8.08,37.5,39.8,38.4,35.9,5.07,-18.1,55.0,-17.2
38,8261,富鼎,215.0,19.5,9.97,06/18,-2.95,-0.36,7.98,39.7,46.1,148.0,98.0,-9.19,413.0,-9.81
39,2855,統一證,52.2,0.6,1.16,06/18,3.98,12.9,18.3,39.7,310.0,287.0,663.0,450.0,114.0,472.0
40,4976,佳凌,43.9,2.2,5.28,06/18,23.3,30.0,37.6,38.9,79.0,56.4,12.8,39.1,81.3,43.2
41,1476,儒鴻,327.0,3.5,1.08,06/18,3.25,11.0,23.0,38.4,39.9,1.95,90.1,-35.0,66.2,-37.7
42,4933,友輝,67.4,-0.6,-0.88,06/18,1.4,-0.34,20.1,37.6,22.8,-15.6,13.0,-24.4,27.9,-23.7
43,6971,惠民實業,27.8,0.5,1.83,06/18,37.5,37.5,37.5,37.5,37.5,100.0,,,,
44,2375,凱美,219.0,19.5,9.77,06/18,-3.93,2.94,42.5,36.9,19.9,-26.0,8.71,-45.7,34.9,-45.9
45,2527,宏璟,39.8,0.9,2.31,06/18,1.59,19.4,40.7,35.9,44.1,33.8,2.7,25.9,-11.6,28.8
46,6666,羅麗芬-KY,42.95,0.15,0.35,06/18,0.0,5.49,12.9,35.2,54.8,71.4,92.0,47.7,52.4,50.0
47,6419,京晨科,149.5,11.0,7.94,06/18,0.0,14.9,29.9,35.1,19.0,81.8,28.2,163.0,,108.0
48,6026,福邦證,17.05,0.05,0.29,06/18,7.29,35.2,36.8,34.4,16.6,-8.26,45.4,102.0,10.8,102.0
49,4760,勤凱,375.0,7.0,1.9,06/18,12.5,18.6,32.1,33.8,49.8,54.7,101.0,-20.3,218.0,-30.4
50,1303,南亞,139.0,12.5,9.88,06/18,22.5,30.9,41.4,32.0,16.4,-64.5,-86.2,-95.0,-97.3,-95.9
51,1218,泰山,17.9,-0.05,-0.28,06/18,8.62,16.9,27.2,31.9,24.1,26.9,-8.09,-49.7,103.0,-49.2
52,7717,萊德光電-KY,546.0,0.0,0.0,06/18,3.57,11.5,13.7,30.8,25.2,54.0,1060.0,,,
53,6290,良維,319.5,15.5,5.1,06/18,12.4,19.2,27.4,30.1,25.3,7.15,93.0,26.3,114.0,22.0
54,6125,廣運,63.6,2.9,4.78,06/18,8.16,7.56,12.8,30.0,52.9,-69.1,-65.7,-53.0,-52.6,-64.3
55,2642,宅配通,21.05,-0.05,-0.24,06/18,3.84,6.87,9.12,29.6,69.9,44.3,53.6,59.1,109.0,61.1
56,7751,竑騰,1485.0,30.0,2.06,06/18,5.26,5.26,21.2,29.0,37.9,208.0,29.0,5.26,,-14.9
57,1210,大成,54.7,-0.4,-0.73,06/18,2.94,7.58,14.0,28.9,72.6,161.0,207.0,101.0,241.0,119.0
58,00918,大華優利高填息30,32.0,0.6,1.91,06/18,0.04,14.9,29.5,28.6,46.4,71.9,202.0,-20.9,-12.3,-10.8
59,00857B,永豐20年美公債,23.62,0.18,0.77,06/18,-1.03,-1.03,28.4,28.4,-7.11,-7.19,117.0,18.9,-82.7,0.91
60,3441,聯一光,92.3,3.2,3.59,06/18,9.51,4.85,14.3,27.6,15.2,24.7,68.8,110.0,87.0,102.0
61,4915,致伸,75.9,-0.1,-0.13,06/18,7.0,14.5,23.3,27.6,29.7,44.8,191.0,433.0,164.0,335.0
62,5457,宣德,37.1,0.35,0.95,06/18,3.54,10.4,21.9,27.6,33.6,102.0,88.0,59.1,91.0,68.0
