證券代號,證券名稱,交易別,成交價,成交股數,成交金額
2101,南港,逐筆交易,32.00,"8,020,000","256,640,000"
6902,GOGOLOOK,逐筆交易,120.00,"4,888,000","586,560,000"
2308,台達電,配對交易,"2,169.88","102,000","221,327,760"
2308,台達電,配對交易,"2,169.87","27,000","58,586,490"
2308,台達電,配對交易,"2,150.00","1,375,000","2,956,250,000"
2308,台達電,配對交易,"2,124.89","10,000","21,248,900"
2317,鴻海,配對交易,271.37,"135,090","36,659,373"
2317,鴻海,配對交易,271.36,"211,580","57,414,349"
2317,鴻海,配對交易,271.35,"86,420","23,450,067"
2317,鴻海,配對交易,271.34,"101,910","27,652,259"
2317,鴻海,配對交易,242.00,"1,009,000","244,178,000"
2327,國巨*,配對交易,"1,070.37","243,000","260,099,910"
2327,國巨*,配對交易,"1,070.35","207,000","221,562,450"
2327,國巨*,配對交易,"1,066.31","16,000","17,060,960"
2330,台積電,配對交易,"2,510.00","1,000,000","2,510,000,000"
2330,台積電,配對交易,"2,508.66","76,000","190,658,160"
2330,台積電,配對交易,"2,508.65","25,000","62,716,250"
2330,台積電,配對交易,"2,498.73","7,000","17,491,110"
2330,台積電,配對交易,"2,496.77","7,000","17,477,390"
2330,台積電,配對交易,"2,493.23","89,000","221,897,470"
2330,台積電,配對交易,"2,493.22","137,200","342,069,784"
2330,台積電,配對交易,"2,493.21","185,000","461,243,850"
2330,台積電,配對交易,"2,493.20","256,800","640,253,760"
2330,台積電,配對交易,"2,455.00","20,000","49,100,000"
2360,致茂,配對交易,"2,317.50","47,000","108,922,500"
2382,廣達,配對交易,378.78,"210,000","79,543,800"
2382,廣達,配對交易,378.39,"529,000","200,168,310"
2395,研華,配對交易,497.25,"40,000","19,890,000"
2408,南亞科,配對交易,497.90,"109,000","54,271,100"
2536,宏普,配對交易,24.00,"630,000","15,120,000"
2603,長榮,配對交易,192.75,"502,000","96,760,500"
2603,長榮,配對交易,191.79,"164,000","31,453,560"
2603,長榮,配對交易,191.19,"100,000","19,119,000"
2882A,國泰特,配對交易,62.00,"625,000","38,750,000"
2883,凱基金,配對交易,30.37,"541,000","16,430,170"
2885,元大金,配對交易,68.26,"244,000","16,655,440"
2886,兆豐金,配對交易,44.68,"417,000","18,631,560"
2891,中信金,配對交易,70.66,"234,000","16,534,440"
3533,嘉澤,配對交易,"2,314.56","14,000","32,403,840"
3661,世芯-KY,配對交易,"4,490.00","131,000","588,190,000"
3661,世芯-KY,配對交易,"3,945.00","180,000","710,100,000"
3711,日月光投控,配對交易,671.16,"25,080","16,832,693"
3711,日月光投控,配對交易,671.14,"670,000","449,663,800"
3711,日月光投控,配對交易,671.13,"40,920","27,462,640"
5538,東明-KY,配對交易,32.30,"1,287,000","41,570,100"
6214,精誠,配對交易,155.00,"104,000","16,120,000"
總計,,,,"25,079,000","12,116,191,745"
