排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
301,1256,鮮活果汁-KY,市,06/23,,180.0,-1.0,-0.55,139,24.4,181.0,180.0,180.0,173.5,3.59,13.6,1.54,,,,,
302,3715,定穎投控,市,06/23,,180.0,-14.5,-7.46,19356,3628.0,194.5,195.0,196.0,180.0,8.23,186.0,4.75,,,,,
303,6922,宸曜,櫃,06/23,,180.0,-5.5,-2.96,146,26.6,185.5,186.5,186.5,180.0,3.5,25.4,4.91,,,,,
304,2707,晶華,市,06/23,,179.0,0.5,0.28,181,32.2,178.5,178.5,179.0,177.0,1.12,12.8,6.45,,,,,
305,4571,鈞興-KY,市,06/23,,179.0,-2.5,-1.38,458,81.8,181.5,183.0,183.0,175.0,4.41,19.8,2.76,,,,,
306,2752,豆府,櫃,06/23,,178.5,0.0,0.0,21,3.66,178.5,178.0,179.0,177.5,0.84,11.7,4.21,,,,,
307,6568,宏觀,櫃,06/23,,178.0,-2.0,-1.11,310,55.0,180.0,180.0,181.0,174.5,3.61,43.8,3.59,,,,,
308,8042,金山電,櫃,06/23,,177.5,-13.0,-6.82,1481,266.0,190.5,191.0,191.0,177.0,7.35,56.5,5.45,,,,,
309,3570,大塚,櫃,06/23,,177.0,-1.5,-0.84,37,6.61,178.5,178.0,178.5,176.0,1.4,12.9,3.03,,,,,
310,5236,凌陽創新,櫃,06/23,,176.5,0.5,0.28,500,88.0,176.0,176.0,178.5,173.5,2.84,18.5,4.61,,,,,
311,6690,安碁資訊,櫃,06/23,,176.0,-3.5,-1.95,179,31.7,179.5,180.0,180.0,175.5,2.51,16.6,1.8,,,,,
312,2597,潤弘,市,06/23,,175.5,2.0,1.15,445,77.6,173.5,174.5,175.5,173.0,1.44,15.4,5.86,,,,,
313,3217,優群,櫃,06/23,,175.0,-1.5,-0.85,1437,252.0,176.5,176.5,179.0,173.0,3.4,14.0,3.03,,,,,
314,4961,天鈺,市,06/23,,174.5,-3.0,-1.69,2330,420.0,177.5,183.0,187.5,173.5,7.89,21.1,1.19,,,,,
315,1773,勝一,市,06/23,,174.0,-4.5,-2.52,502,87.5,178.5,179.5,179.5,172.5,3.92,24.0,4.4,,,,,
316,5209,新鼎,櫃,06/23,,174.0,-0.5,-0.29,109,19.0,174.5,175.0,178.0,172.5,3.15,9.72,5.67,,,,,
317,2645,長榮航太,市,06/23,,173.5,0.0,0.0,1682,292.0,173.5,174.5,176.0,170.5,3.17,26.5,5.13,,,,,
318,5483,中美晶,櫃,06/23,,173.5,-7.0,-3.88,12565,2213.0,180.5,181.5,181.5,173.0,4.71,23.7,2.16,,,,,
319,8416,實威,櫃,06/23,,172.5,0.0,0.0,10,1.78,172.5,172.0,173.0,172.0,0.58,12.3,2.75,,,,,
320,2337,旺宏,市,06/23,,172.0,-13.5,-7.28,206976,37085.0,185.5,188.0,192.0,168.5,12.7,,6.72,,,,,
321,2464,盟立,市,06/23,,172.0,-1.0,-0.58,13981,2416.0,173.0,174.0,176.5,168.0,4.91,,7.06,,,,,
322,3416,融程電,市,06/23,,171.5,-6.0,-3.38,338,58.3,177.5,179.0,179.0,171.0,4.51,23.5,4.25,,,,,
323,8083,瑞穎,櫃,06/23,,171.5,-2.0,-1.15,38,6.5,173.5,174.0,174.0,171.5,1.44,16.1,4.56,,,,,
324,2072,世紀風電,市,06/23,,171.0,-4.5,-2.56,393,67.8,175.5,175.0,175.0,171.0,2.28,11.7,1.41,,,,,
325,5474,聰泰,櫃,06/23,,171.0,-8.5,-4.74,424,74.2,179.5,179.5,182.5,171.0,6.41,34.0,3.61,,,,,
326,6525,捷敏-KY,市,06/23,,170.5,15.5,10.0,10989,1811.0,155.0,153.5,170.5,153.0,11.3,28.0,5.02,,,,,
327,2303,聯電,市,06/23,,170.0,10.0,6.25,550643,94917.0,160.0,173.0,176.0,167.5,5.31,42.5,5.26,,,,,
328,1268,漢來美食,櫃,06/23,,169.5,-0.5,-0.29,33,5.5,170.0,170.0,170.0,168.5,0.88,14.6,2.8,,,,,
329,3289,宜特,櫃,06/23,,169.5,-9.5,-5.31,4098,722.0,179.0,182.0,183.0,169.0,7.82,35.1,3.07,,,,,
330,6732,昇佳電子,櫃,06/23,,169.5,3.0,1.8,447,76.8,166.5,169.0,178.5,168.5,6.01,26.7,2.03,,,,,
331,7738,東聯互動,櫃,06/23,,169.5,-2.5,-1.45,36,6.19,172.0,171.0,172.5,169.5,1.74,12.2,2.56,,,,,
332,2458,義隆,市,06/23,,166.0,-12.5,-7.0,7403,1253.0,178.5,176.0,176.5,166.0,5.88,18.3,4.91,,,,,
333,6762,達亞,櫃,06/23,,165.0,0.0,0.0,2,0.39,165.0,165.0,165.0,165.0,0.0,,4.53,,,,,
334,4536,拓凱,市,06/23,,164.5,-0.5,-0.3,140,23.0,165.0,165.5,165.5,163.5,1.21,12.3,1.63,,,,,
335,2729,瓦城,櫃,06/23,,163.5,-0.5,-0.3,92,15.1,164.0,164.0,166.0,163.0,1.83,26.9,2.77,,,,,
336,6706,惠特,市,06/23,,163.5,-6.5,-3.82,2444,404.0,170.0,172.0,172.0,161.0,6.47,,3.41,,,,,
337,3581,博磊,櫃,06/23,,162.0,-16.0,-8.99,393,64.4,178.0,178.0,178.0,161.0,9.55,121.0,9.13,,,,,
338,3014,聯陽,市,06/23,,161.0,0.5,0.31,4488,730.0,160.5,163.0,166.0,158.5,4.67,16.9,4.31,,,,,
339,7827,漢康-KY創,市,06/23,,161.0,2.0,1.26,746,120.0,159.0,163.0,164.0,156.0,5.03,,48.94,,,,,
340,6907,雅特力-KY,櫃,06/23,,160.0,14.5,9.97,3273,520.0,145.5,156.5,160.0,153.0,4.81,58.6,6.7,,,,,
341,8086,宏捷科,櫃,06/23,,159.5,-6.0,-3.63,4588,748.0,165.5,166.0,167.5,159.0,5.14,35.8,3.82,,,,,
342,3624,光頡,櫃,06/23,,159.0,-17.5,-9.92,20055,3268.0,176.5,172.0,178.0,159.0,10.8,76.8,5.23,,,,,
343,3231,緯創,市,06/23,,158.5,-4.0,-2.46,46745,7469.0,162.5,163.0,163.5,158.0,3.38,15.7,2.65,,,,,
344,6579,研揚,市,06/23,,158.5,-9.0,-5.37,650,105.0,167.5,167.5,167.5,157.0,6.27,21.5,2.57,,,,,
345,6263,普萊德,櫃,06/23,,158.0,-5.0,-3.07,332,52.5,163.0,163.0,163.0,155.5,4.6,19.0,5.22,,,,,
346,3019,亞光,市,06/23,,157.0,-6.0,-3.68,8760,1380.0,163.0,164.5,164.5,155.0,5.83,23.0,3.07,,,,,
347,6166,凌華,市,06/23,,156.5,-1.5,-0.95,2442,382.0,158.0,159.5,160.0,153.0,4.43,43.5,5.89,,,,,
348,8064,東捷,櫃,06/23,,156.0,-9.5,-5.74,10467,1667.0,165.5,165.5,166.5,153.0,8.16,66.1,6.66,,,,,
349,6207,雷科,櫃,06/23,,155.5,-10.0,-6.04,13749,2197.0,165.5,168.0,168.0,155.0,7.85,259.0,6.21,,,,,
350,7740,熙特爾-創,市,06/23,,155.5,-5.5,-3.42,153,24.3,161.0,164.0,164.0,155.5,5.28,21.8,5.7,,,,,
351,6419,京晨科,櫃,06/23,,155.0,2.5,1.64,592,90.5,152.5,153.5,156.0,146.5,6.23,12.3,3.93,,,,,
352,6895,宏碩系統,櫃,06/23,,155.0,-7.5,-4.62,201,31.5,162.5,165.0,165.5,152.0,8.31,,5.47,,,,,
353,1303,南亞,市,06/23,,154.5,2.0,1.31,222204,35239.0,152.5,157.0,165.0,153.0,7.87,66.9,3.19,,,,,
354,1597,直得,市,06/23,,154.0,-3.5,-2.22,1085,168.0,157.5,157.5,157.5,152.5,3.17,131.0,5.61,,,,,
355,3691,碩禾,櫃,06/23,,154.0,-8.0,-4.94,2417,375.0,162.0,162.0,162.0,151.0,6.79,,2.35,,,,,
356,6438,迅得,市,06/23,,153.5,-6.0,-3.76,880,137.0,159.5,161.0,161.0,153.0,5.02,28.1,2.24,,,,,
357,5432,新門,櫃,06/23,,153.0,-3.5,-2.24,353,54.5,156.5,157.0,157.5,151.0,4.15,64.6,8.48,,,,,
358,6651,全宇昕,櫃,06/23,,153.0,-10.0,-6.13,887,140.0,163.0,162.0,166.5,150.5,9.82,22.6,4.34,,,,,
359,3016,嘉晶,市,06/23,,152.5,13.5,9.71,8288,1260.0,139.0,150.0,152.5,149.0,2.52,372.0,8.99,,,,,
360,6933,AMAX-KY,市,06/23,,152.5,-4.0,-2.56,145,22.1,156.5,156.5,156.5,150.5,3.83,25.6,2.71,,,,,
361,8478,東哥遊艇,市,06/23,,152.0,0.5,0.33,106,16.0,151.5,151.5,152.5,151.0,0.99,9.26,1.49,,,,,
362,2731,雄獅,市,06/23,,151.5,0.0,0.0,927,140.0,151.5,152.5,152.5,150.5,1.32,8.85,2.65,,,,,
363,2480,敦陽科,市,06/23,,151.0,-3.5,-2.27,268,40.5,154.5,154.5,154.5,150.0,2.91,18.0,5.38,,,,,
364,2640,大車隊,櫃,06/23,,150.5,-2.0,-1.31,48,7.2,152.5,153.0,153.0,149.0,2.62,16.3,4.8,,,,,
365,8096,擎亞,櫃,06/23,,150.5,-7.0,-4.44,10308,1555.0,157.5,156.0,156.5,145.0,7.3,88.5,7.76,,,,,
366,1785,光洋科,櫃,06/23,,149.5,-0.5,-0.33,24422,3743.0,150.0,156.0,158.0,149.0,6.0,29.5,5.36,,,,,
367,3430,奇鈦科,櫃,06/23,,149.0,-0.5,-0.33,1574,235.0,149.5,149.5,153.0,146.0,4.68,43.3,4.4,,,,,
368,5287,數字,櫃,06/23,,148.0,-0.5,-0.34,58,8.58,148.5,149.0,149.0,147.5,1.01,10.5,3.62,,,,,
369,0051,元大中型100,市,06/23,,147.3,-4.2,-2.77,137,20.4,151.5,152.0,152.05,147.3,3.14,,1.0028,,,,,
370,2421,建準,市,06/23,,146.5,-3.5,-2.33,2877,424.0,150.0,151.0,151.0,145.5,3.67,17.2,3.7,,,,,
371,8039,台虹,市,06/23,,145.5,-7.5,-4.9,7287,1074.0,153.0,154.0,154.0,144.0,6.54,61.4,3.62,,,,,
372,8147,正淩,櫃,06/23,,145.0,-4.5,-3.01,204,30.0,149.5,149.5,149.5,145.0,3.01,44.9,3.91,,,,,
373,2850,新產,市,06/23,,144.5,1.5,1.05,547,79.4,143.0,143.0,147.0,142.5,3.15,10.3,2.09,,,,,
374,4572,駐龍,市,06/23,,144.5,0.5,0.35,17,2.37,144.0,143.5,144.5,143.0,1.04,54.7,3.11,,,,,
375,6585,鼎基,市,06/23,,144.5,-6.0,-3.99,1174,170.0,150.5,147.5,149.5,140.0,6.31,29.6,2.81,,,,,
376,2412,中華電,市,06/23,,144.0,-0.5,-0.35,11415,1651.0,144.5,145.0,145.5,144.0,1.04,28.7,2.82,,,,,
377,4755,三福化,市,06/23,,144.0,-3.0,-2.04,419,61.1,147.0,148.0,148.0,143.0,3.4,39.9,2.6,,,,,
378,2755,揚秦,櫃,06/23,,143.0,-2.5,-1.72,61,8.83,145.5,145.5,146.5,142.5,2.75,21.6,4.66,,,,,
379,6914,阜爾運通,市,06/23,,143.0,-0.5,-0.35,27,3.82,143.5,143.0,144.0,142.5,1.05,14.6,2.74,,,,,
380,1232,大統益,市,06/23,,142.0,0.0,0.0,165,23.5,142.0,142.5,142.5,141.5,0.7,16.4,3.62,,,,,
381,3088,艾訊,櫃,06/23,,142.0,-2.0,-1.39,824,117.0,144.0,145.0,145.0,140.0,3.47,25.1,3.01,,,,,
382,6712,長聖,櫃,06/23,,141.5,-1.0,-0.7,320,45.2,142.5,144.0,144.5,140.0,3.16,28.4,4.83,,,,,
383,8033,雷虎,市,06/23,,141.0,-1.0,-0.7,9509,1360.0,142.0,147.0,147.0,140.0,4.93,207.0,11.16,,,,,
384,2359,所羅門,市,06/23,,140.5,4.0,2.93,4002,554.0,136.5,139.0,141.5,135.5,4.4,72.4,4.19,,,,,
385,6720,久昌,櫃,06/23,,140.5,-1.5,-1.06,42,5.87,142.0,141.5,141.5,140.0,1.06,51.3,4.84,,,,,
386,7772,耀穎,櫃,06/23,,140.0,-6.0,-4.11,138,19.7,146.0,151.0,151.0,139.5,7.88,144.0,5.0,,,,,
387,3402,漢科,櫃,06/23,,139.5,-2.5,-1.76,551,77.6,142.0,143.5,143.5,139.5,2.82,19.1,5.2,,,,,
388,3234,光環,櫃,06/23,,139.0,0.0,0.0,6152,862.0,139.0,138.0,146.5,133.0,9.71,,21.75,,,,,
389,3305,昇貿,市,06/23,,139.0,-8.0,-5.44,3598,511.0,147.0,149.5,149.5,138.0,7.82,38.8,3.22,,,,,
390,8462,柏文,市,06/23,,138.5,2.5,1.84,124,17.0,136.0,137.0,138.5,135.5,2.21,14.9,4.05,,,,,
391,6538,倉和,櫃,06/23,,138.0,12.5,9.96,3027,415.0,125.5,138.0,138.0,133.5,3.59,135.0,2.76,,,,,
392,6902,GOGOLOOK,市,06/23,,138.0,7.5,5.75,331,45.1,130.5,130.5,142.0,129.5,9.58,47.1,6.45,,,,,
393,2881,富邦金,市,06/23,,137.5,-1.0,-0.72,24303,3374.0,138.5,137.0,141.0,137.0,2.89,17.5,2.11,,,,,
394,6605,帝寶,市,06/23,,137.5,-2.5,-1.79,698,96.4,140.0,140.0,140.0,137.0,2.14,10.3,1.11,,,,,
395,7631,聚賢研發-創,市,06/23,,137.5,-1.5,-1.08,50,6.76,139.0,139.0,139.0,134.0,3.6,19.1,3.25,,,,,
396,2441,超豐,市,06/23,,136.0,-4.0,-2.86,11851,1618.0,140.0,141.0,141.5,133.0,6.07,29.2,3.07,,,,,
397,2236,百達-KY,市,06/23,,135.0,-2.0,-1.46,222,29.9,137.0,137.0,138.0,132.5,4.01,,3.59,,,,,
398,5425,台半,櫃,06/23,,134.0,4.0,3.08,118779,16318.0,130.0,135.0,143.0,129.5,10.4,58.0,4.14,,,,,
399,2377,微星,市,06/23,,133.5,-3.5,-2.55,14244,1908.0,137.0,137.0,137.5,132.5,3.65,14.0,2.05,,,,,
400,3218,大學光,櫃,06/23,,133.5,-2.5,-1.84,231,31.1,136.0,136.5,136.5,133.5,2.21,11.8,3.1,,,,,
401,3479,安勤,櫃,06/23,,133.0,-2.0,-1.48,824,109.0,135.0,134.0,134.5,131.0,2.59,19.6,2.98,,,,,
402,6230,尼得科超眾,市,06/23,,133.0,-2.0,-1.48,76,10.2,135.0,138.0,138.0,131.0,5.19,,1.98,,,,,
