排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2002,中鋼,19.0,-0.05,-0.26,06/26,-4974,-131413,-146970,-258081,-235120,-107698,86337.0,-26484.0,137260.0,-33190.0
2,6770,力積電,78.3,-4.9,-5.89,06/26,-24996,-120064,-139268,-186569,-176037,-127409,30755.0,90528.0,18079.0,84420.0
3,1301,台塑,52.2,-5.8,-10.0,06/26,-39458,-42119,-45327,-83731,-73668,-65090,-154241.0,-143586.0,-181416.0,-155243.0
4,2618,長榮航,43.8,-0.7,-1.57,06/26,-500,-33002,-41534,-74413,-108713,-55166,39572.0,-6892.0,41010.0,83.0
5,2303,聯電,164.0,-14.5,-8.12,06/26,-12595,-30013,-42529,-58506,-101726,-421170,-349478.0,-452937.0,-938929.0,-428156.0
6,00919,群益台灣精選高息,29.56,-0.7,-2.31,06/26,-9744,-36308,-36735,-57170,-61599,-4208,-52113.0,-77827.0,-175180.0,-64406.0
7,2449,京元電子,308.0,-26.5,-7.92,06/26,-8013,-13067,-29275,-34753,-32888,-74753,-32045.0,1004.0,4805.0,10800.0
8,5880,合庫金,24.7,-0.4,-1.59,06/26,-6236,-7457,-21103,-27182,-46637,-52116,32685.0,72160.0,40159.0,71944.0
9,2891,中信金,70.3,-0.3,-0.42,06/26,855,-12619,-28613,-26004,-80688,-34336,53603.0,124626.0,-62332.0,124570.0
10,2812,台中銀,19.8,-0.25,-1.25,06/26,-4102,-8881,-14848,-24998,-33903,-13841,66485.0,103493.0,112074.0,98121.0
11,1802,台玻,66.0,-3.6,-5.17,06/26,-7017,-5545,-10045,-23830,-28619,-11216,1571.0,-16433.0,8927.0,-19121.0
12,2324,仁寶,34.8,-2.05,-5.56,06/26,-11188,-12509,-13249,-23010,-28323,-273437,-278070.0,-160883.0,132118.0,-153311.0
13,2834,臺企銀,17.75,-0.25,-1.39,06/26,-821,-11837,-26041,-19774,-23676,-57225,105562.0,241383.0,200064.0,240698.0
14,00940,元大台灣價值高息,12.34,-0.43,-3.37,06/26,-13386,-13386,-17478,-18769,-22689,-54012,-13478.0,7925.0,-462.0,8135.0
15,00403A,主動統一升級50,10.56,-0.55,-4.95,06/26,-876,-9636,-10175,-18508,-65419,63788,,,,
16,2885,元大金,66.3,-0.4,-0.6,06/26,-9435,-14274,-14025,-17021,-14046,-13232,29205.0,24698.0,-43290.0,28392.0
17,2882,國泰金,106.0,-5.5,-4.93,06/26,-1714,-15655,-17322,-17019,-25683,-65757,-35218.0,-73556.0,-386645.0,-69550.0
18,1314,中石化,7.97,-0.07,-0.87,06/26,389,681,-17380,-16896,-25720,-46096,-6916.0,8400.0,3892.0,8185.0
19,00918,大華優利高填息30,31.15,-1.33,-4.09,06/26,2257,-3124,-3317,-15371,-4202,2376,11105.0,-21430.0,-27365.0,-21430.0
20,2887,台新新光金,31.9,0.05,0.16,06/26,745,1707,-847,-15250,-31007,14572,26495.0,18980.0,-1060306.0,17065.0
21,2027,大成鋼,39.9,-0.3,-0.75,06/26,-112,-12397,-13074,-13860,-17183,-50539,-84185.0,-4606.0,19544.0,-19318.0
22,00878,國泰永續高股息,32.71,-1.04,-3.08,06/26,36,36,188,-13158,-16150,36826,44571.0,29691.0,5672.0,39545.0
23,1326,台化,54.2,-5.3,-8.91,06/26,-8991,-9441,-10358,-12956,-21976,-23217,-92649.0,-81031.0,-115821.0,-83515.0
24,2801,彰銀,23.4,-0.1,-0.43,06/26,19,832,-2533,-12666,-13105,-5967,22657.0,20210.0,17722.0,20480.0
25,2301,光寶科,201.5,-13.5,-6.28,06/26,-1372,-6979,-10631,-12476,-7059,-15438,-33633.0,12240.0,8089.0,14073.0
26,3711,日月光投控,632.0,-9.0,-1.4,06/26,308,-1881,-5621,-12107,-12826,-34924,8910.0,13340.0,-59755.0,13277.0
27,2883,凱基金,29.9,-0.6,-1.97,06/26,1676,-6213,-10635,-11470,-23907,102624,131196.0,130484.0,10411.0,130949.0
28,2881,富邦金,134.0,-2.0,-1.47,06/26,-8717,-14245,-15831,-11297,-6453,-102454,-136830.0,-98947.0,-167202.0,-95706.0
29,00664R,國泰臺灣加權反1,1.69,0.06,3.68,06/26,0,-356,17,-11174,-10601,-9171,-9979.0,-4573.0,14060.0,-5100.0
30,2441,超豐,134.5,-7.0,-4.95,06/26,-1862,-1645,-8580,-10165,-9174,-6168,-335.0,-2728.0,9939.0,-4293.0
31,2408,南亞科,449.0,-28.0,-5.87,06/26,8,2646,-616,-8674,-13211,-35874,-25012.0,-12272.0,-27098.0,-7091.0
32,6147,頎邦,216.5,-24.0,-9.98,06/26,2091,1883,-2795,-8473,-15467,-17351,22624.0,31442.0,25357.0,31416.0
33,6176,瑞儀,87.7,-3.0,-3.31,06/26,-1595,-2112,-6032,-8143,-13747,-30683,-2297.0,597.0,2797.0,1921.0
34,1319,東陽,77.3,-2.3,-2.89,06/26,-3735,-4761,-5985,-7907,-6005,-4667,10517.0,15321.0,22467.0,15466.0
35,1313,聯成,12.35,-0.2,-1.59,06/26,-507,-436,-7549,-7873,-9980,-16114,-10190.0,10525.0,6043.0,10311.0
36,2845,遠東銀,13.0,-0.1,-0.76,06/26,5445,1858,-11166,-7679,-5082,-538,40902.0,58819.0,46694.0,58773.0
37,2388,威盛,70.9,-4.9,-6.46,06/26,-3707,-4873,-5108,-7555,-7465,-2216,-6460.0,-6144.0,-2846.0,-6962.0
38,00953B,群益優選非投等債,9.68,0.02,0.21,06/26,0,-7320,-7320,-7320,-7980,-17483,-11367.0,14489.0,22525.0,14849.0
39,00712,復華富時不動產,8.63,0.03,0.35,06/26,-1025,-1025,-7025,-7267,-4616,9981,-33389.0,13364.0,-37954.0,13364.0
40,2340,台亞,36.45,-2.75,-7.02,06/26,-749,-1131,-4260,-6785,-8707,-7012,-3342.0,-9812.0,-3984.0,-10104.0
41,00881,國泰台灣科技龍頭,52.7,-2.65,-4.79,06/26,-901,-2814,-2814,-6660,-10338,-12243,-13452.0,6194.0,6274.0,3971.0
42,3714,富采,61.6,-5.9,-8.74,06/26,253,448,-2427,-6506,-11896,3620,23872.0,25314.0,28982.0,24681.0
43,2489,瑞軒,42.15,-3.95,-8.57,06/26,-254,-289,-1328,-6358,-19146,-15828,6833.0,27836.0,26467.0,28513.0
44,2369,菱生,40.95,-2.45,-5.65,06/26,-2208,-1607,-5788,-6344,-6983,-1714,-7318.0,-5851.0,-1590.0,-7089.0
45,1477,聚陽,216.0,-5.0,-2.26,06/26,-2669,-3610,-5234,-5999,-6120,-6186,-5746.0,692.0,-104.0,2032.0
46,2207,和泰車,481.0,1.0,0.21,06/26,-3175,-3745,-4175,-5995,-5137,-4754,-631.0,5030.0,4359.0,4674.0
47,2426,鼎元,77.6,-7.5,-8.81,06/26,88,-2306,-2708,-5682,-2979,7705,13819.0,13871.0,11953.0,13506.0
48,00990A,主動元大AI新經濟,20.23,-0.95,-4.49,06/26,-1674,-3034,-3034,-5556,-15553,-27524,1344.0,-689.0,,-95279.0
49,2606,裕民,59.6,-2.1,-3.4,06/26,-62,-314,-1368,-5475,-7465,-5301,-8212.0,-11671.0,-15741.0,-12566.0
50,1815,富喬,96.7,-10.3,-9.63,06/26,492,405,-5202,-5241,-4154,-5176,18056.0,12996.0,36008.0,28158.0
51,8070,長華*,53.7,-2.8,-4.96,06/26,-86,-62,-1145,-5192,-7036,-8483,-7006.0,-20653.0,-18900.0,-19607.0
52,6962,奕力-KY,36.6,-2.4,-6.15,06/26,-5,-126,-3878,-5101,-5390,-3322,-907.0,-2933.0,15330.0,-3040.0
53,00992A,主動群益科技創新,17.86,-0.96,-5.1,06/26,-7,578,-789,-5074,-34299,-6008,18099.0,33772.0,,32772.0
54,2897,王道銀行,10.5,-0.1,-0.94,06/26,-137,-431,-4788,-5034,-5817,-12618,-18139.0,-9118.0,-8324.0,-8247.0
