代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00696B,富邦美債20年,29.92,0.06,0.2,26W26,06/26,58,678475,44.0,102.0,0,0,0.0,0.0,-2,-10835,-20.4,-1.62,24,316035,45.0,47.4
00717,富邦美國特別股,14.78,-0.13,-0.87,26W26,06/26,52,25759,60.2,20.3,0,0,0.0,0.0,1,148,16.3,0.12,17,15335,76.0,12.1
00857B,永豐20年美公債,23.72,0.07,0.3,26W26,06/26,33,181706,43.7,32.2,0,0,0.0,0.0,6,12629,17.2,2.24,33,192205,46.2,34.1
00931B,統一美債20年,13.88,0.03,0.22,26W26,06/26,23,320387,53.7,15.0,0,0,0.0,0.0,-1,-1496,-5.33,-0.07,23,370527,62.1,17.3
9933,中鼎,41.95,-1.7,-3.89,26W26,06/26,16,86163,16.3,9.11,-1,-24,-0.11,0.0,1,64,0.28,0.01,16,86006,16.2,9.1
00984B,大華優利美A債15,16.71,0.03,0.18,26W26,06/26,15,102645,43.2,71.6,0,0,0.0,0.0,4,10557,26.9,7.36,8,58153,61.1,40.5
00915,凱基優選高股息30,32.01,-1.27,-3.82,26W26,06/26,14,81463,14.8,15.0,0,0,0.0,0.0,68,1005041,43.6,186.0,68,1179613,51.2,218.0
00740B,富邦全球投等債,39.32,0.04,0.1,26W26,06/26,13,80362,45.9,3.71,0,0,0.0,0.0,-17,-114681,-38.8,-5.3,-1,-1575,-8.24,-0.07
00772B,中信高評級公司債,34.26,0.02,0.06,26W26,06/26,13,110528,51.6,3.25,-1,-50,-0.21,0.0,4,7245,9.97,0.21,44,246076,41.4,7.23
00773B,中信優先金融債,36.55,0.04,0.11,26W26,06/26,13,27162,36.1,1.06,0,0,0.0,0.0,-2,-1366,-11.8,-0.05,34,49762,24.6,1.95
00862B,中信投資級公司債,32.26,0.03,0.09,26W26,06/26,13,8401,27.3,0.95,0,0,0.0,0.0,-2,-464,-12.6,-0.05,27,4854,8.01,0.55
00948B,中信優息投資級債,9.66,0.01,0.1,26W26,06/26,13,294350,47.5,7.06,0,0,0.0,0.0,6,40954,13.0,0.98,48,1635640,56.3,39.2
00950B,凱基A級公司債,14.34,0.01,0.07,26W26,06/26,13,214789,61.7,5.24,0,0,0.0,0.0,1,551,1.91,0.01,7,141589,72.5,3.46
