排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
1,2886,兆豐金,46.15,-0.5,-1.07,06/26,16.6,39.6,52.2,57.1,46.2,27.8,13.6,8.19,1.2,3.29,1.39,8.3
2,2633,台灣高鐵,26.05,-0.2,-0.76,06/26,67.4,57.5,54.7,54.1,43.7,13.9,9.4,6.61,4.92,2.23,,6.67
3,1216,統一,74.6,-1.0,-1.32,06/26,19.8,40.8,48.8,52.3,31.7,23.6,7.06,1.29,6.64,7.31,2.69,0.86
4,4904,遠傳,107.0,-1.5,-1.38,06/26,18.8,36.0,43.5,51.4,40.1,31.8,19.5,10.4,-0.41,5.41,3.3,10.6
5,1402,遠東新,28.5,-0.1,-0.35,06/26,64.2,57.0,54.5,49.7,32.9,9.99,3.12,0.34,-0.57,-1.42,0.89,0.4
6,5876,上海商銀,42.4,0.4,0.95,06/26,61.6,54.6,49.1,43.6,34.7,22.4,13.7,5.54,-4.82,5.07,,5.96
7,2845,遠東銀,13.0,-0.1,-0.76,06/26,60.6,46.9,46.6,43.6,28.8,16.2,9.31,6.04,1.52,0.37,0.56,6.11
8,2880,華南金,36.9,-1.1,-2.89,06/26,1.4,31.8,38.5,39.5,21.8,31.6,15.4,12.9,11.9,8.59,3.51,12.6
9,2892,第一金,32.65,-0.2,-0.61,06/26,51.4,40.3,40.8,37.9,28.6,13.6,6.54,3.94,-2.21,0.19,0.55,4.41
10,2504,國產,32.8,-0.7,-2.09,06/26,28.5,35.1,37.3,37.6,26.1,14.0,5.26,2.99,-6.86,4.0,1.3,3.37
11,2890,永豐金,39.15,-0.8,-2.0,06/26,15.5,36.2,40.0,35.9,20.5,11.5,2.2,2.14,3.72,-0.06,1.2,2.16
12,8464,億豐,350.5,-5.0,-1.41,06/26,46.4,39.6,40.1,35.1,28.7,12.7,4.5,2.07,1.21,0.48,0.17,2.51
13,6670,復盛應用,251.0,5.5,2.24,06/26,41.1,33.6,19.2,24.2,20.6,14.4,6.5,3.09,-2.7,3.13,,3.66
14,2884,玉山金,34.55,-0.9,-2.54,06/26,8.87,22.3,27.4,21.3,12.6,5.15,-4.3,-0.35,4.42,3.34,1.23,-2.05
15,1513,中興電,175.5,-9.5,-5.14,06/26,6.1,20.0,20.3,20.4,16.4,5.45,3.54,1.49,1.47,-0.09,0.16,1.5
16,1303,南亞,148.0,-7.0,-4.52,06/26,12.0,18.7,21.7,18.0,8.68,5.33,1.36,0.72,0.41,-0.52,0.09,0.75
17,3131,弘塑,3310.0,-260.0,-7.28,06/26,7.78,7.59,5.46,16.5,14.6,7.04,-0.08,0.04,-0.85,-0.07,-0.03,-0.05
18,2912,統一超,223.0,-3.0,-1.33,06/26,13.1,14.1,15.6,16.1,19.0,32.9,19.6,6.92,5.4,6.0,2.08,7.05
19,3596,智易,181.5,-13.5,-6.92,06/26,17.8,16.0,16.3,16.0,12.7,7.83,2.79,1.23,-1.71,-0.48,-0.11,1.24
20,3231,緯創,153.0,-7.0,-4.38,06/26,8.34,13.2,16.5,15.7,9.32,4.33,2.21,1.03,-0.53,-0.26,0.12,0.92
