?? 三大法人持股變化排名,,,,
,,,,
按選定視窗之三大法人合計持股比重變化排序,,,,
,,,,
#,股票,市場,5日持股%,5日ΔChange
1,00920富邦ESG綠色電力,TWSE,20.41,17.01
2,4989榮科,TWSE,12.38,10.17
3,3450聯鈞,TWSE,25.13,7.54
4,00943兆豐電子高息等權,TWSE,13.59,7.05
5,00913兆豐台灣晶圓製造,TWSE,9.11,6.23
6,00663L國泰臺灣加權正2,TWSE,7.07,5.96
7,00830國泰費城半導體,TWSE,6.41,5.61
8,00986A主動台新龍頭成長,TWSE,6.29,4.94
9,00991A主動復華未來50,TWSE,6.51,4.72
10,00988A主動統一全球創新,TWSE,5.14,4.63
11,00675L富邦臺灣加權正2,TWSE,9.37,4.58
12,00735國泰臺韓科技,TWSE,9.36,4.5
13,2409友達,TWSE,15.68,4.39
14,00990A主動元大AI新經濟,TWSE,6.55,3.81
15,2367燿華,TWSE,12.51,3.67
16,3167大量,TWSE,24.14,3.62
17,00947台新臺灣IC設計,TWSE,4.61,3.62
18,5243乙盛-KY,TWSE,60.4,3.6
19,2489瑞軒,TWSE,11.95,3.51
20,00989A主動摩根美國科技,TWSE,5.4,3.49
21,8039台虹,TWSE,20.21,3.37
22,6672騰輝電子-KY,TWSE,25.47,3.32
23,00917中信特選金融,TWSE,6.64,3.24
24,00903富邦元宇宙,TWSE,4.52,3.19
25,00650L復華香港正2,TWSE,3.94,3.13
26,00708L期元大S&P黃金正2,TWSE,6.37,3.08
27,6285啟碁,TWSE,23.1,2.78
28,00910第一金太空衛星,TWSE,3.05,2.77
29,2481強茂,TWSE,27.58,2.62
30,00987A主動台新優勢成長,TWSE,3.17,2.61
31,6271同欣電,TWSE,31.36,2.61
32,00908富邦入息REITs+,TWSE,3.85,2.58
33,8021尖點,TWSE,21.73,2.53
34,8438昶昕,TWSE,4.31,2.49
35,00993A主動安聯台灣,TWSE,2.92,2.4
36,1449佳和,TWSE,8.28,2.28
37,00896中信綠能及電動車,TWSE,2.44,2.2
38,00992A主動群益科技創新,TWSE,3.15,2.18
39,1717長興,TWSE,14.6,2.17
40,3714富采,TWSE,16.64,2.12
41,00994A主動第一金台股優,TWSE,3,2.1
42,2486一詮,TWSE,21.96,2.08
43,2548華固,TWSE,21.13,2.06
44,00673R期元大S&P原油反1,TWSE,2.03,2.03
45,00995A主動中信台灣卓越,TWSE,3.4,2.01
46,2476鉅祥,TWSE,9.24,1.9
47,3583辛耘,TWSE,25.31,1.89
48,8046南電,TWSE,22.47,1.84
49,00981A主動統一台股增長,TWSE,2.66,1.76
50,1560中砂,TWSE,36.34,1.73
?? 三大法人持股變化排名,,,,
,,,,
按選定視窗之三大法人合計持股比重變化排序,,,20日持股%,20日ΔChange
,,,,
#,股票,市場,持股%,ΔChange
1,00920富邦ESG綠色電力,TWSE,20.41,19.32
2,00711B復華彭博新興債,TWSE,13.43,13.31
3,3583辛耘,TWSE,25.31,11.39
4,00783富邦中証500,TWSE,14.19,10.06
5,00943兆豐電子高息等權,TWSE,13.59,9.74
6,2605新興,TWSE,51.16,8.72
7,00913兆豐台灣晶圓製造,TWSE,9.11,7.66
8,3702大聯大,TWSE,30.86,7.55
9,00683L期元大美元指正2,TWSE,15.4,6.77
10,00663L國泰臺灣加權正2,TWSE,7.07,6.74
11,3189景碩,TWSE,24.86,6.18
12,3450聯鈞,TWSE,25.13,6.08
13,2548華固,TWSE,21.13,6.06
14,00922國泰台灣領袖50,TWSE,8.58,5.95
15,3209全科,TWSE,14.92,5.85
16,00917中信特選金融,TWSE,6.64,5.82
17,8028昇陽半導體,TWSE,19.26,5.59
18,8112至上,TWSE,26.57,5.54
19,3533嘉澤,TWSE,49.19,5.54
20,2486一詮,TWSE,21.96,5.43
21,8021尖點,TWSE,21.73,5.22
22,00830國泰費城半導體,TWSE,6.41,4.95
23,4949有成精密,TWSE,8.79,4.68
24,9933中鼎,TWSE,15.08,4.55
25,00986A主動台新龍頭成長,TWSE,6.29,4.49
26,6831邁科,TWSE,13.9,4.39
27,4989榮科,TWSE,12.38,4.19
28,00947台新臺灣IC設計,TWSE,4.61,4.07
29,00675L富邦臺灣加權正2,TWSE,9.37,4.06
30,00735國泰臺韓科技,TWSE,9.36,3.89
31,00990A主動元大AI新經濟,TWSE,6.55,3.88
32,00655L國泰中國A50正2,TWSE,6.54,3.82
33,6706惠特,TWSE,10.06,3.65
34,00903富邦元宇宙,TWSE,4.52,3.62
35,6285啟碁,TWSE,23.1,3.6
36,1711永光,TWSE,8.33,3.56
37,6213聯茂,TWSE,20.97,3.55
38,3062建漢,TWSE,12.31,3.44
39,2351順德,TWSE,13.82,3.43
40,00991A主動復華未來50,TWSE,6.51,3.41
41,00650L復華香港正2,TWSE,3.94,3.4
42,3026禾伸堂,TWSE,22.05,3.37
43,3406玉晶光,TWSE,40.03,3.31
44,8438昶昕,TWSE,4.31,3.21
45,2409友達,TWSE,15.68,3.21
46,00988A主動統一全球創新,TWSE,5.14,3.17
47,2481強茂,TWSE,27.58,3.14
48,2006東和鋼鐵,TWSE,19.25,3.12
49,2406國碩,TWSE,11.25,3.11
50,2337旺宏,TWSE,31.77,3.09
60日,,,,
?? 三大法人持股變化排名,,,,
,,,,
按選定視窗之三大法人合計持股比重變化排序,,,,
,,,,
#,股票,市場,60日持股%,60日ΔChange
1,2923鼎固-KY,TWSE,99.33,99.33
2,2762世界健身-KY,TWSE,87.37,87.37
3,6230尼得科超眾,TWSE,87.14,87.14
4,6890來億-KY,TWSE,87.05,87.05
5,4560強信-KY,TWSE,84.57,84.57
6,1590亞德客-KY,TWSE,80.47,80.47
7,6415矽力*-KY,TWSE,79.52,79.52
8,3711日月光投控,TWSE,77.9,77.9
9,6965中傑-KY,TWSE,77.18,77.18
10,2239英利-KY,TWSE,75.34,75.34
11,6781AES-KY,TWSE,73.13,73.13
12,8499鼎炫-KY,TWSE,72.35,72.35
13,2330台積電,TWSE,71.11,71.11
14,6863永道-KY,TWSE,69.85,69.85
15,4958臻鼎-KY,TWSE,69.44,69.44
16,6550北極星藥業-KY,TWSE,68.18,68.18
17,4569六方科-KY,TWSE,67,67
18,6451訊芯-KY,TWSE,66.88,66.88
19,2029盛餘,TWSE,66.37,66.37
20,6862三集瑞-KY,TWSE,65.77,65.77
21,2308台達電,TWSE,65.47,65.47
22,2360致茂,TWSE,63.9,63.9
23,5538東明-KY,TWSE,63.72,63.72
24,4190佐登-KY,TWSE,61.48,61.48
25,4439冠星-KY,TWSE,61.48,61.48
26,4571鈞興-KY,TWSE,60.71,60.71
27,5243乙盛-KY,TWSE,60.4,60.4
28,2345智邦,TWSE,60.29,60.29
29,5288豐祥-KY,TWSE,59.39,59.39
30,7722LINEPAY,TWSE,59.18,59.18
31,2849安泰銀,TWSE,58.82,58.82
32,6768志強-KY,TWSE,58.18,58.18
33,8442威宏-KY,TWSE,57.96,57.96
34,3017奇鋐,TWSE,57.57,57.57
35,6431光麗-KY,TWSE,56.92,56.92
36,2454聯發科,TWSE,56.45,56.45
37,4137麗豐-KY,TWSE,56.4,56.4
38,1795美時,TWSE,55.66,55.66
39,6409旭隼,TWSE,55.61,55.61
40,6573虹揚-KY,TWSE,55,55
41,5907大洋-KY,TWSE,54.22,54.22
42,5284jpp-KY,TWSE,54.04,54.04
