"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"1","00715L","期街口布蘭特正2","57.1","+2","+3.63","26W18","04/30","5.69","-33,961","-37.4","5.25","-33,231","-38.8","5.15","-32,310","-38.6"
"2","8093","保銳","18.25","0","0","26W18","04/30","1.72","0","0","1.72","0","0","1.62","0","0"
"3","00916","國泰全球品牌50","30","0","0","26W18","04/30","0.92","-759","-7.59","0.92","-759","-7.59","0.66","-759","-10.3"
"4","00962","台新AI優息動能","14.68","-0.89","-5.72","26W18","04/30","1.26","-172","-1.35","1.26","+547","+4.53","1.06","+547","+5.43"
"5","00988A","主動統一全球創新","20.25","-1.21","-5.64","26W18","04/30","28","-8,138","-2.83","25.5","-13,685","-5.09","23.8","-9,271","-3.75"
"6","4967","十銓","277.5","-1.5","-0.54","26W18","04/30","2.2","-3,112","-12.4","1.85","-4,549","-19.8","1.59","-4,230","-21"
"7","00907","永豐優息存股","15.73","-0.57","-3.5","26W18","04/30","1.33","+3,729","+38.9","1.33","+3,729","+38.9","1.14","+2,822","+32.7"
"8","00991A","主動復華未來50","18.69","-0.53","-2.76","26W18","04/30","42.9","+1,878","+0.44","40.6","+1,889","+0.47","36.2","-1,098","-0.3"
"9","4513","福裕","15.45","+0.2","+1.31","26W18","04/30","4.85","+26","+0.05","4.85","+26","+0.05","4.75","+32","+0.07"
"10","4939","亞電","65.6","+5.9","+9.88","26W18","04/30","2.05","-245","-1.18","1.9","-272","-1.41","1.65","-265","-1.58"
"11","3234","光環","124","-1","-0.8","26W18","04/30","2.95","-1,104","-3.61","2.34","+131","+0.56","2.25","+131","+0.59"
"12","00685L","群益臺灣加權正2","266.85","-24.7","-8.47","26W18","04/30","0.44","-3,092","-41.3","0.37","-3,072","-45.3","0.37","-3,072","-45.3"
"13","00960","野村全球航運龍頭","17.55","-0.01","-0.06","26W18","04/30","0.75","-483","-6.03","0.75","+169","+2.29","0.75","+1,009","+15.5"
"14","3118","進階","33.65","-0.45","-1.32","26W18","04/30","0.95","+38","+0.4","0.58","0","0","0.39","0","0"
"15","009810","玉山全球藍籌100","20.43","-0.33","-1.59","26W18","04/30","0.37","-390","-9.56","0.37","-390","-9.56","0.28","-1,320","-32.4"
"16","3043","科風","23.85","+1.5","+6.71","26W18","04/30","0.54","+160","+3.07","0.54","+160","+3.07","0.44","+160","+3.74"
"17","00930","永豐ESG低碳高息","23.65","-1.36","-5.44","26W18","04/30","2.2","-1,960","-8.18","2.06","-1,947","-8.63","1.88","-1,018","-5.15"
"18","6207","雷科","130.5","-14","-9.69","26W18","04/30","1.24","-755","-5.73","1.11","+2.69","+0.02","0.94","0","0"
"19","6485","點序","101","-11","-9.82","26W18","04/30","0.9","+32.1","+0.36","0.84","+32.1","+0.38","0.84","+32.1","+0.38"
"20","00896","中信綠能及電動車","27.77","-1.19","-4.11","26W18","04/30","2.49","-1,033","-3.98","2.21","-1,100","-4.74","2.21","-295","-1.32"
"21","1514","亞力","125","-10","-7.41","26W18","04/30","11.7","+980","+0.85","10.6","-384","-0.36","10.3","+486","+0.47"
"22","00939","統一台灣高息動能","20.14","-0.75","-3.59","26W18","04/30","9.56","-12,923","-11.9","8.95","-12,920","-12.6","7.8","-13,803","-15"
"23","8088","品安","58.1","-4.7","-7.48","26W18","04/30","0.97","-807","-7.7","0.97","-85","-0.87","0.97","-85","-0.87"
"24","6104","創惟","99","-4","-3.88","26W18","04/30","1.19","-7.06","-0.06","0.84","-27.1","-0.32","0.75","-27.1","-0.36"
"25","009809","富邦淨零ESG50","16.47","-0.71","-4.13","26W18","04/30","0.81","-3,357","-29.2","0.81","-3,357","-29.2","0.72","-3,357","-31.7"
"26","00731","復華富時高息低波","81.95","-2.2","-2.61","26W18","04/30","0.53","+1,129","+26.8","0.4","+436","+12.3","0.4","+1,243","+45.2"
"27","00647L","元大S&P500正2","130.55","-5.25","-3.87","26W18","04/30","0.12","+140","+12.7","0.12","+140","+12.7","0.12","+140","+12.7"
"28","3324","雙鴻","1095","-15","-1.35","26W18","04/30","4.25","+1,717","+4.22","3.68","+818","+2.27","3.31","-83.5","-0.25"
"29","00642U","期元大S&P石油","29.89","+0.47","+1.6","26W18","04/30","7.07","-14,474","-17","7","-13,866","-16.5","6.92","-13,751","-16.6"
