"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","8464","億豐","343","+16","+4.89","05/08","59.4","74.8","75.3","77.8","75.9","73.5","75.9","76.2","71.4","67.2","58.2","73.7"
"2","1476","儒鴻","344","+9","+2.69","05/08","63.3","70.9","73.6","70.3","70.7","73.6","76.5","71.2","67.7","63.2","48","71.4"
"3","5274","信驊","16955","-935","-5.23","05/08","77.2","78.6","70.8","64.8","61.1","63.7","59.8","61.5","52.9","48.8","39.4","60.1"
"4","2207","和泰車","487","0","0","05/08","69.9","67.9","69.3","70.9","72.1","68.4","68.1","70","70.2","68.1","61","68.1"
"5","2006","東和鋼鐵","67.4","-0.2","-0.3","05/08","76.5","69","66.9","63","69.6","69.1","40.8","47.2","51.2","45.1","29.5","41.9"
"6","9921","巨大","66","-1.8","-2.65","05/08","73.8","70.4","66.6","63.6","60.3","54.7","49.5","48.6","51.6","56.8","60.7","48.5"
"7","4915","致伸","72.5","-1.1","-1.49","05/08","76","72.7","66.4","63.1","61.5","52.6","61","57.4","51.2","43.5","33.5","58"
"8","1590","亞德客-KY","1505","+15","+1.01","05/08","58.4","62.7","66.4","71.1","72.3","72.8","73.7","71.6","72.7","72.1","53.9","70.5"
"9","6670","復盛應用","254","-4.5","-1.74","05/08","78.3","68.5","66.3","56","51.7","44.2","46","42.1","54.4","46.2","","44.5"
"10","1402","遠東新","26.1","+0.1","+0.38","05/08","74.1","72.9","64.9","64.3","65.9","70.4","59.7","54.9","55.1","53.9","46.6","56.2"
"11","5876","上海商銀","38.9","+0.1","+0.26","05/08","68","65","64.2","63.2","67.1","66","65.7","56.9","55","58","","61.8"
"12","4904","遠傳","95.9","+0.5","+0.52","05/08","55.1","63.8","64.2","61","59.6","63.2","59.6","63.2","52.4","54.4","55.9","58.8"
"13","2880","華南金","33.3","0","0","05/08","73.6","63.6","63.5","65.7","67.5","57.1","62.5","63","57.6","55.2","47","61.5"
"14","5871","中租-KY","112.5","-2","-1.75","05/08","67","68.2","63.3","63.2","57.2","46","50.4","45.5","52.1","59","55.5","47.2"
"15","2912","統一超","232","+3.5","+1.53","05/08","63","62.7","63.3","66.5","69.5","62.9","53.9","58.3","60.2","63.5","67.4","54.9"
"16","1477","聚陽","221.5","+1","+0.45","05/08","70.3","63.5","61.5","57.7","45.8","45.4","45.2","46.8","49.2","47","38.2","48"
