"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"901","2069","運錩","19.5","-0.15","-0.76","26W19","05/08","58.1","+0.03","54.4","+0.03","53.4","+0.03"
"902","2910","統領","21.6","+0.25","+1.17","26W19","05/08","96.1","+0.01","94","+0.01","93","+0.01"
"903","6171","大城地產","24","-0.45","-1.84","26W19","05/08","85.1","+0.05","83","+0.06","79.3","+0.05"
"904","1470","大統新創","22.7","+0.1","+0.44","26W19","05/08","81.3","+0.03","77.4","+0.03","71.3","+0.03"
"905","5533","皇鼎","14","-0.1","-0.71","26W19","05/08","75.7","+0.03","73.1","+0.03","70.6","+0.03"
"906","5903","全家","189","+0.5","+0.27","26W19","05/08","90.4","0","90.1","0","89.7","0"
"907","00707R","期元大S&P日圓反1","32.21","0","0","26W19","05/08","79.2","-0.48","79.2","-0.48","79.2","-0.48"
"908","8463","潤泰材","21.95","0","0","26W19","05/08","80.1","-0.02","78.4","-0.02","76","-0.02"
"909","5478","智冠","103.5","-1.5","-1.43","26W19","05/08","78.3","0","77","0","73","0"
"910","1451","年興","16.5","-0.05","-0.3","26W19","05/08","59.2","-0.2","58.2","+0.48","56.5","+0.03"
"911","4726","永昕","24.8","-0.9","-3.5","26W19","05/08","54.3","+0.03","52.3","+0.04","49.8","0"
"912","2524","京城","35.9","-1.6","-4.27","26W19","05/08","92.1","0","91.9","0","91.6","0"
"913","3522","御嵿","11.45","+0.05","+0.44","26W19","05/08","55.9","+0.04","53.2","+0.04","52.4","+0.04"
