"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"601","6284","佳邦","櫃","05/08","","81.5","+0.5","+0.62","2,235","184","81","82","84.2","80.3","4.81","18.7","1.59","","","","",""
"602","6425","易發","櫃","05/08","","81.3","+0.5","+0.62","2,436","203","80.8","82.2","85.7","81","5.82","","3.24","","","","",""
"603","00861","元大全球未來通訊","市","05/08","","81.2","-0.75","-0.92","195","15.8","81.95","81.55","81.55","80.6","1.16","","1.0026","","","","",""
"604","5520","力泰","櫃","05/08","","81.2","+0.7","+0.87","5","0.41","79","81.9","81.9","81.2","0.87","8.14","1.62","","","","",""
"605","7811","民盛","櫃","05/08","","81.2","+1","+1.25","42","3.39","80.2","80.5","81.5","80.5","1.25","10","1.33","","","","",""
"606","00661","元大日經225","市","05/08","","80.95","-0.65","-0.8","134","10.8","81.6","81.3","81.3","80.4","1.1","","0.9961","","","","",""
"607","5306","桂盟","市","05/08","","80.9","+0.6","+0.75","151","12.2","80.3","80.3","81.1","80.2","1.12","10.6","1.15","","","","",""
"608","6117","迎廣","市","05/08","","80.7","-4.6","-5.39","1,558","127","85.3","85","85","79.5","6.45","21.4","3.37","","","","",""
"609","2465","麗臺","市","05/08","","80.5","-5.8","-6.72","3,983","331","86.3","86.3","88.4","79.5","10.3","187","6.96","","","","",""
"610","9802","鈺齊-KY","市","05/08","","80.4","-0.6","-0.74","829","66.6","81","80.9","80.9","79.3","1.98","13.2","1.19","","","","",""
"611","1319","東陽","市","05/08","","80.2","+0.2","+0.25","4,910","394","80","80","81.2","78.7","3.12","12.5","1.69","","","","",""
"612","6245","立端","櫃","05/08","","80.1","-2.4","-2.91","1,486","120","82.5","82.3","82.5","78.9","4.36","18.3","1.9","","","","",""
"613","2882","國泰金","市","05/08","","80","+1","+1.27","36,918","2,954","79","79.5","80.8","79.3","1.9","11.3","1.4","","","","",""
"614","1723","中碳","市","05/08","","79.9","+1.2","+1.52","1,227","98.3","78.7","80.2","82","78.7","4.19","32.2","2.3","","","","",""
"615","6190","萬泰科","櫃","05/08","","79.9","+5.2","+6.96","19,104","1,509","74.7","75.8","81.8","75","9.1","36.5","3.71","","","","",""
"616","3028","增你強","市","05/08","","79.8","+3.8","+5","9,299","730","76","76.2","81.5","75","8.55","25.3","3","","","","",""
"617","4126","太醫","櫃","05/08","","79.8","-0.1","-0.13","20","1.59","79.9","80.7","80.7","79.6","1.38","16.3","1.89","","","","",""
"618","6411","晶焱","櫃","05/08","","79.8","-2","-2.44","952","75.2","81.8","79.7","80.5","77.1","4.16","25.1","1.57","","","","",""
"619","4905","台聯電","櫃","05/08","","79.7","-0.2","-0.25","41","3.23","79.9","79.9","82","77.4","5.76","28.9","0.81","","","","",""
"620","5609","中菲行","櫃","05/08","","79.6","0","0","162","12.9","79.6","79.7","79.9","79.3","0.75","9.95","1.77","","","","",""
"621","6538","倉和","櫃","05/08","","79.5","-3.4","-4.1","241","19.4","82.9","82.1","83.5","78.7","5.79","69.1","1.59","","","","",""
