"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2887","台新新光金","23.8","-0.2","-0.83","05/08","50.3","50.9","41.8","45.8","38.4","29.1","11.2","6.85","4.43","3.26","1.78","9.08"
"2","00755B","群益投資級公用債","32.84","-0.09","-0.27","05/08","0","34","40.3","33.5","20.7","12.3","5.29","2.64","1.28","0.23","","3.69"
"3","1702","南僑","34.35","0","0","05/08","42.1","23.1","27.4","29.6","27.9","18.3","7.85","4.66","2","1.64","3.4","6.23"
"4","3015","全漢","50.7","-0.6","-1.17","05/08","34","18.5","21.9","25.1","26.4","16.6","6.7","2.97","1.63","0.95","0.43","4.37"
"5","1532","勤美","20.65","-0.15","-0.72","05/08","29.5","15.2","20.3","22.4","21.3","13.4","6.55","4.28","2.24","0.8","1.25","5.54"
"6","3653","健策","3650","-225","-5.81","05/08","29.4","27.6","25.9","22.1","19.6","11.1","6.32","5.22","6.58","7.34","4.45","6.56"
"7","6005","群益證","30.55","-0.6","-1.93","05/08","3.7","14.9","18.2","21.8","21.4","15.8","10.2","10","17.5","8.98","4.32","9.94"
"8","4904","遠傳","95.9","+0.5","+0.52","05/08","14.9","13.3","17.1","20.9","25","17.4","11.5","12.4","17.9","10.2","5.28","12.4"
"9","1102","亞泥","34.95","0","0","05/08","12.1","8.06","13","20.7","14.8","16.9","10.1","9.25","11.6","10.8","6.01","10.2"
"10","2884","玉山金","32.5","+0.4","+1.25","05/08","22.5","16.6","18.1","20.4","20","19","9.89","5.25","4.84","4.51","1.83","8.19"
"11","6805","富世達","1980","+60","+3.12","05/08","0.22","0.4","20.1","18","13.4","12.7","7.81","6.55","4.48","","","8.95"
"12","2882","國泰金","80","+1","+1.27","05/08","17.1","11","11.3","17.9","17.4","15.3","9.38","14.8","7.75","4.69","2.35","10.7"
"13","2881","富邦金","96.7","+2.2","+2.33","05/08","12.8","11.7","12.7","16.3","13.6","13.9","9.19","10.4","6.64","4.17","2.02","11.9"
"14","7751","竑騰","1940","-215","-9.98","05/08","44.2","31.3","24.6","16.2","6.74","4.29","2.06","1.15","","","","1.39"
"15","3017","奇鋐","2445","+30","+1.24","05/08","4.12","11.1","18.2","16.1","10.5","6.8","3.31","4.12","2.82","2.93","2.17","4.61"
"16","2891","中信金","56.4","+0.2","+0.36","05/08","8.56","9.58","10.6","15.6","19.1","18.2","10.4","16.1","11.6","6.36","3.04","11.5"
"17","3665","貿聯-KY","2750","-30","-1.08","05/08","9.48","12.8","20.9","15.6","10.4","7.15","7.25","7.39","5.9","5","3.75","9.31"
"18","2883","凱基金","22.9","+0.45","+2","05/08","0.68","0.68","4.47","13.3","8.85","6.96","3.15","3.15","2.89","3.96","2.44","3.31"
"19","2347","聯強","82.2","-1.7","-2.03","05/08","14.7","16.2","11.4","12.8","13.9","12.1","6.19","12.9","13.5","14.1","7.29","10.1"
"20","6271","同欣電","181.5","+1.5","+0.83","05/08","0","15.8","10.2","12.8","7.58","2.27","1.45","0.91","0.72","1.42","3.81","1.01"
"21","4536","拓凱","151","0","0","05/08","0","13","8.5","12.2","12.8","9.63","3.91","2.44","2.4","2.38","3.04","3.44"
"22","9917","中保科","114","+0.5","+0.44","05/08","0.33","11.9","8.32","11.2","5.43","3.08","6.41","7.85","11.6","10.6","6.38","6.21"
"23","6515","穎崴","9630","-230","-2.33","05/08","8.5","11.4","14","10.9","12.9","6.98","6.88","5.36","4.16","4.68","","5.86"
"24","2385","群光","134","+3","+2.29","05/08","10.2","8.52","8.59","10.1","13.1","11.5","6.94","13.4","12.9","10.7","6.55","11.2"
"25","5522","遠雄","70","+0.3","+0.43","05/08","29.2","15.2","13","9.82","5.39","4.58","3.85","3.83","3.78","7.5","5.34","6.18"
"26","3167","大量","684","-71","-9.4","05/08","20.8","26.3","19","9.7","7.07","6.63","1.69","0.99","0.4","0.3","0.26","2.1"
"27","2504","國產","34.75","-0.25","-0.71","05/08","3.17","3.08","2.99","9.59","10.1","10.1","4.53","14.9","15.9","9.96","3.57","5.54"
"28","3036","文曄","240.5","+21.5","+9.82","05/08","6.33","5.83","6.71","9.49","9.22","16.2","7.99","8.63","8.59","5.77","4.48","8.99"
"29","2606","裕民","65","-0.1","-0.15","05/08","8.14","6.73","8.12","9.44","9.06","6.68","7.62","6.15","6.38","4.72","2.75","10"
"30","6605","帝寶","130","0","0","05/08","0","11.2","6.88","9.36","5.3","2.71","1.29","7.86","5.05","2.88","1.66","0.79"
"31","6121","新普","390","+19","+5.12","05/08","13.2","10.2","8.92","9.16","8.62","10.7","8.77","17.2","15.3","11.4","5.14","18.3"
"32","3045","台灣大","110","0","0","05/08","10.8","9.17","10.2","8.99","9.25","8.25","6.79","5.44","11.2","8.74","4.88","8.14"
"33","4915","致伸","72.5","-1.1","-1.49","05/08","3.91","6.37","8.3","8.66","10.4","15","9.82","11.1","12.5","9.37","3.73","9.26"
"34","9904","寶成","25.9","-0.05","-0.19","05/08","12.8","8.99","9.23","8.58","8.52","8.5","7.16","7.39","4.97","5.55","3.11","9.39"
"35","2357","華碩","650","+11","+1.72","05/08","13.5","8.61","6.82","8.14","8.61","7.15","3.43","4.84","7.43","6.04","3.8","5.21"
"36","2458","義隆","151.5","+7.5","+5.21","05/08","11.2","8.01","7.7","8.03","10.3","10.5","5.64","8.09","7.22","4.43","2.47","8.47"
"37","7717","萊德光電-KY","668","+7","+1.06","05/08","0","8.3","13.1","8.02","3.66","1.47","0.7","","","","","0.49"
"38","6446","藥華藥","724","+65","+9.86","05/08","0","6.2","5.09","7.95","4.67","3.07","2.68","1.9","2.58","1.71","","1.76"
"39","2603","長榮","211.5","-2","-0.94","05/08","14","9.34","9.15","7.9","7.79","6.87","4.63","5.29","7.13","3.69","1.04","6.06"
"40","2645","長榮航太","164","+5","+3.14","05/08","1.58","2.24","2.28","7.86","8.11","4.73","4.42","1.37","1.12","1.1","","1.95"
"41","2006","東和鋼鐵","67.4","-0.2","-0.3","05/08","5.72","5.45","8.28","7.66","7.17","6.45","5.05","4.65","7.68","7.05","3.33","5.73"
"42","5876","上海商銀","38.9","+0.1","+0.26","05/08","3.18","2.54","3.58","7.58","7.91","7.91","5.91","17.1","20.7","9.78","","9.18"
"43","6739","竹陞科技","1325","-45","-3.28","05/08","0","4.53","2.76","7.52","4","1.78","0.86","0.53","0.36","","","0.71"
"44","3010","華立","133.5","+1.5","+1.14","05/08","3.51","3.15","3.21","7.18","7.86","4.38","3.17","2.41","5","4.6","2.41","2.79"
"45","6670","復盛應用","254","-4.5","-1.74","05/08","2.45","10.8","8.64","7.06","11","15","9.19","17.1","10.2","6","","9.16"
