"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6669","緯穎","5340","+140","+2.69","05/11","-3","-585","-7.05","-0.31","+16","+5,985","12.2","3.22","+2","+69","1.09","0.04","+4","+1,245","11.3","0.67"
"9910","豐泰","74.4","+0.6","+0.81","05/11","-2","-769","-11.9","-0.08","+15","+6,393","15.8","0.65","-4","-82","-0.65","-0.01","-1","-425","-14.8","-0.04"
"3711","日月光投控","537","+21","+4.07","05/11","+1","+1,420","6.27","0.03","+12","+14,149","4.23","0.32","+1","+256","1.13","0.01","+1","+2,333","10.3","0.05"
"3592","瑞鼎","263.5","+5","+1.93","05/11","-1","-914","-36.8","-1.21","+11","+1,293","10.1","1.7","+3","+36","0.57","0.05","-1","-854","-34.3","-1.13"
"1477","聚陽","218","-3.5","-1.58","05/11","-6","-2,828","-17.8","-1.15","+10","+1,813","7.73","0.74","-1","-28","-1.37","-0.01","-2","-969","-20.7","-0.39"
"2204","中華","54.1","-0.3","-0.55","05/11","-2","-495","-22.8","-0.09","+10","+2,156","18.4","0.39","-1","-14","-1.14","0","-1","-288","-23.5","-0.05"
"2548","華固","129.5","+6","+4.86","05/11","+1","+775","27.7","0.24","+10","+2,119","10.4","0.66","-1","-14","-0.48","0","+5","+2,350","19.4","0.74"
"2731","雄獅","159.5","0","0","05/11","-23","-9,627","-42.9","-10.3","+10","+1,284","13.5","1.38","-2","-5","-0.14","0","-5","-2,212","-34.2","-2.37"
"4105","東洋","75.2","-0.2","-0.27","05/11","-1","-192","-32.9","-0.08","+10","+1,890","21.4","0.76","-1","0","-0.01","0","-1","-95","-16.3","-0.04"
"4746","台耀","55.5","+1.2","+2.21","05/11","+1","+275","22.4","0.23","+10","+1,779","13.3","1.48","-4","-13","-0.24","-0.01","+1","+380","30.9","0.32"
"5274","信驊","17825","+870","+5.13","05/11","+1","+42","12.4","0.11","+10","+228","5.82","0.6","+2","+3","0.36","0.01","+1","+54","16.1","0.14"
"5534","長虹","79.4","+1","+1.28","05/11","+1","+183","25.6","0.06","+10","+1,746","23.9","0.55","+2","+15","0.91","0","+1","+303","42.3","0.1"
"6768","志強-KY","92","+4.5","+5.14","05/11","+3","+557","13.1","0.28","+10","+1,676","17.2","0.84","+3","+48","1.12","0.02","+9","+1,357","16.2","0.68"
"8155","博智","420","-24","-5.41","05/11","-4","-2,094","-10.7","-3.45","+10","+2,260","4.37","3.72","-1","-28","-0.74","-0.05","-1","-975","-25.5","-1.61"
"9802","鈺齊-KY","83.1","+2.7","+3.36","05/11","+1","+299","15.2","0.15","+10","+1,970","17.1","0.98","-2","-4","-0.13","0","+1","+414","21.1","0.21"
"9938","百和","45.25","+0.45","+1","05/11","+1","+403","18.9","0.14","+10","+4,307","21.4","1.45","-1","-1","-0.05","0","+1","+570","26.7","0.19"
"9941","裕融","75.2","-0.5","-0.66","05/11","-8","-5,343","-32.4","-0.93","+10","+2,969","14.6","0.52","-2","-9","-0.19","0","-2","-1,435","-30.1","-0.25"
"2308","台達電","2245","+45","+2.05","05/11","+1","+448","4.87","0.02","+9","+2,414","2.07","0.09","+2","+34","0.16","0","+1","+479","5.2","0.02"
"3583","辛耘","866","+78","+9.9","05/11","+1","+562","15","0.7","+8","+1,928","7.05","2.4","+3","+144","1.77","0.18","+1","+677","18.1","0.84"
"1319","東陽","80.8","+0.6","+0.75","05/11","-8","-10,328","-31.7","-1.75","+7","+2,164","7.41","0.37","-2","-173","-2.2","-0.03","-8","-8,589","-26.4","-1.45"
