"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","3450","聯鈞","470.5","+42.5","+9.93","05/12","+3.93","+1.99","+8.42","+8.49","+4.88","+5.67","+20.8","+17.3","+5.61","+16.8","-14.5","+18.4"
"2","6173","信昌電","147","+13","+9.7","05/12","+0.4","+4.13","+5.74","+7.25","+6.91","+11.7","+12.3","+15.3","+13.2","+13.9","+14","+15"
"3","8042","金山電","97.7","+8.8","+9.9","05/12","+0.04","+0.13","+3.36","+6.94","+6.74","+6.62","+8.49","+8.79","+8.02","+7.59","+2.68","+10.3"
"4","00984B","大華優利美A債15","16.26","-0.02","-0.12","05/12","+0.61","+2.88","+3.95","+6.56","+9.1","+18.6","+25.6","+22.8","+27.8","","","+25.3"
"5","2481","強茂","115.5","+6.5","+5.96","05/12","+3.53","+6.34","+5.57","+6.48","+7.45","+5.69","+8.86","+13.2","+14.8","+17.5","+0.22","+21"
"6","4973","廣穎","120","+10.5","+9.59","05/12","+1.43","+3.46","+4.25","+6.28","+4.86","+1.85","+6.93","+8.21","+5.65","+4.75","+6.48","+6.41"
"7","00733","富邦臺灣中小","68.7","+0.4","+0.59","05/12","+0.41","+3.86","+4.92","+5.76","+8.8","+12.8","+25.6","+35.4","+46.8","+22.6","","+34.9"
"8","3481","群創","35.5","+3.2","+9.91","05/12","+1.03","+1.07","+2.28","+5.6","+7.35","+7.3","+9.81","+3.66","+1.61","+1.13","-22.9","+5.2"
"9","3006","晶豪科","220","-2","-0.9","05/12","+0.77","+1.32","+3.44","+5.33","+6.09","+5.83","+5.69","+14","+19.8","+23.2","+24.3","+5.33"
"10","4931","新盛力","202.5","+15.5","+8.29","05/12","+3.76","+5.39","+6.43","+5.33","+4.2","+4.42","+1.15","+2.48","+3.09","+6.63","","-11.4"
"11","6285","啟碁","282","+23","+8.88","05/12","+1.38","+2.2","+2.53","+5.19","+4.29","+4.3","+4.17","+2.96","+1.92","+0.4","+5.2","+7.47"
"12","6282","康舒","56","+0.6","+1.08","05/12","+0.18","+3.44","+4.71","+4.87","+5.16","+5.19","+4.33","+6.12","+9.39","+9.93","+4.3","+9.95"
"13","3305","昇貿","128.5","+11.5","+9.83","05/12","+3.79","+3.59","+5.03","+4.68","+4.49","+4.61","+7.48","+7.7","+1.12","+5.12","+0.83","+7.04"
"14","5388","中磊","88.2","+0.9","+1.03","05/12","+0.44","+1.04","+3.68","+4.46","+4.94","+5.41","+1.86","-4.66","-1.03","-12.6","-11.2","-5.27"
"15","3033","威健","44.45","+0.45","+1.02","05/12","+1.22","+0.91","+2.55","+4.24","+5.63","+9.52","+13.5","+13.6","+8.68","+10.1","+13.1","+11.7"
"16","2301","光寶科","234.5","+10.5","+4.69","05/12","+1.18","+1.59","+2.02","+4.11","+4.99","+7.75","+6.79","+13.2","+13.4","-5.1","-7.45","+8.42"
"17","4966","譜瑞-KY","761","+26","+3.54","05/12","+3.44","+2.34","+4.32","+4","+2.39","+1.29","-1.85","-12.4","-18.3","-37.8","-17","-7.73"
"18","6206","飛捷","140","+9.5","+7.28","05/12","+2.33","+2.98","+3.48","+3.87","+4.06","+4.65","+6","+7.56","-8.38","+1.12","-12.1","+5.93"
"19","00731","復華富時高息低波","74.4","-1","-1.33","05/12","+0.55","+0.57","+1.74","+3.77","+3.6","+6.32","+8.26","+20.5","+45.3","+60.2","","+18.4"
"20","00909","國泰數位支付服務","48.68","+0.79","+1.65","05/12","+0.48","+0.97","+1.8","+3.76","+9.03","+23.3","+24.5","+29.7","+44.5","+34.8","","+36.6"
"21","009820","元大納斯達克精選","9.99","0","0","05/12","+1.72","+2.93","+3.52","+3.68","+3.68","","","","","","",""
"22","00689R","國泰20年美債反1","21.94","+0.06","+0.27","05/12","+2.9","+3.63","+3.63","+3.63","+4.28","+6.5","+13.2","+16.8","+24.9","+25.6","","+17.5"
"23","00915","凱基優選高股息30","26.56","-0.11","-0.41","05/12","+0.52","+0.83","+1.29","+3.58","+4.95","+7.95","+8.71","+11.6","+21.8","-1.64","","+11.8"
"24","8390","金益鼎","110.5","+7","+6.76","05/12","+1.31","+2.95","+3.12","+3.51","+3.74","+3.5","+2.55","+11.7","+15.2","+11.8","+11.7","+4.69"
"25","8358","金居","477","+15","+3.25","05/12","+1.07","+2.23","+2.8","+3.49","+6.07","+9.33","+13.2","+14.3","+21.1","+15.9","+23.5","+14.4"
"26","00859B","群益0-1年美債","40.82","+0.08","+0.2","05/12","+2.09","+2.69","+2.95","+3.46","+5.97","+7.38","+29","+58","+55.5","+69","","+51.8"
"27","4906","正文","39.5","-0.8","-1.99","05/12","-1.07","-1.69","+2.18","+3.43","+3.81","+0.5","-4.65","-3.68","-12.3","-7.94","-0.99","-4.52"
"28","2406","國碩","34.7","-0.55","-1.56","05/12","-0.16","+1.42","+1.04","+3.34","+5.06","+5.74","+8.73","+11.3","+11.4","+12.4","+5.51","+8.83"
"29","00737","國泰AI機器人","37.22","-0.16","-0.43","05/12","+0.64","+0.82","+0.97","+3.29","+5.77","+8.42","+8.82","+10.9","+18.5","+65.2","","+10.4"
"30","3048","益登","46.9","+1.9","+4.22","05/12","+1.47","+2.49","+3.34","+3.21","+3.87","+4.72","+6.17","+6.28","+0.77","+3.99","+3.93","+6.47"
"31","00678","群益那斯達克生技","35.65","+0.07","+0.2","05/12","+1.09","+0.46","+0.12","+3.18","+2.91","+3.99","+3.99","+5.35","+16.6","+17","","+0.65"
"32","00930","永豐ESG低碳高息","21.87","-0.04","-0.18","05/12","+0.51","+0.66","+0.79","+3.16","+6.12","+15.5","+18.6","+24.4","+31.1","","","+23.5"
"33","3587","閎康","385.5","+35","+9.99","05/12","+1.34","+2.25","+2.52","+3.15","+2.04","+3.63","+4.39","+7.51","+0.28","-1.56","+4.18","+3.39"
"34","00738U","期元大道瓊白銀","69.45","+4.5","+6.93","05/12","+0.29","+1.9","+2.45","+3.11","+2.77","+2.83","+2.47","-3.52","-3.17","-0.96","","-2.61"
"35","8147","正淩","183","+13.5","+7.96","05/12","+2.96","+3.56","+4.18","+3.03","+1.84","-0.02","+3.05","+2.03","+4.66","+3.67","+5.17","+2.11"
