"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"601","2374","佳能","市","05/12","","82.4","+1.9","+2.36","15,194","1,239","80.5","81","83.7","78.8","6.09","28.4","3.11","","","","",""
"602","3709","鑫聯大投控","櫃","05/12","","82","-7.1","-7.97","9,257","762","89.1","86","86.5","80.3","6.96","11.5","2.81","","","","",""
"603","7709","榮田","櫃","05/12","","82","-0.8","-0.97","351","28.9","82.8","84.6","84.6","80.7","4.71","40.6","1.95","","","","",""
"604","7721","微程式","市","05/12","","82","+2.7","+3.4","1,955","161","79.3","80.5","85","80.1","6.18","149","3.51","","","","",""
"605","6923","中台","市","05/12","","81.9","+1","+1.24","348","28.5","80.9","81","82.8","80.8","2.47","27","2.88","","","","",""
"606","3605","宏致","市","05/12","","81.8","-0.5","-0.61","5,109","419","82.3","82.6","84","80.7","4.01","23.2","1.68","","","","",""
"607","8112","至上","市","05/12","","81.8","-5","-5.76","46,744","3,867","86.8","86.8","86.9","81.2","6.57","9.45","2.33","","","","",""
"608","4987","科誠","櫃","05/12","","81.5","0","0","8","0.61","81.5","81.5","81.6","81.5","0.12","12.8","2.06","","","","",""
"609","6499","益安","櫃","05/12","","81.5","-2.2","-2.63","379","31.1","83.7","83.5","83.7","81.5","2.63","","5.82","","","","",""
"610","8040","九暘","櫃","05/12","","81.5","+3.5","+4.49","2,244","177","78","77.2","82.8","76.2","8.46","","3.2","","","","",""
"611","4580","捷流閥業","櫃","05/12","","81.4","-0.4","-0.49","98","7.96","81.8","81.6","81.6","80.7","1.1","16.2","1.38","","","","",""
"612","6028","公勝保經","櫃","05/12","","81.4","-0.5","-0.61","29","2.35","81.9","82.3","82.3","80.6","2.08","10.4","2.76","","","","",""
"613","6794","向榮生技","市","05/12","","81.4","-1.2","-1.45","46","3.79","82.6","84","84","81","3.63","","6.14","","","","",""
"614","4938","和碩","市","05/12","","81.1","-2.3","-2.76","12,329","1,008","83.4","83.6","83.8","81.1","3.24","15","1.05","","","","",""
"615","5425","台半","櫃","05/12","","81.1","+0.8","+1","44,026","3,588","80.3","81","84.8","78.8","7.47","39.2","2.59","","","","",""
"616","00661","元大日經225","市","05/12","","81","+0.2","+0.25","291","23.5","80.8","81.4","81.5","80.25","1.55","","0.9964","","","","",""
"617","1723","中碳","市","05/12","","81","+0.2","+0.25","870","70.7","80.8","81.7","82.2","80.1","2.6","32.7","2.34","","","","",""
"618","4905","台聯電","櫃","05/12","","80.7","0","0","29","2.31","80.7","81.5","81.5","78.1","4.21","29.2","0.82","","","","",""
"619","9802","鈺齊-KY","市","05/12","","80.7","-2.4","-2.89","955","78","83.1","83.5","83.5","80.5","3.61","14.2","1.2","","","","",""
"620","6190","萬泰科","櫃","05/12","","80.6","-0.3","-0.37","8,363","674","80.9","81","81.4","79.5","2.35","36.8","3.75","","","","",""
"621","7811","民盛","櫃","05/12","","80.4","-0.5","-0.62","23","1.87","80.9","80.9","80.9","80.4","0.62","9.93","1.32","","","","",""
"622","5520","力泰","櫃","05/12","","80.2","-0.9","-1.11","5","0.42","81.1","81.2","81.2","80.2","1.23","8.04","1.6","","","","",""
"623","6117","迎廣","市","05/12","","80.2","-0.1","-0.12","562","44.8","80.3","80.7","81.5","78.7","3.49","21.3","3.35","","","","",""
"624","1319","東陽","市","05/12","","80","-0.8","-0.99","3,530","282","80.8","80.8","80.8","79.1","2.1","12.4","1.69","","","","",""
"625","2478","大毅","市","05/12","","80","+2.1","+2.7","5,813","465","77.9","77.8","81.9","76.6","6.8","21.6","1.57","","","","",""
"626","6576","逸達","櫃","05/12","","80","-0.1","-0.12","94","7.47","80.1","80","80.1","79","1.37","","13.56","","","","",""
"627","6577","勁豐","櫃","05/12","","80","-0.8","-0.99","47","3.74","80.8","80.4","80.7","80","0.87","14.2","3.22","","","","",""
"628","6951","青新-創","市","05/12","","79.7","-2.1","-2.57","175","14","81.8","81.6","81.6","79.2","2.93","13.8","3.55","","","","",""
"629","4126","太醫","櫃","05/12","","79.6","0","0","78","6.25","79.6","79.9","80","79.2","1.01","16.3","1.88","","","","",""
"630","5609","中菲行","櫃","05/12","","79.6","0","0","181","14.4","79.6","79.9","79.9","79.2","0.88","9.95","1.77","","","","",""
"631","1294","漢田生技","櫃","05/12","","79.4","+0.2","+0.25","24","1.92","79.2","78.5","80.2","78.4","2.27","17.3","2.9","","","","",""
"632","5534","長虹","市","05/12","","79.2","-0.2","-0.25","716","56.8","79.4","80.1","80.1","78.8","1.64","13.2","1.11","","","","",""
"633","3528","安馳","市","05/12","","79","-3.5","-4.24","1,292","102","82.5","82.5","82.9","76.8","7.39","34.3","2.73","","","","",""
"634","3032","偉訓","市","05/12","","78.7","+1","+1.29","4,301","341","77.7","78","81.2","77.1","5.28","","3.58","","","","",""
"635","1727","中華化","市","05/12","","78.6","+2.3","+3.01","9,270","723","76.3","76.3","80.3","75.3","6.55","1965","4.8","","","","",""
"636","2947","振宇五金","櫃","05/12","","78.4","0","0","28","2.2","78.4","78.5","79","78.4","0.77","24.7","2.12","","","","",""
"637","6538","倉和","櫃","05/12","","77.9","-0.5","-0.64","120","9.34","78.4","78.4","78.7","77.5","1.53","76.4","1.56","","","","",""
"638","8487","愛爾達-創","市","05/12","","77.6","-0.2","-0.26","26","2.03","77.8","77.7","78","77.4","0.77","19.3","3.07","","","","",""
"639","6224","聚鼎","市","05/12","","77.5","+1.8","+2.38","1,843","145","75.7","79","81","76.5","5.94","116","3","","","","",""
"640","6918","愛派司","市","05/12","","77.4","-1.8","-2.27","109","8.52","79.2","81.8","81.8","77.3","5.68","15","2.09","","","","",""
"641","3707","漢磊","櫃","05/12","","77.2","+2.3","+3.07","22,931","1,728","74.9","74.7","78.4","72.7","7.61","","4.24","","","","",""
"642","6934","心誠鎂","市","05/12","","77.1","-0.9","-1.15","94","7.28","78","78","79","76.2","3.59","","4.85","","","","",""
"643","6204","艾華","櫃","05/12","","77","+4","+5.48","623","47.2","73","73","77.8","71","9.32","65.3","4.95","","","","",""
