"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6669","緯穎","5790","+450","+8.43","05/12","-4","-1,970","-15.7","-1.06","+17","+7,009","13.2","3.77","+3","+120","1.14","0.06","-1","-310","-7.36","-0.17"
"9910","豐泰","73.5","-0.9","-1.21","05/12","-3","-900","-10.6","-0.09","+16","+6,419","15.1","0.65","-5","-117","-0.81","-0.01","-2","-565","-11.6","-0.06"
"3711","日月光投控","555","+18","+3.35","05/12","-1","-2,401","-7.8","-0.05","+13","+19,300","5.28","0.44","+2","+302","0.57","0.01","+2","+5,128","9.6","0.12"
"3592","瑞鼎","261","-2.5","-0.95","05/12","+1","+207","13.5","0.27","+12","+1,308","9.12","1.72","-1","-18","-1.15","-0.02","+1","+204","13.3","0.27"
"2204","中華","54","-0.1","-0.18","05/12","-3","-713","-21.4","-0.13","+11","+2,172","16.9","0.39","-2","-64","-2.69","-0.01","-2","-540","-22.7","-0.1"
"2548","華固","123.5","-6","-4.63","05/12","-1","-1,773","-68","-0.55","+11","+2,155","9.41","0.67","+1","+35","1.33","0.01","-1","-1,702","-65.3","-0.53"
"2731","雄獅","158","-1.5","-0.94","05/12","-24","-10,258","-42.6","-11","+11","+1,305","11.7","1.4","-3","-9","-0.18","-0.01","-6","-2,826","-34.9","-3.03"
"4105","東洋","75.3","+0.1","+0.13","05/12","-2","-248","-22.4","-0.1","+11","+1,915","20.5","0.77","+1","+30","5.69","0.01","-2","-96","-8.69","-0.04"
"4746","台耀","54.5","-1","-1.8","05/12","-1","-296","-26.1","-0.25","+11","+1,809","12.5","1.5","-5","-17","-0.27","-0.01","-1","-271","-23.9","-0.22"
"5274","信驊","18005","+180","+1.01","05/12","-1","-35","-11.5","-0.09","+11","+285","6.76","0.75","-1","-1","-0.44","0","+2","+75","11.7","0.2"
"5534","長虹","79.2","-0.2","-0.25","05/12","-1","-337","-47","-0.11","+11","+2,072","25.8","0.66","-1","-6","-0.84","0","-1","-17","-2.38","-0.01"
"6768","志強-KY","90.4","-1.6","-1.74","05/12","-1","-309","-31.7","-0.15","+11","+1,690","15.8","0.84","-1","-4","-0.44","0","-1","-299","-30.7","-0.15"
"8155","博智","420","0","0","05/12","-5","-2,105","-9.86","-3.47","+11","+2,305","4.31","3.8","+1","+31","1.69","0.05","+1","+64","3.55","0.11"
"9802","鈺齊-KY","80.7","-2.4","-2.89","05/12","-1","-552","-57.8","-0.27","+11","+2,003","16","1","-3","-17","-0.46","-0.01","-1","-533","-55.8","-0.26"
"9938","百和","44.75","-0.5","-1.1","05/12","-1","-416","-23.9","-0.14","+11","+4,342","19.9","1.46","-2","-10","-0.26","0","-1","-389","-22.4","-0.13"
"2308","台達電","2195","-50","-2.23","05/12","-1","-4,268","-33.2","-0.16","+10","+2,682","2.07","0.1","-1","-283","-2.2","-0.01","-1","-4,282","-33.3","-0.16"
"3583","辛耘","952","+86","+9.93","05/12","-1","-562","-9.54","-0.7","+9","+2,021","6.08","2.52","-1","-14","-0.24","-0.02","-1","-482","-8.19","-0.6"
"2383","台光電","4900","+50","+1.03","05/12","+2","+476","8.83","0.13","+8","+1,025","4.44","0.29","-1","-32","-1.21","-0.01","+2","+852","15.8","0.24"
"3443","創意","5570","-160","-2.79","05/12","-1","-256","-9.79","-0.19","+8","+2,004","9.18","1.5","-3","-206","-2.6","-0.15","-1","-23","-0.9","-0.02"
"4966","譜瑞-KY","761","+26","+3.54","05/12","+1","+2,717","16.8","3.44","+8","+3,986","10.6","5.05","-1","-148","-0.91","-0.19","+4","+7,462","23.4","9.45"
"8454","富邦媒","189","-5","-2.58","05/12","-1","-65","-9.96","-0.02","+8","+648","8.75","0.24","-2","-19","-1.2","-0.01","-1","-71","-10.9","-0.03"
"1785","光洋科","158.5","-0.5","-0.31","05/12","-4","-26,343","-11.6","-4.42","+7","+972","0.27","0.16","-3","-407","-0.32","-0.07","-4","-26,410","-11.7","-4.43"
"2327","國巨*","419.5","+28","+7.15","05/12","-2","-10,369","-9.01","-0.5","+7","+18,123","4.49","0.87","+4","+2,350","0.89","0.11","+1","+1,324","2.09","0.06"
"2344","華邦電","121.5","+4","+3.4","05/12","+2","+44,916","9.35","1","+7","+29,383","1.8","0.65","-1","-219","-0.07","0","+2","+55,341","11.5","1.23"
"2393","億光","72.7","-1.1","-1.49","05/12","-2","-455","-10.3","-0.1","+7","+2,374","10.5","0.54","+1","+10","0.58","0","-2","-382","-8.67","-0.09"
"2408","南亞科","321","+20","+6.64","05/12","+2","+42,798","13.1","1.38","+7","+34,200","2.96","1.1","+2","+2,433","0.75","0.08","+2","+51,983","15.9","1.68"
"5483","中美晶","155","-8.5","-5.2","05/12","-1","-6,572","-20.8","-1.02","+7","+18,157","8.74","2.83","-1","-262","-0.83","-0.04","-1","-5,279","-16.7","-0.82"
"8210","勤誠","1550","-5","-0.32","05/12","-1","-563","-11.4","-0.45","+7","+4,029","12.5","3.22","-1","-124","-2.51","-0.1","-1","-306","-6.17","-0.24"
"2303","聯電","104.5","+9.5","+10","05/12","+2","+59,229","10.5","0.47","+6","+45,157","2.94","0.36","+2","+5,446","0.97","0.04","+2","+76,398","13.6","0.61"
"3533","嘉澤","2800","-45","-1.58","05/12","-2","-494","-15.2","-0.44","+5","+595","6.2","0.53","-1","-1","-0.08","0","-2","-302","-9.3","-0.27"
"3661","世芯-KY","5310","-65","-1.21","05/12","+3","+582","7.73","0.71","+5","+579","4.16","0.71","-1","-83","-2.76","-0.1","+3","+805","10.7","0.99"
"5009","榮剛","38.05","-2.1","-5.23","05/12","-1","-5,276","-29.6","-0.88","+5","+1,720","2.69","0.29","-1","-661","-3.71","-0.11","-1","-5,638","-31.6","-0.94"
"5269","祥碩","1525","+135","+9.71","05/12","+1","+241","4.37","0.32","+5","+284","1.78","0.38","+1","+12","0.22","0.02","+3","+575","4.53","0.77"
"5347","世界","170","-4.5","-2.58","05/12","-4","-17,547","-8.74","-0.94","+5","+8,626","3.37","0.46","+2","+1,785","1.82","0.1","-4","-10,987","-5.47","-0.59"
"6415","矽力*-KY","476.5","+8.5","+1.82","05/12","-3","-870","-3.91","-0.22","+5","+690","2.49","0.18","-1","-43","-0.39","-0.01","-2","-171","-0.86","-0.04"
"6781","AES-KY","1285","-35","-2.65","05/12","-2","-359","-4.76","-0.42","+5","+44","0.28","0.05","-1","-62","-1.94","-0.07","-2","-288","-3.81","-0.34"
"2382","廣達","340","-3.5","-1.02","05/12","+3","+5,293","11.8","0.14","+4","+992","1.46","0.03","-3","-648","-1.45","-0.02","+3","+5,408","12.1","0.14"
"3211","順達","402","-1","-0.25","05/12","-1","-494","-2.97","-0.32","+4","+664","1.09","0.43","-1","-111","-0.67","-0.07","-1","-454","-2.74","-0.29"
"4958","臻鼎-KY","407","-5","-1.21","05/12","-1","-4,374","-10.9","-0.46","+4","+1,677","0.97","0.18","+2","+502","0.62","0.05","-1","-3,435","-8.57","-0.36"
"00935","野村臺灣新科技50","55.6","-0.05","-0.09","05/12","-1","-1,276","-11.3","-0.23","+3","+623","1.55","0.11","-4","-10,466","-19.5","-1.87","-4","-9,666","-18","-1.73"
"2059","川湖","5445","-75","-1.36","05/12","-1","-122","-12.7","-0.13","+3","+358","8.47","0.38","-1","-9","-0.95","-0.01","-1","-32","-3.31","-0.03"
"2313","華通","260","+18","+7.44","05/12","+1","+29,975","31.9","2.52","+3","+3,886","1.48","0.33","+3","+818","0.31","0.07","+1","+33,551","35.7","2.82"
"2360","致茂","2440","+80","+3.39","05/12","+1","+232","5.22","0.05","+3","+591","5","0.14","-3","-141","-1.19","-0.03","+3","+867","7.33","0.2"
"2492","華新科","188.5","+17","+9.91","05/12","-1","-2,137","-5.17","-0.44","+3","+2,250","2.02","0.46","+2","+824","1.15","0.17","+2","+8,310","11.6","1.71"
"3017","奇鋐","2520","-35","-1.37","05/12","-6","-4,358","-9.01","-1.12","+3","+1,624","9.47","0.42","-1","-51","-1.02","-0.01","-1","-346","-6.91","-0.09"
"6640","均華","1475","+70","+4.98","05/12","+1","+16","3.74","0.06","+3","+28","2.87","0.1","+3","+17","1.71","0.06","+1","+43","10.2","0.15"
"6670","復盛應用","274.5","+12","+4.57","05/12","+2","+270","20.2","0.19","+3","+90","4.87","0.06","-1","-5","-0.54","0","+2","+310","23.2","0.22"
"1227","佳格","28.8","-0.05","-0.17","05/12","-2","-647","-29.6","-0.07","+2","+20","0.92","0","-4","-64","-1.73","-0.01","-2","-679","-31.1","-0.07"
"1434","福懋","15.7","-0.2","-1.26","05/12","-4","-2,307","-27.5","-0.14","+2","+33","0.64","0","-4","-64","-0.76","0","-1","-1,410","-47.3","-0.08"
"2049","上銀","367.5","+16.5","+4.7","05/12","+4","+7,731","19.9","2.19","+2","+737","2.82","0.21","-1","-70","-0.5","-0.02","+5","+7,874","17","2.23"
"2345","智邦","2525","-65","-2.51","05/12","-1","-1,153","-20","-0.21","+2","+1,137","7.77","0.2","-2","-98","-0.67","-0.02","-1","-746","-12.9","-0.13"
"2357","華碩","673","-13","-1.9","05/12","-1","-695","-10.7","-0.09","+2","+579","3.45","0.08","-2","-207","-1.23","-0.03","-1","-380","-5.84","-0.05"
"2363","矽統","63.2","+2.2","+3.61","05/12","-1","-36","-0.08","-0.01","+2","+55","0.08","0.01","+3","+653","0.64","0.13","+3","+10,909","10.6","2.12"
"2401","凌陽","25.95","+0.3","+1.17","05/12","+6","+10,114","21.2","1.71","+2","+18","0.11","0","-1","-144","-1.9","-0.02","+6","+9,696","20.3","1.64"
"2498","宏達電","41.3","+1.05","+2.61","05/12","+1","+3,145","26.1","0.38","+2","+521","2.52","0.06","+2","+396","1.91","0.05","+1","+3,445","28.5","0.41"
"2501","國建","22.4","-0.25","-1.1","05/12","-3","-4,219","-42.2","-0.36","+2","+16","0.21","0","-4","-102","-0.7","-0.01","-3","-4,271","-42.7","-0.37"
"2727","王品","235.5","+0.5","+0.21","05/12","+6","+1,336","35.8","1.61","+2","+41","5.46","0.05","+1","+2","0.48","0","+8","+1,530","36","1.84"
"2851","中再保","34.1","+2.55","+8.08","05/12","+2","+5,273","38.7","0.66","+2","+17","0.12","0","-1","-14","-0.13","0","+2","+5,312","38.9","0.66"
"2855","統一證","41.8","-1.9","-4.35","05/12","-1","-6,551","-37.3","-0.41","+2","+449","1.17","0.03","0","0","0","0","-1","-6,112","-34.8","-0.38"
"2897","王道銀行","10.2","-0.05","-0.49","05/12","+6","+7,641","39.7","0.27","+2","+25","0.26","0","-2","-63","-0.66","0","+6","+7,732","40.2","0.28"
"3036","文曄","275.5","+11","+4.16","05/12","-6","-19,833","-18","-1.56","+2","+13,474","20.6","1.06","-2","-552","-0.84","-0.04","-1","-1,223","-2.83","-0.1"
"3037","欣興","875","+14","+1.63","05/12","+2","+4,054","6.94","0.26","+2","+3,443","5.9","0.22","-1","-129","-0.43","-0.01","+2","+7,467","12.8","0.47"
"3081","聯亞","3055","+275","+9.89","05/12","+4","+1,185","9.08","1.28","+2","+197","3.04","0.21","-1","-3","-0.06","0","+4","+910","6.98","0.98"
"3228","金麗科","226.5","-15","-6.21","05/12","-4","-191","-3.71","-0.27","+2","+3","0.11","0","+1","+2","0.11","0","-4","-187","-3.63","-0.26"
"3363","上詮","920","+67","+7.85","05/12","+1","+458","8.15","0.4","+2","+51","0.53","0.04","+1","+1","0.02","0","+1","+494","8.79","0.43"
"3491","昇達科","1765","-55","-3.02","05/12","-1","-165","-6","-0.24","+2","+374","5.22","0.54","-3","-34","-0.38","-0.05","-1","-88","-3.21","-0.13"
"3706","神達","85.9","-0.9","-1.04","05/12","+1","+1,301","10","0.1","+2","+58","0.17","0","-3","-529","-1.04","-0.04","+1","+1,056","8.13","0.08"
"4919","新唐","181","-3","-1.63","05/12","-1","-6,375","-13.1","-1.52","+2","+7","0.01","0","-1","-287","-0.59","-0.07","-1","-6,658","-13.6","-1.59"
"5351","鈺創","83.8","+3.7","+4.62","05/12","+2","+5,281","6.22","1.61","+2","+40","0.05","0.01","+1","+37","0.07","0.01","+2","+5,358","6.31","1.63"
"5439","高技","381","-10","-2.56","05/12","-5","-2,939","-8.87","-3.16","+2","+222","2.18","0.24","-1","-62","-1.17","-0.07","-1","-235","-4.47","-0.25"
"6147","頎邦","196","-0.5","-0.25","05/12","+1","+407","1.28","0.05","+2","+2,445","2.49","0.33","-2","-1,945","-1.98","-0.26","+1","+946","2.98","0.13"
"6257","矽格","210","-2.5","-1.18","05/12","-4","-6,930","-9.97","-1.43","+2","+982","3.97","0.2","-3","-1,985","-4.67","-0.41","-4","-6,238","-8.97","-1.29"
"6472","保瑞","404","-4.5","-1.1","05/12","+1","+42","1.49","0.03","+2","+3","0.07","0","+1","+58","2.03","0.04","+1","+102","3.59","0.08"
"6679","鈺太","324.5","-2.5","-0.76","05/12","+1","+9","1.89","0.02","+2","+33","2.56","0.06","-2","-51","-3.95","-0.09","+1","+13","2.77","0.02"
"6770","力積電","62.1","-0.4","-0.64","05/12","+1","+2,726","1.61","0.06","+2","+626","0.14","0.01","-1","-189","-0.11","0","+1","+2,551","1.51","0.06"
