"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","96.85","-0.05","-0.05","26W20","05/12","-3","-225,047","-17.6","-1.21","+15","+103,408","1.11","0.56","-5","-157,883","-6.75","-0.85","-3","-313,696","-24.5","-1.69"
"3533","嘉澤","2800","-45","-1.58","26W20","05/12","-1","-494","-15.2","-0.44","+10","+4,682","5.48","4.16","+1","+27","0.83","0.02","-1","-302","-9.3","-0.27"
"6640","均華","1475","+70","+4.98","26W20","05/12","-1","-14","-1.87","-0.05","+7","+718","3.02","2.52","+2","+19","0.73","0.07","+2","+106","3.98","0.37"
"9910","豐泰","73.5","-0.9","-1.21","26W20","05/12","-2","-2,899","-14.5","-0.29","+7","+6,543","10.1","0.66","-4","-228","-0.54","-0.02","-2","-783","-3.91","-0.08"
"1785","光洋科","158.5","-0.5","-0.31","26W20","05/12","-3","-48,700","-11","-8.17","+6","+1,510","0.21","0.25","-1","-137","-0.19","-0.02","-3","-47,730","-10.7","-8.01"
"6679","鈺太","324.5","-2.5","-0.76","26W20","05/12","+7","+1,921","9.57","3.49","+6","+140","0.76","0.25","-1","-51","-3.95","-0.09","-1","-10","-0.79","-0.02"
"2059","川湖","5445","-75","-1.36","26W20","05/12","-1","-28","-1.01","-0.03","+5","+1,700","8.15","1.78","-1","-3","-0.12","0","+2","+984","13.5","1.03"
"3711","日月光投控","555","+18","+3.35","26W20","05/12","-5","-29,277","-5.35","-0.66","+5","+19,787","3.61","0.45","+2","+316","0.16","0.01","+1","+5,128","9.6","0.12"
"6669","緯穎","5790","+450","+8.43","26W20","05/12","-4","-4,491","-8.93","-2.42","+5","+7,126","11.9","3.83","+4","+424","0.84","0.23","-1","-284","-4.43","-0.15"
"8210","勤誠","1550","-5","-0.32","26W20","05/12","-3","-3,277","-7.11","-2.62","+5","+5,838","6.92","4.66","-1","-86","-0.99","-0.07","+2","+3,041","9.47","2.43"
"2308","台達電","2195","-50","-2.23","26W20","05/12","-4","-15,423","-7.36","-0.59","+4","+3,822","1.82","0.15","-3","-823","-0.57","-0.03","-4","-12,416","-5.93","-0.48"
"2330","台積電","2255","+20","+0.89","26W20","05/12","-3","-105,772","-20.2","-0.41","+4","+26,049","3.64","0.1","+3","+1,148","0.22","0","-1","-17,748","-18.9","-0.07"
"2548","華固","123.5","-6","-4.63","26W20","05/12","-3","-3,187","-13.9","-1","+4","+2,249","7.86","0.7","+2","+59","0.34","0.02","-1","-812","-15","-0.25"
"2855","統一證","41.8","-1.9","-4.35","26W20","05/12","-2","-4,533","-4.69","-0.28","+4","+2,987","1.84","0.19","0","0","0","0","-2","-2,859","-2.96","-0.18"
"3026","禾伸堂","330","+0.5","+0.15","26W20","05/12","+2","+2,508","2.15","1.51","+4","+10,373","5.92","6.25","+1","+106","0.31","0.06","+2","+12,201","10.4","7.36"
"4958","臻鼎-KY","407","-5","-1.21","26W20","05/12","-7","-60,738","-4.16","-6.35","+4","+18,138","1.77","1.9","+1","+502","0.62","0.05","-7","-41,649","-2.85","-4.35"
"1477","聚陽","228.5","+10.5","+4.82","26W20","05/12","-2","-4,611","-22.2","-1.87","+3","+1,762","6.21","0.71","-3","-181","-0.64","-0.07","-2","-2,988","-14.4","-1.21"
"1560","中砂","668","+39","+6.2","26W20","05/12","+1","+2,046","19.9","1.4","+3","+505","1.43","0.35","+1","+14","0.13","0.01","+1","+2,154","20.9","1.47"
"2204","中華","54","-0.1","-0.18","26W20","05/12","-6","-6,106","-19.8","-1.1","+3","+2,172","16.9","0.39","-1","-64","-2.69","-0.01","-1","-540","-22.7","-0.1"
"2313","華通","260","+18","+7.44","26W20","05/12","+3","+22,164","2.32","1.86","+3","+4,164","0.44","0.35","+1","+788","0.45","0.07","+3","+28,124","2.94","2.36"
"2327","國巨*","419.5","+28","+7.15","26W20","05/12","-1","-10,369","-9.01","-0.5","+3","+19,515","3.54","0.94","+3","+4,729","0.86","0.23","-1","-773","-0.67","-0.04"
"2344","華邦電","121.5","+4","+3.4","26W20","05/12","+4","+214,967","6.92","4.78","+3","+35,169","1.49","0.78","+4","+8,791","0.28","0.2","+4","+247,267","7.96","5.49"
"2408","南亞科","321","+20","+6.64","26W20","05/12","+3","+119,340","6.94","3.85","+3","+38,401","2.23","1.24","+3","+6,082","0.35","0.2","+3","+163,823","9.53","5.29"
"2727","王品","235.5","+0.5","+0.21","26W20","05/12","+3","+1,529","28.9","1.84","+3","+310","5.87","0.37","-1","-1","-0.15","0","+3","+1,851","35.1","2.23"
"2731","雄獅","158","-1.5","-0.94","26W20","05/12","-9","-12,584","-37.6","-13.5","+3","+1,305","11.7","1.4","-1","-9","-0.33","-0.01","-9","-11,889","-35.5","-12.7"
"3583","辛耘","952","+86","+9.93","26W20","05/12","-5","-3,796","-5.95","-4.73","+3","+1,835","4.61","2.28","+2","+167","0.71","0.21","+2","+429","1.81","0.53"
"3592","瑞鼎","261","-2.5","-0.95","26W20","05/12","-4","-2,066","-10.1","-2.72","+3","+1,302","9.61","1.72","-1","-16","-0.41","-0.02","-1","-650","-16.2","-0.86"
"3706","神達","85.9","-0.9","-1.04","26W20","05/12","+6","+38,432","11.2","2.9","+3","+362","0.22","0.03","-1","-502","-1.46","-0.04","-1","-216","-0.63","-0.02"
"4105","東洋","75.3","+0.1","+0.13","26W20","05/12","-14","-16,540","-30.6","-6.65","+3","+1,915","20.5","0.77","+1","+30","2.69","0.01","-14","-16,386","-30.3","-6.59"
"4746","台耀","54.5","-1","-1.8","26W20","05/12","-2","-719","-8.23","-0.6","+3","+1,809","12.5","1.5","-1","-7","-0.28","-0.01","+3","+1,360","9.38","1.13"
"4966","譜瑞-KY","761","+26","+3.54","26W20","05/12","+2","+2,975","8.18","3.77","+3","+3,918","8.38","4.96","+2","+416","1.14","0.53","+2","+7,257","20","9.19"
"5269","祥碩","1525","+135","+9.71","26W20","05/12","+3","+1,098","4.14","1.47","+3","+293","1.1","0.39","-1","-6","-0.06","-0.01","+3","+1,571","5.92","2.1"
"5274","信驊","18005","+180","+1.01","26W20","05/12","+1","+6","1.02","0.02","+3","+285","6.76","0.75","-1","-1","-0.13","0","+1","+75","11.7","0.2"
"5439","高技","381","-10","-2.56","26W20","05/12","-4","-7,674","-6.41","-8.25","+3","+3,254","4.53","3.5","-1","-32","-0.31","-0.03","-4","-6,174","-5.15","-6.64"
"5534","長虹","79.2","-0.2","-0.25","26W20","05/12","-5","-5,623","-30.2","-1.78","+3","+2,072","25.8","0.66","+3","+25","0.31","0.01","+1","+286","20","0.09"
"6138","茂達","289.5","+4.5","+1.58","26W20","05/12","+2","+1,322","10.5","1.75","+3","+58","0.38","0.08","+2","+78","0.62","0.1","+2","+1,411","11.2","1.87"
"6285","啟碁","282","+23","+8.88","26W20","05/12","+2","+22,223","8.86","4.59","+3","+3,118","0.93","0.64","+1","+373","0.5","0.08","+2","+25,020","9.98","5.17"
"6670","復盛應用","274.5","+12","+4.57","26W20","05/12","+1","+270","20.2","0.19","+3","+441","10.2","0.32","+1","+5","0.4","0","+1","+310","23.2","0.22"
"6768","志強-KY","90.4","-1.6","-1.74","26W20","05/12","-4","-1,770","-11.7","-0.88","+3","+1,690","15.8","0.84","+2","+47","0.63","0.02","-1","-36","-1.39","-0.02"
"7769","鴻勁","6870","+490","+7.68","26W20","05/12","+8","+7,127","16.4","3.96","+3","+767","4.87","0.43","+2","+39","0.39","0.02","+9","+7,336","14.3","4.08"
"8155","博智","420","0","0","26W20","05/12","-3","-4,478","-8.37","-7.38","+3","+2,305","4.31","3.8","+1","+2","0.04","0","-3","-2,413","-4.51","-3.98"
"8261","富鼎","131","-4","-2.96","26W20","05/12","-3","-5,434","-10.6","-4.57","+3","+107","0.21","0.09","+2","+103","0.25","0.09","-3","-5,281","-10.3","-4.45"
"8299","群聯","2725","+55","+2.06","26W20","05/12","-1","-2,361","-13.6","-1.07","+3","+4,128","3.23","1.87","+7","+2,379","0.85","1.08","-1","-1,662","-9.57","-0.75"
"9802","鈺齊-KY","80.7","-2.4","-2.89","26W20","05/12","-2","-1,207","-14.3","-0.6","+3","+2,003","16","1","-1","-17","-0.59","-0.01","-1","-118","-4.05","-0.06"
"9907","統一實","16.85","-0.15","-0.88","26W20","05/12","-6","-36,987","-40.8","-2.34","+3","+3,514","7.54","0.22","-4","-171","-0.25","-0.01","-6","-36,208","-39.9","-2.29"
"9938","百和","44.75","-0.5","-1.1","26W20","05/12","-12","-25,616","-29.9","-8.6","+3","+4,342","19.9","1.46","-1","-10","-0.26","0","+1","+181","4.66","0.06"
"9941","裕融","74.3","-0.9","-1.2","26W20","05/12","-2","-5,154","-34.1","-0.9","+3","+2,893","12.9","0.5","-5","-309","-0.83","-0.05","-2","-2,994","-19.8","-0.52"
"0056","元大高股息","45.58","-0.18","-0.39","26W20","05/12","+3","+269,258","28.6","1.94","+2","+2,185","0.35","0.02","+3","+258,713","27.5","1.87","+3","+496,371","52.8","3.58"
"00935","野村臺灣新科技50","55.6","-0.05","-0.09","26W20","05/12","-1","-1,258","-5.56","-0.23","+2","+1,179","1.1","0.21","-5","-56,804","-21.7","-10.2","-5","-63,117","-24.1","-11.3"
