"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","2891C","中信金丙特","62.2","0","0","05/13","0","+36.2","+29.7","+29","+27.2","+30.1","+15","+10.1","-0.52","-2.21","","+13.1"
"2","6669","緯穎","5580","-210","-3.63","05/13","+15.6","+20.8","+20.2","+18.4","+13.1","+12.4","+4.81","+1.59","+0.8","+0.47","","+1.6"
"3","5534","長虹","77.1","-2.1","-2.65","05/13","0","+18.7","+17.6","+17.7","+23.5","+11","+3.73","+2.05","-0.34","+0.21","-0.04","+2.7"
"4","3036","文曄","284","+8.5","+3.09","05/13","+22.6","+19.6","+21.2","+16","+10.5","+2.51","+3.72","+3.52","+5.41","+2.04","+1.44","+2.36"
"5","8210","勤誠","1520","-30","-1.94","05/13","+21.1","+13.3","+16.3","+14.2","+12.1","+7.75","-1.1","-0.82","+0.11","+0.21","+0.11","-1.12"
"6","7769","鴻勁","7440","+570","+8.3","05/13","+24.9","+18.8","+15.4","+13","+8.57","+2.35","+2.23","","","","","+2.8"
"7","7734","印能科技","4375","+395","+9.92","05/13","+17","+14.5","+13.7","+11.9","+8.64","+10.3","+5.63","+4.76","+3.27","","","+5.04"
"8","4105","東洋","75.6","+0.3","+0.4","05/13","0","+2.15","+6.98","+11.7","+19.2","+10.8","+3.74","+1.73","+0.96","+0.26","-0.62","+2.66"
"9","4966","譜瑞-KY","809","+48","+6.31","05/13","+9.28","+12.7","+12.4","+11.2","+9.94","+5.25","+3.77","+3.87","+2.43","+0.42","+0.01","+3.61"
"10","9802","鈺齊-KY","79.2","-1.5","-1.86","05/13","-6.12","+0.75","+3.92","+10.9","+16.4","+7.67","+0.64","-0.84","-1.83","-0.43","+0.02","-3.07"
"11","3711","日月光投控","548","-7","-1.26","05/13","+12.5","+14.9","+11.3","+10.4","+6.65","+4.17","+2.27","-2.09","-3.06","+0.42","","+1.49"
"12","1477","聚陽","229","+0.5","+0.22","05/13","+14.4","+5.07","+5.14","+9.92","+7.89","-1.75","+0.55","-6.44","-0.54","+0.99","+0.36","-1.28"
"13","4746","台耀","52.9","-1.6","-2.94","05/13","0","+1.35","+3.97","+8.97","+12.9","+8.13","+3.47","+1.92","+1.16","+0.06","-0.1","+2.31"
"14","9938","百和","44.25","-0.5","-1.12","05/13","-0.74","+0.79","+3.64","+8.77","+19.8","+10.4","+0.44","-1.58","-0.59","+0.35","-0.24","-2.19"
"15","9910","豐泰","71.6","-1.9","-2.59","05/13","-0.71","+0.57","+3.06","+8.48","+10.2","+12.3","+3.78","+3.08","+1.98","+0.1","+0.16","+2.35"
"16","3443","創意","5330","-240","-4.31","05/13","+0.44","+5.41","+4.41","+8.34","+7.49","+4.9","+2.72","+1.57","+0.78","-0.03","+0.13","+2.05"
"17","2330","台積電","2220","-35","-1.55","05/13","+13.7","+15.2","+10.2","+7.94","+5.28","+3.22","+1.84","+1.62","+0.83","+0.48","+0.24","+1.7"
"18","1582","信錦","92","+2.2","+2.45","05/13","+13.3","+8.95","+11.8","+7.29","+3.33","-0.15","+0.29","+0.14","-0.27","+0.09","+0.06","+0.26"
"19","2327","國巨*","420","+0.5","+0.12","05/13","+11.4","+6.68","+8.68","+7.2","+4.15","+2.34","+1.07","+1.35","+0.85","+0.63","+0.31","+1.48"
"20","5483","中美晶","148.5","-6.5","-4.19","05/13","-0.23","+3.4","+9.61","+6.99","+7.18","+2.09","+1.06","+0.47","-0.44","+1.16","+0.25","+0.74"
"21","2548","華固","124.5","+1","+0.81","05/13","-2.2","+0.26","+2.1","+6.85","+9.52","+6.36","+2.87","+2.14","-0.6","+0.02","-0.03","+2.54"
"22","3026","禾伸堂","325","-5","-1.52","05/13","0","-0.28","+4.54","+6.56","+6.69","+4.93","+2.5","+1.89","+1.43","+1.26","+0.15","+2.17"
"23","6177","達麗","46.55","-0.7","-1.48","05/13","0","+14.1","+10.5","+6.55","+5.09","-3.28","-1.86","-4.55","-0.97","+0.21","+0.14","-2.32"
"24","6768","志強-KY","87.7","-2.7","-2.99","05/13","-1.04","+0.55","+2.71","+6.36","+15.8","+9.37","+2.18","-2.86","-0.86","+0.35","","-1.93"
"25","2393","億光","72.9","+0.2","+0.28","05/13","-0.8","-0.48","+0.9","+6.25","+7.13","+2.33","-1.7","-11.5","-10.1","+1.19","+0.35","-1.74"
"26","2204","中華","52.9","-1.1","-2.04","05/13","-0.36","+0.04","+1.8","+6.25","+12.5","+6.87","+1.89","-0.88","-2.25","-1.16","+0.15","-0.35"
"27","6715","嘉基","468","-12","-2.5","05/13","0","-0.07","-0.04","+5.84","+7.29","+5.32","+4.49","+3.98","+3.66","+1.04","","+4.06"
"28","2383","台光電","4930","+30","+0.61","05/13","+13.9","+11.9","+9.08","+5.57","+4.22","+2.56","+2.87","+1.68","-1.16","+0.04","+0.14","+1.02"
"29","2731","雄獅","160","+2","+1.27","05/13","0","+0.85","+2.82","+5.56","+10.8","+6.65","+2.8","+2.05","-0.37","-0.94","+0.03","+2.75"
"30","9941","裕融","73.9","-0.4","-0.54","05/13","-5.12","-4.36","-1","+5.55","+12.5","+6.2","-12.1","-8.05","-9.22","-0.91","-0.5","-10.8"
"31","2059","川湖","5250","-195","-3.58","05/13","-22.5","+0.4","+0.87","+5.18","+7.38","+7.76","+4.98","-2.05","-0.87","+0.45","+0.43","-1.29"
"32","1319","東陽","80","0","0","05/13","-9.04","-3.14","+0.59","+5.11","+3.89","-2.55","-5.23","-2.65","-4.7","+1.1","+0.25","-3.38"
"33","8454","富邦媒","196","+7","+3.7","05/13","0","+0.84","+1.22","+4.96","+5.77","+0.67","+0.4","+2.68","+0.92","-0.18","+0.05","+1.94"
"34","6223","旺矽","5720","+240","+4.38","05/13","+10.3","+7.74","+0.41","+4.76","+3.75","+1.19","+1.55","+0.14","+1.93","+0.74","+0.2","-0.22"
"35","3017","奇鋐","2585","+65","+2.58","05/13","+21.5","+18.9","+15.6","+4.53","-2.99","+0.21","+1.68","-0.74","+0.3","-0.54","+0.07","-0.8"
"36","3583","辛耘","966","+14","+1.47","05/13","+2.01","+1.81","+1.82","+3.99","+5.38","+3.1","+1.64","+1.33","+0.68","+0.12","-0.03","+1.44"
"37","3592","瑞鼎","259.5","-1.5","-0.57","05/13","-0.1","+0.36","+1.2","+3.97","+8.67","+5.2","+3.18","-8.1","-5.03","+0.21","","+0.96"
"38","6526","達發","703","-31","-4.22","05/13","+0.08","+0.02","+0.06","+3.97","+2.71","+1.68","+1.55","+1.02","+0.04","","","+1.29"
"39","006201","元大富櫃50","47.92","-0.73","-1.5","05/13","+6.93","+11","+0.86","+3.93","+1.38","+0.92","-0.38","-1.91","-3.17","-2.94","-6.11","-1.59"
"40","6274","台燿","1450","0","0","05/13","+0.25","+1.35","-5.12","+3.77","+4.77","+4.44","-3.15","-0.52","+0.48","+0.36","+0.1","-2.85"
"41","5274","信驊","17820","-185","-1.03","05/13","-2.81","+7.71","+6.27","+3.76","+6.81","+3.9","+3.96","+4.73","+1.95","+0.21","-0.07","+4.17"
