"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"1","4966","譜瑞-KY","809","+48","+6.31","05/13","+1.38","+4.49","+5.48","+6.18","+6.42","+5.62","+5.24","+8.38","+10.1","+4.55","+0.21","+6.69"
"2","8210","勤誠","1520","-30","-1.94","05/13","+0.61","+0.91","+1.59","+3.01","+3.92","+5.31","-1.66","-2.19","+0.65","+5.33","+3.76","-2.41"
"3","3026","禾伸堂","325","-5","-1.52","05/13","0","-0.01","+0.97","+2.68","+6.1","+6.25","+6.14","+6.07","+6.42","+6.63","+5.8","+6.03"
"4","8150","南茂","85.5","-1.5","-1.72","05/13","0","0","0","+1.54","+1.54","+1.54","+1.53","+1.59","+0.16","+0.26","+1.36","+1.6"
"5","6669","緯穎","5580","-210","-3.63","05/13","+0.24","+0.79","+1.01","+1.52","+1.91","+4.08","+3.25","+1.98","+2.08","+4.28","","+1.56"
"6","3036","文曄","284","+8.5","+3.09","05/13","+0.49","+1.09","+1.55","+1.49","+1.31","+0.5","+1.9","+3.37","+8.16","+8.85","+10.4","+1.65"
"7","5483","中美晶","148.5","-6.5","-4.19","05/13","0","+0.24","+1.18","+1.44","+2.8","+1.49","+1.21","+0.88","-1.49","+8.35","+8.72","+1.21"
"8","6278","台表科","205.5","-9","-4.2","05/13","+0.08","+0.05","+1.46","+1.38","+0.01","-4.52","-5.03","-8.32","-12.9","+10.9","+11.1","-7.84"
"9","6291","沛亨","489.5","-28.5","-5.5","05/13","0","0","0","+1.13","+1.92","+4.04","+4.68","+4.52","+5.14","+5.14","+5.14","+4.74"
"10","2472","立隆電","233.5","+10.5","+4.71","05/13","+0.01","0","+1.09","+1.11","+1.16","+1.6","+1.4","+1.54","+0.95","+2.07","+2.64","-0.29"
"11","2327","國巨*","420","+0.5","+0.12","05/13","+0.29","+0.38","+0.71","+1.1","+1.04","+1.2","+1.07","+2.9","+2.98","+2.61","+3.16","+2.49"
"12","3583","辛耘","966","+14","+1.47","05/13","+0.17","+0.29","+0.37","+1.04","+2.69","+2.46","+3.83","+3.77","+3.76","+4.25","-1.64","+3.83"
"13","2492","華新科","200","+11.5","+6.1","05/13","+0.39","+0.86","+0.86","+0.86","+0.81","+0.82","+0.89","+0.56","+1.01","+1.16","-7.38","+1.04"
"14","3443","創意","5330","-240","-4.31","05/13","+0.01","+0.22","+0.26","+0.8","+1.41","+1.74","+2.66","+4","+3.94","-0.54","+8.74","+3.51"
"15","2481","強茂","121","+5.5","+4.76","05/13","+0.62","+0.85","+0.85","+0.78","+0.37","+0.81","-3.13","-3.59","+2.58","+3.61","+0.61","-4.05"
"16","6715","嘉基","468","-12","-2.5","05/13","0","0","0","+0.77","+1.78","+2.94","+5.47","+5.47","+5.47","+4.57","","+5.47"
"17","5289","宜鼎","1765","-30","-1.67","05/13","-0.2","-0.33","-0.33","+0.77","+1.68","+2.1","+2.14","+2.48","-0.73","+1.06","+3.02","+4.39"
