"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2633","台灣高鐵","25.9","-0.25","-0.96","05/14","86.4","88.6","84.2","71.5","63.6","57.6","67.4","67.3","61.2","51.5","","66.8"
"2","2530","華建","21.05","-0.3","-1.41","05/14","63.4","86.2","82.8","75.2","60.7","47.9","45.2","44","41.1","37.9","23.5","45"
"3","2910","統領","21.45","-0.75","-3.38","05/14","88.5","86.2","82.2","63.2","40.4","27.8","28.8","25.4","19.9","14.6","14.4","27.6"
"4","5871","中租-KY","108","+0.5","+0.47","05/14","75","75.3","77.2","73","68.8","49.7","52.6","46.1","52.6","59","55.5","48.6"
"5","8464","億豐","328","-6.5","-1.94","05/14","73.3","79.2","77","76.1","79.6","76.2","53.2","20","11","3.82","2.12","30.9"
"6","4915","致伸","70.3","-0.3","-0.42","05/14","68.2","74.1","76.1","76.5","69.3","60.4","63.3","59.4","51.7","43.8","33.5","59.2"
"7","2880","華南金","32.6","-0.15","-0.46","05/14","73.5","71","75.8","75","71.3","60","64.2","63","57.9","55.4","47.1","62.1"
"8","2801","彰銀","20.4","-0.1","-0.49","05/14","77.8","67","71.9","65.1","61","50","51.8","50.6","42.1","39.1","39.8","47.6"
"9","2886","兆豐金","39.3","-0.25","-0.63","05/14","75.3","65","70","53.5","59.3","51.7","49","52.2","48.8","49.8","48.1","49.2"
"10","1590","亞德客-KY","1465","-15","-1.01","05/14","56.9","66.3","69.8","69.7","71.2","72.3","74","71.8","72.7","72.1","54","70.6"
"11","2912","統一超","226.5","+1","+0.44","05/14","65","72","69.8","70.4","69.3","64.1","54.8","58.5","60.4","63.6","67.4","55.5"
"12","1101","台泥","24.55","-0.15","-0.61","05/14","69","70.9","68.9","58.6","53.5","53.6","52.6","45.8","43.7","47.4","45.4","46.1"
