"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"1","2887","台新新光金","23.1","-0.05","-0.22","05/14","52.4","49.2","51.3","50.7","47","37.4","15.5","8.69","5.42","3.9","2.12","12"
"2","00755B","群益投資級公用債","32.82","-0.01","-0.03","05/14","49.5","49.4","49.4","44.4","38.1","22.1","10.1","5.14","2.56","0.47","","6.83"
"3","2606","裕民","64.6","+0.3","+0.47","05/14","44.7","42.6","43.2","33.7","25.8","16.3","10.6","7.39","7.19","4.92","2.81","11.9"
"4","2882","國泰金","76.7","-0.6","-0.78","05/14","31","21.2","22","20.6","19.9","17.4","10.6","15.3","8.09","4.82","2.39","11.4"
"5","6805","富世達","1780","-50","-2.73","05/14","34.2","31","30.2","19.2","19.2","13.9","9.37","7.49","4.92","","","9.72"
"6","6592B","和潤企業乙特","97.2","0","0","05/14","0","35.6","22.9","17.5","10.8","5.99","4.95","23.6","11.9","","","10.5"
"7","7751","竑騰","1550","-170","-9.88","05/14","0","8.76","12.1","17.2","12.4","6.1","2.98","1.3","","","","1.8"
"8","2891","中信金","54.8","-0.1","-0.18","05/14","36.1","23.4","20.7","16.5","17.7","19.5","11.1","16.4","11.9","6.45","3.08","12"
"9","3167","大量","765","+12","+1.59","05/14","0","0","1.41","16.3","7.49","8.13","2.53","1.16","0.42","0.31","0.27","2.23"
"10","3653","健策","3365","-165","-4.67","05/14","17.8","21.8","9.33","15.4","14.5","10.2","6.45","5.57","6.65","7.36","4.46","6.61"
"11","2881","富邦金","94.6","-0.1","-0.11","05/14","25.4","20.7","18.8","15.1","15.9","14.8","9.85","10.7","6.85","4.25","2.05","12.2"
"12","3131","弘塑","2935","-90","-2.98","05/14","13","10.5","11.7","13.1","8.11","7.43","3.96","3.49","4.12","4.38","4.09","4.25"
"13","6023","元大期","99","-0.2","-0.2","05/14","0","26.1","24.4","12.4","9.19","5.75","1.8","1.39","1.71","2.48","1","1.69"
"14","00965","元大航太防衛科技","25.62","-0.16","-0.62","05/14","0","8.43","10.6","12.2","7.29","4.76","3.64","4.22","4.47","","","4.32"
"15","6024","群益期","56.5","-0.7","-1.22","05/14","0","8.13","16.8","11.8","5.45","3.3","1.12","0.66","0.87","2.48","1.2","0.82"
"16","3665","貿聯-KY","2250","-250","-10","05/14","20.4","17.3","15.3","11.8","12.9","8.87","7.4","7.66","6.06","5.04","3.78","9.42"
"17","3533","嘉澤","2450","-145","-5.59","05/14","12","18.1","16.8","11.7","8.63","6.12","4.14","3.7","4.32","5.53","5.9","3.28"
"18","2884","玉山金","31.85","-0.05","-0.16","05/14","14.2","10.4","10.7","11.7","18.2","19.2","9.94","5.48","4.93","4.55","1.85","8.21"
"19","2062","橋椿","19.6","-0.35","-1.75","05/14","20.5","14.9","17.2","11.6","6.66","3.3","2.49","2.16","1.99","0.27","0.62","1.52"
"20","6121","新普","372.5","-7.5","-1.97","05/14","21.1","18.5","12.8","11.2","9.19","10.6","8.13","17.2","15.4","11.4","5.17","17.6"
"21","6442","光聖","1855","+50","+2.77","05/14","0.53","10.4","10.5","10.6","8.44","9.4","5.29","3.13","1.83","0.87","0.69","4.02"
"22","4991","環宇-KY","708","+8","+1.14","05/14","0","0","0","10.1","2.69","2.19","1.16","1.24","0.83","0.63","0.75","1.91"
"23","4904","遠傳","98.1","+1.2","+1.24","05/14","8.27","6.99","8.32","10.1","20.8","17.1","11.6","12.6","17.9","10.3","5.29","12.2"
"24","6515","穎崴","10540","+665","+6.73","05/14","2.35","9.87","9.27","9.92","10.4","8.23","7.34","5.29","4.31","4.7","","5.99"
"25","9904","寶成","25.85","-0.2","-0.77","05/14","8.17","6.09","10.5","9.68","9.55","9.34","6.21","2.72","0.99","0.39","0.16","7.56"
"26","1702","南僑","33.5","+0.2","+0.6","05/14","0","0","0","9.58","18.3","15.1","7.39","4.68","2","1.64","3.4","5.77"
"27","2347","聯強","83.3","+0.2","+0.24","05/14","8.4","9.7","9.68","9.53","11.5","12.6","6.49","13.2","13.6","14.1","7.3","10.1"
"28","2850","新產","132","-1","-0.75","05/14","6.95","10.5","9.45","8.98","6.86","8.32","6.28","6.53","8.08","2.72","1.12","6.56"
"29","3702","大聯大","111","+0.5","+0.45","05/14","5.35","17.2","18.8","8.96","8.64","19.6","9.51","12.9","15.8","13.2","7.52","10.7"
"30","2368","金像電","1430","+80","+5.93","05/14","1.63","10.9","8.77","8.55","6.74","4.33","2.94","3.44","3.33","3.71","2.08","4.53"
"31","6274","台燿","1450","0","0","05/14","41.4","21.7","16","8.53","4.24","2.72","5.91","4.31","2.77","2.36","3.39","5.72"
"32","5522","遠雄","70.5","+0.1","+0.14","05/14","8.78","8.1","3.48","8.1","5.1","5.21","3.77","3.86","3.63","7.48","5.34","5.97"
"33","2603","長榮","211.5","+1.5","+0.71","05/14","3.53","2.36","2.68","7.95","6.89","6.92","4.39","5.36","7.39","3.71","1.04","6.06"
