"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"1","00836B","永豐10年A公司債","28.6","-0.16","-0.56","05/15","+100","+100","+96.5","+94","+13.2","+17.7","+19.2","+74.4","+80.6","+81.9","","+84.6"
"2","00717","富邦美國特別股","15.12","-0.1","-0.66","05/15","+1.95","+63.9","+86.5","+88.2","+86.9","+84.3","+74.3","+65.7","+55.7","+42.2","","+67"
"3","00746B","富邦A級公司債","35.14","-0.23","-0.65","05/15","+58.5","+70.9","+78.4","+81.3","+75","+64.2","+54.7","+58.8","+58.2","+44.3","","+56.3"
"4","4728","雙美","384.5","+3.5","+0.92","05/15","-39.8","-39.1","0","+77.6","+32.2","+43","+30.4","+39.8","+15.4","+4.11","+1.48","+42.1"
"5","6806","森崴能源","15.6","-1.7","-9.83","05/15","+65.9","+91.1","+91.1","+72.7","+56.5","+28.6","+8.17","+2.41","-0.21","+0.1","","+3.55"
"6","00984B","大華優利美A債15","16.19","-0.08","-0.49","05/15","-1.25","+58","+59","+67.5","+59.2","+48.4","+15","+8.02","+5.86","","","+10.7"
"7","00875","國泰網路資安","42.92","+0.02","+0.05","05/15","+79.9","+83.8","+78.1","+64","+20.9","+14.8","+11","+10.2","+13.7","+16.5","","+10.9"
"8","00970B","新光BBB投等債20+","9.33","-0.03","-0.32","05/15","-30","+44.2","+57.4","+62.9","+51.2","+46.2","+29.1","+37.8","+33.7","","","+34.6"
"9","00694B","富邦美債1-3","41.42","-0.08","-0.19","05/15","+46.2","+71.2","+68.6","+61.7","+38.2","+40.9","+34.2","+33","+28.8","+14.8","","+30"
"10","00857B","永豐20年美公債","22.86","-0.13","-0.57","05/15","+53.9","+69.5","+70.6","+61.3","+50.9","+54","+46.9","+44.5","+30.9","+9.7","","+47.5"
"11","00966B","統一ESG投等債15+","13.82","-0.06","-0.43","05/15","+17.7","+68.1","+58.8","+59.7","+45.6","+32","+15.7","+6.65","+2.42","","","+9.54"
"12","00948B","中信優息投資級債","9.4","-0.04","-0.42","05/15","+48.1","+59.1","+61.6","+55.5","+51","+49.4","+59","+48.9","+47.2","","","+50.6"
"13","00714","群益道瓊美國地產","21.27","-0.16","-0.75","05/15","-0.89","-0.27","+19.1","+54.8","+37.9","+28.1","+16.5","+12.2","+4.8","+1.33","","+15.3"
"14","00950B","凱基A級公司債","13.94","-0.07","-0.5","05/15","+23.5","+45.3","+53.2","+52.9","+49.2","+35.5","+55.7","+51.2","+47.7","","","+51.5"
"15","009820","元大納斯達克精選","10.15","+0.11","+1.1","05/15","+49","+52.3","+52.5","+52.7","+36.8","","","","","","",""
"16","00725B","國泰投資級公司債","34.7","-0.19","-0.54","05/15","+7.99","+37.9","+40.7","+51.7","+38.9","+14.8","+14.2","+16.5","+7.34","+5.01","","+16"
"17","00772B","中信高評級公司債","33.4","-0.19","-0.57","05/15","+10.1","+34.4","+45.9","+51.4","+44.3","+37.2","+42.3","+42.3","+30.6","+12.8","","+41"
"18","5876","上海商銀","40.1","-0.2","-0.5","05/15","+47.3","+44.9","+43.5","+50.2","+22.8","-5.6","-11","+0.12","+5.87","-1.6","","-8.34"
"19","00773B","中信優先金融債","35.62","-0.2","-0.56","05/15","-61.8","+5.18","+37.9","+50","+37.7","+38.7","+30.9","+30.8","+24.4","+24.6","","+30.3"
"20","00982B","FT投資級債20+","9.78","-0.03","-0.31","05/15","+5.08","+36.7","+37.9","+49.6","+49","+33.2","+20.2","+9.34","+1.37","","","+13.4"
"21","00937B","群益ESG投等債20+","14.75","-0.06","-0.41","05/15","+16.4","+41.1","+48.1","+49.3","+34","+23.6","+16.5","+17.1","+13.1","","","+16.9"
"22","910322","康師傅-DR","25.05","-0.05","-0.2","05/15","+64","+72.1","+43.8","+49","+45.2","+42.7","+38.3","+19.4","+4.76","-0.54","-0.22","+34.2"
"23","00898","國泰基因免疫革命","8","-0.13","-1.6","05/15","-4.68","+33.2","+47.7","+48.8","+45.5","+51.9","+49.3","+40.9","+36.1","+34.9","","+42.9"
"24","4991","環宇-KY","642","-66","-9.32","05/15","+14.6","+24.4","+27","+48.3","+4.37","+3.29","+1.72","+1.27","+0.59","+0.23","-0.01","+0.45"
"25","00959B","大華投等美債15Y+","9.3","-0.04","-0.43","05/15","+1.61","+30","+42.2","+47.2","+41.1","+31.3","+26","+27.1","+32.6","","","+28.6"
"26","2455","全新","358.5","0","0","05/15","+33.9","+31.6","+34.3","+46","+3.97","+6.38","+0.62","-0.17","-0.19","-0.03","+0.06","-0.2"
"27","00958B","永豐ESG銀行債15+","9.21","-0.05","-0.54","05/15","-37.8","-9.81","+18.4","+45.8","+32.8","+39.6","+22","+12","+6.89","","","+15.2"
"28","00755B","群益投資級公用債","32.67","-0.15","-0.46","05/15","+41","+43.2","+45.9","+45.6","+36","+27.2","+15.9","+9.43","+5.83","+39.8","","+10.8"
"29","00943","兆豐電子高息等權","19.28","-0.08","-0.41","05/15","+26.9","+40.3","+40.7","+45","+60.8","+62.2","+47.6","+28.7","+15.9","","","+33.9"
"30","00740B","富邦全球投等債","38.44","-0.15","-0.39","05/15","-26.7","+8.83","+19.8","+43.6","+49.8","+43.1","+30.1","+39.6","+30.7","+14.7","","+34"
"31","2606","裕民","62.8","-1.8","-2.79","05/15","+39.7","+43.4","+44.6","+43.4","+42.3","+23.1","+12.9","+6.45","+3.73","+0.53","+0.5","+13.3"
"32","00696B","富邦美債20年","28.49","-0.17","-0.59","05/15","+34","+59.5","+57.2","+41.9","+40.7","+48.2","+40.4","+56.8","+43.6","+24.7","","+62.2"
"33","8415","大國鋼","35.35","+0.55","+1.58","05/15","+47.8","+47.7","+38.9","+41.5","+29.9","+9.49","+4.95","+6.35","+2.53","+0.68","","+6.97"
"34","00897","富邦基因免疫生技","9.68","-0.12","-1.22","05/15","+31.3","+44","+31.2","+40.4","+28.3","+35.7","+28.8","+25.1","+21.8","+15.5","","+26.4"
"35","00687B","國泰20年美債","27.45","-0.17","-0.62","05/15","+29.7","+42.6","+44.7","+39.9","+29.4","+23","+21.7","+30.4","+20.8","+5.63","","+30.1"
"36","1216","統一","75.7","+0.9","+1.2","05/15","+64.1","+45.6","+48.8","+38.8","+24.1","+17.8","+3.58","-10.4","-9.29","-6.23","-4.88","-0.26"
"37","00862B","中信投資級公司債","31.52","-0.17","-0.54","05/15","-6.07","+26.1","+20.8","+38.8","+32.7","+32.1","+18.4","+15.7","+13.3","+20","","+14.9"
"38","00779B","凱基美債25+","27.8","-0.17","-0.61","05/15","-2.15","+1.09","+48.1","+37.8","+47","+34.7","+22.1","+12.1","+5.16","+4.52","","+16.7"
"39","00780B","國泰A級金融債","37.24","-0.24","-0.64","05/15","-15.7","+26.2","+46.7","+37.1","+23.6","+6.76","+81.8","+69.8","+75","+53.3","","+74.9"
"40","2887","台新新光金","23.8","+0.7","+3.03","05/15","+39.9","+42.2","+45.6","+36.9","+37.2","+29","+3.82","+1.1","-0.58","-3.95","-2.08","+7.36"
"41","009812","野村日本東證","12.03","-0.15","-1.23","05/15","-7.02","+6.43","+35.5","+36.4","+17.1","+11.3","+3.64","+1.1","","","","+1.98"
"42","6491","晶碩","294.5","+5","+1.73","05/15","+40","+39.8","+36.3","+35.8","+20.8","+12.9","+14","+1.34","+5.09","-0.9","","+9.28"
"43","00733","富邦臺灣中小","66.7","-2.35","-3.4","05/15","-10.7","-2.46","-0.57","+35.8","+33.3","+25.7","+18.5","+15.5","+11.5","+1.51","","+17.3"
"44","2881","富邦金","96.1","+1.5","+1.59","05/15","+60.4","+56.3","+54.1","+35.4","+39.1","+27.5","+2.57","+0.6","-5.14","-2.6","-2.91","+6.44"
"45","00720B","元大投資級公司債","32.62","-0.17","-0.52","05/15","-29.7","-7.01","+6.93","+35.3","+35.1","+16","+17.7","+23.3","+19.4","+5.11","","+16.2"
"46","00983A","主動中信ARK創新","11.59","-0.12","-1.02","05/15","+1.06","+4.84","+28.5","+35.2","+34.1","+24","+12.3","+5.24","","","","+7.11"
"47","2015","豐興","62.6","-0.5","-0.79","05/15","-1.89","+10.2","+7.73","+34.5","+43.9","+17.2","+5.18","+3.57","-3.85","+1.68","-1.01","+5.8"
"48","1714","和桐","9.84","-0.16","-1.6","05/15","-4.12","+17.9","+9.92","+34.4","+20","+7.57","+8.03","+7.75","+6.25","+1.75","+0.51","+8"
"49","00986B","FT金融債10+","9.82","-0.04","-0.41","05/15","0","0","+26.2","+33","+18.5","+41","+23.4","+33.4","","","","+49"
"50","00968B","元大優息投等債","9.22","-0.03","-0.32","05/15","-45.6","-3.16","+14.7","+32.9","+12.3","+27.3","+11.4","+10.2","+34.6","","","+7.35"
"51","2892","第一金","29.3","-0.2","-0.68","05/15","+34.2","+25.5","+33.2","+32.5","+31.9","+15.9","+12.5","+15.6","+11.4","+3.52","+2.03","+7.93"
"52","2027","大成鋼","39.85","+0.05","+0.13","05/15","+48.2","+54.8","+30.7","+31.8","+36","+21.2","+3.77","-4.77","-3.46","+1.01","+0.22","+2.17"
"53","3045","台灣大","114.5","-0.5","-0.43","05/15","+28.2","+50.4","+37.2","+31.8","+26.7","+13","+20.7","-5.38","-2.76","-0.23","-5.07","+14.3"
"54","1563","巧新","44.75","-0.65","-1.43","05/15","+4.96","+29.3","+33.4","+30.9","+27.1","+13.7","+4.98","+2.39","-0.15","","","+2.11"
"55","1904","正隆","20.35","+0.4","+2.01","05/15","+40.5","+38.4","+36.1","+30.7","+20.6","+11.9","+3.33","+3.27","+1.48","+0.55","+0.08","+4.56"
"56","8097","常珵","53.7","+1.2","+2.29","05/15","+46.7","+45.3","+38.7","+30.4","+21.5","+7.32","+1.17","+1.48","+0.03","+0.08","+0.01","+1.01"
"57","2867","三商壽","7.72","+0.02","+0.26","05/15","+32.4","+22.3","+26.2","+30.2","+27.9","+33","+25.7","+32.8","+19.8","+7.61","+3.45","+30"
