"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00763U","期街口道瓊銅","34.18","-1.06","-3.01","05/15","+35","+5,022","12.1","9.12","0","0","0","0","+2","+968","29.5","1.76","+2","+1,326","40.4","2.41"
"00717","富邦美國特別股","15.12","-0.1","-0.66","05/15","+28","+8,240","84.1","5.9","0","0","0","0","+1","+135","87.7","0.1","+27","+8,322","85.6","5.96"
"00900","富邦特選高股息30","16.68","-0.39","-2.28","05/15","+27","+154,403","31.3","8.38","0","0","0","0","+30","+201,860","39","11","+30","+363,787","70.2","19.7"
"00857B","永豐20年美公債","22.86","-0.13","-0.57","05/15","+19","+25,890","57.4","4.37","0","0","0","0","-2","-1,670","-31.6","-0.28","+24","+25,225","48.2","4.26"
"00950B","凱基A級公司債","13.94","-0.07","-0.5","05/15","+19","+45,938","38.2","1.13","0","0","0","0","-22","-49,317","-37.2","-1.21","-1","-394","-5.4","-0.01"
"00696B","富邦美債20年","28.49","-0.17","-0.59","05/15","+16","+20,747","47.6","3.03","0","0","0","0","-3","-2,796","-42.3","-0.41","+19","+7,442","13","1.09"
"00981D","主動中信非投等債","10.34","-0.02","-0.19","05/15","+16","+29,619","22.7","4.75","0","0","0","0","-5","-8,643","-20.3","-1.39","-2","-1,910","-12.3","-0.31"
"00746B","富邦A級公司債","35.14","-0.23","-0.65","05/15","+14","+13,674","73.4","0.55","0","0","0","0","-33","-25,712","-63.8","-1.04","-1","-150","-16.9","-0.01"
"5490","同亨","28.4","+0.3","+1.07","05/15","+13","+1,576","20","1.64","0","0","0","0","0","0","0","0","+13","+1,614","20.5","1.68"
"00918","大華優利高填息30","25.35","-0.52","-2.01","05/15","+11","+97,893","22.4","3.06","0","0","0","0","+28","+468,195","48.7","14.6","+28","+665,197","69.2","20.8"
"009820","元大納斯達克精選","10.15","+0.11","+1.1","05/15","+11","+161,821","34.1","8.86","0","0","0","0","+10","+106,527","24.2","5.83","+10","+268,291","61","14.7"
"2606","裕民","62.8","-1.8","-2.79","05/15","+11","+33,459","41.3","3.96","-12","-25,768","-31","-3.05","-1","-207","-1.15","-0.02","-1","-2,596","-14.5","-0.31"
"2887","台新新光金","23.8","+0.7","+3.03","05/15","+11","+419,352","35.9","1.69","-23","-674,026","-34.2","-2.71","-1","-3,891","-3.25","-0.02","+1","+32,873","27.5","0.13"
"6227","茂綸","124.5","+11","+9.69","05/15","+11","+2,024","13.8","2.66","0","0","0","0","+4","+68","0.86","0.09","+11","+2,117","14.4","2.78"
"8390","金益鼎","119.5","+8.5","+7.66","05/15","+11","+4,814","24.7","5.01","0","0","0","0","+1","+166","4.78","0.17","+11","+5,339","27.4","5.56"
"00737","國泰AI機器人","36.85","-0.08","-0.22","05/15","+10","+1,512","42.1","6.71","0","0","0","0","-2","-165","-29.9","-0.73","+10","+1,307","36.4","5.8"
"00772B","中信高評級公司債","33.4","-0.19","-0.57","05/15","+10","+14,253","44.3","0.41","0","0","0","0","-7","-4,329","-19.3","-0.13","+10","+10,889","33.8","0.31"
"00909","國泰數位支付服務","49.2","+0.58","+1.19","05/15","+10","+14,757","30.1","10.2","0","0","0","0","+11","+15,717","30.6","10.8","+19","+60,472","57.7","41.6"
"00943","兆豐電子高息等權","19.28","-0.08","-0.41","05/15","+10","+1,843","60.8","4.3","0","0","0","0","+1","+8","1.91","0.02","+15","+1,890","38.2","4.41"
"1809","中釉","38.6","-0.65","-1.66","05/15","+10","+6,713","4.18","4.02","0","0","0","0","+1","+85","3.17","0.05","+2","+202","3.32","0.12"
"3031","佰鴻","28.95","-1.05","-3.5","05/15","+10","+2,561","10.6","1.48","0","0","0","0","+1","0","0.01","0","+10","+2,482","10.3","1.43"
"8341","日友","76.5","+0.3","+0.39","05/15","+10","+382","12.9","0.29","0","0","0","0","-1","-1","-0.19","0","+6","+231","14.5","0.18"
"00694B","富邦美債1-3","41.42","-0.08","-0.19","05/15","+9","+2,312","49.3","2.69","0","0","0","0","-3","-1,048","-68.7","-1.22","-1","-65","-13.3","-0.08"
"00764B","群益25年美債","27.43","-0.18","-0.65","05/15","+9","+11,429","19.6","0.72","0","0","0","0","-3","-2,446","-10.1","-0.15","+4","+2,040","7.74","0.13"
"2727","王品","236.5","-0.5","-0.21","05/15","+9","+1,726","33.3","2.08","+2","+82","7.69","0.1","-1","-3","-0.61","0","+11","+2,001","35.1","2.41"
"2867","三商壽","7.72","+0.02","+0.26","05/15","+9","+26,660","35.7","0.45","0","0","0","0","-1","-340","-2.37","-0.01","+3","+8,183","29.4","0.14"
"2892","第一金","29.3","-0.2","-0.68","05/15","+9","+131,309","40.6","0.91","-5","-1,167","-0.72","-0.01","-2","-378","-0.78","0","+9","+130,198","40.3","0.91"
"3006","晶豪科","251","+13","+5.46","05/15","+9","+30,842","10.4","10.4","0","0","0","0","-1","-279","-0.66","-0.09","+9","+30,690","10.4","10.3"
"3045","台灣大","114.5","-0.5","-0.43","05/15","+9","+29,393","30.4","0.79","-1","-308","-2.42","-0.01","+1","+127","1","0","+3","+19,225","36","0.52"
"5903","全家","189.5","+0.5","+0.26","05/15","+9","+49","16.4","0.02","0","0","0","0","0","0","0","0","+9","+49","16.4","0.02"
"00679B","元大美債20年","26.41","-0.17","-0.64","05/15","+8","+41,487","16.9","0.56","0","0","0","0","+5","+19,672","12.8","0.27","+10","+94,061","31.1","1.28"
"00725B","國泰投資級公司債","34.7","-0.19","-0.54","05/15","+8","+16,328","44.9","0.43","0","0","0","0","-2","-1,637","-17.4","-0.04","-1","-608","-11.6","-0.02"
"00738U","期元大道瓊白銀","64.7","-5.65","-8.03","05/15","+8","+10,893","12.1","4.33","0","0","0","0","-1","-618","-4.82","-0.25","-1","-146","-1.14","-0.06"
"00859B","群益0-1年美債","40.91","-0.05","-0.12","05/15","+8","+1,460","5.96","6.64","0","0","0","0","-1","-233","-6.72","-1.06","+2","+610","9.05","2.77"
"00907","永豐優息存股","14.61","-0.15","-1.02","05/15","+8","+2,369","20","1.28","0","0","0","0","-2","-587","-31.7","-0.32","-2","-484","-26.2","-0.26"
"00959B","大華投等美債15Y+","9.3","-0.04","-0.43","05/15","+8","+8,089","49.8","1.43","0","0","0","0","+1","+106","7.41","0.02","+8","+10,917","67.2","1.93"
"009817","國泰日本不動產","9.03","-0.02","-0.22","05/15","+8","+5,043","19.2","1.77","0","0","0","0","+3","+1,913","20.4","0.67","+10","+11,278","35.2","3.96"
