"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.49","-0.17","-0.59","26W20","05/15","+52","+620,900","43.2","90.7","0","0","0","0","-50","-331,028","-23.7","-48.3","+18","+274,766","46.1","40.1"
"00717","富邦美國特別股","15.12","-0.1","-0.66","26W20","05/15","+46","+21,292","58.3","15.3","0","0","0","0","+1","+80","3.33","0.06","+11","+10,701","76.9","7.67"
"00857B","永豐20年美公債","22.86","-0.13","-0.57","26W20","05/15","+27","+146,466","42.7","24.7","0","0","0","0","-1","-1,363","-12.8","-0.23","+27","+144,335","42.1","24.4"
"00733","富邦臺灣中小","66.7","-2.35","-3.4","26W20","05/15","+20","+27,769","17.3","37.3","0","0","0","0","+13","+24,930","23","33.5","+35","+85,131","36.6","114"
"00893","國泰智能電動車","45.6","-0.17","-0.37","26W20","05/15","+20","+34,548","22.7","9.19","0","0","0","0","+5","+7,265","18.3","1.93","+20","+48,604","32","12.9"
"3209","全科","68","+4.5","+7.09","26W20","05/15","+19","+35,310","13.4","15","+1","+113","0.27","0.05","+1","+120","0.29","0.05","+2","+4,074","7.06","1.73"
"00931B","統一美債20年","13.23","-0.08","-0.6","26W20","05/15","+17","+241,084","54.3","10.9","0","0","0","0","-1","-2,909","-13.4","-0.13","+17","+275,314","62","12.4"
"6234","高僑","52.5","-3.5","-6.25","26W20","05/15","+17","+6,021","2.99","6","0","0","0","0","-2","-218","-0.81","-0.22","+1","+228","2.47","0.23"
"1463","強盛新","17.85","-0.15","-0.83","26W20","05/15","+15","+3,349","44.5","1.93","0","0","0","0","-1","-2","-0.62","0","+15","+3,347","44.5","1.93"
"006205","富邦上証","41.23","-0.79","-1.88","26W20","05/15","+14","+3,893","9.27","3.82","0","0","0","0","+2","+1,306","23.6","1.28","+14","+7,599","18.1","7.45"
"00898","國泰基因免疫革命","8","-0.13","-1.6","26W20","05/15","+14","+19,130","47.9","11.9","0","0","0","0","-1","-105","-4.92","-0.07","+14","+19,000","47.6","11.8"
"910322","康師傅-DR","25.05","-0.05","-0.2","26W20","05/15","+14","+832","65.1","3.93","0","0","0","0","0","0","0","0","+14","+832","65.1","3.93"
"00694B","富邦美債1-3","41.42","-0.08","-0.19","26W20","05/15","+13","+9,712","33.5","11.3","0","0","0","0","-15","-11,245","-33.7","-13.1","-2","-532","-9.92","-0.62"
"00710B","復華彭博非投等債","18.82","-0.04","-0.21","26W20","05/15","+12","+1,728","14.5","0.94","0","0","0","0","+2","+113","5.32","0.06","+19","+22,559","57.9","12.3"
"00746B","富邦A級公司債","35.14","-0.23","-0.65","26W20","05/15","+12","+34,528","54.7","1.4","0","0","0","0","-12","-33,428","-53","-1.35","-1","-32","-0.62","0"
"00763U","期街口道瓊銅","34.18","-1.06","-3.01","26W20","05/15","+11","+7,569","11.1","13.7","0","0","0","0","+7","+14,593","37.6","26.5","+11","+24,726","36.3","44.9"
