"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"901","2923","鼎固-KY","22.65","-2.35","-9.4","26W20","05/15","173","-6","0","173","+2","0","173","+2","0"
"902","1470","大統新創","22.6","+0.2","+0.89","26W20","05/15","6.97","-4","-0.01","6.64","-4","-0.01","6.11","-4","-0.01"
"903","5533","皇鼎","13.75","-0.25","-1.79","26W20","05/15","21.6","+419","+0.19","20.9","+419","+0.2","20.2","+413","+0.21"
"904","6171","大城地產","23.3","-0.95","-3.92","26W20","05/15","8.45","-609","-0.72","8.3","+2","0","7.93","+2","0"
"905","2910","統領","21.6","-0.45","-2.04","26W20","05/15","16.8","-264","-0.16","16.5","+460","+0.28","16.4","+460","+0.28"
"906","00707R","期元大S&P日圓反1","32.2","0","0","26W20","05/15","0.46","+10","+0.22","0.46","+10","+0.22","0.46","+10","+0.22"
"907","5903","全家","188.5","-0.5","-0.26","26W20","05/15","20.1","-480","-0.24","20","-1,270","-0.63","19.9","-1,270","-0.63"
"908","4726","永昕","26.6","-0.75","-2.74","26W20","05/15","11.2","-40","-0.04","10.8","-793","-0.73","10.3","0","0"
"909","1451","年興","16.5","-0.3","-1.79","26W20","05/15","11.7","+220","+0.19","11.5","+220","+0.19","11.2","+220","+0.2"
"910","5478","智冠","104","0","0","26W20","05/15","12.2","+11","+0.01","12","+11","+0.01","11.4","+11","+0.01"
"911","8463","潤泰材","21.8","-0.6","-2.68","26W20","05/15","12","+52","+0.04","11.8","+52","+0.04","11.4","+24","+0.02"
"912","2524","京城","34.1","-2.15","-5.93","26W20","05/15","33.7","+161","+0.05","33.6","+161","+0.05","33.6","+161","+0.05"
"913","00723B","群益投資級科技債","30.86","-0.16","-0.52","26W20","05/15","152","-98.8","-0.01","152","-98.8","-0.01","152","-1,066","-0.07"
"914","3522","御嵿","11.5","-0.2","-1.71","26W20","05/15","5.82","-18.5","-0.03","5.54","-18.5","-0.03","5.45","+26.5","+0.05"
