代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00763U,期街口道瓊銅,33.54,-0.64,-1.87,05/18,36,5058,11.8,9.19,0,0,0.0,0.0,-1,-504,-37.3,-0.92,-1,-468,-34.6,-0.85
00900,富邦特選高股息30,16.69,0.01,0.06,05/18,28,155505,30.9,8.44,0,0,0.0,0.0,31,206121,39.0,11.2,31,369151,69.9,20.0
00857B,永豐20年美公債,22.66,-0.2,-0.87,05/18,20,27072,57.1,4.56,0,0,0.0,0.0,1,239,10.6,0.04,25,26647,48.8,4.48
00950B,凱基A級公司債,13.89,-0.05,-0.36,05/18,20,49339,39.1,1.21,0,0,0.0,0.0,-23,-51986,-37.5,-1.28,1,732,12.4,0.02
00696B,富邦美債20年,28.24,-0.25,-0.88,05/18,17,21293,46.8,3.1,0,0,0.0,0.0,1,131,6.91,0.02,20,8119,13.7,1.18
00981D,主動中信非投等債,10.34,0.0,0.0,05/18,17,31500,23.1,5.05,0,0,0.0,0.0,1,1225,20.2,0.2,1,3106,51.1,0.5
00746B,富邦A級公司債,35.0,-0.14,-0.4,05/18,15,14383,72.8,0.58,0,0,0.0,0.0,-34,-26557,-64.0,-1.07,-2,-285,-14.1,-0.01
5490,同亨,28.2,-0.2,-0.7,05/18,14,1595,19.3,1.66,0,0,0.0,0.0,0,0,0.0,0.0,14,1633,19.7,1.7
00918,大華優利高填息30,25.51,0.16,0.63,05/18,12,99096,21.0,3.1,0,0,0.0,0.0,29,486630,48.9,15.2,29,684835,68.8,21.4
009820,元大納斯達克精選,10.06,-0.09,-0.89,05/18,12,172428,34.2,9.44,0,0,0.0,0.0,11,114387,24.4,6.26,11,286758,61.1,15.7
2606,裕民,63.4,0.6,0.96,05/18,12,33540,39.3,3.97,-13,-25889,-29.5,-3.06,-2,-316,-1.41,-0.04,-2,-2744,-12.2,-0.32
6227,茂綸,119.0,-5.5,-4.42,05/18,12,2928,14.9,3.85,0,0,0.0,0.0,5,261,2.03,0.34,12,3214,16.4,4.22
