排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,00988A,主動統一全球創新,18.28,-0.98,-5.09,99917,05/19,-33,397,3173,20452,28588,30706,31153.0,30836.0,,31199.0
2,4919,新唐,150.0,1.5,1.01,19187,05/19,396,548,1590,2666,2989,3838,4616.0,4624.0,4583.0,4688.0
3,2412,中華電,142.5,5.5,4.01,52962,05/19,2504,2502,2503,2505,2505,2500,2487.0,2481.0,2309.0,2494.0
4,3149,正達,57.8,-1.2,-2.03,33859,05/19,27,976,1770,2089,2116,2170,2021.0,2061.0,1629.0,2079.0
5,3481,群創,37.45,-1.25,-3.23,711815,05/19,-1066,3165,2297,1947,412,7429,5145.0,15869.0,16933.0,8372.0
6,3033,威健,48.8,0.1,0.21,26851,05/19,1015,1266,1801,1860,2137,2304,2179.0,2191.0,1972.0,2211.0
7,6207,雷科,83.9,-1.0,-1.18,43486,05/19,557,1546,1617,1839,1865,2170,2125.0,2099.0,2253.0,2162.0
8,2441,超豐,102.0,-1.5,-1.45,15343,05/19,-25,-44,34,1772,1881,2080,1867.0,2078.0,2081.0,2004.0
9,2409,友達,19.15,-0.1,-0.52,189971,05/19,1072,952,411,1357,-3885,5859,-2154.0,14302.0,13909.0,14059.0
10,2882,國泰金,77.8,1.0,1.3,46048,05/19,0,1293,1287,1303,1297,1298,589.0,878.0,-634.0,459.0
11,2337,旺宏,144.0,-16.0,-10.0,143651,05/19,501,162,-114,1002,-274,2860,-11998.0,-6459.0,-364.0,-3725.0
12,2353,宏碁,27.75,0.35,1.28,23290,05/19,9,-39,-57,962,1023,126,-129.0,-2076.0,791.0,179.0
13,2887,台新新光金,23.6,0.15,0.64,92956,05/19,1,51,940,944,938,976,-13021.0,-277.0,-27885.0,-8323.0
14,8091,翔名,263.5,3.0,1.15,5121,05/19,223,418,624,703,766,873,872.0,873.0,873.0,873.0
15,5347,世界,157.5,-1.5,-0.94,102682,05/19,-2630,298,626,655,676,243,322.0,676.0,-1932.0,720.0
16,4123,晟德,37.95,0.0,0.0,2002,05/19,32,21,-61,647,1236,784,320.0,1417.0,1439.0,1150.0
17,1717,長興,74.5,0.7,0.95,23398,05/19,619,703,688,646,692,331,652.0,695.0,1039.0,774.0
18,2485,兆赫,72.4,-0.6,-0.82,86004,05/19,392,489,607,628,723,430,805.0,1213.0,1761.0,534.0
19,2303,聯電,113.0,2.0,1.8,273826,05/19,48,455,575,605,2426,3014,1212.0,4147.0,814.0,3982.0
20,5464,霖宏,62.5,5.2,9.08,843,05/19,66,219,355,588,944,963,963.0,963.0,961.0,961.0
21,00632R,元大台灣50反1,11.66,0.19,1.66,124759,05/19,253,169,39,550,786,72,790.0,791.0,551.0,836.0
22,1514,亞力,113.5,-2.0,-1.73,2572,05/19,398,93,97,543,540,538,386.0,493.0,135.0,454.0
23,8070,長華*,42.65,-0.9,-2.07,3714,05/19,-253,-465,-103,530,535,418,542.0,522.0,450.0,532.0
24,2481,強茂,135.0,6.0,4.65,98492,05/19,15,460,486,479,564,516,501.0,219.0,768.0,442.0
25,3712,永崴投控,15.7,0.2,1.29,2107,05/19,17,278,289,477,543,576,574.0,65.0,520.0,525.0
26,2455,全新,383.0,-4.0,-1.03,2381,05/19,253,422,460,411,-230,486,689.0,720.0,888.0,737.0
27,2637,慧洋-KY,70.8,-2.0,-2.75,3189,05/19,-2,410,405,404,401,294,283.0,217.0,176.0,152.0
28,2498,宏達電,45.65,1.45,3.28,26250,05/19,-1165,89,409,397,236,569,-336.0,-4565.0,180.0,-2090.0
29,6217,中探針,265.5,-29.0,-9.85,9297,05/19,322,265,290,384,350,459,243.0,46.0,454.0,257.0
30,2327,國巨*,497.0,-4.0,-0.8,89070,05/19,-216,385,300,364,728,582,1116.0,817.0,1199.0,1111.0
31,6432,今展科,49.7,-2.9,-5.51,2320,05/19,83,156,229,357,831,1004,950.0,548.0,1052.0,810.0
32,00715L,期街口布蘭特正2,68.2,-0.95,-1.37,6341,05/19,-28,113,175,355,-254,-801,-1202.0,3173.0,-20087.0,2626.0
33,8926,台汽電,57.0,-0.5,-0.87,8171,05/19,41,7,241,346,429,431,600.0,613.0,588.0,615.0
34,3702,大聯大,108.5,-2.0,-1.81,10051,05/19,-17,103,319,345,720,587,752.0,581.0,801.0,775.0
35,2355,敬鵬,63.4,5.7,9.88,40845,05/19,247,392,350,344,367,402,281.0,357.0,408.0,378.0
36,00991A,主動復華未來50,17.08,-0.52,-2.95,82940,05/19,113,113,173,332,337,381,496.0,,,550.0
37,00642U,期元大S&P石油,32.59,-0.03,-0.09,3869,05/19,19,61,131,297,-132,679,3538.0,3621.0,3632.0,3643.0
38,8299,群聯,2465.0,-270.0,-9.87,9028,05/19,309,270,299,295,290,353,303.0,72.0,297.0,-38.0
39,5314,世紀*,61.5,-3.7,-5.67,6054,05/19,177,188,196,291,245,403,315.0,251.0,-78.0,223.0
40,2464,盟立,135.0,-4.0,-2.88,45558,05/19,-129,292,441,267,45,1367,1278.0,1259.0,1334.0,1350.0
41,6209,今國光,71.8,3.8,5.59,35981,05/19,63,210,207,260,232,297,-114.0,-1166.0,312.0,-3438.0
42,2359,所羅門,135.0,-4.0,-2.88,11267,05/19,21,202,261,255,221,390,-198.0,-454.0,-761.0,-332.0
43,5351,鈺創,76.8,-8.5,-9.96,34804,05/19,299,246,104,249,330,490,326.0,-11.0,537.0,-98.0
44,8028,昇陽半導體,262.0,-16.5,-5.92,17657,05/19,-126,-288,80,249,176,-172,223.0,-1858.0,-726.0,-1196.0
