排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
1,00707R,期元大S&P日圓反1,31.86,0.0,0.0,0,05/19,,-100.0,-100.0,-100.0,-100.0,,-100.0,,,
2,009810,玉山全球藍籌100,20.65,0.09,0.44,237,05/19,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,,-100.0
3,3049,精金,11.9,-0.15,-1.24,4731,05/19,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
4,4987,科誠,81.5,0.0,0.0,59,05/19,,,,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
5,00989B,台新美國非投等債,9.97,0.01,0.1,363,05/19,0.0,0.0,0.0,-87.0,-96.4,-97.7,,,,
6,00851,台新全球AI,63.5,-0.7,-1.09,7,05/19,0.0,0.0,0.0,-83.3,-85.7,-83.3,,-50.0,-85.7,-66.7
7,00917,中信特選金融,21.51,0.24,1.13,1268,05/19,-48.0,-48.0,-54.1,-77.4,-85.1,-78.7,-79.9,889.0,493.0,324.0
8,4205,中華食,72.9,0.0,0.0,24,05/19,0.0,0.0,0.0,-75.0,-75.0,-75.0,0.0,-95.5,-98.7,-95.5
9,4767,誠泰科技,26.2,0.15,0.58,9,05/19,-75.0,-75.0,-75.0,-75.0,-75.0,-88.9,-95.7,-91.7,-97.2,-92.3
10,00907,永豐優息存股,14.62,0.11,0.76,530,05/19,0.0,-12.1,-46.3,-74.8,-72.9,-25.6,-12.1,-74.1,-95.5,-38.3
11,00661,元大日經225,78.15,-0.75,-0.95,199,05/19,0.0,-72.7,-73.9,-73.3,-70.0,-69.2,-66.7,-72.7,-64.7,-69.2
12,9926,新海,49.1,0.0,0.0,57,05/19,-20.0,-30.4,-51.5,-71.4,-74.2,-83.0,1500.0,700.0,700.0,1500.0
13,009809,富邦淨零ESG50,15.07,-0.15,-0.99,463,05/19,0.0,0.0,-33.3,-66.7,0.0,100.0,-33.3,-90.5,,-55.6
14,2729,瓦城,162.0,1.0,0.62,18,05/19,-10.0,-62.5,-66.7,-66.7,-71.0,-86.8,-35.7,-10.0,-67.9,-10.0
15,00852L,國泰美國道瓊正2,31.39,0.51,1.65,108,05/19,-22.5,-20.2,-21.6,-66.4,-52.7,-74.1,-68.9,-2.19,-81.6,59.5
16,00926,凱基全球菁英55,25.31,0.04,0.16,721,05/19,0.0,-4.0,-4.0,-64.7,-65.2,-66.7,-88.8,-70.4,-83.3,-90.7
17,3045,台灣大,116.5,2.5,2.19,26432,05/19,-55.4,-29.8,-10.9,-64.6,-59.4,-34.1,-71.8,-87.0,-1.16,-50.4
18,009807,台新標普科技精選,15.51,-0.19,-1.21,36,05/19,-20.0,-71.4,-71.4,-63.6,167.0,-33.3,-82.2,-84.0,,-77.8
19,4430,耀億,16.9,0.25,1.5,9,05/19,7.14,7.14,-25.0,-60.5,-73.5,-74.1,-73.7,-74.6,-85.6,-73.9
20,8487,愛爾達-創,78.6,0.1,0.13,20,05/19,-36.1,-57.4,-56.6,-57.4,43.8,43.8,64.3,2200.0,2200.0,2200.0
21,00714,群益道瓊美國地產,21.3,0.28,1.33,47,05/19,0.0,-57.1,-57.1,-57.1,-57.1,-66.7,-99.1,-99.1,200.0,-99.0
22,8147,正淩,181.5,-9.0,-4.72,1326,05/19,-22.7,-23.4,-28.1,-52.3,-61.8,-50.0,15.5,24.8,20.6,35.7
23,3388,崇越電,95.4,-3.6,-3.64,1303,05/19,-0.52,-2.98,-36.2,-51.1,-22.3,48.8,1724.0,1861.0,2368.0,1796.0
24,6116,彩晶,10.15,-0.2,-1.93,39199,05/19,-1.84,-1.33,-2.62,-50.6,-1.96,3.41,-11.8,14.8,11.4,25.9
25,00682U,期元大美元指數,20.4,-0.01,-0.05,1,05/19,0.0,-40.0,-50.0,-50.0,-50.0,-50.0,50.0,-72.7,-81.2,-50.0
26,00703,台新MSCI中國,20.07,0.04,0.2,8,05/19,0.0,0.0,0.0,-50.0,0.0,0.0,-83.3,-96.7,-98.4,-83.3
27,00726B,國泰新興投等債,32.46,0.0,0.0,192,05/19,0.0,0.0,0.0,-50.0,-85.7,0.0,-83.3,-83.3,0.0,0.0
28,00897,富邦基因免疫生技,9.43,-0.11,-1.15,866,05/19,0.0,0.0,0.0,-50.0,-56.4,-43.3,-70.7,-71.2,-91.1,-91.3
29,1268,漢來美食,159.5,0.5,0.31,130,05/19,27.8,21.1,-41.0,-50.0,-25.8,-57.4,-77.2,-82.2,-41.0,-77.7
30,2751,王座,52.4,0.1,0.19,13,05/19,0.0,-40.0,-62.5,-50.0,-50.0,-57.1,-25.0,,,200.0
31,4506,崇友,119.0,0.5,0.42,41,05/19,100.0,100.0,100.0,-50.0,100.0,-33.3,-50.0,-91.3,-98.4,-50.0
32,00911,兆豐洲際半導體,52.8,-1.8,-3.3,840,05/19,-12.4,-13.0,-33.7,-43.1,62.2,233.0,445.0,167.0,76.5,287.0
33,6486,互動,81.0,-0.2,-0.25,81,05/19,-1.73,-40.1,-40.3,-43.1,-44.5,-40.7,27.5,77.3,147.0,-45.7
34,1217,愛之味,9.38,0.05,0.54,442,05/19,-1.58,-0.72,-39.5,-43.1,-44.7,-41.4,-13.4,-22.7,-43.1,-3.57
35,6109,亞元,10.65,-0.2,-1.84,241,05/19,0.0,0.0,0.0,-41.1,-43.1,-50.7,-59.5,-72.0,-93.0,-69.7
36,00995A,主動中信台灣卓越,15.79,-0.45,-2.77,9119,05/19,-4.12,-5.53,-29.4,-40.9,-46.0,-39.8,8.79,,,
37,4568,科際精密,40.4,0.05,0.12,3,05/19,0.0,0.0,0.0,-40.7,-60.7,-14.3,-15.8,71.4,200.0,2.13
38,5209,新鼎,165.5,0.5,0.3,21,05/19,0.0,-5.88,-42.9,-40.7,45.5,-44.8,-70.9,,,-57.9
39,00401A,主動摩根台灣鑫收,12.15,-0.2,-1.62,12454,05/19,-11.3,-29.6,-30.5,-40.6,-53.1,-51.7,,,,
40,4745,合富-KY,16.9,-0.95,-5.32,271,05/19,-27.1,-29.4,-28.6,-38.9,-51.1,-72.5,-75.6,-72.3,-41.9,-86.8
41,6806,森崴能源,12.65,-1.4,-9.96,128,05/19,-4.05,-17.9,-24.3,-38.5,-40.2,-43.5,-66.2,-74.8,-72.7,-72.4
42,00636,國泰中國A50,28.23,-0.13,-0.46,476,05/19,-2.63,-2.63,8.82,-38.3,-68.1,-67.5,-74.5,-83.9,-97.1,-81.1
43,4440,宜新實業,18.45,0.15,0.82,32,05/19,0.0,0.0,-13.7,-38.0,-34.3,-54.4,-66.4,-79.6,-77.9,-76.1
44,6141,柏承,34.15,3.1,9.98,4124,05/19,0.0,0.0,-37.9,-37.9,-40.0,-45.5,-92.2,-94.0,-96.1,-93.5
45,5228,鈺鎧,45.7,1.3,2.93,385,05/19,-8.5,-7.84,-18.9,-37.4,14.2,-12.1,59.7,811.0,1414.0,512.0
46,009820,元大納斯達克精選,10.06,0.0,0.0,28945,05/19,-8.39,-28.8,-34.3,-36.8,-10.6,,,,,
47,8069,元太,222.0,3.0,1.37,7289,05/19,-4.2,-0.86,0.03,-35.8,-46.4,-38.9,-25.3,-17.2,9.75,-7.96
48,6561,是方,343.5,5.5,1.63,155,05/19,-16.3,-23.9,-32.0,-34.3,-37.0,-35.4,-25.6,-36.2,-16.3,-44.8
49,7721,微程式,72.0,-1.2,-1.64,325,05/19,1.35,-0.94,-23.5,-34.1,-7.56,-40.2,762.0,,,
50,6023,元大期,97.5,-0.4,-0.41,139,05/19,-10.9,-38.7,-38.9,-33.2,-47.7,-25.7,-44.8,-30.2,-46.4,-47.7
51,3325,旭品,11.8,-0.2,-1.67,427,05/19,-12.6,-12.6,-32.5,-32.5,-44.6,-48.5,-58.8,-74.3,-84.3,-71.2
52,8942,森鉅,42.05,-0.05,-0.12,330,05/19,-0.18,-6.9,-24.4,-32.2,-19.3,-2.74,8.21,8.21,80.0,22.2
53,4556,旭然,38.3,-0.5,-1.29,210,05/19,-2.72,-33.9,-38.9,-31.7,-49.6,-60.9,-40.4,-54.2,-67.7,-43.0
54,1216,統一,74.8,0.1,0.13,12364,05/19,-13.3,-7.32,-13.3,-31.7,-33.6,-2.6,-35.2,8.7,-8.32,1.85
55,00645,富邦日本,54.1,0.15,0.28,372,05/19,0.0,-25.6,-27.5,-31.0,-25.6,-34.1,-50.0,-31.0,-54.0,-31.0
56,6683,雍智科技,1620.0,-180.0,-10.0,440,05/19,-4.51,-10.0,-26.2,-30.6,-41.2,-18.3,-9.89,,,167.0
57,00913,兆豐台灣晶圓製造,41.96,-1.55,-3.56,589,05/19,-11.9,-42.2,-43.1,-30.2,-27.5,-5.13,-86.0,3600.0,1133.0,2.78
