代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 週別,更新 日期,外資 連續 買賣 週數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 週數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 週數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 週數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
0050,元大台灣50,92.5,-0.6,-0.64,26W21,05/20,-4,-412905,-21.3,-2.2,16,107204,1.07,0.57,-6,-267729,-8.92,-1.43,-4,-607603,-31.3,-3.24
6640,均華,1250.0,-40.0,-3.1,26W21,05/20,1,115,10.8,0.4,8,744,2.77,2.61,-1,-13,-1.25,-0.05,1,108,10.1,0.38
6715,嘉基,481.0,-3.0,-0.62,26W21,05/20,3,1238,6.13,1.85,8,4178,6.87,6.23,1,3,0.06,0.0,3,2488,12.3,3.71
6679,鈺太,314.0,7.5,2.45,26W21,05/20,1,4,0.24,0.01,7,158,0.74,0.29,1,19,1.17,0.03,1,39,2.39,0.07
2072,世紀風電,169.0,-5.5,-3.15,26W21,05/20,-1,-570,-39.8,-0.3,6,814,4.8,0.42,-1,-5,-0.35,0.0,-1,-565,-39.4,-0.29
3711,日月光投控,476.0,4.0,0.85,26W21,05/20,-6,-44171,-6.35,-1.0,6,23479,3.38,0.53,-1,-52,-0.06,0.0,-1,-9854,-11.0,-0.22
6531,愛普*,973.0,-52.0,-5.07,26W21,05/20,1,146,0.68,0.09,6,6589,3.17,4.05,-1,-97,-0.45,-0.06,2,1654,2.53,1.02
8210,勤誠,1285.0,-40.0,-3.02,26W21,05/20,1,118,3.2,0.09,6,7036,7.35,5.61,-2,-254,-1.27,-0.2,3,2941,6.78,2.35
2330,台積電,2185.0,-20.0,-0.91,26W21,05/20,-4,-158341,-20.7,-0.61,5,53528,5.59,0.21,1,8,0.01,0.0,-2,-44728,-13.4,-0.17
3026,禾伸堂,394.5,29.5,8.08,26W21,05/20,3,4996,3.77,3.01,5,10869,5.7,6.55,-1,-211,-3.1,-0.13,3,15157,11.4,9.14
2204,中華,52.2,0.2,0.38,26W21,05/20,-7,-12168,-28.7,-2.2,4,2620,10.8,0.47,1,9,0.31,0.0,-2,-6154,-44.3,-1.11
2313,華通,255.0,-1.0,-0.39,26W21,05/20,1,16770,5.04,1.41,4,8996,0.6,0.75,-3,-4930,-0.42,-0.41,1,19989,6.01,1.68
2327,國巨*,520.0,23.0,4.63,26W21,05/20,-2,-27631,-4.86,-1.33,4,53685,5.34,2.59,-1,-1804,-0.68,-0.09,4,54335,5.41,2.62
2344,華邦電,115.5,-2.0,-1.7,26W21,05/20,-1,-55392,-10.5,-1.23,4,101467,2.67,2.25,-1,-6958,-1.32,-0.15,-1,-46921,-8.88,-1.04
2727,王品,234.5,0.5,0.21,26W21,05/20,-1,-19,-1.92,-0.02,4,403,5.2,0.49,-2,-3,-0.08,0.0,-1,-8,-0.84,-0.01
2731,雄獅,160.0,-0.5,-0.31,26W21,05/20,-10,-13976,-36.8,-15.0,4,1323,8.41,1.42,1,2,0.09,0.0,-10,-13263,-34.9,-14.2
3583,辛耘,826.0,-16.0,-1.9,26W21,05/20,-6,-4738,-5.55,-5.9,4,2545,4.14,3.17,-2,-207,-0.66,-0.26,1,12,0.2,0.01
3592,瑞鼎,256.0,7.5,3.02,26W21,05/20,1,293,18.2,0.39,4,1304,6.56,1.72,1,19,1.21,0.03,1,324,20.1,0.43
3706,神達,80.3,-0.4,-0.5,26W21,05/20,-2,-29890,-25.9,-2.25,4,5901,2.4,0.44,1,410,1.68,0.03,-2,-25238,-21.9,-1.9
4746,台耀,51.6,0.0,0.0,26W21,05/20,-3,-2671,-17.8,-2.22,4,2282,11.0,1.9,-2,-12,-0.13,-0.01,-2,-1375,-15.9,-1.14
4966,譜瑞-KY,757.0,29.0,3.98,26W21,05/20,3,5191,8.2,6.57,4,5274,7.16,6.68,-1,-77,-1.73,-0.1,3,10818,17.1,13.7
5269,祥碩,1385.0,5.0,0.36,26W21,05/20,-2,-2202,-7.98,-2.94,4,348,0.78,0.47,1,9,0.18,0.01,-2,-2046,-7.42,-2.74
5439,高技,364.5,-14.5,-3.83,26W21,05/20,-1,-683,-5.05,-0.73,4,4052,3.65,4.36,-2,-177,-0.36,-0.19,-1,-762,-5.64,-0.82
5534,長虹,75.6,0.1,0.13,26W21,05/20,-6,-8458,-34.8,-2.68,4,2516,18.3,0.8,-2,-74,-1.03,-0.02,-6,-6292,-25.9,-2.0
6223,旺矽,5680.0,-50.0,-0.87,26W21,05/20,2,539,4.08,0.55,4,884,3.57,0.9,-2,-125,-0.95,-0.13,4,1727,6.97,1.76
6768,志強-KY,84.3,-1.1,-1.29,26W21,05/20,-5,-2580,-13.5,-1.29,4,1688,11.5,0.84,-2,-15,-0.22,-0.01,-2,-876,-13.3,-0.44
6830,汎銓,684.0,-28.0,-3.93,26W21,05/20,-1,-21,-0.41,-0.04,4,278,0.59,0.52,-3,-295,-0.83,-0.55,-1,-88,-1.68,-0.16
