"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","95.85","+3.35","+3.62","26W21","05/21","-4","-400,879","-20","-2.13","+16","+110,974","1.11","0.59","-6","-262,578","-8.57","-1.39","-4","-586,657","-29.3","-3.11"
"6640","均華","1375","+125","+10","26W21","05/21","+1","+185","13.3","0.65","+8","+745","2.74","2.61","+3","+14","0.24","0.05","+1","+197","14.2","0.69"
"6715","嘉基","477","-4","-0.83","26W21","05/21","+3","+1,094","5.25","1.63","+8","+4,178","6.8","6.23","+1","+4","0.08","0.01","+3","+2,345","11.3","3.5"
"6679","鈺太","335","+21","+6.69","26W21","05/21","+1","+147","5.55","0.27","+7","+174","0.78","0.32","+1","+76","2.87","0.14","+1","+255","9.63","0.46"
"2072","世紀風電","172.5","+3.5","+2.07","26W21","05/21","-1","-458","-25.6","-0.24","+6","+814","4.7","0.42","-1","-6","-0.35","0","-1","-454","-25.4","-0.24"
"3711","日月光投控","510","+34","+7.14","26W21","05/21","-6","-41,643","-5.83","-0.94","+6","+23,456","3.28","0.53","-1","-186","-0.17","0","-1","-7,484","-6.85","-0.17"
"6531","愛普*","876","-97","-9.97","26W21","05/21","-4","-7,042","-6.45","-4.32","+6","+7,114","3.16","4.37","+2","+29","0.04","0.02","-1","-592","-1.53","-0.36"
"8210","勤誠","1335","+50","+3.89","26W21","05/21","-4","-4,987","-8.49","-3.98","+6","+7,252","7.48","5.79","-2","-238","-1.12","-0.19","-1","-341","-6.82","-0.27"
"2330","台積電","2230","+45","+2.06","26W21","05/21","-4","-157,327","-20","-0.61","+5","+53,695","5.47","0.21","+1","+431","0.3","0","-2","-43,123","-12","-0.17"
"3026","禾伸堂","433.5","+39","+9.89","26W21","05/21","+3","+5,071","3.77","3.06","+5","+10,970","5.69","6.61","-1","-202","-2.27","-0.12","+3","+15,342","11.4","9.25"
"2313","華通","258","+3","+1.18","26W21","05/21","+1","+16,094","4","1.35","+4","+8,583","0.55","0.72","-3","-3,872","-0.31","-0.32","+1","+19,957","4.96","1.67"
"2327","國巨*","572","+52","+10","26W21","05/21","-2","-30,377","-5.12","-1.47","+4","+53,990","5.24","2.61","-1","-931","-0.32","-0.04","+4","+52,768","5.12","2.55"
"2344","華邦電","114","-1.5","-1.3","26W21","05/21","-1","-86,588","-11.7","-1.92","+4","+98,391","2.46","2.19","-1","-5,780","-0.78","-0.13","-1","-80,015","-10.8","-1.78"
"2727","王品","234.5","0","0","26W21","05/21","-1","-79","-6.19","-0.1","+4","+403","5.03","0.49","-2","-4","-0.11","0","-1","-70","-5.44","-0.08"
"2731","雄獅","160","0","0","26W21","05/21","-10","-14,084","-36.7","-15.1","+4","+1,323","8.2","1.42","+1","+8","0.31","0.01","-10","-13,365","-34.8","-14.3"
"3583","辛耘","861","+35","+4.24","26W21","05/21","-6","-4,904","-5.63","-6.1","+4","+2,603","4.12","3.24","-2","-174","-0.53","-0.22","-2","-352","-1.07","-0.44"
"3592","瑞鼎","266","+10","+3.91","26W21","05/21","+1","+734","27.1","0.97","+4","+1,308","6.23","1.72","+1","+39","1.43","0.05","+1","+788","29.1","1.04"
